"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","SM","[M+HCO2]-","M-CH3","(P-Cho)-CH3-H","RT_min","RT_max","Comment","RT at Max Intensity","SM","[M+HCO2]-","M-CH3","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Number of Scans","SM","[M+HCO2]-","M-CH3","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Max Intensity","SM","[M+HCO2]-","M-CH3","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Average m/z","SM","[M+HCO2]-","M-CH3","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","SM","[M+HCO2]-","M-CH3","(P-Cho)-CH3-H","RT_min","RT_max","Comment"
"","SM(42:1)+HCO2",0,0,0,"9.59013636363636","9.89013636363636","584","","SM(42:1)+HCO2",0,0,0,"9.59013636363636","9.89013636363636","584","","SM(42:1)+HCO2",0,0,0,"9.59013636363636","9.89013636363636","584","","SM(42:1)+HCO2",0,0,0,"9.59013636363636","9.89013636363636","584","","SM(42:1)+HCO2",0,0,0,"9.59013636363636","9.89013636363636","584","","SM(42:1)+HCO2","859.691","799.6652","168.0431","9.59013636363636","9.89013636363636","584"
"","SM(42:2)+HCO2",1,0,1,"9.18931666666667","9.48931666666667","93","","SM(42:2)+HCO2",9.306672,0,9.306672,"9.18931666666667","9.48931666666667","93","","SM(42:2)+HCO2",2,0,2,"9.18931666666667","9.48931666666667","93","","SM(42:2)+HCO2",50138.64,0,108860.8,"9.18931666666667","9.48931666666667","93","","SM(42:2)+HCO2",857.67645,0,168.0432,"9.18931666666667","9.48931666666667","93","","SM(42:2)+HCO2","857.6754","797.6496","168.0431","9.18931666666667","9.48931666666667","93"
"","SM(42:2)+HCO2",1,0,1,"9.36667878787879","9.66667878787879","138","","SM(42:2)+HCO2",9.561926,0,9.561926,"9.36667878787879","9.66667878787879","138","","SM(42:2)+HCO2",2,0,2,"9.36667878787879","9.66667878787879","138","","SM(42:2)+HCO2",18062.27,0,30000.98,"9.36667878787879","9.66667878787879","138","","SM(42:2)+HCO2",857.67655,0,168.0432,"9.36667878787879","9.66667878787879","138","","SM(42:2)+HCO2","857.6754","797.6496","168.0431","9.36667878787879","9.66667878787879","138"
"","SM(42:2)+HCO2",1,0,1,"9.03576060606061","9.33576060606061","3274","","SM(42:2)+HCO2",9.306672,0,9.306672,"9.03576060606061","9.33576060606061","3274","","SM(42:2)+HCO2",2,0,2,"9.03576060606061","9.33576060606061","3274","","SM(42:2)+HCO2",50138.64,0,108860.8,"9.03576060606061","9.33576060606061","3274","","SM(42:2)+HCO2",857.67605,0,168.04315,"9.03576060606061","9.33576060606061","3274","","SM(42:2)+HCO2","857.6754","797.6496","168.0431","9.03576060606061","9.33576060606061","3274"
"","SM(42:3)+HCO2",1,0,1,"8.25450757575758","8.55450757575758","335","","SM(42:3)+HCO2",8.413545,0,8.413545,"8.25450757575758","8.55450757575758","335","","SM(42:3)+HCO2",1,0,1,"8.25450757575758","8.55450757575758","335","","SM(42:3)+HCO2",17137.88,0,49076.07,"8.25450757575758","8.55450757575758","335","","SM(42:3)+HCO2",855.6603,0,168.0431,"8.25450757575758","8.55450757575758","335","","SM(42:3)+HCO2","855.6597","795.6339","168.0431","8.25450757575758","8.55450757575758","335"
"","SM(43:1)+HCO2",1,0,1,"10.501896969697","10.801896969697","516","","SM(43:1)+HCO2",10.66496,0,10.66496,"10.501896969697","10.801896969697","516","","SM(43:1)+HCO2",1,0,1,"10.501896969697","10.801896969697","516","","SM(43:1)+HCO2",4198.387,0,3842.834,"10.501896969697","10.801896969697","516","","SM(43:1)+HCO2",873.7089,0,168.0433,"10.501896969697","10.801896969697","516","","SM(43:1)+HCO2","873.7066","813.6808","168.0431","10.501896969697","10.801896969697","516"
"","SM(43:1)+HCO2",0,0,0,"10.6741560606061","10.9741560606061","714","","SM(43:1)+HCO2",0,0,0,"10.6741560606061","10.9741560606061","714","","SM(43:1)+HCO2",0,0,0,"10.6741560606061","10.9741560606061","714","","SM(43:1)+HCO2",0,0,0,"10.6741560606061","10.9741560606061","714","","SM(43:1)+HCO2",0,0,0,"10.6741560606061","10.9741560606061","714","","SM(43:1)+HCO2","873.7066","813.6808","168.0431","10.6741560606061","10.9741560606061","714"
"","SM(43:2)+HCO2",1,0,1,"9.50529545454545","9.80529545454545","540","","SM(43:2)+HCO2",9.66459,0,9.66459,"9.50529545454545","9.80529545454545","540","","SM(43:2)+HCO2",1,0,1,"9.50529545454545","9.80529545454545","540","","SM(43:2)+HCO2",2517.2,0,6245.89,"9.50529545454545","9.80529545454545","540","","SM(43:2)+HCO2",871.6918,0,168.043,"9.50529545454545","9.80529545454545","540","","SM(43:2)+HCO2","871.691","811.6652","168.0431","9.50529545454545","9.80529545454545","540"
"","SM(43:2)+HCO2",0,0,0,"9.67496666666667","9.97496666666667","890","","SM(43:2)+HCO2",0,0,0,"9.67496666666667","9.97496666666667","890","","SM(43:2)+HCO2",0,0,0,"9.67496666666667","9.97496666666667","890","","SM(43:2)+HCO2",0,0,0,"9.67496666666667","9.97496666666667","890","","SM(43:2)+HCO2",0,0,0,"9.67496666666667","9.97496666666667","890","","SM(43:2)+HCO2","871.691","811.6652","168.0431","9.67496666666667","9.97496666666667","890"
"","SM(43:2)+HCO2",0,0,0,"9.83993636363636","10.1399363636364","2965","","SM(43:2)+HCO2",0,0,0,"9.83993636363636","10.1399363636364","2965","","SM(43:2)+HCO2",0,0,0,"9.83993636363636","10.1399363636364","2965","","SM(43:2)+HCO2",0,0,0,"9.83993636363636","10.1399363636364","2965","","SM(43:2)+HCO2",0,0,0,"9.83993636363636","10.1399363636364","2965","","SM(43:2)+HCO2","871.691","811.6652","168.0431","9.83993636363636","10.1399363636364","2965"
"","SM(44:1)+HCO2",0,0,0,"11.10745","11.40745","2483","","SM(44:1)+HCO2",0,0,0,"11.10745","11.40745","2483","","SM(44:1)+HCO2",0,0,0,"11.10745","11.40745","2483","","SM(44:1)+HCO2",0,0,0,"11.10745","11.40745","2483","","SM(44:1)+HCO2",0,0,0,"11.10745","11.40745","2483","","SM(44:1)+HCO2","887.7223","827.6965","168.0431","11.10745","11.40745","2483"
"","SM(44:2)+HCO2",0,0,0,"10.1390287878788","10.4390287878788","2525","","SM(44:2)+HCO2",0,0,0,"10.1390287878788","10.4390287878788","2525","","SM(44:2)+HCO2",0,0,0,"10.1390287878788","10.4390287878788","2525","","SM(44:2)+HCO2",0,0,0,"10.1390287878788","10.4390287878788","2525","","SM(44:2)+HCO2",0,0,0,"10.1390287878788","10.4390287878788","2525","","SM(44:2)+HCO2","885.7066","825.6808","168.0431","10.1390287878788","10.4390287878788","2525"
