"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","RT at Max Intensity","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","Number of Scans","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","Max Intensity","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","Average m/z","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment"
"","PI(40:6)+NH4",0,0,"6.29671527777778","6.59671527777778","1381","","PI(40:6)+NH4",0,0,"6.29671527777778","6.59671527777778","1381","","PI(40:6)+NH4",0,0,"6.29671527777778","6.59671527777778","1381","","PI(40:6)+NH4",0,0,"6.29671527777778","6.59671527777778","1381","","PI(40:6)+NH4",0,0,"6.29671527777778","6.59671527777778","1381","","PI(40:6)+NH4","928.591","651.5348","6.29671527777778","6.59671527777778","1381"
"","PI(40:6)+NH4",0,0,"5.68146805555555","5.98146805555555","8083","","PI(40:6)+NH4",0,0,"5.68146805555555","5.98146805555555","8083","","PI(40:6)+NH4",0,0,"5.68146805555555","5.98146805555555","8083","","PI(40:6)+NH4",0,0,"5.68146805555555","5.98146805555555","8083","","PI(40:6)+NH4",0,0,"5.68146805555555","5.98146805555555","8083","","PI(40:6)+NH4","928.591","651.5348","5.68146805555555","5.98146805555555","8083"
"","PI(40:7)+NH4",0,0,"5.14806666666667","5.44806666666667","7224","","PI(40:7)+NH4",0,0,"5.14806666666667","5.44806666666667","7224","","PI(40:7)+NH4",0,0,"5.14806666666667","5.44806666666667","7224","","PI(40:7)+NH4",0,0,"5.14806666666667","5.44806666666667","7224","","PI(40:7)+NH4",0,0,"5.14806666666667","5.44806666666667","7224","","PI(40:7)+NH4","926.5754","649.5192","5.14806666666667","5.44806666666667","7224"
"","PI(40:7)+NH4",0,0,"5.355","5.655","8197","","PI(40:7)+NH4",0,0,"5.355","5.655","8197","","PI(40:7)+NH4",0,0,"5.355","5.655","8197","","PI(40:7)+NH4",0,0,"5.355","5.655","8197","","PI(40:7)+NH4",0,0,"5.355","5.655","8197","","PI(40:7)+NH4","926.5754","649.5192","5.355","5.655","8197"
"","PI(40:7)+NH4",0,0,"5.1633","5.4633","13584","","PI(40:7)+NH4",0,0,"5.1633","5.4633","13584","","PI(40:7)+NH4",0,0,"5.1633","5.4633","13584","","PI(40:7)+NH4",0,0,"5.1633","5.4633","13584","","PI(40:7)+NH4",0,0,"5.1633","5.4633","13584","","PI(40:7)+NH4","926.5754","649.5192","5.1633","5.4633","13584"
"","PI(42:0)+NH4",0,0,"13.0255666666667","13.3255666666667","9721","","PI(42:0)+NH4",0,0,"13.0255666666667","13.3255666666667","9721","","PI(42:0)+NH4",0,0,"13.0255666666667","13.3255666666667","9721","","PI(42:0)+NH4",0,0,"13.0255666666667","13.3255666666667","9721","","PI(42:0)+NH4",0,0,"13.0255666666667","13.3255666666667","9721","","PI(42:0)+NH4","968.7162","691.66","13.0255666666667","13.3255666666667","9721"
"","PI(42:1)+NH4",0,0,"12.4749909090909","12.7749909090909","11579","","PI(42:1)+NH4",0,0,"12.4749909090909","12.7749909090909","11579","","PI(42:1)+NH4",0,0,"12.4749909090909","12.7749909090909","11579","","PI(42:1)+NH4",0,0,"12.4749909090909","12.7749909090909","11579","","PI(42:1)+NH4",0,0,"12.4749909090909","12.7749909090909","11579","","PI(42:1)+NH4","966.7006","689.6444","12.4749909090909","12.7749909090909","11579"
"","PI(44:0)+NH4",0,0,"9.26521666666667","9.56521666666667","8140","","PI(44:0)+NH4",0,0,"9.26521666666667","9.56521666666667","8140","","PI(44:0)+NH4",0,0,"9.26521666666667","9.56521666666667","8140","","PI(44:0)+NH4",0,0,"9.26521666666667","9.56521666666667","8140","","PI(44:0)+NH4",0,0,"9.26521666666667","9.56521666666667","8140","","PI(44:0)+NH4","996.7475","719.6913","9.26521666666667","9.56521666666667","8140"
"","PI(45:1)+NH4",0,0,"15.06611","15.36611","9689","","PI(45:1)+NH4",0,0,"15.06611","15.36611","9689","","PI(45:1)+NH4",0,0,"15.06611","15.36611","9689","","PI(45:1)+NH4",0,0,"15.06611","15.36611","9689","","PI(45:1)+NH4",0,0,"15.06611","15.36611","9689","","PI(45:1)+NH4","1008.7476","731.6914","15.06611","15.36611","9689"
"","PI(45:3)+NH4",0,0,"0.9389375","1.2389375","6381","","PI(45:3)+NH4",0,0,"0.9389375","1.2389375","6381","","PI(45:3)+NH4",0,0,"0.9389375","1.2389375","6381","","PI(45:3)+NH4",0,0,"0.9389375","1.2389375","6381","","PI(45:3)+NH4",0,0,"0.9389375","1.2389375","6381","","PI(45:3)+NH4","1004.7163","727.6601","0.9389375","1.2389375","6381"
"","PI(46:3)+NH4",0,0,"1.03820972222222","1.33820972222222","9473","","PI(46:3)+NH4",0,0,"1.03820972222222","1.33820972222222","9473","","PI(46:3)+NH4",0,0,"1.03820972222222","1.33820972222222","9473","","PI(46:3)+NH4",0,0,"1.03820972222222","1.33820972222222","9473","","PI(46:3)+NH4",0,0,"1.03820972222222","1.33820972222222","9473","","PI(46:3)+NH4","1018.7319","741.6757","1.03820972222222","1.33820972222222","9473"
"","PI(48:3)+NH4",0,0,"14.8953763888889","15.1953763888889","13120","","PI(48:3)+NH4",0,0,"14.8953763888889","15.1953763888889","13120","","PI(48:3)+NH4",0,0,"14.8953763888889","15.1953763888889","13120","","PI(48:3)+NH4",0,0,"14.8953763888889","15.1953763888889","13120","","PI(48:3)+NH4",0,0,"14.8953763888889","15.1953763888889","13120","","PI(48:3)+NH4","1046.7632","769.707","14.8953763888889","15.1953763888889","13120"
