"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Number of Scans","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Max Intensity","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Average m/z","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment"
"","Plasmanyl-PC(34:0)+H",1,1,1,"9.018525","9.318525","632","","Plasmanyl-PC(34:0)+H",9.181929,9.181929,9.181929,"9.018525","9.318525","632","","Plasmanyl-PC(34:0)+H",1,1,1,"9.018525","9.318525","632","","Plasmanyl-PC(34:0)+H",356934.3,3484.45,2520702,"9.018525","9.318525","632","","Plasmanyl-PC(34:0)+H",748.6232,565.5571,184.0738,"9.018525","9.318525","632","","Plasmanyl-PC(34:0)+H","748.6214576","565.5554176","184.07332","9.018525","9.318525","632"
"","Plasmanyl-PC(34:1)+H",1,1,1,"7.97837916666667","8.27837916666667","130","","Plasmanyl-PC(34:1)+H",8.12022,8.12022,8.12022,"7.97837916666667","8.27837916666667","130","","Plasmanyl-PC(34:1)+H",2,2,2,"7.97837916666667","8.27837916666667","130","","Plasmanyl-PC(34:1)+H",2061740,15174.91,20057510,"7.97837916666667","8.27837916666667","130","","Plasmanyl-PC(34:1)+H",746.6059,563.54025,184.07335,"7.97837916666667","8.27837916666667","130","","Plasmanyl-PC(34:1)+H","746.6058576","563.5398176","184.07332","7.97837916666667","8.27837916666667","130"
"","Plasmanyl-PC(34:1)+H",1,0,1,"8.86561944444444","9.16561944444444","2012","","Plasmanyl-PC(34:1)+H",8.923824,0,8.923824,"8.86561944444444","9.16561944444444","2012","","Plasmanyl-PC(34:1)+H",1,0,1,"8.86561944444444","9.16561944444444","2012","","Plasmanyl-PC(34:1)+H",5078.562,0,33444.68,"8.86561944444444","9.16561944444444","2012","","Plasmanyl-PC(34:1)+H",746.6073,0,184.0739,"8.86561944444444","9.16561944444444","2012","","Plasmanyl-PC(34:1)+H","746.6058576","563.5398176","184.07332","8.86561944444444","9.16561944444444","2012"
"","Plasmanyl-PC(34:2)+H",1,1,1,"7.08499861111111","7.38499861111111","107","","Plasmanyl-PC(34:2)+H",7.230513,7.230513,7.230513,"7.08499861111111","7.38499861111111","107","","Plasmanyl-PC(34:2)+H",2,2,2,"7.08499861111111","7.38499861111111","107","","Plasmanyl-PC(34:2)+H",3348612,22286.13,33987040,"7.08499861111111","7.38499861111111","107","","Plasmanyl-PC(34:2)+H",744.5904,561.52435,184.07335,"7.08499861111111","7.38499861111111","107","","Plasmanyl-PC(34:2)+H","744.5901576","561.5241176","184.07332","7.08499861111111","7.38499861111111","107"
"","Plasmanyl-PC(34:2)+H",1,0,1,"7.82195138888889","8.12195138888889","162","","Plasmanyl-PC(34:2)+H",8.027212,0,8.027212,"7.82195138888889","8.12195138888889","162","","Plasmanyl-PC(34:2)+H",4,0,4,"7.82195138888889","8.12195138888889","162","","Plasmanyl-PC(34:2)+H",877574.1,0,7966249,"7.82195138888889","8.12195138888889","162","","Plasmanyl-PC(34:2)+H",744.590575,0,184.073475,"7.82195138888889","8.12195138888889","162","","Plasmanyl-PC(34:2)+H","744.5901576","561.5241176","184.07332","7.82195138888889","8.12195138888889","162"
"","Plasmanyl-PC(34:3)+H",1,0,1,"6.89165555555555","7.19165555555555","82","","Plasmanyl-PC(34:3)+H",7.097293,0,7.097293,"6.89165555555555","7.19165555555555","82","","Plasmanyl-PC(34:3)+H",3,0,3,"6.89165555555555","7.19165555555555","82","","Plasmanyl-PC(34:3)+H",2427263,0,23423840,"6.89165555555555","7.19165555555555","82","","Plasmanyl-PC(34:3)+H",742.575,0,184.0734,"6.89165555555555","7.19165555555555","82","","Plasmanyl-PC(34:3)+H","742.5745576","559.5085176","184.07332","6.89165555555555","7.19165555555555","82"
"","Plasmanyl-PC(34:3)+H",0,0,0,"8.96104285714286","9.26104285714286","12399","","Plasmanyl-PC(34:3)+H",0,0,0,"8.96104285714286","9.26104285714286","12399","","Plasmanyl-PC(34:3)+H",0,0,0,"8.96104285714286","9.26104285714286","12399","","Plasmanyl-PC(34:3)+H",0,0,0,"8.96104285714286","9.26104285714286","12399","","Plasmanyl-PC(34:3)+H",0,0,0,"8.96104285714286","9.26104285714286","12399","","Plasmanyl-PC(34:3)+H","742.5745576","559.5085176","184.07332","8.96104285714286","9.26104285714286","12399"
"","Plasmanyl-PC(34:3)+H",0,0,0,"6.2410625","6.5410625","12734","","Plasmanyl-PC(34:3)+H",0,0,0,"6.2410625","6.5410625","12734","","Plasmanyl-PC(34:3)+H",0,0,0,"6.2410625","6.5410625","12734","","Plasmanyl-PC(34:3)+H",0,0,0,"6.2410625","6.5410625","12734","","Plasmanyl-PC(34:3)+H",0,0,0,"6.2410625","6.5410625","12734","","Plasmanyl-PC(34:3)+H","742.5745576","559.5085176","184.07332","6.2410625","6.5410625","12734"
"","Plasmanyl-PC(34:3)+H",0,0,0,"7.9415","8.2415","18334","","Plasmanyl-PC(34:3)+H",0,0,0,"7.9415","8.2415","18334","","Plasmanyl-PC(34:3)+H",0,0,0,"7.9415","8.2415","18334","","Plasmanyl-PC(34:3)+H",0,0,0,"7.9415","8.2415","18334","","Plasmanyl-PC(34:3)+H",0,0,0,"7.9415","8.2415","18334","","Plasmanyl-PC(34:3)+H","742.5745576","559.5085176","184.07332","7.9415","8.2415","18334"
"","Plasmanyl-PC(34:4)+H",0,0,0,"6.02765","6.32765","1493","","Plasmanyl-PC(34:4)+H",0,0,0,"6.02765","6.32765","1493","","Plasmanyl-PC(34:4)+H",0,0,0,"6.02765","6.32765","1493","","Plasmanyl-PC(34:4)+H",0,0,0,"6.02765","6.32765","1493","","Plasmanyl-PC(34:4)+H",0,0,0,"6.02765","6.32765","1493","","Plasmanyl-PC(34:4)+H","740.5588576","557.4928176","184.07332","6.02765","6.32765","1493"
