"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PS","[M+H]","NL_head","RT_min","RT_max","Comment","RT at Max Intensity","PS","[M+H]","NL_head","RT_min","RT_max","Comment","Number of Scans","PS","[M+H]","NL_head","RT_min","RT_max","Comment","Max Intensity","PS","[M+H]","NL_head","RT_min","RT_max","Comment","Average m/z","PS","[M+H]","NL_head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PS","[M+H]","NL_head","RT_min","RT_max","Comment"
"","PS(38:3)+H",0,0,"3.79138333333333","4.09138333333333","8066","","PS(38:3)+H",0,0,"3.79138333333333","4.09138333333333","8066","","PS(38:3)+H",0,0,"3.79138333333333","4.09138333333333","8066","","PS(38:3)+H",0,0,"3.79138333333333","4.09138333333333","8066","","PS(38:3)+H",0,0,"3.79138333333333","4.09138333333333","8066","","PS(38:3)+H","814.55936","629.55041","3.79138333333333","4.09138333333333","8066"
"","PS(38:3)+H",0,0,"3.39136944444444","3.69136944444444","8265","","PS(38:3)+H",0,0,"3.39136944444444","3.69136944444444","8265","","PS(38:3)+H",0,0,"3.39136944444444","3.69136944444444","8265","","PS(38:3)+H",0,0,"3.39136944444444","3.69136944444444","8265","","PS(38:3)+H",0,0,"3.39136944444444","3.69136944444444","8265","","PS(38:3)+H","814.55936","629.55041","3.39136944444444","3.69136944444444","8265"
"","PS(38:3)+H",0,0,"4.89157424242424","5.19157424242424","11928","","PS(38:3)+H",0,0,"4.89157424242424","5.19157424242424","11928","","PS(38:3)+H",0,0,"4.89157424242424","5.19157424242424","11928","","PS(38:3)+H",0,0,"4.89157424242424","5.19157424242424","11928","","PS(38:3)+H",0,0,"4.89157424242424","5.19157424242424","11928","","PS(38:3)+H","814.55936","629.55041","4.89157424242424","5.19157424242424","11928"
"","PS(38:3)+H",0,0,"4.12585277777778","4.42585277777778","13405","","PS(38:3)+H",0,0,"4.12585277777778","4.42585277777778","13405","","PS(38:3)+H",0,0,"4.12585277777778","4.42585277777778","13405","","PS(38:3)+H",0,0,"4.12585277777778","4.42585277777778","13405","","PS(38:3)+H",0,0,"4.12585277777778","4.42585277777778","13405","","PS(38:3)+H","814.55936","629.55041","4.12585277777778","4.42585277777778","13405"
"","PS(38:3)+H",0,0,"1.83709444444444","2.13709444444444","15859","","PS(38:3)+H",0,0,"1.83709444444444","2.13709444444444","15859","","PS(38:3)+H",0,0,"1.83709444444444","2.13709444444444","15859","","PS(38:3)+H",0,0,"1.83709444444444","2.13709444444444","15859","","PS(38:3)+H",0,0,"1.83709444444444","2.13709444444444","15859","","PS(38:3)+H","814.55936","629.55041","1.83709444444444","2.13709444444444","15859"
"","PS(38:4)+H",0,0,"1.86782083333333","2.16782083333333","11159","","PS(38:4)+H",0,0,"1.86782083333333","2.16782083333333","11159","","PS(38:4)+H",0,0,"1.86782083333333","2.16782083333333","11159","","PS(38:4)+H",0,0,"1.86782083333333","2.16782083333333","11159","","PS(38:4)+H",0,0,"1.86782083333333","2.16782083333333","11159","","PS(38:4)+H","812.54366","627.53471","1.86782083333333","2.16782083333333","11159"
"","PS(39:4)+H",0,0,"7.04686805555556","7.34686805555556","2224","","PS(39:4)+H",0,0,"7.04686805555556","7.34686805555556","2224","","PS(39:4)+H",0,0,"7.04686805555556","7.34686805555556","2224","","PS(39:4)+H",0,0,"7.04686805555556","7.34686805555556","2224","","PS(39:4)+H",0,0,"7.04686805555556","7.34686805555556","2224","","PS(39:4)+H","826.55936","641.55041","7.04686805555556","7.34686805555556","2224"
"","PS(39:6)+H",0,0,"4.98809583333333","5.28809583333333","13691","","PS(39:6)+H",0,0,"4.98809583333333","5.28809583333333","13691","","PS(39:6)+H",0,0,"4.98809583333333","5.28809583333333","13691","","PS(39:6)+H",0,0,"4.98809583333333","5.28809583333333","13691","","PS(39:6)+H",0,0,"4.98809583333333","5.28809583333333","13691","","PS(39:6)+H","822.52806","637.51911","4.98809583333333","5.28809583333333","13691"
"","PS(39:7)+H",0,0,"5.1377375","5.4377375","11246","","PS(39:7)+H",0,0,"5.1377375","5.4377375","11246","","PS(39:7)+H",0,0,"5.1377375","5.4377375","11246","","PS(39:7)+H",0,0,"5.1377375","5.4377375","11246","","PS(39:7)+H",0,0,"5.1377375","5.4377375","11246","","PS(39:7)+H","820.51236","635.50341","5.1377375","5.4377375","11246"
"","PS(40:3)+H",0,0,"5.47872777777778","5.77872777777778","5746","","PS(40:3)+H",0,0,"5.47872777777778","5.77872777777778","5746","","PS(40:3)+H",0,0,"5.47872777777778","5.77872777777778","5746","","PS(40:3)+H",0,0,"5.47872777777778","5.77872777777778","5746","","PS(40:3)+H",0,0,"5.47872777777778","5.77872777777778","5746","","PS(40:3)+H","842.59066","657.58171","5.47872777777778","5.77872777777778","5746"
"","PS(40:3)+H",0,0,"4.97432083333333","5.27432083333333","9287","","PS(40:3)+H",0,0,"4.97432083333333","5.27432083333333","9287","","PS(40:3)+H",0,0,"4.97432083333333","5.27432083333333","9287","","PS(40:3)+H",0,0,"4.97432083333333","5.27432083333333","9287","","PS(40:3)+H",0,0,"4.97432083333333","5.27432083333333","9287","","PS(40:3)+H","842.59066","657.58171","4.97432083333333","5.27432083333333","9287"
"","PS(40:3)+H",0,0,"5.68667916666667","5.98667916666667","10954","","PS(40:3)+H",0,0,"5.68667916666667","5.98667916666667","10954","","PS(40:3)+H",0,0,"5.68667916666667","5.98667916666667","10954","","PS(40:3)+H",0,0,"5.68667916666667","5.98667916666667","10954","","PS(40:3)+H",0,0,"5.68667916666667","5.98667916666667","10954","","PS(40:3)+H","842.59066","657.58171","5.68667916666667","5.98667916666667","10954"
"","PS(40:3)+H",0,0,"4.98549305555556","5.28549305555556","12814","","PS(40:3)+H",0,0,"4.98549305555556","5.28549305555556","12814","","PS(40:3)+H",0,0,"4.98549305555556","5.28549305555556","12814","","PS(40:3)+H",0,0,"4.98549305555556","5.28549305555556","12814","","PS(40:3)+H",0,0,"4.98549305555556","5.28549305555556","12814","","PS(40:3)+H","842.59066","657.58171","4.98549305555556","5.28549305555556","12814"
"","PS(40:3)+H",0,0,"4.71984242424242","5.01984242424242","13153","","PS(40:3)+H",0,0,"4.71984242424242","5.01984242424242","13153","","PS(40:3)+H",0,0,"4.71984242424242","5.01984242424242","13153","","PS(40:3)+H",0,0,"4.71984242424242","5.01984242424242","13153","","PS(40:3)+H",0,0,"4.71984242424242","5.01984242424242","13153","","PS(40:3)+H","842.59066","657.58171","4.71984242424242","5.01984242424242","13153"
"","PS(40:3)+H",0,0,"5.70359444444444","6.00359444444444","13926","","PS(40:3)+H",0,0,"5.70359444444444","6.00359444444444","13926","","PS(40:3)+H",0,0,"5.70359444444444","6.00359444444444","13926","","PS(40:3)+H",0,0,"5.70359444444444","6.00359444444444","13926","","PS(40:3)+H",0,0,"5.70359444444444","6.00359444444444","13926","","PS(40:3)+H","842.59066","657.58171","5.70359444444444","6.00359444444444","13926"
"","PS(40:4)+H",0,0,"4.10132083333333","4.40132083333333","8692","","PS(40:4)+H",0,0,"4.10132083333333","4.40132083333333","8692","","PS(40:4)+H",0,0,"4.10132083333333","4.40132083333333","8692","","PS(40:4)+H",0,0,"4.10132083333333","4.40132083333333","8692","","PS(40:4)+H",0,0,"4.10132083333333","4.40132083333333","8692","","PS(40:4)+H","840.57496","655.56601","4.10132083333333","4.40132083333333","8692"
"","PS(42:0)+H",0,0,"4.10132638888889","4.40132638888889","3431","","PS(42:0)+H",0,0,"4.10132638888889","4.40132638888889","3431","","PS(42:0)+H",0,0,"4.10132638888889","4.40132638888889","3431","","PS(42:0)+H",0,0,"4.10132638888889","4.40132638888889","3431","","PS(42:0)+H",0,0,"4.10132638888889","4.40132638888889","3431","","PS(42:0)+H","876.66886","691.65991","4.10132638888889","4.40132638888889","3431"
"","PS(42:5)+H",0,0,"4.93215277777778","5.23215277777778","5542","","PS(42:5)+H",0,0,"4.93215277777778","5.23215277777778","5542","","PS(42:5)+H",0,0,"4.93215277777778","5.23215277777778","5542","","PS(42:5)+H",0,0,"4.93215277777778","5.23215277777778","5542","","PS(42:5)+H",0,0,"4.93215277777778","5.23215277777778","5542","","PS(42:5)+H","866.59066","681.58171","4.93215277777778","5.23215277777778","5542"
"","PS(42:5)+H",0,0,"7.67033888888889","7.97033888888889","15208","","PS(42:5)+H",0,0,"7.67033888888889","7.97033888888889","15208","","PS(42:5)+H",0,0,"7.67033888888889","7.97033888888889","15208","","PS(42:5)+H",0,0,"7.67033888888889","7.97033888888889","15208","","PS(42:5)+H",0,0,"7.67033888888889","7.97033888888889","15208","","PS(42:5)+H","866.59066","681.58171","7.67033888888889","7.97033888888889","15208"
