"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","RT at Max Intensity","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Number of Scans","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Max Intensity","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Average m/z","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment"
"","MGDG(30:0)+NH4",0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(30:0)+NH4",0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(30:0)+NH4",0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(30:0)+NH4",0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(30:0)+NH4",0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(30:0)+NH4","720.56202","541.48272","523.47215","11.9522075757576","12.2522075757576","8549"
"","MGDG(31:0)+NH4",0,0,0,"5.52323484848485","5.82323484848485","5181","","MGDG(31:0)+NH4",0,0,0,"5.52323484848485","5.82323484848485","5181","","MGDG(31:0)+NH4",0,0,0,"5.52323484848485","5.82323484848485","5181","","MGDG(31:0)+NH4",0,0,0,"5.52323484848485","5.82323484848485","5181","","MGDG(31:0)+NH4",0,0,0,"5.52323484848485","5.82323484848485","5181","","MGDG(31:0)+NH4","734.57762","555.49832","537.48775","5.52323484848485","5.82323484848485","5181"
"","MGDG(32:3)+NH4",0,0,0,"12.8643333333333","13.1643333333333","5705","","MGDG(32:3)+NH4",0,0,0,"12.8643333333333","13.1643333333333","5705","","MGDG(32:3)+NH4",0,0,0,"12.8643333333333","13.1643333333333","5705","","MGDG(32:3)+NH4",0,0,0,"12.8643333333333","13.1643333333333","5705","","MGDG(32:3)+NH4",0,0,0,"12.8643333333333","13.1643333333333","5705","","MGDG(32:3)+NH4","742.54642","563.46712","545.45655","12.8643333333333","13.1643333333333","5705"
"","MGDG(33:0)+NH4",0,0,0,"12.5810055555556","12.8810055555556","11889","","MGDG(33:0)+NH4",0,0,0,"12.5810055555556","12.8810055555556","11889","","MGDG(33:0)+NH4",0,0,0,"12.5810055555556","12.8810055555556","11889","","MGDG(33:0)+NH4",0,0,0,"12.5810055555556","12.8810055555556","11889","","MGDG(33:0)+NH4",0,0,0,"12.5810055555556","12.8810055555556","11889","","MGDG(33:0)+NH4","762.60895","583.52965","565.51908","12.5810055555556","12.8810055555556","11889"
"","MGDG(35:2)+NH4",0,0,0,"12.220646969697","12.520646969697","11458","","MGDG(35:2)+NH4",0,0,0,"12.220646969697","12.520646969697","11458","","MGDG(35:2)+NH4",0,0,0,"12.220646969697","12.520646969697","11458","","MGDG(35:2)+NH4",0,0,0,"12.220646969697","12.520646969697","11458","","MGDG(35:2)+NH4",0,0,0,"12.220646969697","12.520646969697","11458","","MGDG(35:2)+NH4","786.60895","607.52965","589.51908","12.220646969697","12.520646969697","11458"
"","MGDG(35:2)+NH4",0,0,0,"13.1226833333333","13.4226833333333","17321","","MGDG(35:2)+NH4",0,0,0,"13.1226833333333","13.4226833333333","17321","","MGDG(35:2)+NH4",0,0,0,"13.1226833333333","13.4226833333333","17321","","MGDG(35:2)+NH4",0,0,0,"13.1226833333333","13.4226833333333","17321","","MGDG(35:2)+NH4",0,0,0,"13.1226833333333","13.4226833333333","17321","","MGDG(35:2)+NH4","786.60895","607.52965","589.51908","13.1226833333333","13.4226833333333","17321"
"","MGDG(35:2)+NH4",0,0,0,"12.8501472222222","13.1501472222222","17940","","MGDG(35:2)+NH4",0,0,0,"12.8501472222222","13.1501472222222","17940","","MGDG(35:2)+NH4",0,0,0,"12.8501472222222","13.1501472222222","17940","","MGDG(35:2)+NH4",0,0,0,"12.8501472222222","13.1501472222222","17940","","MGDG(35:2)+NH4",0,0,0,"12.8501472222222","13.1501472222222","17940","","MGDG(35:2)+NH4","786.60895","607.52965","589.51908","12.8501472222222","13.1501472222222","17940"
"","MGDG(36:0)+NH4",0,0,0,"13.5621708333333","13.8621708333333","16592","","MGDG(36:0)+NH4",0,0,0,"13.5621708333333","13.8621708333333","16592","","MGDG(36:0)+NH4",0,0,0,"13.5621708333333","13.8621708333333","16592","","MGDG(36:0)+NH4",0,0,0,"13.5621708333333","13.8621708333333","16592","","MGDG(36:0)+NH4",0,0,0,"13.5621708333333","13.8621708333333","16592","","MGDG(36:0)+NH4","804.65592","625.57662","607.56605","13.5621708333333","13.8621708333333","16592"
"","MGDG(36:8)+NH4",0,0,0,"5.508375","5.808375","18526","","MGDG(36:8)+NH4",0,0,0,"5.508375","5.808375","18526","","MGDG(36:8)+NH4",0,0,0,"5.508375","5.808375","18526","","MGDG(36:8)+NH4",0,0,0,"5.508375","5.808375","18526","","MGDG(36:8)+NH4",0,0,0,"5.508375","5.808375","18526","","MGDG(36:8)+NH4","788.53072","609.45142","591.44085","5.508375","5.808375","18526"
"","MGDG(38:3)+NH4",0,0,0,"6.88099166666667","7.18099166666667","4670","","MGDG(38:3)+NH4",0,0,0,"6.88099166666667","7.18099166666667","4670","","MGDG(38:3)+NH4",0,0,0,"6.88099166666667","7.18099166666667","4670","","MGDG(38:3)+NH4",0,0,0,"6.88099166666667","7.18099166666667","4670","","MGDG(38:3)+NH4",0,0,0,"6.88099166666667","7.18099166666667","4670","","MGDG(38:3)+NH4","826.64027","647.56097","629.5504","6.88099166666667","7.18099166666667","4670"
"","MGDG(39:0)+NH4",0,0,0,"10.06605","10.36605","12983","","MGDG(39:0)+NH4",0,0,0,"10.06605","10.36605","12983","","MGDG(39:0)+NH4",0,0,0,"10.06605","10.36605","12983","","MGDG(39:0)+NH4",0,0,0,"10.06605","10.36605","12983","","MGDG(39:0)+NH4",0,0,0,"10.06605","10.36605","12983","","MGDG(39:0)+NH4","846.70289","667.62359","649.61302","10.06605","10.36605","12983"
"","MGDG(39:1)+NH4",0,0,0,"9.05934393939394","9.35934393939394","10194","","MGDG(39:1)+NH4",0,0,0,"9.05934393939394","9.35934393939394","10194","","MGDG(39:1)+NH4",0,0,0,"9.05934393939394","9.35934393939394","10194","","MGDG(39:1)+NH4",0,0,0,"9.05934393939394","9.35934393939394","10194","","MGDG(39:1)+NH4",0,0,0,"9.05934393939394","9.35934393939394","10194","","MGDG(39:1)+NH4","844.68722","665.60792","647.59735","9.05934393939394","9.35934393939394","10194"
