"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","RT at Max Intensity","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Number of Scans","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Max Intensity","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Average m/z","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment"
"","Plasmanyl-PS(36:3)+H",0,0,"4.11522916666667","4.41522916666667","8914","","Plasmanyl-PS(36:3)+H",0,0,"4.11522916666667","4.41522916666667","8914","","Plasmanyl-PS(36:3)+H",0,0,"4.11522916666667","4.41522916666667","8914","","Plasmanyl-PS(36:3)+H",0,0,"4.11522916666667","4.41522916666667","8914","","Plasmanyl-PS(36:3)+H",0,0,"4.11522916666667","4.41522916666667","8914","","Plasmanyl-PS(36:3)+H","772.54882","587.53987","4.11522916666667","4.41522916666667","8914"
"","Plasmanyl-PS(36:3)+H",0,0,"2.99686363636364","3.29686363636364","11064","","Plasmanyl-PS(36:3)+H",0,0,"2.99686363636364","3.29686363636364","11064","","Plasmanyl-PS(36:3)+H",0,0,"2.99686363636364","3.29686363636364","11064","","Plasmanyl-PS(36:3)+H",0,0,"2.99686363636364","3.29686363636364","11064","","Plasmanyl-PS(36:3)+H",0,0,"2.99686363636364","3.29686363636364","11064","","Plasmanyl-PS(36:3)+H","772.54882","587.53987","2.99686363636364","3.29686363636364","11064"
"","Plasmanyl-PS(36:3)+H",0,0,"4.55763333333333","4.85763333333333","13213","","Plasmanyl-PS(36:3)+H",0,0,"4.55763333333333","4.85763333333333","13213","","Plasmanyl-PS(36:3)+H",0,0,"4.55763333333333","4.85763333333333","13213","","Plasmanyl-PS(36:3)+H",0,0,"4.55763333333333","4.85763333333333","13213","","Plasmanyl-PS(36:3)+H",0,0,"4.55763333333333","4.85763333333333","13213","","Plasmanyl-PS(36:3)+H","772.54882","587.53987","4.55763333333333","4.85763333333333","13213"
"","Plasmanyl-PS(36:4)+H",0,0,"4.99114722222222","5.29114722222222","13206","","Plasmanyl-PS(36:4)+H",0,0,"4.99114722222222","5.29114722222222","13206","","Plasmanyl-PS(36:4)+H",0,0,"4.99114722222222","5.29114722222222","13206","","Plasmanyl-PS(36:4)+H",0,0,"4.99114722222222","5.29114722222222","13206","","Plasmanyl-PS(36:4)+H",0,0,"4.99114722222222","5.29114722222222","13206","","Plasmanyl-PS(36:4)+H","770.53312","585.52417","4.99114722222222","5.29114722222222","13206"
"","Plasmanyl-PS(37:0)+H",0,0,"9.72715151515152","10.0271515151515","18772","","Plasmanyl-PS(37:0)+H",0,0,"9.72715151515152","10.0271515151515","18772","","Plasmanyl-PS(37:0)+H",0,0,"9.72715151515152","10.0271515151515","18772","","Plasmanyl-PS(37:0)+H",0,0,"9.72715151515152","10.0271515151515","18772","","Plasmanyl-PS(37:0)+H",0,0,"9.72715151515152","10.0271515151515","18772","","Plasmanyl-PS(37:0)+H","792.61142","607.60247","9.72715151515152","10.0271515151515","18772"
"","Plasmanyl-PS(37:0)+H",0,0,"12.3258597222222","12.6258597222222","19063","","Plasmanyl-PS(37:0)+H",0,0,"12.3258597222222","12.6258597222222","19063","","Plasmanyl-PS(37:0)+H",0,0,"12.3258597222222","12.6258597222222","19063","","Plasmanyl-PS(37:0)+H",0,0,"12.3258597222222","12.6258597222222","19063","","Plasmanyl-PS(37:0)+H",0,0,"12.3258597222222","12.6258597222222","19063","","Plasmanyl-PS(37:0)+H","792.61142","607.60247","12.3258597222222","12.6258597222222","19063"
"","Plasmanyl-PS(37:2)+H",0,0,"5.73617916666667","6.03617916666667","9611","","Plasmanyl-PS(37:2)+H",0,0,"5.73617916666667","6.03617916666667","9611","","Plasmanyl-PS(37:2)+H",0,0,"5.73617916666667","6.03617916666667","9611","","Plasmanyl-PS(37:2)+H",0,0,"5.73617916666667","6.03617916666667","9611","","Plasmanyl-PS(37:2)+H",0,0,"5.73617916666667","6.03617916666667","9611","","Plasmanyl-PS(37:2)+H","788.58012","603.57117","5.73617916666667","6.03617916666667","9611"
"","Plasmanyl-PS(38:1)+H",0,0,"7.25400972222222","7.55400972222222","2607","","Plasmanyl-PS(38:1)+H",0,0,"7.25400972222222","7.55400972222222","2607","","Plasmanyl-PS(38:1)+H",0,0,"7.25400972222222","7.55400972222222","2607","","Plasmanyl-PS(38:1)+H",0,0,"7.25400972222222","7.55400972222222","2607","","Plasmanyl-PS(38:1)+H",0,0,"7.25400972222222","7.55400972222222","2607","","Plasmanyl-PS(38:1)+H","804.61142","619.60247","7.25400972222222","7.55400972222222","2607"
"","Plasmanyl-PS(38:1)+H",0,0,"7.95514305555555","8.25514305555555","18411","","Plasmanyl-PS(38:1)+H",0,0,"7.95514305555555","8.25514305555555","18411","","Plasmanyl-PS(38:1)+H",0,0,"7.95514305555555","8.25514305555555","18411","","Plasmanyl-PS(38:1)+H",0,0,"7.95514305555555","8.25514305555555","18411","","Plasmanyl-PS(38:1)+H",0,0,"7.95514305555555","8.25514305555555","18411","","Plasmanyl-PS(38:1)+H","804.61142","619.60247","7.95514305555555","8.25514305555555","18411"
"","Plasmanyl-PS(38:2)+H",0,0,"6.33237361111111","6.63237361111111","1954","","Plasmanyl-PS(38:2)+H",0,0,"6.33237361111111","6.63237361111111","1954","","Plasmanyl-PS(38:2)+H",0,0,"6.33237361111111","6.63237361111111","1954","","Plasmanyl-PS(38:2)+H",0,0,"6.33237361111111","6.63237361111111","1954","","Plasmanyl-PS(38:2)+H",0,0,"6.33237361111111","6.63237361111111","1954","","Plasmanyl-PS(38:2)+H","802.59572","617.58677","6.33237361111111","6.63237361111111","1954"
