"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-PS","[M+H]+","MH-head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-PS","[M+H]+","MH-head","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-PS","[M+H]+","MH-head","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-PS","[M+H]+","MH-head","RT_min","RT_max","Comment","Average m/z","Plasmenyl-PS","[M+H]+","MH-head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-PS","[M+H]+","MH-head","RT_min","RT_max","Comment"
"","Plasmenyl-PS(34:3)+H",0,0,"1.8882875","2.1882875","8974","","Plasmenyl-PS(34:3)+H",0,0,"1.8882875","2.1882875","8974","","Plasmenyl-PS(34:3)+H",0,0,"1.8882875","2.1882875","8974","","Plasmenyl-PS(34:3)+H",0,0,"1.8882875","2.1882875","8974","","Plasmenyl-PS(34:3)+H",0,0,"1.8882875","2.1882875","8974","","Plasmenyl-PS(34:3)+H","742.50183","557.49288","1.8882875","2.1882875","8974"
"","Plasmenyl-PS(34:4)+H",0,0,"1.79171805555556","2.09171805555556","6656","","Plasmenyl-PS(34:4)+H",0,0,"1.79171805555556","2.09171805555556","6656","","Plasmenyl-PS(34:4)+H",0,0,"1.79171805555556","2.09171805555556","6656","","Plasmenyl-PS(34:4)+H",0,0,"1.79171805555556","2.09171805555556","6656","","Plasmenyl-PS(34:4)+H",0,0,"1.79171805555556","2.09171805555556","6656","","Plasmenyl-PS(34:4)+H","740.48613","555.47718","1.79171805555556","2.09171805555556","6656"
"","Plasmenyl-PS(34:4)+H",0,0,"1.53285972222222","1.83285972222222","19185","","Plasmenyl-PS(34:4)+H",0,0,"1.53285972222222","1.83285972222222","19185","","Plasmenyl-PS(34:4)+H",0,0,"1.53285972222222","1.83285972222222","19185","","Plasmenyl-PS(34:4)+H",0,0,"1.53285972222222","1.83285972222222","19185","","Plasmenyl-PS(34:4)+H",0,0,"1.53285972222222","1.83285972222222","19185","","Plasmenyl-PS(34:4)+H","740.48613","555.47718","1.53285972222222","1.83285972222222","19185"
"","Plasmenyl-PS(35:0)+H",0,0,"5.44271805555556","5.74271805555556","3919","","Plasmenyl-PS(35:0)+H",0,0,"5.44271805555556","5.74271805555556","3919","","Plasmenyl-PS(35:0)+H",0,0,"5.44271805555556","5.74271805555556","3919","","Plasmenyl-PS(35:0)+H",0,0,"5.44271805555556","5.74271805555556","3919","","Plasmenyl-PS(35:0)+H",0,0,"5.44271805555556","5.74271805555556","3919","","Plasmenyl-PS(35:0)+H","762.56443","577.55548","5.44271805555556","5.74271805555556","3919"
"","Plasmenyl-PS(36:0)+H",1,0,"6.06026805555555","6.36026805555555","551","","Plasmenyl-PS(36:0)+H",6.225476,0,"6.06026805555555","6.36026805555555","551","","Plasmenyl-PS(36:0)+H",1,0,"6.06026805555555","6.36026805555555","551","","Plasmenyl-PS(36:0)+H",463349.5,0,"6.06026805555555","6.36026805555555","551","","Plasmenyl-PS(36:0)+H",776.5809,0,"6.06026805555555","6.36026805555555","551","","Plasmenyl-PS(36:0)+H","776.58003","591.57108","6.06026805555555","6.36026805555555","551"
"","Plasmenyl-PS(36:0)+H",1,0,"3.8481","4.1481","7330","","Plasmenyl-PS(36:0)+H",4.055396,0,"3.8481","4.1481","7330","","Plasmenyl-PS(36:0)+H",1,0,"3.8481","4.1481","7330","","Plasmenyl-PS(36:0)+H",1151.403,0,"3.8481","4.1481","7330","","Plasmenyl-PS(36:0)+H",776.5801,0,"3.8481","4.1481","7330","","Plasmenyl-PS(36:0)+H","776.58003","591.57108","3.8481","4.1481","7330"
"","Plasmenyl-PS(36:0)+H",0,0,"4.86781666666667","5.16781666666667","13186","","Plasmenyl-PS(36:0)+H",0,0,"4.86781666666667","5.16781666666667","13186","","Plasmenyl-PS(36:0)+H",0,0,"4.86781666666667","5.16781666666667","13186","","Plasmenyl-PS(36:0)+H",0,0,"4.86781666666667","5.16781666666667","13186","","Plasmenyl-PS(36:0)+H",0,0,"4.86781666666667","5.16781666666667","13186","","Plasmenyl-PS(36:0)+H","776.58003","591.57108","4.86781666666667","5.16781666666667","13186"
"","Plasmenyl-PS(36:1)+H",1,0,"5.07425277777778","5.37425277777778","330","","Plasmenyl-PS(36:1)+H",5.172553,0,"5.07425277777778","5.37425277777778","330","","Plasmenyl-PS(36:1)+H",2,0,"5.07425277777778","5.37425277777778","330","","Plasmenyl-PS(36:1)+H",494380.4,0,"5.07425277777778","5.37425277777778","330","","Plasmenyl-PS(36:1)+H",774.5666,0,"5.07425277777778","5.37425277777778","330","","Plasmenyl-PS(36:1)+H","774.56443","589.55548","5.07425277777778","5.37425277777778","330"
"","Plasmenyl-PS(36:1)+H",0,0,"3.15768333333333","3.45768333333333","3664","","Plasmenyl-PS(36:1)+H",0,0,"3.15768333333333","3.45768333333333","3664","","Plasmenyl-PS(36:1)+H",0,0,"3.15768333333333","3.45768333333333","3664","","Plasmenyl-PS(36:1)+H",0,0,"3.15768333333333","3.45768333333333","3664","","Plasmenyl-PS(36:1)+H",0,0,"3.15768333333333","3.45768333333333","3664","","Plasmenyl-PS(36:1)+H","774.56443","589.55548","3.15768333333333","3.45768333333333","3664"
"","Plasmenyl-PS(36:1)+H",0,0,"2.97523055555556","3.27523055555556","11461","","Plasmenyl-PS(36:1)+H",0,0,"2.97523055555556","3.27523055555556","11461","","Plasmenyl-PS(36:1)+H",0,0,"2.97523055555556","3.27523055555556","11461","","Plasmenyl-PS(36:1)+H",0,0,"2.97523055555556","3.27523055555556","11461","","Plasmenyl-PS(36:1)+H",0,0,"2.97523055555556","3.27523055555556","11461","","Plasmenyl-PS(36:1)+H","774.56443","589.55548","2.97523055555556","3.27523055555556","11461"
