"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","RT at Max Intensity","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Number of Scans","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Max Intensity","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Average m/z","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment"
"","OxPE(20:3(KeO))+H",0,0,0,"12.3069055555556","12.6069055555556","12626","","OxPE(20:3(KeO))+H",0,0,0,"12.3069055555556","12.6069055555556","12626","","OxPE(20:3(KeO))+H",0,0,0,"12.3069055555556","12.6069055555556","12626","","OxPE(20:3(KeO))+H",0,0,0,"12.3069055555556","12.6069055555556","12626","","OxPE(20:3(KeO))+H",0,0,0,"12.3069055555556","12.6069055555556","12626","","OxPE(20:3(KeO))+H","548.26196","407.24285","142.02639","12.3069055555556","12.6069055555556","12626"
"","OxPE(20:3(KeO))+H",0,0,0,"16.5243696969697","16.8243696969697","17330","","OxPE(20:3(KeO))+H",0,0,0,"16.5243696969697","16.8243696969697","17330","","OxPE(20:3(KeO))+H",0,0,0,"16.5243696969697","16.8243696969697","17330","","OxPE(20:3(KeO))+H",0,0,0,"16.5243696969697","16.8243696969697","17330","","OxPE(20:3(KeO))+H",0,0,0,"16.5243696969697","16.8243696969697","17330","","OxPE(20:3(KeO))+H","548.26196","407.24285","142.02639","16.5243696969697","16.8243696969697","17330"
"","OxPE(21:0(KeO))+H",0,0,0,"0.335309090909091","0.635309090909091","9300","","OxPE(21:0(KeO))+H",0,0,0,"0.335309090909091","0.635309090909091","9300","","OxPE(21:0(KeO))+H",0,0,0,"0.335309090909091","0.635309090909091","9300","","OxPE(21:0(KeO))+H",0,0,0,"0.335309090909091","0.635309090909091","9300","","OxPE(21:0(KeO))+H",0,0,0,"0.335309090909091","0.635309090909091","9300","","OxPE(21:0(KeO))+H","568.32455","427.30544","142.02639","0.335309090909091","0.635309090909091","9300"
"","OxPE(21:1(KeKe))+H",1,0,0,"9.09676666666667","9.39676666666667","9238","","OxPE(21:1(KeKe))+H",9.352756,0,0,"9.09676666666667","9.39676666666667","9238","","OxPE(21:1(KeKe))+H",2,0,0,"9.09676666666667","9.39676666666667","9238","","OxPE(21:1(KeKe))+H",34486.81,0,0,"9.09676666666667","9.39676666666667","9238","","OxPE(21:1(KeKe))+H",564.2915,0,0,"9.09676666666667","9.39676666666667","9238","","OxPE(21:1(KeKe))+H","564.29327","423.27416","142.02639","9.09676666666667","9.39676666666667","9238"
"","OxPE(21:2(KeKe))+H",0,0,0,"15.4731791666667","15.7731791666667","6171","","OxPE(21:2(KeKe))+H",0,0,0,"15.4731791666667","15.7731791666667","6171","","OxPE(21:2(KeKe))+H",0,0,0,"15.4731791666667","15.7731791666667","6171","","OxPE(21:2(KeKe))+H",0,0,0,"15.4731791666667","15.7731791666667","6171","","OxPE(21:2(KeKe))+H",0,0,0,"15.4731791666667","15.7731791666667","6171","","OxPE(21:2(KeKe))+H","562.27763","421.25852","142.02639","15.4731791666667","15.7731791666667","6171"
"","OxPE(21:2(KeKe))+H",0,0,0,"12.1167712121212","12.4167712121212","12381","","OxPE(21:2(KeKe))+H",0,0,0,"12.1167712121212","12.4167712121212","12381","","OxPE(21:2(KeKe))+H",0,0,0,"12.1167712121212","12.4167712121212","12381","","OxPE(21:2(KeKe))+H",0,0,0,"12.1167712121212","12.4167712121212","12381","","OxPE(21:2(KeKe))+H",0,0,0,"12.1167712121212","12.4167712121212","12381","","OxPE(21:2(KeKe))+H","562.27763","421.25852","142.02639","12.1167712121212","12.4167712121212","12381"
"","OxPE(21:2(KeKe))+H",0,0,0,"12.2081416666667","12.5081416666667","13896","","OxPE(21:2(KeKe))+H",0,0,0,"12.2081416666667","12.5081416666667","13896","","OxPE(21:2(KeKe))+H",0,0,0,"12.2081416666667","12.5081416666667","13896","","OxPE(21:2(KeKe))+H",0,0,0,"12.2081416666667","12.5081416666667","13896","","OxPE(21:2(KeKe))+H",0,0,0,"12.2081416666667","12.5081416666667","13896","","OxPE(21:2(KeKe))+H","562.27763","421.25852","142.02639","12.2081416666667","12.5081416666667","13896"
"","OxPE(21:2(OKe))+H",1,0,0,"9.09676666666667","9.39676666666667","9238","","OxPE(21:2(OKe))+H",9.352756,0,0,"9.09676666666667","9.39676666666667","9238","","OxPE(21:2(OKe))+H",2,0,0,"9.09676666666667","9.39676666666667","9238","","OxPE(21:2(OKe))+H",34486.81,0,0,"9.09676666666667","9.39676666666667","9238","","OxPE(21:2(OKe))+H",564.2915,0,0,"9.09676666666667","9.39676666666667","9238","","OxPE(21:2(OKe))+H","564.29325","423.27414","142.02639","9.09676666666667","9.39676666666667","9238"
"","OxPE(21:3(KeO))+H",0,0,0,"15.4731791666667","15.7731791666667","6171","","OxPE(21:3(KeO))+H",0,0,0,"15.4731791666667","15.7731791666667","6171","","OxPE(21:3(KeO))+H",0,0,0,"15.4731791666667","15.7731791666667","6171","","OxPE(21:3(KeO))+H",0,0,0,"15.4731791666667","15.7731791666667","6171","","OxPE(21:3(KeO))+H",0,0,0,"15.4731791666667","15.7731791666667","6171","","OxPE(21:3(KeO))+H","562.27761","421.2585","142.02639","15.4731791666667","15.7731791666667","6171"
"","OxPE(21:3(KeO))+H",0,0,0,"12.1167712121212","12.4167712121212","12381","","OxPE(21:3(KeO))+H",0,0,0,"12.1167712121212","12.4167712121212","12381","","OxPE(21:3(KeO))+H",0,0,0,"12.1167712121212","12.4167712121212","12381","","OxPE(21:3(KeO))+H",0,0,0,"12.1167712121212","12.4167712121212","12381","","OxPE(21:3(KeO))+H",0,0,0,"12.1167712121212","12.4167712121212","12381","","OxPE(21:3(KeO))+H","562.27761","421.2585","142.02639","12.1167712121212","12.4167712121212","12381"
