"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","RT at Max Intensity","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Number of Scans","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Max Intensity","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Average m/z","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment"
"","PE(34:2)+H",0,0,0,"4.85825416666667","5.15825416666667","1348","","PE(34:2)+H",0,0,0,"4.85825416666667","5.15825416666667","1348","","PE(34:2)+H",0,0,0,"4.85825416666667","5.15825416666667","1348","","PE(34:2)+H",0,0,0,"4.85825416666667","5.15825416666667","1348","","PE(34:2)+H",0,0,0,"4.85825416666667","5.15825416666667","1348","","PE(34:2)+H","716.52248","575.50337","142.02639","4.85825416666667","5.15825416666667","1348"
"","PE(34:2)+H",0,0,0,"11.5475638888889","11.8475638888889","2103","","PE(34:2)+H",0,0,0,"11.5475638888889","11.8475638888889","2103","","PE(34:2)+H",0,0,0,"11.5475638888889","11.8475638888889","2103","","PE(34:2)+H",0,0,0,"11.5475638888889","11.8475638888889","2103","","PE(34:2)+H",0,0,0,"11.5475638888889","11.8475638888889","2103","","PE(34:2)+H","716.52248","575.50337","142.02639","11.5475638888889","11.8475638888889","2103"
"","PE(34:2)+H",0,0,0,"12.8125305555556","13.1125305555556","4408","","PE(34:2)+H",0,0,0,"12.8125305555556","13.1125305555556","4408","","PE(34:2)+H",0,0,0,"12.8125305555556","13.1125305555556","4408","","PE(34:2)+H",0,0,0,"12.8125305555556","13.1125305555556","4408","","PE(34:2)+H",0,0,0,"12.8125305555556","13.1125305555556","4408","","PE(34:2)+H","716.52248","575.50337","142.02639","12.8125305555556","13.1125305555556","4408"
"","PE(34:3)+H",0,0,0,"5.54374861111111","5.84374861111111","6823","","PE(34:3)+H",0,0,0,"5.54374861111111","5.84374861111111","6823","","PE(34:3)+H",0,0,0,"5.54374861111111","5.84374861111111","6823","","PE(34:3)+H",0,0,0,"5.54374861111111","5.84374861111111","6823","","PE(34:3)+H",0,0,0,"5.54374861111111","5.84374861111111","6823","","PE(34:3)+H","714.50688","573.48777","142.02639","5.54374861111111","5.84374861111111","6823"
"","PE(34:3)+H",0,0,0,"11.6431458333333","11.9431458333333","8174","","PE(34:3)+H",0,0,0,"11.6431458333333","11.9431458333333","8174","","PE(34:3)+H",0,0,0,"11.6431458333333","11.9431458333333","8174","","PE(34:3)+H",0,0,0,"11.6431458333333","11.9431458333333","8174","","PE(34:3)+H",0,0,0,"11.6431458333333","11.9431458333333","8174","","PE(34:3)+H","714.50688","573.48777","142.02639","11.6431458333333","11.9431458333333","8174"
"","PE(34:3)+H",0,0,0,"5.81705138888889","6.11705138888889","9458","","PE(34:3)+H",0,0,0,"5.81705138888889","6.11705138888889","9458","","PE(34:3)+H",0,0,0,"5.81705138888889","6.11705138888889","9458","","PE(34:3)+H",0,0,0,"5.81705138888889","6.11705138888889","9458","","PE(34:3)+H",0,0,0,"5.81705138888889","6.11705138888889","9458","","PE(34:3)+H","714.50688","573.48777","142.02639","5.81705138888889","6.11705138888889","9458"
"","PE(34:3)+H",0,0,0,"6.02467083333333","6.32467083333333","19066","","PE(34:3)+H",0,0,0,"6.02467083333333","6.32467083333333","19066","","PE(34:3)+H",0,0,0,"6.02467083333333","6.32467083333333","19066","","PE(34:3)+H",0,0,0,"6.02467083333333","6.32467083333333","19066","","PE(34:3)+H",0,0,0,"6.02467083333333","6.32467083333333","19066","","PE(34:3)+H","714.50688","573.48777","142.02639","6.02467083333333","6.32467083333333","19066"
"","PE(34:4)+H",0,0,0,"11.34785","11.64785","4546","","PE(34:4)+H",0,0,0,"11.34785","11.64785","4546","","PE(34:4)+H",0,0,0,"11.34785","11.64785","4546","","PE(34:4)+H",0,0,0,"11.34785","11.64785","4546","","PE(34:4)+H",0,0,0,"11.34785","11.64785","4546","","PE(34:4)+H","712.49118","571.47207","142.02639","11.34785","11.64785","4546"
"","PE(34:4)+H",0,0,0,"10.6121015151515","10.9121015151515","7992","","PE(34:4)+H",0,0,0,"10.6121015151515","10.9121015151515","7992","","PE(34:4)+H",0,0,0,"10.6121015151515","10.9121015151515","7992","","PE(34:4)+H",0,0,0,"10.6121015151515","10.9121015151515","7992","","PE(34:4)+H",0,0,0,"10.6121015151515","10.9121015151515","7992","","PE(34:4)+H","712.49118","571.47207","142.02639","10.6121015151515","10.9121015151515","7992"
"","PE(34:5)+H",0,0,0,"4.09470606060606","4.39470606060606","12595","","PE(34:5)+H",0,0,0,"4.09470606060606","4.39470606060606","12595","","PE(34:5)+H",0,0,0,"4.09470606060606","4.39470606060606","12595","","PE(34:5)+H",0,0,0,"4.09470606060606","4.39470606060606","12595","","PE(34:5)+H",0,0,0,"4.09470606060606","4.39470606060606","12595","","PE(34:5)+H","710.47558","569.45647","142.02639","4.09470606060606","4.39470606060606","12595"
"","PE(35:0)+H",1,0,0,"7.24374583333333","7.54374583333333","75","","PE(35:0)+H",7.444524,0,0,"7.24374583333333","7.54374583333333","75","","PE(35:0)+H",2,0,0,"7.24374583333333","7.54374583333333","75","","PE(35:0)+H",3586960,0,0,"7.24374583333333","7.54374583333333","75","","PE(35:0)+H",734.5693,0,0,"7.24374583333333","7.54374583333333","75","","PE(35:0)+H","734.56948","593.55037","142.02639","7.24374583333333","7.54374583333333","75"
"","PE(35:0)+H",0,0,0,"5.52323484848485","5.82323484848485","5181","","PE(35:0)+H",0,0,0,"5.52323484848485","5.82323484848485","5181","","PE(35:0)+H",0,0,0,"5.52323484848485","5.82323484848485","5181","","PE(35:0)+H",0,0,0,"5.52323484848485","5.82323484848485","5181","","PE(35:0)+H",0,0,0,"5.52323484848485","5.82323484848485","5181","","PE(35:0)+H","734.56948","593.55037","142.02639","5.52323484848485","5.82323484848485","5181"
"","PE(35:0)+H",0,0,0,"9.16413611111111","9.46413611111111","5965","","PE(35:0)+H",0,0,0,"9.16413611111111","9.46413611111111","5965","","PE(35:0)+H",0,0,0,"9.16413611111111","9.46413611111111","5965","","PE(35:0)+H",0,0,0,"9.16413611111111","9.46413611111111","5965","","PE(35:0)+H",0,0,0,"9.16413611111111","9.46413611111111","5965","","PE(35:0)+H","734.56948","593.55037","142.02639","9.16413611111111","9.46413611111111","5965"
"","PE(35:0)+H",1,0,0,"7.05414444444444","7.35414444444444","9118","","PE(35:0)+H",7.332081,0,0,"7.05414444444444","7.35414444444444","9118","","PE(35:0)+H",1,0,0,"7.05414444444444","7.35414444444444","9118","","PE(35:0)+H",1701472,0,0,"7.05414444444444","7.35414444444444","9118","","PE(35:0)+H",734.5693,0,0,"7.05414444444444","7.35414444444444","9118","","PE(35:0)+H","734.56948","593.55037","142.02639","7.05414444444444","7.35414444444444","9118"
"","PE(35:0)+H",1,0,0,"7.05408472222222","7.35408472222222","12681","","PE(35:0)+H",7.332081,0,0,"7.05408472222222","7.35408472222222","12681","","PE(35:0)+H",1,0,0,"7.05408472222222","7.35408472222222","12681","","PE(35:0)+H",1701472,0,0,"7.05408472222222","7.35408472222222","12681","","PE(35:0)+H",734.5693,0,0,"7.05408472222222","7.35408472222222","12681","","PE(35:0)+H","734.56948","593.55037","142.02639","7.05408472222222","7.35408472222222","12681"
"","PE(35:0)+H",0,0,0,"6.77939583333333","7.07939583333333","18813","","PE(35:0)+H",0,0,0,"6.77939583333333","7.07939583333333","18813","","PE(35:0)+H",0,0,0,"6.77939583333333","7.07939583333333","18813","","PE(35:0)+H",0,0,0,"6.77939583333333","7.07939583333333","18813","","PE(35:0)+H",0,0,0,"6.77939583333333","7.07939583333333","18813","","PE(35:0)+H","734.56948","593.55037","142.02639","6.77939583333333","7.07939583333333","18813"
"","PE(35:1)+H",1,0,0,"6.12905972222222","6.42905972222222","86","","PE(35:1)+H",6.312529,0,0,"6.12905972222222","6.42905972222222","86","","PE(35:1)+H",2,0,0,"6.12905972222222","6.42905972222222","86","","PE(35:1)+H",3831567,0,0,"6.12905972222222","6.42905972222222","86","","PE(35:1)+H",732.5542,0,0,"6.12905972222222","6.42905972222222","86","","PE(35:1)+H","732.55388","591.53477","142.02639","6.12905972222222","6.42905972222222","86"
"","PE(35:1)+H",1,0,0,"6.504625","6.804625","1076","","PE(35:1)+H",6.566255,0,0,"6.504625","6.804625","1076","","PE(35:1)+H",2,0,0,"6.504625","6.804625","1076","","PE(35:1)+H",130463.9,0,0,"6.504625","6.804625","1076","","PE(35:1)+H",732.55515,0,0,"6.504625","6.804625","1076","","PE(35:1)+H","732.55388","591.53477","142.02639","6.504625","6.804625","1076"
