OxPE,[M+Na]+,PreCursor -43,PreCursor -141,M+Na-43-SN1-H acyl loss,M+Na-43-SN2-H acyl loss,phosphoethanolamine+Na
OxPE(10:0_19:5(COOH))+Na,692.3534478,649.3112478,551.3343535,477.1650478,331.1282578,164.00888
OxPE(10:0_3:0(CHO))+Na,462.1863678,419.1441678,321.1672735,246.9979678,331.1282578,164.00888
OxPE(10:0_4:0(CHO))+Na,476.2020178,433.1598178,335.1829235,261.0136178,331.1282578,164.00888
OxPE(12:0_5:0(CHO))+Na,518.2489678,475.2067678,377.2298735,275.0292678,359.1595578,164.00888
OxPE(12:0_6:0(CHO))+Na,532.2646178,489.2224178,391.2455235,289.0449178,359.1595578,164.00888
OxPE(12:0_7:0(CHO))+Na,546.2802678,503.2380678,405.2611735,303.0605678,359.1595578,164.00888
OxPE(12:0_8:0(CHO))+Na,560.2959178,517.2537178,419.2768235,317.0762178,359.1595578,164.00888
OxPE(12:0_9:0(CHO))+Na,574.3115678,531.2693678,433.2924735,331.0918678,359.1595578,164.00888
OxPE(12:0_10:0(CHO))+Na,588.3272178,545.2850178,447.3081235,345.1075178,359.1595578,164.00888
OxPE(12:0_11:0(CHO))+Na,602.3428678,559.3006678,461.3237735,359.1231678,359.1595578,164.00888
OxPE(12:0_12:0(CHO))+Na,616.3585178,573.3163178,475.3394235,373.1388178,359.1595578,164.00888
OxPE(12:0_13:0(CHO))+Na,630.3741678,587.3319678,489.3550735,387.1544678,359.1595578,164.00888
OxPE(12:0_14:0(CHO))+Na,644.3898178,601.3476178,503.3707235,401.1701178,359.1595578,164.00888
OxPE(12:0_15:0(CHO))+Na,658.4054678,615.3632678,517.3863735,415.1857678,359.1595578,164.00888
OxPE(12:0_6:1(CHO))+Na,530.2489778,487.2067778,389.2298835,287.0292778,359.1595578,164.00888
OxPE(12:0_7:1(CHO))+Na,544.2646278,501.2224278,403.2455335,301.0449278,359.1595578,164.00888
OxPE(12:0_8:1(CHO))+Na,558.2802778,515.2380778,417.2611835,315.0605778,359.1595578,164.00888
OxPE(12:0_9:1(CHO))+Na,572.2959278,529.2537278,431.2768335,329.0762278,359.1595578,164.00888
OxPE(12:0_9:2(CHO))+Na,570.2802778,527.2380778,429.2611835,327.0605778,359.1595578,164.00888
OxPE(12:0_10:1(CHO))+Na,586.3115778,543.2693778,445.2924835,343.0918778,359.1595578,164.00888
OxPE(12:0_10:2(CHO))+Na,584.2959278,541.2537278,443.2768335,341.0762278,359.1595578,164.00888
OxPE(12:0_11:1(CHO))+Na,600.3272278,557.2850278,459.3081335,357.1075278,359.1595578,164.00888
OxPE(12:0_11:2(CHO))+Na,598.3115778,555.2693778,457.2924835,355.0918778,359.1595578,164.00888
OxPE(12:0_12:1(CHO))+Na,614.3428778,571.3006778,473.3237835,371.1231778,359.1595578,164.00888
OxPE(12:0_12:2(CHO))+Na,612.3272278,569.2850278,471.3081335,369.1075278,359.1595578,164.00888
OxPE(12:0_12:3(CHO))+Na,610.3115778,567.2693778,469.2924835,367.0918778,359.1595578,164.00888
OxPE(12:0_13:1(CHO))+Na,628.3585278,585.3163278,487.3394335,385.1388278,359.1595578,164.00888
OxPE(12:0_13:2(CHO))+Na,626.3428778,583.3006778,485.3237835,383.1231778,359.1595578,164.00888
OxPE(12:0_13:3(CHO))+Na,624.3272278,581.2850278,483.3081335,381.1075278,359.1595578,164.00888
OxPE(12:0_14:1(CHO))+Na,642.3741778,599.3319778,501.3550835,399.1544778,359.1595578,164.00888
OxPE(12:0_14:2(CHO))+Na,640.3585278,597.3163278,499.3394335,397.1388278,359.1595578,164.00888
OxPE(12:0_14:3(CHO))+Na,638.3428778,595.3006778,497.3237835,395.1231778,359.1595578,164.00888
OxPE(12:0_15:1(CHO))+Na,656.3898278,613.3476278,515.3707335,413.1701278,359.1595578,164.00888
OxPE(12:0_15:2(CHO))+Na,654.3741778,611.3319778,513.3550835,411.1544778,359.1595578,164.00888
OxPE(12:0_15:3(CHO))+Na,652.3585278,609.3163278,511.3394335,409.1388278,359.1595578,164.00888
OxPE(12:0_15:4(CHO))+Na,650.3428778,607.3006778,509.3237835,407.1231778,359.1595578,164.00888
OxPE(12:0_16:1(CHO))+Na,670.4054778,627.3632778,529.3863835,427.1857778,359.1595578,164.00888
OxPE(12:0_16:2(CHO))+Na,668.3898278,625.3476278,527.3707335,425.1701278,359.1595578,164.00888
OxPE(12:0_16:3(CHO))+Na,666.3741778,623.3319778,525.3550835,423.1544778,359.1595578,164.00888
OxPE(12:0_16:4(CHO))+Na,664.3585278,621.3163278,523.3394335,421.1388278,359.1595578,164.00888
OxPE(12:0_17:4(CHO))+Na,678.3741778,635.3319778,537.3550835,435.1544778,359.1595578,164.00888
OxPE(12:0_18:4(CHO))+Na,692.3898278,649.3476278,551.3707335,449.1701278,359.1595578,164.00888
OxPE(12:0_18:5(CHO))+Na,690.3741778,647.3319778,549.3550835,447.1544778,359.1595578,164.00888
OxPE(12:0_19:4(CHO))+Na,706.4054778,663.3632778,565.3863835,463.1857778,359.1595578,164.00888
OxPE(12:0_19:5(CHO))+Na,704.3898278,661.3476278,563.3707335,461.1701278,359.1595578,164.00888
OxPE(12:0_3:0(COOH))+Na,506.2125878,463.1703878,365.1934935,262.9928878,359.1595578,164.00888
OxPE(12:0_4:0(COOH))+Na,520.2282378,477.1860378,379.2091435,277.0085378,359.1595578,164.00888
OxPE(12:0_5:0(COOH))+Na,534.2438878,491.2016878,393.2247935,291.0241878,359.1595578,164.00888
OxPE(12:0_6:0(COOH))+Na,548.2595378,505.2173378,407.2404435,305.0398378,359.1595578,164.00888
OxPE(12:0_7:0(COOH))+Na,562.2751878,519.2329878,421.2560935,319.0554878,359.1595578,164.00888
OxPE(12:0_8:0(COOH))+Na,576.2908378,533.2486378,435.2717435,333.0711378,359.1595578,164.00888
OxPE(12:0_9:0(COOH))+Na,590.3064878,547.2642878,449.2873935,347.0867878,359.1595578,164.00888
OxPE(12:0_10:0(COOH))+Na,604.3221378,561.2799378,463.3030435,361.1024378,359.1595578,164.00888
OxPE(12:0_11:0(COOH))+Na,618.3377878,575.2955878,477.3186935,375.1180878,359.1595578,164.00888
OxPE(12:0_12:0(COOH))+Na,632.3534378,589.3112378,491.3343435,389.1337378,359.1595578,164.00888
OxPE(12:0_13:0(COOH))+Na,646.3690878,603.3268878,505.3499935,403.1493878,359.1595578,164.00888
OxPE(12:0_14:0(COOH))+Na,660.3847378,617.3425378,519.3656435,417.1650378,359.1595578,164.00888
OxPE(12:0_15:0(COOH))+Na,674.4003878,631.3581878,533.3812935,431.1806878,359.1595578,164.00888
OxPE(12:0_6:1(COOH))+Na,546.2438978,503.2016978,405.2248035,303.0241978,359.1595578,164.00888
OxPE(12:0_7:1(COOH))+Na,560.2595478,517.2173478,419.2404535,317.0398478,359.1595578,164.00888
OxPE(12:0_8:1(COOH))+Na,574.2751978,531.2329978,433.2561035,331.0554978,359.1595578,164.00888
OxPE(12:0_9:1(COOH))+Na,588.2908478,545.2486478,447.2717535,345.0711478,359.1595578,164.00888
OxPE(12:0_9:2(COOH))+Na,586.2751978,543.2329978,445.2561035,343.0554978,359.1595578,164.00888
OxPE(12:0_10:1(COOH))+Na,602.3064978,559.2642978,461.2874035,359.0867978,359.1595578,164.00888
OxPE(12:0_10:2(COOH))+Na,600.2908478,557.2486478,459.2717535,357.0711478,359.1595578,164.00888
OxPE(12:0_11:1(COOH))+Na,616.3221478,573.2799478,475.3030535,373.1024478,359.1595578,164.00888
OxPE(12:0_11:2(COOH))+Na,614.3064978,571.2642978,473.2874035,371.0867978,359.1595578,164.00888
