HexCer-NS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
HexCer-NS(d14:2/33:1)+H,878.7449,716.6921,698.6815,680.6709,224.2009,206.1903,492.5139,194.1903
HexCer-NS(d14:2/34:0)+H,894.7762,732.7234,714.7128,696.7022,224.2009,206.1903,508.5452,194.1903
HexCer-NS(d14:2/34:1)+H,892.7606,730.7077,712.6971,694.6866,224.2009,206.1903,506.5295,194.1903
HexCer-NS(d14:2/34:2)+H,890.7449,728.6921,710.6815,692.6709,224.2009,206.1903,504.5139,194.1903
HexCer-NS(d14:2/35:0)+H,908.7919,746.739,728.7285,710.7179,224.2009,206.1903,522.5609,194.1903
HexCer-NS(d14:2/35:1)+H,906.7762,744.7234,726.7128,708.7022,224.2009,206.1903,520.5452,194.1903
HexCer-NS(d14:2/36:0)+H,922.8075,760.7546,742.7441,724.7335,224.2009,206.1903,536.5765,194.1903
HexCer-NS(d14:2/36:1)+H,920.7919,758.739,740.7285,722.7179,224.2009,206.1903,534.5609,194.1903
HexCer-NS(d14:2/36:2)+H,918.7762,756.7234,738.7128,720.7022,224.2009,206.1903,532.5452,194.1903
HexCer-NS(d14:2/38:0)+H,950.8388,788.7859,770.7754,752.7648,224.2009,206.1903,564.6078,194.1903
HexCer-NS(d14:2/38:1)+H,948.8231,786.7703,768.7598,750.7491,224.2009,206.1903,562.5922,194.1903
HexCer-NS(d14:2/38:2)+H,946.8075,784.7546,766.7441,748.7335,224.2009,206.1903,560.5765,194.1903
HexCer-NS(d14:2/40:0)+H,978.8701,816.8173,798.8067,780.7961,224.2009,206.1903,592.6391,194.1903
HexCer-NS(d14:2/40:1)+H,976.8544,814.8016,796.791,778.7805,224.2009,206.1903,590.6235,194.1903
HexCer-NS(d14:2/40:2)+H,974.8388,812.7859,794.7754,776.7648,224.2009,206.1903,588.6078,194.1903
HexCer-NS(d14:2/42:0)+H,1006.901,844.8486,826.838,808.8274,224.2009,206.1903,620.6704,194.1903
HexCer-NS(d14:2/42:1)+H,1004.886,842.8329,824.8223,806.8118,224.2009,206.1903,618.6547,194.1903
HexCer-NS(d14:2/42:2)+H,1002.87,840.8173,822.8067,804.7961,224.2009,206.1903,616.6391,194.1903
