CL,[M-2H]2-,Prec-SN1_monolyso2-,Prec-SN1+SN2_dilyso2-,Prec-SN3_monolyso2-,Prec-SN3+SN4_dilyso2-,SN1+C3H6PO4,SN2+C3H6PO4,SN3+C3H6PO4,SN4+C3H6PO4,SN1_FA,SN2_FA,SN3_FA,SN4_FA
CL(14:0_14:0_22:0_22:5)-2H,726.5023182,621.4037482,516.3046282,565.3411882,409.2186082,363.19408,363.19408,475.3192,465.241,227.20153,227.20153,339.32665,329.24845
CL(14:0_14:0_22:0_22:6)-2H,725.4944931,620.3959231,515.2968031,564.3333631,409.2186031,363.19408,363.19408,475.3192,463.22536,227.20153,227.20153,339.32665,327.23281
CL(14:0_14:0_22:5_22:5)-2H,721.463193,616.364623,511.265503,565.341163,409.218583,363.19408,363.19408,465.241,465.241,227.20153,227.20153,329.24845,329.24845
CL(14:0_14:0_22:5_22:6)-2H,720.455368,615.356798,510.257678,564.333338,409.218578,363.19408,363.19408,465.241,463.22536,227.20153,227.20153,329.24845,327.23281
CL(14:0_14:0_22:6_22:6)-2H,719.4475429,614.3489729,509.2498529,564.3333329,409.2185729,363.19408,363.19408,463.22536,463.22536,227.20153,227.20153,327.23281,327.23281
CL(14:0_16:0_16:0_16:0)-2H,661.463193,556.364623,437.249863,542.348983,423.234223,363.19408,391.22536,391.22536,391.22536,227.20153,255.23281,255.23281,255.23281
CL(14:0_16:0_16:0_16:1)-2H,660.455368,555.356798,436.242038,541.341158,423.234218,363.19408,391.22536,391.22536,389.20972,227.20153,255.23281,255.23281,253.21717
CL(14:0_16:0_16:0_18:0)-2H,675.4788431,570.3802731,451.2655131,556.3646331,423.2342331,363.19408,391.22536,391.22536,419.25664,227.20153,255.23281,255.23281,283.26409
CL(14:0_16:0_16:0_18:1)-2H,674.471018,569.372448,450.257688,555.356808,423.234228,363.19408,391.22536,391.22536,417.241,227.20153,255.23281,255.23281,281.24845
CL(14:0_16:0_16:0_18:2)-2H,673.463193,568.364623,449.249863,554.348983,423.234223,363.19408,391.22536,391.22536,415.22536,227.20153,255.23281,255.23281,279.23281
CL(14:0_16:0_16:0_18:3)-2H,672.455368,567.356798,448.242038,553.341158,423.234218,363.19408,391.22536,391.22536,413.20972,227.20153,255.23281,255.23281,277.21717
CL(14:0_16:0_16:0_20:0)-2H,689.4944931,584.3959231,465.2811631,570.3802831,423.2342431,363.19408,391.22536,391.22536,447.28792,227.20153,255.23281,255.23281,311.29537
CL(14:0_16:0_16:0_20:1)-2H,688.4866681,583.3880981,464.2733381,569.3724581,423.2342381,363.19408,391.22536,391.22536,445.27228,227.20153,255.23281,255.23281,309.27973
CL(14:0_16:0_16:0_20:2)-2H,687.4788431,582.3802731,463.2655131,568.3646331,423.2342331,363.19408,391.22536,391.22536,443.25664,227.20153,255.23281,255.23281,307.26409
CL(14:0_16:0_16:0_20:3)-2H,686.471018,581.372448,462.257688,567.356808,423.234228,363.19408,391.22536,391.22536,441.241,227.20153,255.23281,255.23281,305.24845
CL(14:0_16:0_16:0_20:4)-2H,685.463193,580.364623,461.249863,566.348983,423.234223,363.19408,391.22536,391.22536,439.22536,227.20153,255.23281,255.23281,303.23281
CL(14:0_16:0_16:0_22:0)-2H,703.5101432,598.4115732,479.2968132,584.3959332,423.2342532,363.19408,391.22536,391.22536,475.3192,227.20153,255.23281,255.23281,339.32665
CL(14:0_16:0_16:0_22:5)-2H,698.471018,593.372448,474.257688,579.356808,423.234228,363.19408,391.22536,391.22536,465.241,227.20153,255.23281,255.23281,329.24845
CL(14:0_16:0_16:0_22:6)-2H,697.463193,592.364623,473.249863,578.348983,423.234223,363.19408,391.22536,391.22536,463.22536,227.20153,255.23281,255.23281,327.23281
CL(14:0_16:0_16:1_16:1)-2H,659.4475429,554.3489729,435.2342129,541.3411529,423.2342129,363.19408,391.22536,389.20972,389.20972,227.20153,255.23281,253.21717,253.21717
CL(14:0_16:0_16:1_18:0)-2H,674.471018,569.372448,450.257688,556.364628,423.234228,363.19408,391.22536,389.20972,419.25664,227.20153,255.23281,253.21717,283.26409
CL(14:0_16:0_16:1_18:1)-2H,673.463193,568.364623,449.249863,555.356803,423.234223,363.19408,391.22536,389.20972,417.241,227.20153,255.23281,253.21717,281.24845
CL(14:0_16:0_16:1_18:2)-2H,672.455368,567.356798,448.242038,554.348978,423.234218,363.19408,391.22536,389.20972,415.22536,227.20153,255.23281,253.21717,279.23281
CL(14:0_16:0_16:1_18:3)-2H,671.4475429,566.3489729,447.2342129,553.3411529,423.2342129,363.19408,391.22536,389.20972,413.20972,227.20153,255.23281,253.21717,277.21717
CL(14:0_16:0_16:1_20:0)-2H,688.4866681,583.3880981,464.2733381,570.3802781,423.2342381,363.19408,391.22536,389.20972,447.28792,227.20153,255.23281,253.21717,311.29537
CL(14:0_16:0_16:1_20:1)-2H,687.4788431,582.3802731,463.2655131,569.3724531,423.2342331,363.19408,391.22536,389.20972,445.27228,227.20153,255.23281,253.21717,309.27973
CL(14:0_16:0_16:1_20:2)-2H,686.471018,581.372448,462.257688,568.364628,423.234228,363.19408,391.22536,389.20972,443.25664,227.20153,255.23281,253.21717,307.26409
CL(14:0_16:0_16:1_20:3)-2H,685.463193,580.364623,461.249863,567.356803,423.234223,363.19408,391.22536,389.20972,441.241,227.20153,255.23281,253.21717,305.24845
CL(14:0_16:0_16:1_20:4)-2H,684.455368,579.356798,460.242038,566.348978,423.234218,363.19408,391.22536,389.20972,439.22536,227.20153,255.23281,253.21717,303.23281
