OxLPC,[M+Na]+,Mna-PC,Mna-TrimethylAmine,Mna-NaPC,Mna-tail1&TrimethylAmine,PC Head
OxLPC(18:2(Ke))+Na,556.30044,373.23444,497.22694,351.25244,76.866585,184.07332
OxLPC(18:3(Ke))+Na,554.28484,371.21884,495.21134,349.23684,76.866585,184.07332
OxLPC(18:4(Ke))+Na,552.26914,369.20314,493.19564,347.22114,76.866585,184.07332
OxLPC(20:1(Ke))+Na,586.34744,403.28144,527.27394,381.29944,76.866585,184.07332
OxLPC(20:2(Ke))+Na,584.33174,401.26574,525.25824,379.28374,76.866585,184.07332
OxLPC(20:3(Ke))+Na,582.31614,399.25014,523.24264,377.26814,76.866585,184.07332
OxLPC(20:5(Ke))+Na,578.28484,395.21884,519.21134,373.23684,76.866585,184.07332
OxLPC(22:1(Ke))+Na,614.37874,431.31274,555.30524,409.33074,76.866585,184.07332
OxLPC(22:2(Ke))+Na,612.36304,429.29704,553.28954,407.31504,76.866585,184.07332
OxLPC(22:3(Ke))+Na,610.34744,427.28144,551.27394,405.29944,76.866585,184.07332
OxLPC(22:4(Ke))+Na,608.33174,425.26574,549.25824,403.28374,76.866585,184.07332
OxLPC(22:5(Ke))+Na,606.31614,423.25014,547.24264,401.26814,76.866585,184.07332
OxLPC(22:6(Ke))+Na,604.30044,421.23444,545.22694,399.25244,76.866585,184.07332
OxLPC(24:1(Ke))+Na,642.41004,459.34404,583.33654,437.36204,76.866585,184.07332
"OxLPC(14:1(Ke,OH))+Na",518.24846,335.18246,459.17496,313.20046,76.866585,184.07332
"OxLPC(15:1(Ke,OH))+Na",532.26406,349.19806,473.19056,327.21606,76.866585,184.07332
"OxLPC(16:1(Ke,OH))+Na",546.27976,363.21376,487.20626,341.23176,76.866585,184.07332
"OxLPC(17:1(Ke,OH))+Na",560.29536,377.22936,501.22186,355.24736,76.866585,184.07332
"OxLPC(17:2(Ke,OH))+Na",558.27976,375.21376,499.20626,353.23176,76.866585,184.07332
"OxLPC(18:1(Ke,OH))+Na",574.31106,391.24506,515.23756,369.26306,76.866585,184.07332
"OxLPC(18:2(Ke,OH))+Na",572.29536,389.22936,513.22186,367.24736,76.866585,184.07332
"OxLPC(18:3(Ke,OH))+Na",570.27976,387.21376,511.20626,365.23176,76.866585,184.07332
"OxLPC(18:4(Ke,OH))+Na",568.26406,385.19806,509.19056,363.21606,76.866585,184.07332
"OxLPC(20:1(Ke,OH))+Na",602.34236,419.27636,543.26886,397.29436,76.866585,184.07332
"OxLPC(20:2(Ke,OH))+Na",600.32666,417.26066,541.25316,395.27866,76.866585,184.07332
"OxLPC(20:3(Ke,OH))+Na",598.31106,415.24506,539.23756,393.26306,76.866585,184.07332
"OxLPC(20:4(Ke,OH))+Na",596.29536,413.22936,537.22186,391.24736,76.866585,184.07332
"OxLPC(20:5(Ke,OH))+Na",594.27976,411.21376,535.20626,389.23176,76.866585,184.07332
"OxLPC(22:1(Ke,OH))+Na",630.37366,447.30766,571.30016,425.32566,76.866585,184.07332
"OxLPC(22:2(Ke,OH))+Na",628.35796,445.29196,569.28446,423.30996,76.866585,184.07332
"OxLPC(22:3(Ke,OH))+Na",626.34236,443.27636,567.26886,421.29436,76.866585,184.07332
"OxLPC(22:4(Ke,OH))+Na",624.32666,441.26066,565.25316,419.27866,76.866585,184.07332
"OxLPC(22:5(Ke,OH))+Na",622.31106,439.24506,563.23756,417.26306,76.866585,184.07332
"OxLPC(22:6(Ke,OH))+Na",620.29536,437.22936,561.22186,415.24736,76.866585,184.07332
"OxLPC(24:1(Ke,OH))+Na",658.40496,475.33896,599.33146,453.35696,76.866585,184.07332
