PEG,[M+?]+,fragment 1,fragment 2
PEG(n=3_NH4+_CH2=2_DBE=6_),184.061,89.0602,133.0859
PEG(n=3_NH4+_CH2=2_DBE=6_(1-NH3)),184.084,89.0602,133.0859
PEG(n=3_NH4+_CH2=2_DBE=6_(2-NH3)),184.108,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=0_(1-OH)),184.119,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=4_(2=O)),185.008,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=1_(1=O)),185.043,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=4_(1=O)),185.045,89.0602,133.0859
PEG(n=4_H+_CH2=0_DBE=5_(1-NH3)),185.069,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=1_),185.079,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=4_),185.081,89.0602,133.0859
PEG(n=4_H+_CH2=0_DBE=5_(2-NH3)),185.092,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=1_(1-NH3)),185.103,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=4_(1-NH3)),185.105,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=1_(2-NH3)),185.127,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=4_(2-NH3)),185.129,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=5_(2=O)),186.004,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=5_(1=O)),186.040,89.0602,133.0859
PEG(n=3_NH4+_CH2=2_DBE=5_),186.076,89.0602,133.0859
PEG(n=3_NH4+_CH2=2_DBE=5_(1-NH3)),186.100,89.0602,133.0859
PEG(n=3_NH4+_CH2=2_DBE=5_(2-NH3)),186.124,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=6_(3-OH)),186.988,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=3_(2=O)),187.024,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=0_(1=O)),187.058,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=3_(1=O)),187.060,89.0602,133.0859
PEG(n=4_H+_CH2=0_DBE=4_(1-NH3)),187.084,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=0_),187.095,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=3_),187.097,89.0602,133.0859
PEG(n=4_H+_CH2=0_DBE=4_(2-NH3)),187.108,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=0_(1-NH3)),187.118,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=3_(1-NH3)),187.121,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=0_(2-NH3)),187.142,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=3_(2-NH3)),187.144,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=4_(2=O)),188.019,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=4_(1=O)),188.056,89.0602,133.0859
PEG(n=3_NH4+_CH2=2_DBE=4_),188.092,89.0602,133.0859
