HBMP,[M-H]-,[M-FA3-H]-,[FA3+C3H6O4P-H]-,[FA2-H]-,[FA3-H]-,[FA1-H]-
HBMP(12:0_16:2_20:3)-H,949.6539,643.398,441.2417,251.2017,305.2486,199.1704
HBMP(12:0_16:2_20:4)-H,947.6382,643.398,439.2261,251.2017,303.233,199.1704
HBMP(12:0_16:2_20:5)-H,945.6226,643.398,437.2104,251.2017,301.2173,199.1704
HBMP(12:0_16:2_22:0)-H,983.7322,643.398,475.3199,251.2017,339.3269,199.1704
HBMP(12:0_16:2_22:1)-H,981.7166,643.398,473.3043,251.2017,337.3112,199.1704
HBMP(12:0_16:2_22:2)-H,979.7009,643.398,471.2887,251.2017,335.2956,199.1704
HBMP(12:0_16:2_22:3)-H,977.6852,643.398,469.273,251.2017,333.2799,199.1704
HBMP(12:0_16:2_22:4)-H,975.6696,643.398,467.2574,251.2017,331.2643,199.1704
HBMP(12:0_16:2_22:5)-H,973.6539,643.398,465.2417,251.2017,329.2486,199.1704
HBMP(12:0_16:2_22:6)-H,971.6382,643.398,463.2261,251.2017,327.233,199.1704
HBMP(12:0_16:3_12:0)-H,841.56,641.3824,335.1635,249.186,199.1704,199.1704
HBMP(12:0_16:3_14:0)-H,869.5913,641.3824,363.1948,249.186,227.2017,199.1704
HBMP(12:0_16:3_14:1)-H,867.5757,641.3824,361.1791,249.186,225.186,199.1704
HBMP(12:0_16:3_16:0)-H,897.6226,641.3824,391.2261,249.186,255.233,199.1704
HBMP(12:0_16:3_16:1)-H,895.607,641.3824,389.2104,249.186,253.2173,199.1704
HBMP(12:0_16:3_16:2)-H,893.5913,641.3824,387.1948,249.186,251.2017,199.1704
HBMP(12:0_16:3_16:3)-H,891.5757,641.3824,385.1791,249.186,249.186,199.1704
HBMP(12:0_16:3_16:4)-H,889.56,641.3824,383.1635,249.186,247.1704,199.1704
HBMP(12:0_16:3_18:0)-H,925.6539,641.3824,419.2574,249.186,283.2643,199.1704
HBMP(12:0_16:3_18:1)-H,923.6382,641.3824,417.2417,249.186,281.2486,199.1704
HBMP(12:0_16:3_18:2)-H,921.6226,641.3824,415.2261,249.186,279.233,199.1704
HBMP(12:0_16:3_18:3)-H,919.607,641.3824,413.2104,249.186,277.2173,199.1704
HBMP(12:0_16:3_18:4)-H,917.5913,641.3824,411.1948,249.186,275.2017,199.1704
HBMP(12:0_16:3_18:5)-H,915.5757,641.3824,409.1791,249.186,273.186,199.1704
HBMP(12:0_16:3_20:0)-H,953.6852,641.3824,447.2887,249.186,311.2956,199.1704
HBMP(12:0_16:3_20:1)-H,951.6696,641.3824,445.273,249.186,309.2799,199.1704
HBMP(12:0_16:3_20:2)-H,949.6539,641.3824,443.2574,249.186,307.2643,199.1704
HBMP(12:0_16:3_20:3)-H,947.6382,641.3824,441.2417,249.186,305.2486,199.1704
HBMP(12:0_16:3_20:4)-H,945.6226,641.3824,439.2261,249.186,303.233,199.1704
HBMP(12:0_16:3_20:5)-H,943.607,641.3824,437.2104,249.186,301.2173,199.1704
HBMP(12:0_16:3_22:0)-H,981.7166,641.3824,475.3199,249.186,339.3269,199.1704
