CL,[M-2H+3Na]+,SN1 acyl loss,SN2 acyl loss,SN3 acyl loss,SN4 acyl loss
CL(14:0_16:0_20:0_22:6)-2H+3Na,1519.957196,1291.748396,1263.717116,1207.654556,1191.717116
CL(14:0_16:0_20:1_20:1)-2H+3Na,1499.988496,1271.779696,1243.748416,1189.701496,1189.701496
CL(14:0_16:0_20:1_20:2)-2H+3Na,1497.972846,1269.764046,1241.732766,1187.685846,1189.701486
CL(14:0_16:0_20:1_20:3)-2H+3Na,1495.957196,1267.748396,1239.717116,1185.670196,1189.701476
CL(14:0_16:0_20:1_20:4)-2H+3Na,1493.941546,1265.732746,1237.701466,1183.654546,1189.701466
CL(14:0_16:0_20:1_22:0)-2H+3Na,1530.035447,1301.826647,1273.795367,1219.748447,1189.701527
CL(14:0_16:0_20:1_22:5)-2H+3Na,1519.957196,1291.748396,1263.717116,1209.670196,1189.701476
CL(14:0_16:0_20:1_22:6)-2H+3Na,1517.941546,1289.732746,1261.701466,1207.654546,1189.701466
CL(14:0_16:0_20:2_20:2)-2H+3Na,1495.957196,1267.748396,1239.717116,1187.685836,1187.685836
CL(14:0_16:0_20:2_20:3)-2H+3Na,1493.941546,1265.732746,1237.701466,1185.670186,1187.685826
CL(14:0_16:0_20:2_20:4)-2H+3Na,1491.925896,1263.717096,1235.685816,1183.654536,1187.685816
CL(14:0_16:0_20:2_22:0)-2H+3Na,1528.019797,1299.810997,1271.779717,1219.748437,1187.685877
CL(14:0_16:0_20:2_22:5)-2H+3Na,1517.941546,1289.732746,1261.701466,1209.670186,1187.685826
CL(14:0_16:0_20:2_22:6)-2H+3Na,1515.925896,1287.717096,1259.685816,1207.654536,1187.685816
CL(14:0_16:0_20:3_20:3)-2H+3Na,1491.925896,1263.717096,1235.685816,1185.670176,1185.670176
CL(14:0_16:0_20:3_20:4)-2H+3Na,1489.910246,1261.701446,1233.670166,1183.654526,1185.670166
CL(14:0_16:0_20:3_22:0)-2H+3Na,1526.004146,1297.795346,1269.764066,1219.748426,1185.670226
CL(14:0_16:0_20:3_22:5)-2H+3Na,1515.925896,1287.717096,1259.685816,1209.670176,1185.670176
CL(14:0_16:0_20:3_22:6)-2H+3Na,1513.910246,1285.701446,1257.670166,1207.654526,1185.670166
CL(14:0_16:0_20:4_20:4)-2H+3Na,1487.894596,1259.685796,1231.654516,1183.654516,1183.654516
