MGDG,[M+NH4-CO]+,M-sn1,M-sn2,sn1,sn2,M-sn1-C6H12O6,M-sn2-C6H12O6
MGDG(5:0_14:1)+NH4-CO,536.3793,434.31126,310.18614,101.05967,225.18479,254.24787,130.12275
MGDG(5:0_15:0)+NH4-CO,552.4106,450.34256,310.18616,101.05967,241.21607,270.27917,130.12277
MGDG(5:0_15:1)+NH4-CO,550.3949,448.32686,310.1861,101.05967,239.20043,268.26347,130.12271
MGDG(5:0_16:0)+NH4-CO,566.4262,464.35816,310.18612,101.05967,255.23171,284.29477,130.12273
MGDG(5:0_16:1)+NH4-CO,564.4106,462.34256,310.18616,101.05967,253.21607,282.27917,130.12277
MGDG(5:0_17:0)+NH4-CO,580.4419,478.37386,310.18618,101.05967,269.24735,298.31047,130.12279
MGDG(5:0_17:1)+NH4-CO,578.4262,476.35816,310.18612,101.05967,267.23171,296.29477,130.12273
MGDG(5:0_17:2)+NH4-CO,576.4106,474.34256,310.18616,101.05967,265.21607,294.27917,130.12277
MGDG(5:0_18:0)+NH4-CO,594.45754,492.3895,310.18618,101.05967,283.26299,312.32611,130.12279
MGDG(5:0_18:1)+NH4-CO,592.4419,490.37386,310.18618,101.05967,281.24735,310.31047,130.12279
MGDG(5:0_18:2)+NH4-CO,590.4262,488.35816,310.18612,101.05967,279.23171,308.29477,130.12273
MGDG(5:0_18:3)+NH4-CO,588.4106,486.34256,310.18616,101.05967,277.21607,306.27917,130.12277
MGDG(5:0_18:4)+NH4-CO,586.3949,484.32686,310.1861,101.05967,275.20043,304.26347,130.12271
MGDG(5:0_19:0)+NH4-CO,608.4732,506.40516,310.1862,101.05967,297.27863,326.34177,130.12281
MGDG(5:0_20:0)+NH4-CO,622.48885,520.42081,310.18621,101.05967,311.29427,340.35742,130.12282
MGDG(5:0_20:1)+NH4-CO,620.4732,518.40516,310.1862,101.05967,309.27863,338.34177,130.12281
MGDG(5:0_20:2)+NH4-CO,618.45754,516.3895,310.18618,101.05967,307.26299,336.32611,130.12279
MGDG(5:0_20:3)+NH4-CO,616.4419,514.37386,310.18618,101.05967,305.24735,334.31047,130.12279
MGDG(5:0_20:4)+NH4-CO,614.4262,512.35816,310.18612,101.05967,303.23171,332.29477,130.12273
MGDG(5:0_20:5)+NH4-CO,612.4106,510.34256,310.18616,101.05967,301.21607,330.27917,130.12277
MGDG(5:0_21:0)+NH4-CO,636.5045,534.43646,310.18622,101.05967,325.30991,354.37307,130.12283
MGDG(5:0_22:0)+NH4-CO,650.52016,548.45212,310.18624,101.05967,339.32555,368.38873,130.12285
MGDG(5:0_22:1)+NH4-CO,648.5045,546.43646,310.18622,101.05967,337.30991,366.37307,130.12283
MGDG(5:0_22:2)+NH4-CO,646.48885,544.42081,310.18621,101.05967,335.29427,364.35742,130.12282
MGDG(5:0_22:4)+NH4-CO,642.45754,540.3895,310.18618,101.05967,331.26299,360.32611,130.12279
MGDG(5:0_22:5)+NH4-CO,640.4419,538.37386,310.18618,101.05967,329.24735,358.31047,130.12279
MGDG(5:0_22:6)+NH4-CO,638.4262,536.35816,310.18612,101.05967,327.23171,356.29477,130.12273
MGDG(5:0_23:0)+NH4-CO,664.5358,562.46776,310.18624,101.05967,353.34119,382.40437,130.12285
MGDG(5:0_24:0)+NH4-CO,678.5515,576.48346,310.1863,101.05967,367.35683,396.42007,130.12291
MGDG(5:0_24:1)+NH4-CO,676.5358,574.46776,310.18624,101.05967,365.34119,394.40437,130.12285
MGDG(5:0_24:4)+NH4-CO,670.48885,568.42081,310.18621,101.05967,359.29427,388.35742,130.12282
MGDG(5:0_25:0)+NH4-CO,692.5671,590.49906,310.18626,101.05967,381.37247,410.43567,130.12287
MGDG(5:0_26:0)+NH4-CO,706.5827,604.51466,310.18622,101.05967,395.38811,424.45127,130.12283
MGDG(5:0_26:1)+NH4-CO,704.5671,602.49906,310.18626,101.05967,393.37247,422.43567,130.12287
MGDG(5:0_26:2)+NH4-CO,702.5515,600.48346,310.1863,101.05967,391.35683,420.42007,130.12291
MGDG(6:0_2:0)+NH4-CO,384.2228,268.13912,324.20168,115.07531,59.01275,88.07573,144.13829
MGDG(6:0_3:0)+NH4-CO,398.23845,282.15477,324.20169,115.07531,73.02839,102.09138,144.1383
MGDG(6:0_4:0)+NH4-CO,412.2541,296.17042,324.2017,115.07531,87.04403,116.10703,144.13831
MGDG(6:0_5:0)+NH4-CO,426.26973,310.18605,324.20169,115.07531,101.05967,130.12266,144.1383
MGDG(6:0_6:0)+NH4-CO,440.2854,324.20172,324.20172,115.07531,115.07531,144.13833,144.13833
