OxLPC,[M+HCO2]-,NL_CH3&HCO2,NL_choline&HCO2,NL_R1C2HO,NL_R1COOH&CH3&HCO2,Phosphocholine_NL_CH3,Glycerol-3-phosphate_NL_H2O,R1COO-,H2PO4-,PO3-
OxLPC(14:1(OH))+HCO2,526.278715,466.257615,395.184115,242.0799,224.0693,168.0431,152.9958,241.18097,96.9696,78.9591
OxLPC(15:1(OH))+HCO2,540.294315,480.273215,409.199715,242.0799,224.0693,168.0431,152.9958,255.19657,96.9696,78.9591
OxLPC(16:1(OH))+HCO2,554.310015,494.288915,423.215415,242.0799,224.0693,168.0431,152.9958,269.21227,96.9696,78.9591
OxLPC(17:1(OH))+HCO2,568.325615,508.304515,437.231015,242.0799,224.0693,168.0431,152.9958,283.22787,96.9696,78.9591
OxLPC(17:2(OH))+HCO2,566.310015,506.288915,435.215415,242.0799,224.0693,168.0431,152.9958,281.21227,96.9696,78.9591
OxLPC(18:1(OH))+HCO2,582.341315,522.320215,451.246715,242.0799,224.0693,168.0431,152.9958,297.24357,96.9696,78.9591
OxLPC(18:3(OH))+HCO2,578.310015,518.288915,447.215415,242.0799,224.0693,168.0431,152.9958,293.21227,96.9696,78.9591
OxLPC(18:4(OH))+HCO2,576.294315,516.273215,445.199715,242.0799,224.0693,168.0431,152.9958,291.19657,96.9696,78.9591
OxLPC(20:1(OH))+HCO2,610.372615,550.351515,479.278015,242.0799,224.0693,168.0431,152.9958,325.27487,96.9696,78.9591
OxLPC(20:2(OH))+HCO2,608.356915,548.335815,477.262315,242.0799,224.0693,168.0431,152.9958,323.25917,96.9696,78.9591
OxLPC(20:3(OH))+HCO2,606.341315,546.320215,475.246715,242.0799,224.0693,168.0431,152.9958,321.24357,96.9696,78.9591
OxLPC(20:5(OH))+HCO2,602.310015,542.288915,471.215415,242.0799,224.0693,168.0431,152.9958,317.21227,96.9696,78.9591
