MGDG,[M+H]+,SN1_acyl_loss,SN1-H2O,SN2_acyl_loss,SN2-H2O
MGDG(15:1_6:0)+H,575.37897,352.17291,334.16235,476.29803,458.28747
MGDG(15:1_7:0)+H,589.39457,366.18851,348.17795,476.29799,458.28743
MGDG(15:1_8:0)+H,603.41027,380.20421,362.19365,476.29805,458.28749
MGDG(15:1_9:0)+H,617.42591,394.21985,376.20929,476.29805,458.28749
MGDG(15:1_10:0)+H,631.44157,408.23551,390.22495,476.29807,458.28751
MGDG(15:1_11:0)+H,645.45722,422.25116,404.2406,476.29808,458.28752
MGDG(15:1_12:0)+H,659.47287,436.26681,418.25625,476.29809,458.28753
MGDG(15:1_13:0)+H,673.48853,450.28247,432.27191,476.29811,458.28755
MGDG(15:1_14:0)+H,687.50417,464.29811,446.28755,476.29811,458.28755
MGDG(15:1_14:1)+H,685.48853,462.28247,444.27191,476.29811,458.28755
MGDG(15:1_15:0)+H,701.51987,478.31381,460.30325,476.29817,458.28761
MGDG(15:1_15:1)+H,699.50417,476.29811,458.28755,476.29811,458.28755
MGDG(15:1_16:0)+H,715.53547,492.32941,474.31885,476.29813,458.28757
MGDG(15:1_16:1)+H,713.51987,490.31381,472.30325,476.29817,458.28761
MGDG(15:1_17:0)+H,729.55107,506.34501,488.33445,476.29809,458.28753
MGDG(15:1_17:1)+H,727.53547,504.32941,486.31885,476.29813,458.28757
MGDG(15:1_17:2)+H,725.51987,502.31381,484.30325,476.29817,458.28761
MGDG(15:1_18:0)+H,743.56677,520.36071,502.35015,476.29815,458.28759
MGDG(15:1_18:1)+H,741.55107,518.34501,500.33445,476.29809,458.28753
MGDG(15:1_18:2)+H,739.53547,516.32941,498.31885,476.29813,458.28757
MGDG(15:1_18:3)+H,737.51987,514.31381,496.30325,476.29817,458.28761
MGDG(15:1_18:4)+H,735.50417,512.29811,494.28755,476.29811,458.28755
MGDG(15:1_19:0)+H,757.5824,534.37634,516.36578,476.29814,458.28758
MGDG(15:1_20:0)+H,771.59807,548.39201,530.38145,476.29817,458.28761
