GlcADG,[M-H]-,M-sn1,M-sn2,[M-H-sn1+H20]-,[M-H-sn2+H20]-,[M-H-sn1-H20]-,[M-H-sn2-H20]-,SN1,SN2
GlcADG(13:0_2:0)-H,505.2648922,291.0717322,445.2437722,309.0822964,463.2543364,273.061168,427.233208,213.18534,59.0133
GlcADG(13:0_20:0)-H,757.5465933,543.3534333,445.2439533,561.3639975,463.2545175,525.3428691,427.2333891,213.18534,311.29482
GlcADG(13:0_20:1)-H,755.5309433,541.3377833,445.2439433,559.3483475,463.2545075,523.3272191,427.2333791,213.18534,309.27918
GlcADG(13:0_20:2)-H,753.5152932,539.3221332,445.2439332,557.3326974,463.2544974,521.311569,427.233369,213.18534,307.26354
GlcADG(13:0_20:3)-H,751.4996431,537.3064831,445.2439231,555.3170473,463.2544873,519.2959189,427.2333589,213.18534,305.2479
GlcADG(13:0_20:4)-H,749.4839931,535.2908331,445.2439131,553.3013973,463.2544773,517.2802689,427.2333489,213.18534,303.23226
GlcADG(13:0_20:5)-H,747.468343,533.275183,445.243903,551.2857472,463.2544672,515.2646188,427.2333388,213.18534,301.21662
GlcADG(13:0_21:0)-H,771.5622434,557.3690834,445.2439634,575.3796476,463.2545276,539.3585192,427.2333992,213.18534,325.31046
GlcADG(13:0_22:0)-H,785.5778935,571.3847335,445.2439735,589.3952977,463.2545377,553.3741693,427.2334093,213.18534,339.3261
GlcADG(13:0_22:1)-H,783.5622434,569.3690834,445.2439634,587.3796476,463.2545276,551.3585192,427.2333992,213.18534,337.31046
GlcADG(13:0_22:2)-H,781.5465933,567.3534333,445.2439533,585.3639975,463.2545175,549.3428691,427.2333891,213.18534,335.29482
GlcADG(13:0_22:4)-H,777.5152932,563.3221332,445.2439332,581.3326974,463.2544974,545.311569,427.233369,213.18534,331.26354
GlcADG(13:0_22:5)-H,775.4996431,561.3064831,445.2439231,579.3170473,463.2544873,543.2959189,427.2333589,213.18534,329.2479
GlcADG(13:0_22:6)-H,773.4839931,559.2908331,445.2439131,577.3013973,463.2544773,541.2802689,427.2333489,213.18534,327.23226
GlcADG(13:0_23:0)-H,799.5935435,585.4003835,445.2439835,603.4109477,463.2545477,567.3898193,427.2334193,213.18534,353.34174
GlcADG(13:0_24:0)-H,813.6091936,599.4160336,445.2439936,617.4265978,463.2545578,581.4054694,427.2334294,213.18534,367.35738
GlcADG(13:0_24:1)-H,811.5935435,597.4003835,445.2439835,615.4109477,463.2545477,579.3898193,427.2334193,213.18534,365.34174
GlcADG(13:0_24:4)-H,805.5465933,591.3534333,445.2439533,609.3639975,463.2545175,573.3428691,427.2333891,213.18534,359.29482
GlcADG(13:0_25:0)-H,827.6248437,613.4316837,445.2440037,631.4422479,463.2545679,595.4211195,427.2334395,213.18534,381.37302
