PEtOH,[M+NH4]+,[M-C2H7O4P+H]+,NL of SN1+H2O,NL of SN2+H2O,[M-SN1-126+H]+,[M-SN2-126+H]+,SN2-H2O,SN1-H2O,[C5H11O5P+H]+
PEtOH(13:1_22:5)+NH4,724.49117,581.4564,495.287,377.2089,387.2894,269.2112,313.2524,195.1742,183.0417
PEtOH(13:1_22:6)+NH4,722.47557,579.4408,493.2715,377.2089,385.2738,269.2113,311.2368,195.1742,183.0417
PEtOH(23:0_13:1)+NH4,748.58517,605.5504,377.209,519.381,269.2114,411.3834,195.1742,337.3463,183.0417
PEtOH(24:0_13:1)+NH4,762.60077,619.566,377.209,533.3967,269.2113,425.399,195.1742,351.3619,183.0417
PEtOH(13:1_24:1)+NH4,760.58517,617.5504,531.381,377.209,423.3834,269.2114,349.3463,195.1742,183.0417
PEtOH(13:1_24:2)+NH4,758.56947,615.5347,529.3654,377.209,421.3677,269.2113,347.3306,195.1742,183.0417
PEtOH(13:1_24:4)+NH4,754.53817,611.5034,525.334,377.2089,417.3364,269.2113,343.2993,195.1742,183.0417
PEtOH(25:0_13:1)+NH4,776.61647,633.5817,377.209,547.4124,269.2114,439.4147,195.1742,365.3776,183.0417
PEtOH(26:0_13:1)+NH4,790.63207,647.5973,377.209,561.428,269.2114,453.4303,195.1742,379.3932,183.0417
PEtOH(13:1_26:1)+NH4,788.61647,645.5817,559.4124,377.209,451.4147,269.2114,377.3776,195.1742,183.0417
PEtOH(13:1_26:2)+NH4,786.60077,643.566,557.3967,377.209,449.399,269.2113,375.3619,195.1742,183.0417
PEtOH(13:1_26:4)+NH4,782.56947,639.5347,553.3654,377.209,445.3677,269.2113,371.3306,195.1742,183.0417
PEtOH(27:0_13:1)+NH4,804.64767,661.6129,377.209,575.4435,269.2113,467.4459,195.1742,393.4088,183.0417
PEtOH(14:0_14:0)+NH4,638.47557,495.4408,393.2402,393.2402,285.2426,285.2426,211.2055,211.2055,183.0417
PEtOH(14:0_14:1)+NH4,636.45997,493.4252,391.2246,393.2402,283.2269,285.2426,209.1899,211.2055,183.0417
PEtOH(14:0_15:0)+NH4,652.49117,509.4564,407.2558,393.2401,299.2581,285.2425,225.2211,211.2055,183.0417
PEtOH(14:0_15:1)+NH4,650.47557,507.4408,405.2402,393.2402,297.2426,285.2426,223.2055,211.2055,183.0417
PEtOH(14:0_16:0)+NH4,666.50687,523.4721,421.2715,393.2402,313.2738,285.2426,239.2368,211.2055,183.0417
PEtOH(14:0_16:1)+NH4,664.49117,521.4564,419.2558,393.2401,311.2581,285.2425,237.2211,211.2055,183.0417
PEtOH(14:0_16:2)+NH4,662.47557,519.4408,417.2402,393.2402,309.2426,285.2426,235.2055,211.2055,183.0417
PEtOH(14:0_16:3)+NH4,660.45997,517.4252,415.2246,393.2402,307.2269,285.2426,233.1899,211.2055,183.0417
PEtOH(14:0_16:4)+NH4,658.44427,515.4095,413.2089,393.2401,305.2112,285.2425,231.1742,211.2055,183.0417
PEtOH(14:0_17:0)+NH4,680.52247,537.4877,435.2871,393.2401,327.2894,285.2425,253.2524,211.2055,183.0417
PEtOH(14:0_17:1)+NH4,678.50687,535.4721,433.2715,393.2402,325.2738,285.2426,251.2368,211.2055,183.0417
PEtOH(14:0_17:2)+NH4,676.49117,533.4564,431.2558,393.2401,323.2581,285.2425,249.2211,211.2055,183.0417
PEtOH(14:0_18:0)+NH4,694.53817,551.5034,449.3028,393.2402,341.3051,285.2426,267.2681,211.2055,183.0417
PEtOH(14:0_18:1)+NH4,692.52247,549.4877,447.2871,393.2401,339.2894,285.2425,265.2524,211.2055,183.0417
PEtOH(14:0_18:2)+NH4,690.50687,547.4721,445.2715,393.2402,337.2738,285.2426,263.2368,211.2055,183.0417
PEtOH(14:0_18:3)+NH4,688.49117,545.4564,443.2558,393.2401,335.2581,285.2425,261.2212,211.2055,183.0417
PEtOH(14:0_18:4)+NH4,686.47557,543.4408,441.2402,393.2402,333.2426,285.2426,259.2055,211.2055,183.0417
PEtOH(14:0_18:5)+NH4,684.45997,541.4252,439.2246,393.2402,331.2269,285.2426,257.1899,211.2055,183.0417
PEtOH(14:0_19:0)+NH4,708.55387,565.5191,463.3185,393.2403,355.3208,285.2426,281.2837,211.2055,183.0417
PEtOH(14:0_19:1)+NH4,706.53817,563.5034,461.3028,393.2402,353.3051,285.2426,279.2681,211.2055,183.0417
PEtOH(14:0_19:2)+NH4,704.52247,561.4877,459.2871,393.2401,351.2894,285.2425,277.2524,211.2055,183.0417
PEtOH(14:0_20:0)+NH4,722.56947,579.5347,477.3341,393.2402,369.3364,285.2426,295.2993,211.2055,183.0417
PEtOH(14:0_20:1)+NH4,720.55387,577.5191,475.3185,393.2403,367.3208,285.2426,293.2837,211.2055,183.0417
PEtOH(14:0_20:2)+NH4,718.53817,575.5034,473.3028,393.2402,365.3051,285.2426,291.2681,211.2055,183.0417
PEtOH(14:0_20:3)+NH4,716.52247,573.4877,471.2871,393.2401,363.2894,285.2425,289.2524,211.2055,183.0417
PEtOH(14:0_20:4)+NH4,714.50687,571.4721,469.2715,393.2402,361.2738,285.2426,287.2368,211.2055,183.0417
PEtOH(14:0_20:5)+NH4,712.49117,569.4564,467.2558,393.2401,359.2581,285.2425,285.2212,211.2055,183.0417
PEtOH(14:0_21:0)+NH4,736.58517,593.5504,491.3498,393.2403,383.3521,285.2426,309.315,211.2055,183.0417
PEtOH(14:0_21:1)+NH4,734.56947,591.5347,489.3341,393.2402,381.3364,285.2426,307.2993,211.2055,183.0417
PEtOH(14:0_21:2)+NH4,732.55387,589.5191,487.3185,393.2403,379.3208,285.2426,305.2837,211.2055,183.0417
PEtOH(14:0_22:0)+NH4,750.60077,607.566,505.3654,393.2403,397.3677,285.2426,323.3306,211.2055,183.0417
PEtOH(14:0_22:1)+NH4,748.58517,605.5504,503.3498,393.2403,395.3521,285.2426,321.315,211.2055,183.0417
PEtOH(14:0_22:2)+NH4,746.56947,603.5347,501.3341,393.2402,393.3364,285.2426,319.2993,211.2055,183.0417
PEtOH(14:0_22:3)+NH4,744.55387,601.5191,499.3185,393.2403,391.3208,285.2426,317.2837,211.2055,183.0417
PEtOH(14:0_22:4)+NH4,742.53817,599.5034,497.3028,393.2402,389.3051,285.2426,315.2681,211.2055,183.0417
PEtOH(14:0_22:5)+NH4,740.52247,597.4877,495.2871,393.2401,387.2894,285.2425,313.2524,211.2055,183.0417
PEtOH(14:0_22:6)+NH4,738.50687,595.4721,493.2715,393.2402,385.2738,285.2426,311.2368,211.2055,183.0417
PEtOH(14:0_23:0)+NH4,764.61647,621.5817,519.381,393.2403,411.3835,285.2427,337.3463,211.2055,183.0417
PEtOH(14:0_24:0)+NH4,778.63207,635.5973,533.3967,393.2403,425.399,285.2426,351.3619,211.2055,183.0417
PEtOH(14:0_24:1)+NH4,776.61647,633.5817,531.381,393.2403,423.3835,285.2427,349.3463,211.2055,183.0417
PEtOH(14:0_24:2)+NH4,774.60077,631.566,529.3654,393.2403,421.3677,285.2426,347.3306,211.2055,183.0417
