Cer-AP,[M+HCO2]-,[M-H]-,[FA+NC(C)CO-H]-,[FA+O-H]-,[FA-CO-3H]-,[Sph-NC(CO)CO-H]-
Cer-AP(t15:0/22:0)+HCO2,658.5622,612.5567,410.3629,355.3218,309.3163,183.1743
Cer-AP(t15:0/22:1)+HCO2,656.5465,610.5411,408.3472,353.3061,307.3006,183.1743
Cer-AP(t15:0/22:2)+HCO2,654.5309,608.5254,406.3316,351.2905,305.285,183.1743
Cer-AP(t15:0/23:0)+HCO2,672.5778,626.5723,424.3785,369.3374,323.3319,183.1743
Cer-AP(t15:0/23:1)+HCO2,670.5622,624.5567,422.3629,367.3218,321.3163,183.1743
Cer-AP(t15:0/24:0)+HCO2,686.5935,640.588,438.3942,383.3531,337.3476,183.1743
Cer-AP(t15:0/24:1)+HCO2,684.5778,638.5723,436.3785,381.3374,335.3319,183.1743
Cer-AP(t15:0/24:2)+HCO2,682.5622,636.5567,434.3629,379.3218,333.3163,183.1743
Cer-AP(t15:0/25:0)+HCO2,700.6091,654.6036,452.4099,397.3687,351.3633,183.1743
Cer-AP(t15:0/25:1)+HCO2,698.5935,652.588,450.3942,395.3531,349.3476,183.1743
Cer-AP(t15:0/26:0)+HCO2,714.6248,668.6193,466.4255,411.3844,365.3789,183.1743
Cer-AP(t15:0/26:1)+HCO2,712.6091,666.6036,464.4099,409.3687,363.3633,183.1743
Cer-AP(t15:0/26:2)+HCO2,710.5935,664.588,462.3942,407.3531,361.3476,183.1743
Cer-AP(t15:0/27:0)+HCO2,728.6404,682.6349,480.4411,425.4,379.3945,183.1743
Cer-AP(t15:0/27:1)+HCO2,726.6248,680.6193,478.4255,423.3844,377.3789,183.1743
Cer-AP(t15:0/28:0)+HCO2,742.6561,696.6506,494.4568,439.4157,393.4102,183.1743
Cer-AP(t15:0/28:1)+HCO2,740.6404,694.6349,492.4411,437.4,391.3945,183.1743
Cer-AP(t15:0/28:2)+HCO2,738.6248,692.6193,490.4255,435.3844,389.3789,183.1743
Cer-AP(t15:0/29:0)+HCO2,756.6718,710.6663,508.4724,453.4313,407.4258,183.1743
Cer-AP(t15:0/29:1)+HCO2,754.6561,708.6506,506.4568,451.4157,405.4102,183.1743
Cer-AP(t15:0/30:0)+HCO2,770.6874,724.6819,522.4881,467.447,421.4415,183.1743
Cer-AP(t15:0/30:1)+HCO2,768.6718,722.6663,520.4724,465.4313,419.4258,183.1743
Cer-AP(t15:0/30:2)+HCO2,766.6561,720.6506,518.4568,463.4157,417.4102,183.1743
Cer-AP(t15:0/31:0)+HCO2,784.703,738.6976,536.5037,481.4626,435.4572,183.1743
Cer-AP(t15:0/31:1)+HCO2,782.6874,736.6819,534.4881,479.447,433.4415,183.1743
Cer-AP(t15:0/32:0)+HCO2,798.7187,752.7132,550.5194,495.4783,449.4728,183.1743
Cer-AP(t15:0/32:1)+HCO2,796.703,750.6976,548.5037,493.4626,447.4572,183.1743
Cer-AP(t15:0/32:2)+HCO2,794.6874,748.6819,546.4881,491.447,445.4415,183.1743
Cer-AP(t15:0/33:0)+HCO2,812.7343,766.7289,564.535,509.4939,463.4884,183.1743
Cer-AP(t15:0/33:1)+HCO2,810.7187,764.7132,562.5194,507.4783,461.4728,183.1743
Cer-AP(t15:0/34:0)+HCO2,826.75,780.7445,578.5507,523.5096,477.5041,183.1743
Cer-AP(t15:0/34:1)+HCO2,824.7343,778.7289,576.535,521.494,475.4884,183.1743
Cer-AP(t15:0/34:2)+HCO2,822.7187,776.7132,574.5194,519.4783,473.4728,183.1743
Cer-AP(t15:0/35:0)+HCO2,840.7656,794.7601,592.5663,537.5252,491.5197,183.1743
Cer-AP(t15:0/35:1)+HCO2,838.75,792.7445,590.5507,535.5096,489.5041,183.1743
Cer-AP(t15:0/36:0)+HCO2,854.7813,808.7758,606.582,551.5409,505.5354,183.1743
