DGTS,[M+H]+,[M-H20]+,[M-(C3H9N-CHCOOH-CH2)]+,[M-(C3H9N-CHCOOH)]+,SN1 acyl loss,SN2 acyl loss,M-H2O SN1 loss ,M-H2O SN2 loss ,C10H21NO5H (236.14),C3H9N-CHCOOH-CH2-CH (144.1),C3H9N+ (59)
DGTS(12:0_20:2)+H,708.57727,690.56671,577.48265,591.4983,526.41027,418.31637,508.39971,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_20:3)+H,706.56167,688.55111,575.46705,589.4827,524.39467,418.31637,506.38411,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_20:4)+H,704.54597,686.53541,573.45135,587.467,522.37897,418.31637,504.36841,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_20:5)+H,702.53037,684.51981,571.43575,585.4514,520.36337,418.31637,502.35281,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_21:0)+H,726.62427,708.61371,595.52965,609.5453,544.45727,418.31637,526.44671,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_22:0)+H,740.63987,722.62931,609.54525,623.5609,558.47287,418.31637,540.46231,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_22:1)+H,738.62427,720.61371,607.52965,621.5453,556.45727,418.31637,538.44671,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_22:2)+H,736.60857,718.59801,605.51395,619.5296,554.44157,418.31637,536.43101,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_22:3)+H,734.59297,716.58241,603.49835,617.514,552.42597,418.31637,534.41541,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_22:4)+H,732.57727,714.56671,601.48265,615.4983,550.41027,418.31637,532.39971,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_22:5)+H,730.56167,712.55111,599.46705,613.4827,548.39467,418.31637,530.38411,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_22:6)+H,728.54597,710.53541,597.45135,611.467,546.37897,418.31637,528.36841,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_23:0)+H,754.65557,736.64501,623.56095,637.5766,572.48857,418.31637,554.47801,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_24:0)+H,768.67117,750.66061,637.57655,651.5922,586.50417,418.31637,568.49361,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_24:1)+H,766.65557,748.64501,635.56095,649.5766,584.48857,418.31637,566.47801,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_25:0)+H,782.68687,764.67631,651.59225,665.6079,600.51987,418.31637,582.50931,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_26:0)+H,796.70247,778.69191,665.60785,679.6235,614.53547,418.31637,596.52491,400.30581,236.1492402,144.1018984,59.0729454
DGTS(13:0_13:0)+H,628.51477,610.50421,497.42015,511.4358,432.33207,432.33207,414.32151,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_14:0)+H,642.53037,624.51981,511.43575,525.4514,446.34767,432.33207,428.33711,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_14:1)+H,640.51477,622.50421,509.42015,523.4358,444.33207,432.33207,426.32151,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_15:0)+H,656.54607,638.53551,525.45145,539.4671,460.36337,432.33207,442.35281,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_15:1)+H,654.53037,636.51981,523.43575,537.4514,458.34767,432.33207,440.33711,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_16:0)+H,670.56167,652.55111,539.46705,553.4827,474.37897,432.33207,456.36841,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_16:1)+H,668.54607,650.53551,537.45145,551.4671,472.36337,432.33207,454.35281,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_17:0)+H,684.57737,666.56681,553.48275,567.4984,488.39467,432.33207,470.38411,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_17:1)+H,682.56167,664.55111,551.46705,565.4827,486.37897,432.33207,468.36841,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_17:2)+H,680.54607,662.53551,549.45145,563.4671,484.36337,432.33207,466.35281,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_18:0)+H,698.59297,680.58241,567.49835,581.514,502.41027,432.33207,484.39971,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_18:1)+H,696.57737,678.56681,565.48275,579.4984,500.39467,432.33207,482.38411,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_18:2)+H,694.56167,676.55111,563.46705,577.4827,498.37897,432.33207,480.36841,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_18:3)+H,692.54607,674.53551,561.45145,575.4671,496.36337,432.33207,478.35281,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_18:4)+H,690.53037,672.51981,559.43575,573.4514,494.34767,432.33207,476.33711,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_19:0)+H,712.60867,694.59811,581.51405,595.5297,516.42597,432.33207,498.41541,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_20:0)+H,726.62427,708.61371,595.52965,609.5453,530.44157,432.33207,512.43101,414.32151,236.1492402,144.1018984,59.0729454
