OxLPC,[M+H]+,MH-PC,MH-Tail1+H2O,PC Head,exp1,exp2,exp3
OxLPC(18:4(OH))+H,532.30342,349.23742,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:1(OH))+H,566.38172,383.31572,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:2(OH))+H,564.36602,381.30002,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:3(OH))+H,562.35042,379.28442,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:5(OH))+H,558.31912,375.25312,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:1(OH))+H,594.41302,411.34702,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:2(OH))+H,592.39732,409.33132,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:3(OH))+H,590.38172,407.31572,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:4(OH))+H,588.36602,405.30002,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:5(OH))+H,586.35042,403.28442,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:6(OH))+H,584.33472,401.26872,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(24:1(OH))+H,622.44432,439.37832,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(14:1(OO))+H,498.28274,315.21674,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(15:1(OO))+H,512.29834,329.23234,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(16:1(OO))+H,526.31404,343.24804,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(17:1(OO))+H,540.32964,357.26364,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(17:2(OO))+H,538.31404,355.24804,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:1(OO))+H,554.34534,371.27934,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:3(OO))+H,550.31404,367.24804,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:4(OO))+H,548.29834,365.23234,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:1(OO))+H,582.37664,399.31064,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:2(OO))+H,580.36094,397.29494,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:3(OO))+H,578.34534,395.27934,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:5(OO))+H,574.31404,391.24804,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:1(OO))+H,610.40794,427.34194,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:2(OO))+H,608.39224,425.32624,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:3(OO))+H,606.37664,423.31064,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:4(OO))+H,604.36094,421.29494,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:5(OO))+H,602.34534,419.27934,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:6(OO))+H,600.32964,417.26364,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(24:1(OO))+H,638.43924,455.37324,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(14:1(OOO))+H,514.27766,331.21166,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(15:1(OOO))+H,528.29326,345.22726,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(16:1(OOO))+H,542.30896,359.24296,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(17:1(OOO))+H,556.32456,373.25856,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(17:2(OOO))+H,554.30896,371.24296,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:1(OOO))+H,570.34026,387.27426,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:2(OOO))+H,568.32456,385.25856,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:3(OOO))+H,566.30896,383.24296,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:4(OOO))+H,564.29326,381.22726,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:1(OOO))+H,598.37156,415.30556,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:2(OOO))+H,596.35586,413.28986,258.11015,184.07332,124.9994,104.1069,86.0963
