DGDG,[M+NH4]+,DG [M+H]+,DG [M+H-H2O]+ 
DGDG(46:4)+NH4,1098.80302,757.67052,739.65995
DGDG(46:5)+NH4,1096.78742,755.65492,737.64435
DGDG(46:6)+NH4,1094.77172,753.63922,735.62865
DGDG(46:7)+NH4,1092.75609,751.62359,733.61302
DGDG(46:8)+NH4,1090.74042,749.60792,731.59735
DGDG(46:9)+NH4,1088.72478,747.59228,729.58171
DGDG(47:0)+NH4,1120.88127,779.74877,761.7382
DGDG(47:1)+NH4,1118.86562,777.73312,759.72255
DGDG(47:2)+NH4,1116.84996,775.71746,757.70689
DGDG(47:4)+NH4,1112.81862,771.68612,753.67555
DGDG(47:5)+NH4,1110.80302,769.67052,751.65995
DGDG(47:6)+NH4,1108.78742,767.65492,749.64435
DGDG(48:0)+NH4,1134.89692,793.76442,775.75385
DGDG(48:1)+NH4,1132.88127,791.74877,773.7382
DGDG(48:2)+NH4,1130.86562,789.73312,771.72255
DGDG(48:3)+NH4,1128.84996,787.71746,769.70689
DGDG(48:4)+NH4,1126.83432,785.70182,767.69125
DGDG(48:5)+NH4,1124.81862,783.68612,765.67555
DGDG(48:6)+NH4,1122.80302,781.67052,763.65995
DGDG(48:7)+NH4,1120.78742,779.65492,761.64435
DGDG(48:8)+NH4,1118.77172,777.63922,759.62865
DGDG(49:0)+NH4,1148.91258,807.78008,789.76951
DGDG(49:1)+NH4,1146.89692,805.76442,787.75385
DGDG(49:2)+NH4,1144.88127,803.74877,785.7382
DGDG(49:4)+NH4,1140.84996,799.71746,781.70689
DGDG(5:0)+NH4,532.22395,191.09145,173.08088
DGDG(50:0)+NH4,1162.92822,821.79572,803.78515
DGDG(50:1)+NH4,1160.91258,819.78008,801.76951
DGDG(50:2)+NH4,1158.89692,817.76442,799.75385
DGDG(50:3)+NH4,1156.88127,815.74877,797.7382
DGDG(50:4)+NH4,1154.86562,813.73312,795.72255
DGDG(50:5)+NH4,1152.84996,811.71746,793.70689
DGDG(50:6)+NH4,1150.83432,809.70182,791.69125
DGDG(51:0)+NH4,1176.94392,835.81142,817.80085
DGDG(51:1)+NH4,1174.92822,833.79572,815.78515
DGDG(51:2)+NH4,1172.91258,831.78008,813.76951
DGDG(52:0)+NH4,1190.95952,849.82702,831.81645
DGDG(52:1)+NH4,1188.94392,847.81142,829.80085
DGDG(52:2)+NH4,1186.92822,845.79572,827.78515
DGDG(52:3)+NH4,1184.91258,843.78008,825.76951
DGDG(52:4)+NH4,1182.89692,841.76442,823.75385
DGDG(6:0)+NH4,546.23962,205.10712,187.09655
DGDG(7:0)+NH4,560.25526,219.12276,201.11219
DGDG(8:0)+NH4,574.27092,233.13842,215.12785
DGDG(9:0)+NH4,588.28657,247.15407,229.1435
