MMPE,[M-H]-,T1_RCOO-,T2_RCOO-
MMPE(14:0_18:1)-H,702.50797,227.20165,281.24865
MMPE(14:0_18:2)-H,700.49227,227.20165,279.23295
MMPE(14:0_18:3)-H,698.47667,227.20165,277.21735
MMPE(14:0_18:4)-H,696.46097,227.20165,275.20165
MMPE(14:0_19:0)-H,718.53927,227.20165,297.27995
MMPE(14:0_20:0)-H,732.55487,227.20165,311.29555
MMPE(14:0_20:1)-H,730.53927,227.20165,309.27995
MMPE(14:0_20:2)-H,728.52357,227.20165,307.26425
MMPE(14:0_20:3)-H,726.50797,227.20165,305.24865
MMPE(14:0_20:4)-H,724.49227,227.20165,303.23295
MMPE(14:0_20:5)-H,722.47667,227.20165,301.21735
MMPE(14:0_21:0)-H,746.57057,227.20165,325.31125
MMPE(14:0_22:0)-H,760.58617,227.20165,339.32685
MMPE(14:0_22:1)-H,758.57057,227.20165,337.31125
MMPE(14:0_22:2)-H,756.55487,227.20165,335.29555
MMPE(14:0_22:3)-H,754.53927,227.20165,333.27995
MMPE(14:0_22:4)-H,752.52357,227.20165,331.26425
MMPE(14:0_22:5)-H,750.50797,227.20165,329.24865
MMPE(14:0_22:6)-H,748.49227,227.20165,327.23295
MMPE(14:0_23:0)-H,774.60187,227.20165,353.34255
MMPE(14:0_24:0)-H,788.61747,227.20165,367.35815
MMPE(14:0_24:1)-H,786.60187,227.20165,365.34255
MMPE(14:0_25:0)-H,802.63317,227.20165,381.37385
MMPE(14:0_26:0)-H,816.64877,227.20165,395.38945
MMPE(14:1_14:1)-H,644.42977,225.18605,225.18605
MMPE(14:1_15:0)-H,660.46107,225.18605,241.21735
MMPE(14:1_15:1)-H,658.44537,225.18605,239.20165
MMPE(14:1_16:0)-H,674.47667,225.18605,255.23295
MMPE(14:1_16:1)-H,672.46107,225.18605,253.21735
MMPE(14:1_17:0)-H,688.49237,225.18605,269.24865
MMPE(14:1_17:1)-H,686.47667,225.18605,267.23295
MMPE(14:1_17:2)-H,684.46107,225.18605,265.21735
MMPE(14:1_18:0)-H,702.50797,225.18605,283.26425
MMPE(14:1_18:1)-H,700.49237,225.18605,281.24865
MMPE(14:1_18:2)-H,698.47667,225.18605,279.23295
MMPE(14:1_18:3)-H,696.46107,225.18605,277.21735
MMPE(14:1_18:4)-H,694.44537,225.18605,275.20165
MMPE(14:1_19:0)-H,716.52367,225.18605,297.27995
MMPE(14:1_20:0)-H,730.53927,225.18605,311.29555
MMPE(14:1_20:1)-H,728.52367,225.18605,309.27995
MMPE(14:1_20:2)-H,726.50797,225.18605,307.26425
MMPE(14:1_20:3)-H,724.49237,225.18605,305.24865
MMPE(14:1_20:4)-H,722.47667,225.18605,303.23295
MMPE(14:1_20:5)-H,720.46107,225.18605,301.21735
MMPE(14:1_21:0)-H,744.55497,225.18605,325.31125
MMPE(14:1_22:0)-H,758.57057,225.18605,339.32685
MMPE(14:1_22:1)-H,756.55497,225.18605,337.31125
MMPE(14:1_22:2)-H,754.53927,225.18605,335.29555
MMPE(14:1_22:3)-H,752.52367,225.18605,333.27995
MMPE(14:1_22:4)-H,750.50797,225.18605,331.26425
MMPE(14:1_22:5)-H,748.49237,225.18605,329.24865
MMPE(14:1_22:6)-H,746.47667,225.18605,327.23295
MMPE(14:1_23:0)-H,772.58627,225.18605,353.34255
MMPE(14:1_24:0)-H,786.60187,225.18605,367.35815
MMPE(14:1_24:1)-H,784.58627,225.18605,365.34255
MMPE(14:1_25:0)-H,800.61757,225.18605,381.37385
MMPE(14:1_26:0)-H,814.63317,225.18605,395.38945
MMPE(15:0_15:0)-H,676.49237,241.21735,241.21735
MMPE(15:0_15:1)-H,674.47667,241.21735,239.20165
MMPE(15:0_16:0)-H,690.50797,241.21735,255.23295
MMPE(15:0_16:1)-H,688.49237,241.21735,253.21735
MMPE(15:0_17:0)-H,704.52367,241.21735,269.24865
MMPE(15:0_17:1)-H,702.50797,241.21735,267.23295
MMPE(15:0_17:2)-H,700.49237,241.21735,265.21735
MMPE(15:0_18:0)-H,718.53927,241.21735,283.26425
MMPE(15:0_18:1)-H,716.52367,241.21735,281.24865
MMPE(15:0_18:2)-H,714.50797,241.21735,279.23295
MMPE(15:0_18:3)-H,712.49237,241.21735,277.21735
MMPE(15:0_18:4)-H,710.47667,241.21735,275.20165
MMPE(15:0_19:0)-H,732.55497,241.21735,297.27995
MMPE(15:0_20:0)-H,746.57057,241.21735,311.29555
MMPE(15:0_20:1)-H,744.55497,241.21735,309.27995
MMPE(15:0_20:2)-H,742.53927,241.21735,307.26425
MMPE(15:0_20:3)-H,740.52367,241.21735,305.24865
MMPE(15:0_20:4)-H,738.50797,241.21735,303.23295
MMPE(15:0_20:5)-H,736.49237,241.21735,301.21735
MMPE(15:0_21:0)-H,760.58627,241.21735,325.31125
MMPE(15:0_22:0)-H,774.60187,241.21735,339.32685
MMPE(15:0_22:1)-H,772.58627,241.21735,337.31125
MMPE(15:0_22:2)-H,770.57057,241.21735,335.29555
MMPE(15:0_22:3)-H,768.55497,241.21735,333.27995
MMPE(15:0_22:4)-H,766.53927,241.21735,331.26425
MMPE(15:0_22:5)-H,764.52367,241.21735,329.24865
MMPE(15:0_22:6)-H,762.50797,241.21735,327.23295
MMPE(15:0_23:0)-H,788.61757,241.21735,353.34255
MMPE(15:0_24:0)-H,802.63317,241.21735,367.35815
MMPE(15:0_24:1)-H,800.61757,241.21735,365.34255
MMPE(15:0_25:0)-H,816.64887,241.21735,381.37385
MMPE(15:0_26:0)-H,830.66447,241.21735,395.38945
MMPE(15:1_15:1)-H,672.46097,239.20165,239.20165
MMPE(15:1_16:0)-H,688.49227,239.20165,255.23295
MMPE(15:1_16:1)-H,686.47667,239.20165,253.21735
MMPE(15:1_17:0)-H,702.50797,239.20165,269.24865
MMPE(15:1_17:1)-H,700.49227,239.20165,267.23295
MMPE(15:1_17:2)-H,698.47667,239.20165,265.21735
MMPE(15:1_18:0)-H,716.52357,239.20165,283.26425
MMPE(15:1_18:1)-H,714.50797,239.20165,281.24865
MMPE(15:1_18:2)-H,712.49227,239.20165,279.23295
MMPE(15:1_18:3)-H,710.47667,239.20165,277.21735
MMPE(15:1_18:4)-H,708.46097,239.20165,275.20165
MMPE(15:1_19:0)-H,730.53927,239.20165,297.27995
MMPE(15:1_20:0)-H,744.55487,239.20165,311.29555
MMPE(15:1_20:1)-H,742.53927,239.20165,309.27995
MMPE(15:1_20:2)-H,740.52357,239.20165,307.26425
MMPE(15:1_20:3)-H,738.50797,239.20165,305.24865
MMPE(15:1_20:4)-H,736.49227,239.20165,303.23295
MMPE(15:1_20:5)-H,734.47667,239.20165,301.21735
MMPE(15:1_21:0)-H,758.57057,239.20165,325.31125
MMPE(15:1_22:0)-H,772.58617,239.20165,339.32685
MMPE(15:1_22:1)-H,770.57057,239.20165,337.31125
MMPE(15:1_22:2)-H,768.55487,239.20165,335.29555
MMPE(15:1_22:3)-H,766.53927,239.20165,333.27995
MMPE(15:1_22:4)-H,764.52357,239.20165,331.26425
MMPE(15:1_22:5)-H,762.50797,239.20165,329.24865
MMPE(15:1_22:6)-H,760.49227,239.20165,327.23295
MMPE(15:1_23:0)-H,786.60187,239.20165,353.34255
MMPE(15:1_24:0)-H,800.61747,239.20165,367.35815
MMPE(15:1_24:1)-H,798.60187,239.20165,365.34255
MMPE(15:1_25:0)-H,814.63317,239.20165,381.37385
MMPE(15:1_26:0)-H,828.64877,239.20165,395.38945
MMPE(16:0_16:0)-H,704.52357,255.23295,255.23295
MMPE(16:0_16:1)-H,702.50797,255.23295,253.21735
MMPE(16:0_17:0)-H,718.53927,255.23295,269.24865
MMPE(16:0_17:1)-H,716.52357,255.23295,267.23295
MMPE(16:0_17:2)-H,714.50797,255.23295,265.21735
MMPE(16:0_18:0)-H,732.55487,255.23295,283.26425
MMPE(16:0_18:1)-H,730.53927,255.23295,281.24865
MMPE(16:0_18:2)-H,728.52357,255.23295,279.23295
MMPE(16:0_18:3)-H,726.50797,255.23295,277.21735
MMPE(16:0_18:4)-H,724.49227,255.23295,275.20165
MMPE(16:0_19:0)-H,746.57057,255.23295,297.27995
MMPE(16:0_20:0)-H,760.58617,255.23295,311.29555
MMPE(16:0_20:1)-H,758.57057,255.23295,309.27995
MMPE(16:0_20:2)-H,756.55487,255.23295,307.26425
MMPE(16:0_20:3)-H,754.53927,255.23295,305.24865
MMPE(16:0_20:4)-H,752.52357,255.23295,303.23295
MMPE(16:0_20:5)-H,750.50797,255.23295,301.21735
MMPE(16:0_21:0)-H,774.60187,255.23295,325.31125
MMPE(16:0_22:0)-H,788.61747,255.23295,339.32685
MMPE(16:0_22:1)-H,786.60187,255.23295,337.31125
MMPE(16:0_22:2)-H,784.58617,255.23295,335.29555
MMPE(16:0_22:3)-H,782.57057,255.23295,333.27995
MMPE(16:0_22:4)-H,780.55487,255.23295,331.26425
MMPE(16:0_22:5)-H,778.53927,255.23295,329.24865
MMPE(16:0_22:6)-H,776.52357,255.23295,327.23295
MMPE(16:0_23:0)-H,802.63317,255.23295,353.34255
MMPE(16:0_24:0)-H,816.64877,255.23295,367.35815
MMPE(16:0_24:1)-H,814.63317,255.23295,365.34255
MMPE(16:0_25:0)-H,830.66447,255.23295,381.37385
MMPE(16:0_26:0)-H,844.68007,255.23295,395.38945
MMPE(16:1_16:1)-H,700.49237,253.21735,253.21735
MMPE(16:1_17:0)-H,716.52367,253.21735,269.24865
MMPE(16:1_17:1)-H,714.50797,253.21735,267.23295
MMPE(16:1_17:2)-H,712.49237,253.21735,265.21735
MMPE(16:1_18:0)-H,730.53927,253.21735,283.26425
MMPE(16:1_18:1)-H,728.52367,253.21735,281.24865
MMPE(16:1_18:2)-H,726.50797,253.21735,279.23295
MMPE(16:1_18:3)-H,724.49237,253.21735,277.21735
MMPE(16:1_18:4)-H,722.47667,253.21735,275.20165
MMPE(16:1_19:0)-H,744.55497,253.21735,297.27995
MMPE(16:1_20:0)-H,758.57057,253.21735,311.29555
MMPE(16:1_20:1)-H,756.55497,253.21735,309.27995
MMPE(16:1_20:2)-H,754.53927,253.21735,307.26425
MMPE(16:1_20:3)-H,752.52367,253.21735,305.24865
MMPE(16:1_20:4)-H,750.50797,253.21735,303.23295
MMPE(16:1_20:5)-H,748.49237,253.21735,301.21735
MMPE(16:1_21:0)-H,772.58627,253.21735,325.31125
MMPE(16:1_22:0)-H,786.60187,253.21735,339.32685
MMPE(16:1_22:1)-H,784.58627,253.21735,337.31125
MMPE(16:1_22:2)-H,782.57057,253.21735,335.29555
MMPE(16:1_22:3)-H,780.55497,253.21735,333.27995
MMPE(16:1_22:4)-H,778.53927,253.21735,331.26425
MMPE(16:1_22:5)-H,776.52367,253.21735,329.24865
MMPE(16:1_22:6)-H,774.50797,253.21735,327.23295
MMPE(16:1_23:0)-H,800.61757,253.21735,353.34255
MMPE(16:1_24:0)-H,814.63317,253.21735,367.35815
MMPE(16:1_24:1)-H,812.61757,253.21735,365.34255
MMPE(16:1_25:0)-H,828.64887,253.21735,381.37385
MMPE(16:1_26:0)-H,842.66447,253.21735,395.38945
MMPE(17:0_17:0)-H,732.55497,269.24865,269.24865
MMPE(17:0_17:1)-H,730.53927,269.24865,267.23295
MMPE(17:0_17:2)-H,728.52367,269.24865,265.21735
MMPE(17:0_18:0)-H,746.57057,269.24865,283.26425
MMPE(17:0_18:1)-H,744.55497,269.24865,281.24865
MMPE(17:0_18:2)-H,742.53927,269.24865,279.23295
MMPE(17:0_18:3)-H,740.52367,269.24865,277.21735
MMPE(17:0_18:4)-H,738.50797,269.24865,275.20165
MMPE(17:0_19:0)-H,760.58627,269.24865,297.27995
MMPE(17:0_20:0)-H,774.60187,269.24865,311.29555
MMPE(17:0_20:1)-H,772.58627,269.24865,309.27995
MMPE(17:0_20:2)-H,770.57057,269.24865,307.26425
MMPE(17:0_20:3)-H,768.55497,269.24865,305.24865
MMPE(17:0_20:4)-H,766.53927,269.24865,303.23295
MMPE(17:0_20:5)-H,764.52367,269.24865,301.21735
MMPE(17:0_21:0)-H,788.61757,269.24865,325.31125
MMPE(17:0_22:0)-H,802.63317,269.24865,339.32685
MMPE(17:0_22:1)-H,800.61757,269.24865,337.31125
MMPE(17:0_22:2)-H,798.60187,269.24865,335.29555
MMPE(17:0_22:3)-H,796.58627,269.24865,333.27995
MMPE(17:0_22:4)-H,794.57057,269.24865,331.26425
MMPE(17:0_22:5)-H,792.55497,269.24865,329.24865
MMPE(17:0_22:6)-H,790.53927,269.24865,327.23295
MMPE(17:0_23:0)-H,816.64887,269.24865,353.34255
MMPE(17:0_24:0)-H,830.66447,269.24865,367.35815
MMPE(17:0_24:1)-H,828.64887,269.24865,365.34255
MMPE(17:0_25:0)-H,844.68017,269.24865,381.37385
MMPE(17:0_26:0)-H,858.69577,269.24865,395.38945
MMPE(17:1_17:1)-H,728.52357,267.23295,267.23295
MMPE(17:1_17:2)-H,726.50797,267.23295,265.21735
MMPE(17:1_18:0)-H,744.55487,267.23295,283.26425
MMPE(17:1_18:1)-H,742.53927,267.23295,281.24865
MMPE(17:1_18:2)-H,740.52357,267.23295,279.23295
MMPE(17:1_18:3)-H,738.50797,267.23295,277.21735
MMPE(17:1_18:4)-H,736.49227,267.23295,275.20165
MMPE(17:1_19:0)-H,758.57057,267.23295,297.27995
MMPE(17:1_20:0)-H,772.58617,267.23295,311.29555
MMPE(17:1_20:1)-H,770.57057,267.23295,309.27995
MMPE(17:1_20:2)-H,768.55487,267.23295,307.26425
MMPE(17:1_20:3)-H,766.53927,267.23295,305.24865
MMPE(17:1_20:4)-H,764.52357,267.23295,303.23295
MMPE(17:1_20:5)-H,762.50797,267.23295,301.21735
MMPE(17:1_21:0)-H,786.60187,267.23295,325.31125
MMPE(17:1_22:0)-H,800.61747,267.23295,339.32685
MMPE(17:1_22:1)-H,798.60187,267.23295,337.31125
MMPE(17:1_22:2)-H,796.58617,267.23295,335.29555
MMPE(17:1_22:3)-H,794.57057,267.23295,333.27995
MMPE(17:1_22:4)-H,792.55487,267.23295,331.26425
MMPE(17:1_22:5)-H,790.53927,267.23295,329.24865
MMPE(17:1_22:6)-H,788.52357,267.23295,327.23295
MMPE(17:1_23:0)-H,814.63317,267.23295,353.34255
MMPE(17:1_24:0)-H,828.64877,267.23295,367.35815
MMPE(17:1_24:1)-H,826.63317,267.23295,365.34255
MMPE(17:1_25:0)-H,842.66447,267.23295,381.37385
MMPE(17:1_26:0)-H,856.68007,267.23295,395.38945
MMPE(17:2_17:2)-H,724.49237,265.21735,265.21735
MMPE(17:2_18:0)-H,742.53927,265.21735,283.26425
MMPE(17:2_18:1)-H,740.52367,265.21735,281.24865
MMPE(17:2_18:2)-H,738.50797,265.21735,279.23295
MMPE(17:2_18:3)-H,736.49237,265.21735,277.21735
MMPE(17:2_18:4)-H,734.47667,265.21735,275.20165
MMPE(17:2_19:0)-H,756.55497,265.21735,297.27995
MMPE(17:2_20:0)-H,770.57057,265.21735,311.29555
MMPE(17:2_20:1)-H,768.55497,265.21735,309.27995
MMPE(17:2_20:2)-H,766.53927,265.21735,307.26425
MMPE(17:2_20:3)-H,764.52367,265.21735,305.24865
MMPE(17:2_20:4)-H,762.50797,265.21735,303.23295
MMPE(17:2_20:5)-H,760.49237,265.21735,301.21735
MMPE(17:2_21:0)-H,784.58627,265.21735,325.31125
MMPE(17:2_22:0)-H,798.60187,265.21735,339.32685
MMPE(17:2_22:1)-H,796.58627,265.21735,337.31125
MMPE(17:2_22:2)-H,794.57057,265.21735,335.29555
MMPE(17:2_22:3)-H,792.55497,265.21735,333.27995
MMPE(17:2_22:4)-H,790.53927,265.21735,331.26425
MMPE(17:2_22:5)-H,788.52367,265.21735,329.24865
MMPE(17:2_22:6)-H,786.50797,265.21735,327.23295
MMPE(17:2_23:0)-H,812.61757,265.21735,353.34255
MMPE(17:2_24:0)-H,826.63317,265.21735,367.35815
MMPE(17:2_24:1)-H,824.61757,265.21735,365.34255
MMPE(17:2_25:0)-H,840.64887,265.21735,381.37385
MMPE(17:2_26:0)-H,854.66447,265.21735,395.38945
MMPE(18:0_18:0)-H,760.58617,283.26425,283.26425
MMPE(18:0_18:1)-H,758.57057,283.26425,281.24865
MMPE(18:0_18:2)-H,756.55487,283.26425,279.23295
MMPE(18:0_18:3)-H,754.53927,283.26425,277.21735
MMPE(18:0_18:4)-H,752.52357,283.26425,275.20165
MMPE(18:0_19:0)-H,774.60187,283.26425,297.27995
MMPE(18:0_20:0)-H,788.61747,283.26425,311.29555
MMPE(18:0_20:1)-H,786.60187,283.26425,309.27995
MMPE(18:0_20:2)-H,784.58617,283.26425,307.26425
MMPE(18:0_20:3)-H,782.57057,283.26425,305.24865
MMPE(18:0_20:4)-H,780.55487,283.26425,303.23295
MMPE(18:0_20:5)-H,778.53927,283.26425,301.21735
MMPE(18:0_21:0)-H,802.63317,283.26425,325.31125
MMPE(18:0_22:0)-H,816.64877,283.26425,339.32685
MMPE(18:0_22:1)-H,814.63317,283.26425,337.31125
MMPE(18:0_22:2)-H,812.61747,283.26425,335.29555
MMPE(18:0_22:3)-H,810.60187,283.26425,333.27995
MMPE(18:0_22:4)-H,808.58617,283.26425,331.26425
MMPE(18:0_22:5)-H,806.57057,283.26425,329.24865
MMPE(18:0_22:6)-H,804.55487,283.26425,327.23295
MMPE(18:0_23:0)-H,830.66447,283.26425,353.34255
MMPE(18:0_24:0)-H,844.68007,283.26425,367.35815
MMPE(18:0_24:1)-H,842.66447,283.26425,365.34255
MMPE(18:0_25:0)-H,858.69577,283.26425,381.37385
MMPE(18:0_26:0)-H,872.71137,283.26425,395.38945
MMPE(18:1_18:1)-H,756.55497,281.24865,281.24865
MMPE(18:1_18:2)-H,754.53927,281.24865,279.23295
MMPE(18:1_18:3)-H,752.52367,281.24865,277.21735
MMPE(18:1_18:4)-H,750.50797,281.24865,275.20165
MMPE(18:1_19:0)-H,772.58627,281.24865,297.27995
MMPE(18:1_20:0)-H,786.60187,281.24865,311.29555
