MGDG,[M+NH4]+,DG [M+H]+,DG [M+H-H2O]+ ,sn1_NL,sn2_NL,sn1_acylChain([RC=O]+),sn2_acylChain([RC=O]+)
MGDG(14:0_22:1)+NH4,802.64027,623.56097,605.5504,395.35217,285.24269,211.20566,321.31514
MGDG(14:0_22:2)+NH4,800.62462,621.54532,603.53475,393.33652,285.24268,211.20566,319.2995
MGDG(14:0_22:4)+NH4,796.59332,617.51402,599.50345,389.30522,285.24266,211.20566,315.26822
MGDG(14:0_22:5)+NH4,794.57762,615.49832,597.48775,387.28952,285.2426,211.20566,313.25258
MGDG(14:0_22:6)+NH4,792.56202,613.48272,595.47215,385.27392,285.24264,211.20566,311.23694
MGDG(14:0_23:0)+NH4,818.67158,639.59228,621.58171,411.38348,285.24272,211.20566,337.34642
MGDG(14:0_24:0)+NH4,832.68722,653.60792,635.59735,425.39912,285.24272,211.20566,351.36206
MGDG(14:0_24:1)+NH4,830.67158,651.59228,633.58171,423.38348,285.24272,211.20566,349.34642
MGDG(14:0_24:4)+NH4,824.62462,645.54532,627.53475,417.33652,285.24268,211.20566,343.2995
MGDG(14:0_25:0)+NH4,846.70289,667.62359,649.61302,439.41479,285.24275,211.20566,365.3777
MGDG(14:0_26:0)+NH4,860.71852,681.63922,663.62865,453.43042,285.24274,211.20566,379.39334
MGDG(14:0_26:1)+NH4,858.70289,679.62359,661.61302,451.41479,285.24275,211.20566,377.3777
MGDG(14:0_26:2)+NH4,856.68722,677.60792,659.59735,449.39912,285.24272,211.20566,375.36206
MGDG(14:1_14:1)+NH4,688.49942,509.42012,491.40955,283.22696,283.22696,209.19002,209.19002
MGDG(14:1_15:0)+NH4,704.53072,525.45142,507.44085,299.25826,283.22698,209.19002,225.2213
MGDG(14:1_15:1)+NH4,702.51508,523.43578,505.42521,297.24262,283.22698,209.19002,223.20566
MGDG(14:1_16:0)+NH4,718.54642,539.46712,521.45655,313.27396,283.22704,209.19002,239.23694
MGDG(14:1_16:1)+NH4,716.53072,537.45142,519.44085,311.25826,283.22698,209.19002,237.2213
MGDG(14:1_17:0)+NH4,732.56202,553.48272,535.47215,327.28956,283.227,209.19002,253.25258
MGDG(14:1_17:1)+NH4,730.54642,551.46712,533.45655,325.27396,283.22704,209.19002,251.23694
MGDG(14:1_17:2)+NH4,728.53072,549.45142,531.44085,323.25826,283.22698,209.19002,249.2213
MGDG(14:1_18:0)+NH4,746.57762,567.49832,549.48775,341.30516,283.22696,209.19002,267.26822
MGDG(14:1_18:1)+NH4,744.56202,565.48272,547.47215,339.28956,283.227,209.19002,265.25258
MGDG(14:1_18:2)+NH4,742.54642,563.46712,545.45655,337.27396,283.22704,209.19002,263.23694
MGDG(14:1_18:3)+NH4,740.53072,561.45142,543.44085,335.25826,283.22698,209.19002,261.2213
MGDG(14:1_18:4)+NH4,738.51508,559.43578,541.42521,333.24262,283.22698,209.19002,259.20566
MGDG(14:1_19:0)+NH4,760.59332,581.51402,563.50345,355.32086,283.22702,209.19002,281.28386
MGDG(14:1_20:0)+NH4,774.60895,595.52965,577.51908,369.33649,283.22701,209.19002,295.2995
MGDG(14:1_20:1)+NH4,772.59332,593.51402,575.50345,367.32086,283.22702,209.19002,293.28386
MGDG(14:1_20:2)+NH4,770.57762,591.49832,573.48775,365.30516,283.22696,209.19002,291.26822
MGDG(14:1_20:3)+NH4,768.56202,589.48272,571.47215,363.28956,283.227,209.19002,289.25258
MGDG(14:1_20:4)+NH4,766.54642,587.46712,569.45655,361.27396,283.22704,209.19002,287.23694
MGDG(14:1_20:5)+NH4,764.53072,585.45142,567.44085,359.25826,283.22698,209.19002,285.2213
MGDG(14:1_21:0)+NH4,788.62462,609.54532,591.53475,383.35216,283.22704,209.19002,309.31514
MGDG(14:1_22:0)+NH4,802.64027,623.56097,605.5504,397.36781,283.22705,209.19002,323.33078
MGDG(14:1_22:1)+NH4,800.62462,621.54532,603.53475,395.35216,283.22704,209.19002,321.31514
MGDG(14:1_22:2)+NH4,798.60895,619.52965,601.51908,393.33649,283.22701,209.19002,319.2995
MGDG(14:1_22:4)+NH4,794.57762,615.49832,597.48775,389.30516,283.22696,209.19002,315.26822
MGDG(14:1_22:5)+NH4,792.56202,613.48272,595.47215,387.28956,283.227,209.19002,313.25258
MGDG(14:1_22:6)+NH4,790.54642,611.46712,593.45655,385.27396,283.22704,209.19002,311.23694
MGDG(14:1_23:0)+NH4,816.65592,637.57662,619.56605,411.38346,283.22706,209.19002,337.34642
MGDG(14:1_24:0)+NH4,830.67158,651.59228,633.58171,425.39912,283.22708,209.19002,351.36206
MGDG(14:1_24:1)+NH4,828.65592,649.57662,631.56605,423.38346,283.22706,209.19002,349.34642
MGDG(14:1_24:4)+NH4,822.60895,643.52965,625.51908,417.33649,283.22701,209.19002,343.2995
MGDG(14:1_25:0)+NH4,844.68722,665.60792,647.59735,439.41476,283.22708,209.19002,365.3777
MGDG(14:1_26:0)+NH4,858.70289,679.62359,661.61302,453.43043,283.22711,209.19002,379.39334
MGDG(14:1_26:1)+NH4,856.68722,677.60792,659.59735,451.41476,283.22708,209.19002,377.3777
MGDG(14:1_26:2)+NH4,854.67158,675.59228,657.58171,449.39912,283.22708,209.19002,375.36206
MGDG(15:0_15:0)+NH4,720.56202,541.48272,523.47215,299.25828,299.25828,225.2213,225.2213
MGDG(15:0_15:1)+NH4,718.54642,539.46712,521.45655,297.24268,299.25832,225.2213,223.20566
MGDG(15:0_16:0)+NH4,734.57762,555.49832,537.48775,313.27388,299.25824,225.2213,239.23694
MGDG(15:0_16:1)+NH4,732.56202,553.48272,535.47215,311.25828,299.25828,225.2213,237.2213
MGDG(15:0_17:0)+NH4,748.59332,569.51402,551.50345,327.28958,299.2583,225.2213,253.25258
MGDG(15:0_17:1)+NH4,746.57762,567.49832,549.48775,325.27388,299.25824,225.2213,251.23694
MGDG(15:0_17:2)+NH4,744.56202,565.48272,547.47215,323.25828,299.25828,225.2213,249.2213
MGDG(15:0_18:0)+NH4,762.60895,583.52965,565.51908,341.30521,299.25829,225.2213,267.26822
MGDG(15:0_18:1)+NH4,760.59332,581.51402,563.50345,339.28958,299.2583,225.2213,265.25258
MGDG(15:0_18:2)+NH4,758.57762,579.49832,561.48775,337.27388,299.25824,225.2213,263.23694
MGDG(15:0_18:3)+NH4,756.56202,577.48272,559.47215,335.25828,299.25828,225.2213,261.2213
MGDG(15:0_18:4)+NH4,754.54642,575.46712,557.45655,333.24268,299.25832,225.2213,259.20566
MGDG(15:0_19:0)+NH4,776.62462,597.54532,579.53475,355.32088,299.25832,225.2213,281.28386
MGDG(15:0_20:0)+NH4,790.64027,611.56097,593.5504,369.33653,299.25833,225.2213,295.2995
MGDG(15:0_20:1)+NH4,788.62462,609.54532,591.53475,367.32088,299.25832,225.2213,293.28386
MGDG(15:0_20:2)+NH4,786.60895,607.52965,589.51908,365.30521,299.25829,225.2213,291.26822
MGDG(15:0_20:3)+NH4,784.59332,605.51402,587.50345,363.28958,299.2583,225.2213,289.25258
MGDG(15:0_20:4)+NH4,782.57762,603.49832,585.48775,361.27388,299.25824,225.2213,287.23694
MGDG(15:0_20:5)+NH4,780.56202,601.48272,583.47215,359.25828,299.25828,225.2213,285.2213
MGDG(15:0_21:0)+NH4,804.65592,625.57662,607.56605,383.35218,299.25834,225.2213,309.31514
MGDG(15:0_22:0)+NH4,818.67158,639.59228,621.58171,397.36784,299.25836,225.2213,323.33078
MGDG(15:0_22:1)+NH4,816.65592,637.57662,619.56605,395.35218,299.25834,225.2213,321.31514
MGDG(15:0_22:2)+NH4,814.64027,635.56097,617.5504,393.33653,299.25833,225.2213,319.2995
MGDG(15:0_22:4)+NH4,810.60895,631.52965,613.51908,389.30521,299.25829,225.2213,315.26822
MGDG(15:0_22:5)+NH4,808.59332,629.51402,611.50345,387.28958,299.2583,225.2213,313.25258
