PG,[M+H]+,NL Head,FA1_NL_OH,FA2_NL_OH,exp_1,exp_2,exp_3
PG(13:0_22:2)+H,761.53281,590.52691,271.2268,393.3363,71.0856,95.0855,123.1168
PG(13:0_22:3)+H,759.51721,588.51131,271.2268,391.3207,71.0856,95.0855,123.1168
PG(13:0_22:4)+H,757.50151,586.49561,271.2268,389.305,71.0856,95.0855,123.1168
PG(13:0_22:5)+H,755.48591,584.48001,271.2268,387.2894,71.0856,95.0855,123.1168
PG(13:0_22:6)+H,753.47021,582.46431,271.2268,385.2737,71.0856,95.0855,123.1168
PG(13:0_23:0)+H,779.57981,608.57391,271.2268,411.3833,71.0856,95.0855,123.1168
PG(13:0_24:0)+H,793.59541,622.58951,271.2268,425.3989,71.0856,95.0855,123.1168
PG(13:0_24:1)+H,791.57981,620.57391,271.2268,423.3833,71.0856,95.0855,123.1168
PG(13:0_25:0)+H,807.61111,636.60521,271.2268,439.4146,71.0856,95.0855,123.1168
PG(13:0_26:0)+H,821.62671,650.62081,271.2268,453.4302,71.0856,95.0855,123.1168
PG(14:0_14:0)+H,667.45451,496.44861,285.2424,285.2424,71.0856,95.0855,123.1168
PG(14:0_14:1)+H,665.43891,494.43301,285.2424,283.2268,71.0856,95.0855,123.1168
PG(14:0_15:0)+H,681.47021,510.46431,285.2424,299.2581,71.0856,95.0855,123.1168
PG(14:0_15:1)+H,679.45451,508.44861,285.2424,297.2424,71.0856,95.0855,123.1168
PG(14:0_16:0)+H,695.48581,524.47991,285.2424,313.2737,71.0856,95.0855,123.1168
PG(14:0_16:1)+H,693.47021,522.46431,285.2424,311.2581,71.0856,95.0855,123.1168
PG(14:0_17:0)+H,709.50151,538.49561,285.2424,327.2894,71.0856,95.0855,123.1168
PG(14:0_17:1)+H,707.48581,536.47991,285.2424,325.2737,71.0856,95.0855,123.1168
PG(14:0_17:2)+H,705.47021,534.46431,285.2424,323.2581,71.0856,95.0855,123.1168
PG(14:0_18:0)+H,723.51711,552.51121,285.2424,341.305,71.0856,95.0855,123.1168
PG(14:0_18:1)+H,721.50151,550.49561,285.2424,339.2894,71.0856,95.0855,123.1168
PG(14:0_18:2)+H,719.48581,548.47991,285.2424,337.2737,71.0856,95.0855,123.1168
PG(14:0_18:3)+H,717.47021,546.46431,285.2424,335.2581,71.0856,95.0855,123.1168
PG(14:0_18:4)+H,715.45451,544.44861,285.2424,333.2424,71.0856,95.0855,123.1168
PG(14:0_19:0)+H,737.53281,566.52691,285.2424,355.3207,71.0856,95.0855,123.1168
PG(14:0_20:0)+H,751.54841,580.54251,285.2424,369.3363,71.0856,95.0855,123.1168
PG(14:0_20:1)+H,749.53281,578.52691,285.2424,367.3207,71.0856,95.0855,123.1168
PG(14:0_20:2)+H,747.51711,576.51121,285.2424,365.305,71.0856,95.0855,123.1168
PG(14:0_20:3)+H,745.50151,574.49561,285.2424,363.2894,71.0856,95.0855,123.1168
PG(14:0_20:4)+H,743.48581,572.47991,285.2424,361.2737,71.0856,95.0855,123.1168
PG(14:0_20:5)+H,741.47021,570.46431,285.2424,359.2581,71.0856,95.0855,123.1168
PG(14:0_21:0)+H,765.56411,594.55821,285.2424,383.352,71.0856,95.0855,123.1168
PG(14:0_22:0)+H,779.57971,608.57381,285.2424,397.3676,71.0856,95.0855,123.1168
PG(14:0_22:1)+H,777.56411,606.55821,285.2424,395.352,71.0856,95.0855,123.1168
PG(14:0_22:2)+H,775.54841,604.54251,285.2424,393.3363,71.0856,95.0855,123.1168
PG(14:0_22:3)+H,773.53281,602.52691,285.2424,391.3207,71.0856,95.0855,123.1168
PG(14:0_22:4)+H,771.51711,600.51121,285.2424,389.305,71.0856,95.0855,123.1168
PG(14:0_22:5)+H,769.50151,598.49561,285.2424,387.2894,71.0856,95.0855,123.1168
PG(14:0_22:6)+H,767.48581,596.47991,285.2424,385.2737,71.0856,95.0855,123.1168
PG(14:0_23:0)+H,793.59541,622.58951,285.2424,411.3833,71.0856,95.0855,123.1168
PG(14:0_24:0)+H,807.61101,636.60511,285.2424,425.3989,71.0856,95.0855,123.1168
PG(14:0_24:1)+H,805.59541,634.58951,285.2424,423.3833,71.0856,95.0855,123.1168
PG(14:0_25:0)+H,821.62671,650.62081,285.2424,439.4146,71.0856,95.0855,123.1168
PG(14:0_26:0)+H,835.64231,664.63641,285.2424,453.4302,71.0856,95.0855,123.1168
PG(14:1_14:1)+H,663.42331,492.41741,283.2268,283.2268,71.0856,95.0855,123.1168
PG(14:1_15:0)+H,679.45461,508.44871,283.2268,299.2581,71.0856,95.0855,123.1168
PG(14:1_15:1)+H,677.43891,506.43301,283.2268,297.2424,71.0856,95.0855,123.1168
PG(14:1_16:0)+H,693.47021,522.46431,283.2268,313.2737,71.0856,95.0855,123.1168
PG(14:1_16:1)+H,691.45461,520.44871,283.2268,311.2581,71.0856,95.0855,123.1168
PG(14:1_17:0)+H,707.48591,536.48001,283.2268,327.2894,71.0856,95.0855,123.1168
PG(14:1_17:1)+H,705.47021,534.46431,283.2268,325.2737,71.0856,95.0855,123.1168
PG(14:1_17:2)+H,703.45461,532.44871,283.2268,323.2581,71.0856,95.0855,123.1168
PG(14:1_18:0)+H,721.50151,550.49561,283.2268,341.305,71.0856,95.0855,123.1168
PG(14:1_18:1)+H,719.48591,548.48001,283.2268,339.2894,71.0856,95.0855,123.1168
PG(14:1_18:2)+H,717.47021,546.46431,283.2268,337.2737,71.0856,95.0855,123.1168
PG(14:1_18:3)+H,715.45461,544.44871,283.2268,335.2581,71.0856,95.0855,123.1168
PG(14:1_18:4)+H,713.43891,542.43301,283.2268,333.2424,71.0856,95.0855,123.1168
PG(14:1_19:0)+H,735.51721,564.51131,283.2268,355.3207,71.0856,95.0855,123.1168
PG(14:1_20:0)+H,749.53281,578.52691,283.2268,369.3363,71.0856,95.0855,123.1168
PG(14:1_20:1)+H,747.51721,576.51131,283.2268,367.3207,71.0856,95.0855,123.1168
PG(14:1_20:2)+H,745.50151,574.49561,283.2268,365.305,71.0856,95.0855,123.1168
PG(14:1_20:3)+H,743.48591,572.48001,283.2268,363.2894,71.0856,95.0855,123.1168
PG(14:1_20:4)+H,741.47021,570.46431,283.2268,361.2737,71.0856,95.0855,123.1168
PG(14:1_20:5)+H,739.45461,568.44871,283.2268,359.2581,71.0856,95.0855,123.1168
PG(14:1_21:0)+H,763.54851,592.54261,283.2268,383.352,71.0856,95.0855,123.1168
PG(14:1_22:0)+H,777.56411,606.55821,283.2268,397.3676,71.0856,95.0855,123.1168
PG(14:1_22:1)+H,775.54851,604.54261,283.2268,395.352,71.0856,95.0855,123.1168
PG(14:1_22:2)+H,773.53281,602.52691,283.2268,393.3363,71.0856,95.0855,123.1168
PG(14:1_22:3)+H,771.51721,600.51131,283.2268,391.3207,71.0856,95.0855,123.1168
PG(14:1_22:4)+H,769.50151,598.49561,283.2268,389.305,71.0856,95.0855,123.1168
PG(14:1_22:5)+H,767.48591,596.48001,283.2268,387.2894,71.0856,95.0855,123.1168
