BMP,[M+NH4]+,[M-C3H8O6P]+,[SN2+C3H5O]+,[SN1+C3H5O]+
BMP(6:0_21:2)+NH4,666.4341,477.3949,379.3207,173.1172
BMP(6:0_22:0)+NH4,684.481,495.4419,397.3676,173.1172
BMP(6:0_22:1)+NH4,682.4653,493.4262,395.352,173.1172
BMP(6:0_22:2)+NH4,680.4497,491.4106,393.3363,173.1172
BMP(6:0_22:3)+NH4,678.4341,489.3949,391.3207,173.1172
BMP(6:0_22:4)+NH4,676.4184,487.3793,389.305,173.1172
BMP(6:0_22:5)+NH4,674.4028,485.3636,387.2894,173.1172
BMP(6:0_22:6)+NH4,672.3871,483.348,385.2737,173.1172
BMP(6:0_23:0)+NH4,698.4966,509.4575,411.3833,173.1172
BMP(6:0_24:0)+NH4,712.5123,523.4732,425.3989,173.1172
BMP(6:0_24:1)+NH4,710.4966,521.4575,423.3833,173.1172
BMP(6:0_24:2)+NH4,708.481,519.4419,421.3676,173.1172
BMP(6:0_24:4)+NH4,704.4497,515.4106,417.3363,173.1172
BMP(6:0_25:0)+NH4,726.528,537.4888,439.4146,173.1172
BMP(6:0_26:0)+NH4,740.5436,551.5045,453.4302,173.1172
BMP(6:0_26:1)+NH4,738.528,549.4888,451.4146,173.1172
BMP(6:0_26:2)+NH4,736.5123,547.4732,449.3989,173.1172
BMP(6:0_26:4)+NH4,732.481,543.4419,445.3676,173.1172
BMP(6:0_27:0)+NH4,754.5593,565.5201,467.4459,173.1172
BMP(7:0_7:0)+NH4,488.2619,299.2228,187.1329,187.1329
BMP(7:0_8:0)+NH4,502.2776,313.2384,201.1485,187.1329
BMP(7:0_9:0)+NH4,516.2932,327.2541,215.1642,187.1329
BMP(7:0_10:0)+NH4,530.3088,341.2697,229.1798,187.1329
BMP(7:0_11:0)+NH4,544.3245,355.2854,243.1955,187.1329
BMP(7:0_12:0)+NH4,558.3401,369.301,257.2111,187.1329
BMP(7:0_13:0)+NH4,572.3558,383.3167,271.2268,187.1329
BMP(7:0_13:1)+NH4,570.3401,381.301,269.2111,187.1329
BMP(7:0_14:0)+NH4,586.3715,397.3323,285.2424,187.1329
BMP(7:0_14:1)+NH4,584.3558,395.3167,283.2268,187.1329
BMP(7:0_15:0)+NH4,600.3871,411.348,299.2581,187.1329
BMP(7:0_15:1)+NH4,598.3715,409.3323,297.2424,187.1329
BMP(7:0_16:0)+NH4,614.4028,425.3636,313.2737,187.1329
BMP(7:0_16:1)+NH4,612.3871,423.348,311.2581,187.1329
BMP(7:0_16:2)+NH4,610.3715,421.3323,309.2424,187.1329
BMP(7:0_16:3)+NH4,608.3558,419.3167,307.2268,187.1329
BMP(7:0_16:4)+NH4,606.3401,417.301,305.2111,187.1329
BMP(7:0_17:0)+NH4,628.4184,439.3793,327.2894,187.1329
BMP(7:0_17:1)+NH4,626.4028,437.3636,325.2737,187.1329
BMP(7:0_17:2)+NH4,624.3871,435.348,323.2581,187.1329
BMP(7:0_18:0)+NH4,642.4341,453.3949,341.305,187.1329
BMP(7:0_18:1)+NH4,640.4184,451.3793,339.2894,187.1329
BMP(7:0_18:2)+NH4,638.4028,449.3636,337.2737,187.1329
BMP(7:0_18:3)+NH4,636.3871,447.348,335.2581,187.1329
BMP(7:0_18:4)+NH4,634.3715,445.3323,333.2424,187.1329
BMP(7:0_18:5)+NH4,632.3558,443.3167,331.2268,187.1329
BMP(7:0_19:0)+NH4,656.4497,467.4106,355.3207,187.1329
BMP(7:0_19:1)+NH4,654.4341,465.3949,353.305,187.1329
BMP(7:0_19:2)+NH4,652.4184,463.3793,351.2894,187.1329
BMP(7:0_20:0)+NH4,670.4653,481.4262,369.3363,187.1329
BMP(7:0_20:1)+NH4,668.4497,479.4106,367.3207,187.1329
BMP(7:0_20:2)+NH4,666.4341,477.3949,365.305,187.1329
BMP(7:0_20:3)+NH4,664.4184,475.3793,363.2894,187.1329
BMP(7:0_20:4)+NH4,662.4028,473.3636,361.2737,187.1329
BMP(7:0_20:5)+NH4,660.3871,471.348,359.2581,187.1329
BMP(7:0_21:0)+NH4,684.481,495.4419,383.352,187.1329
BMP(7:0_21:1)+NH4,682.4653,493.4262,381.3363,187.1329
BMP(7:0_21:2)+NH4,680.4497,491.4106,379.3207,187.1329
BMP(7:0_22:0)+NH4,698.4966,509.4575,397.3676,187.1329
BMP(7:0_22:1)+NH4,696.481,507.4419,395.352,187.1329
