Sulfatide,[M-H]-,M-H-H2O-,prec-_sn2,prec-_sn2-H20,Ion_C6H9O8S-,ion_SO4H-
Sulfatide(d17:1_26:1)-H,902.6396635,884.6291035,526.2693835,508.2588235,241.00236,96.96011
Sulfatide(d18:0_2:0)-H,584.3110122,566.3004522,542.3004522,524.2898922,241.00236,96.96011
Sulfatide(d18:0_10:0)-H,696.4362127,678.4256527,542.3005327,524.2899727,241.00236,96.96011
Sulfatide(d18:0_12:0)-H,724.4675128,706.4569528,542.3005528,524.2899928,241.00236,96.96011
Sulfatide(d18:0_14:0)-H,752.4988129,734.4882529,542.3005729,524.2900129,241.00236,96.96011
Sulfatide(d18:0_16:0)-H,780.5301131,762.5195531,542.3005931,524.2900331,241.00236,96.96011
Sulfatide(d18:0_18:0)-H,808.5614132,790.5508532,542.3006132,524.2900532,241.00236,96.96011
Sulfatide(d18:0_18:1)-H,806.5457631,788.5352031,542.3006031,524.2900431,241.00236,96.96011
Sulfatide(d18:0_20:0)-H,836.5927133,818.5821533,542.3006333,524.2900733,241.00236,96.96011
Sulfatide(d18:0_22:0)-H,864.6240134,846.6134534,542.3006534,524.2900934,241.00236,96.96011
Sulfatide(d18:0_24:0)-H,892.6553136,874.6447536,542.3006736,524.2901136,241.00236,96.96011
Sulfatide(d18:0_24:1)-H,890.6396635,872.6291035,542.3006635,524.2901035,241.00236,96.96011
Sulfatide(d18:0_24:4)-H,884.5927133,866.5821533,542.3006333,524.2900733,241.00236,96.96011
Sulfatide(d18:0_26:0)-H,920.6866137,902.6760537,542.3006937,524.2901337,241.00236,96.96011
Sulfatide(d18:0_26:1)-H,918.6709636,900.6604036,542.3006836,524.2901236,241.00236,96.96011
Sulfatide(d18:1_2:0)-H,582.2953621,564.2848021,540.2848021,522.2742421,241.00236,96.96011
Sulfatide(d18:1_10:0)-H,694.4205626,676.4100026,540.2848826,522.2743226,241.00236,96.96011
Sulfatide(d18:1_12:0)-H,722.4518627,704.4413027,540.2849027,522.2743427,241.00236,96.96011
Sulfatide(d18:1_14:0)-H,750.4831629,732.4726029,540.2849229,522.2743629,241.00236,96.96011
Sulfatide(d18:1_16:0)-H,778.514463,760.503903,540.284943,522.274383,241.00236,96.96011
Sulfatide(d18:1_18:0)-H,806.5457631,788.5352031,540.2849631,522.2744031,241.00236,96.96011
Sulfatide(d18:1_18:1)-H,804.5301131,786.5195531,540.2849531,522.2743931,241.00236,96.96011
Sulfatide(d18:1_20:0)-H,834.5770633,816.5665033,540.2849833,522.2744233,241.00236,96.96011
Sulfatide(d18:1_22:0)-H,862.6083634,844.5978034,540.2850034,522.2744434,241.00236,96.96011
Sulfatide(d18:1_24:0)-H,890.6396635,872.6291035,540.2850235,522.2744635,241.00236,96.96011
Sulfatide(d18:1_24:1)-H,888.6240134,870.6134534,540.2850134,522.2744534,241.00236,96.96011
Sulfatide(d18:1_24:4)-H,882.5770633,864.5665033,540.2849833,522.2744233,241.00236,96.96011
Sulfatide(d18:1_26:0)-H,918.6709636,900.6604036,540.2850436,522.2744836,241.00236,96.96011
