OxPE,[M+H]+,NL_head,NL_T1RCO,NL_T2RCO,T1_RCO+,T2_RCO+,T1RCOO+58,T2RCOO+58,head
OxPE(10:0_19:5(CHO))+H,654.37659,513.35748,359.22171,229.17984,155.14307,285.18494,229.17985,359.22172,142.02639
OxPE(10:0_3:0(COOH))+H,456.19935,315.18024,161.04447,229.17984,155.14307,87.0077,229.17985,161.04448,142.02639
OxPE(10:0_4:0(COOH))+H,470.215,329.19589,175.06012,229.17984,155.14307,101.02335,229.17985,175.06013,142.02639
OxPE(10:0_5:0(COOH))+H,484.23065,343.21154,189.07577,229.17984,155.14307,115.039,229.17985,189.07578,142.02639
OxPE(10:0_6:0(COOH))+H,498.2463,357.22719,203.09142,229.17984,155.14307,129.05465,229.17985,203.09143,142.02639
OxPE(10:0_7:0(COOH))+H,512.26195,371.24284,217.10707,229.17984,155.14307,143.0703,229.17985,217.10708,142.02639
OxPE(10:0_8:0(COOH))+H,526.2776,385.25849,231.12272,229.17984,155.14307,157.08595,229.17985,231.12273,142.02639
OxPE(10:0_9:0(COOH))+H,540.29325,399.27414,245.13837,229.17984,155.14307,171.1016,229.17985,245.13838,142.02639
OxPE(10:0_10:0(COOH))+H,554.3089,413.28979,259.15402,229.17984,155.14307,185.11725,229.17985,259.15403,142.02639
OxPE(10:0_11:0(COOH))+H,568.32455,427.30544,273.16967,229.17984,155.14307,199.1329,229.17985,273.16968,142.02639
OxPE(10:0_12:0(COOH))+H,582.3402,441.32109,287.18532,229.17984,155.14307,213.14855,229.17985,287.18533,142.02639
OxPE(10:0_13:0(COOH))+H,596.35585,455.33674,301.20097,229.17984,155.14307,227.1642,229.17985,301.20098,142.02639
OxPE(10:0_14:0(COOH))+H,610.3715,469.35239,315.21662,229.17984,155.14307,241.17985,229.17985,315.21663,142.02639
OxPE(10:0_15:0(COOH))+H,624.38715,483.36804,329.23227,229.17984,155.14307,255.1955,229.17985,329.23228,142.02639
OxPE(10:0_6:1(COOH))+H,496.23066,355.21155,201.07578,229.17984,155.14307,127.03901,229.17985,201.07579,142.02639
OxPE(10:0_7:1(COOH))+H,510.24631,369.2272,215.09143,229.17984,155.14307,141.05466,229.17985,215.09144,142.02639
OxPE(10:0_8:1(COOH))+H,524.26196,383.24285,229.10708,229.17984,155.14307,155.07031,229.17985,229.10709,142.02639
OxPE(10:0_9:1(COOH))+H,538.27761,397.2585,243.12273,229.17984,155.14307,169.08596,229.17985,243.12274,142.02639
OxPE(10:0_9:2(COOH))+H,536.26196,395.24285,241.10708,229.17984,155.14307,167.07031,229.17985,241.10709,142.02639
OxPE(10:0_10:1(COOH))+H,552.29326,411.27415,257.13838,229.17984,155.14307,183.10161,229.17985,257.13839,142.02639
OxPE(10:0_10:2(COOH))+H,550.27761,409.2585,255.12273,229.17984,155.14307,181.08596,229.17985,255.12274,142.02639
OxPE(10:0_11:1(COOH))+H,566.30891,425.2898,271.15403,229.17984,155.14307,197.11726,229.17985,271.15404,142.02639
OxPE(10:0_11:2(COOH))+H,564.29326,423.27415,269.13838,229.17984,155.14307,195.10161,229.17985,269.13839,142.02639
OxPE(10:0_12:1(COOH))+H,580.32456,439.30545,285.16968,229.17984,155.14307,211.13291,229.17985,285.16969,142.02639
OxPE(10:0_12:2(COOH))+H,578.30891,437.2898,283.15403,229.17984,155.14307,209.11726,229.17985,283.15404,142.02639
OxPE(10:0_12:3(COOH))+H,576.29326,435.27415,281.13838,229.17984,155.14307,207.10161,229.17985,281.13839,142.02639
OxPE(10:0_13:1(COOH))+H,594.34021,453.3211,299.18533,229.17984,155.14307,225.14856,229.17985,299.18534,142.02639
OxPE(10:0_13:2(COOH))+H,592.32456,451.30545,297.16968,229.17984,155.14307,223.13291,229.17985,297.16969,142.02639
OxPE(10:0_13:3(COOH))+H,590.30891,449.2898,295.15403,229.17984,155.14307,221.11726,229.17985,295.15404,142.02639
OxPE(10:0_14:1(COOH))+H,608.35586,467.33675,313.20098,229.17984,155.14307,239.16421,229.17985,313.20099,142.02639
OxPE(10:0_14:2(COOH))+H,606.34021,465.3211,311.18533,229.17984,155.14307,237.14856,229.17985,311.18534,142.02639
OxPE(10:0_14:3(COOH))+H,604.32456,463.30545,309.16968,229.17984,155.14307,235.13291,229.17985,309.16969,142.02639
OxPE(10:0_15:1(COOH))+H,622.37151,481.3524,327.21663,229.17984,155.14307,253.17986,229.17985,327.21664,142.02639
OxPE(10:0_15:2(COOH))+H,620.35586,479.33675,325.20098,229.17984,155.14307,251.16421,229.17985,325.20099,142.02639
OxPE(10:0_15:3(COOH))+H,618.34021,477.3211,323.18533,229.17984,155.14307,249.14856,229.17985,323.18534,142.02639
OxPE(10:0_15:4(COOH))+H,616.32456,475.30545,321.16968,229.17984,155.14307,247.13291,229.17985,321.16969,142.02639
OxPE(10:0_16:1(COOH))+H,636.38716,495.36805,341.23228,229.17984,155.14307,267.19551,229.17985,341.23229,142.02639
OxPE(10:0_16:2(COOH))+H,634.37151,493.3524,339.21663,229.17984,155.14307,265.17986,229.17985,339.21664,142.02639
OxPE(10:0_16:3(COOH))+H,632.35586,491.33675,337.20098,229.17984,155.14307,263.16421,229.17985,337.20099,142.02639
OxPE(10:0_16:4(COOH))+H,630.34021,489.3211,335.18533,229.17984,155.14307,261.14856,229.17985,335.18534,142.02639
OxPE(10:0_17:4(COOH))+H,644.35586,503.33675,349.20098,229.17984,155.14307,275.16421,229.17985,349.20099,142.02639
OxPE(10:0_18:4(COOH))+H,658.37151,517.3524,363.21663,229.17984,155.14307,289.17986,229.17985,363.21664,142.02639
OxPE(10:0_18:5(COOH))+H,656.35586,515.33675,361.20098,229.17984,155.14307,287.16421,229.17985,361.20099,142.02639
OxPE(10:0_19:4(COOH))+H,672.38716,531.36805,377.23228,229.17984,155.14307,303.19551,229.17985,377.23229,142.02639
OxPE(10:0_19:5(COOH))+H,670.37151,529.3524,375.21663,229.17984,155.14307,301.17986,229.17985,375.21664,142.02639
OxPE(10:0_3:0(CHO))+H,440.20443,299.18532,145.04955,229.17984,155.14307,71.01278,229.17985,145.04956,142.02639
OxPE(10:0_4:0(CHO))+H,454.22008,313.20097,159.0652,229.17984,155.14307,85.02843,229.17985,159.06521,142.02639
OxPE(12:0_5:0(CHO))+H,496.26703,355.24792,173.08085,257.21114,183.17437,99.04408,257.21115,173.08086,142.02639
OxPE(12:0_6:0(CHO))+H,510.28268,369.26357,187.0965,257.21114,183.17437,113.05973,257.21115,187.09651,142.02639
OxPE(12:0_7:0(CHO))+H,524.29833,383.27922,201.11215,257.21114,183.17437,127.07538,257.21115,201.11216,142.02639
OxPE(12:0_8:0(CHO))+H,538.31398,397.29487,215.1278,257.21114,183.17437,141.09103,257.21115,215.12781,142.02639
OxPE(12:0_9:0(CHO))+H,552.32963,411.31052,229.14345,257.21114,183.17437,155.10668,257.21115,229.14346,142.02639
OxPE(12:0_10:0(CHO))+H,566.34528,425.32617,243.1591,257.21114,183.17437,169.12233,257.21115,243.15911,142.02639
OxPE(12:0_11:0(CHO))+H,580.36093,439.34182,257.17475,257.21114,183.17437,183.13798,257.21115,257.17476,142.02639
OxPE(12:0_12:0(CHO))+H,594.37658,453.35747,271.1904,257.21114,183.17437,197.15363,257.21115,271.19041,142.02639
OxPE(12:0_13:0(CHO))+H,608.39223,467.37312,285.20605,257.21114,183.17437,211.16928,257.21115,285.20606,142.02639
OxPE(12:0_14:0(CHO))+H,622.40788,481.38877,299.2217,257.21114,183.17437,225.18493,257.21115,299.22171,142.02639
OxPE(12:0_15:0(CHO))+H,636.42353,495.40442,313.23735,257.21114,183.17437,239.20058,257.21115,313.23736,142.02639
OxPE(12:0_6:1(CHO))+H,508.26704,367.24793,185.08086,257.21114,183.17437,111.04409,257.21115,185.08087,142.02639
OxPE(12:0_7:1(CHO))+H,522.28269,381.26358,199.09651,257.21114,183.17437,125.05974,257.21115,199.09652,142.02639
OxPE(12:0_8:1(CHO))+H,536.29834,395.27923,213.11216,257.21114,183.17437,139.07539,257.21115,213.11217,142.02639
OxPE(12:0_9:1(CHO))+H,550.31399,409.29488,227.12781,257.21114,183.17437,153.09104,257.21115,227.12782,142.02639
OxPE(12:0_9:2(CHO))+H,548.29834,407.27923,225.11216,257.21114,183.17437,151.07539,257.21115,225.11217,142.02639
OxPE(12:0_10:1(CHO))+H,564.32964,423.31053,241.14346,257.21114,183.17437,167.10669,257.21115,241.14347,142.02639
OxPE(12:0_10:2(CHO))+H,562.31399,421.29488,239.12781,257.21114,183.17437,165.09104,257.21115,239.12782,142.02639
OxPE(12:0_11:1(CHO))+H,578.34529,437.32618,255.15911,257.21114,183.17437,181.12234,257.21115,255.15912,142.02639
OxPE(12:0_11:2(CHO))+H,576.32964,435.31053,253.14346,257.21114,183.17437,179.10669,257.21115,253.14347,142.02639
OxPE(12:0_12:1(CHO))+H,592.36094,451.34183,269.17476,257.21114,183.17437,195.13799,257.21115,269.17477,142.02639
OxPE(12:0_12:2(CHO))+H,590.34529,449.32618,267.15911,257.21114,183.17437,193.12234,257.21115,267.15912,142.02639
OxPE(12:0_12:3(CHO))+H,588.32964,447.31053,265.14346,257.21114,183.17437,191.10669,257.21115,265.14347,142.02639
OxPE(12:0_13:1(CHO))+H,606.37659,465.35748,283.19041,257.21114,183.17437,209.15364,257.21115,283.19042,142.02639
OxPE(12:0_13:2(CHO))+H,604.36094,463.34183,281.17476,257.21114,183.17437,207.13799,257.21115,281.17477,142.02639
OxPE(12:0_13:3(CHO))+H,602.34529,461.32618,279.15911,257.21114,183.17437,205.12234,257.21115,279.15912,142.02639
OxPE(12:0_14:1(CHO))+H,620.39224,479.37313,297.20606,257.21114,183.17437,223.16929,257.21115,297.20607,142.02639
