OxPE,[M+H]+,NL_head,head
OxPE(24:2(OKe))+H,606.3402,465.32109,142.02639
OxPE(24:2(KeKeO))+H,620.3195,479.30039,142.02639
OxPE(24:2(OKeO))+H,622.33512,481.31601,142.02639
OxPE(24:2(KeOKeO))+H,636.31442,495.29531,142.02639
OxPE(24:2(OOKeO))+H,638.33004,497.31093,142.02639
OxPE(24:2(OOOKeO))+H,654.325,513.30589,142.02639
OxPE(24:2(OOOOKeO))+H,670.31992,529.30081,142.02639
OxPE(24:3(Ke))+H,588.32964,447.31053,142.02639
OxPE(24:3(KeKe))+H,602.30893,461.28982,142.02639
OxPE(24:3(KeO))+H,604.32456,463.30545,142.02639
OxPE(24:3(KeKeO))+H,618.30385,477.28474,142.02639
OxPE(24:3(OKeO))+H,620.31948,479.30037,142.02639
OxPE(24:3(KeOKeO))+H,634.29877,493.27966,142.02639
OxPE(24:3(OOKeO))+H,636.3144,495.29529,142.02639
OxPE(24:3(OOOKeO))+H,652.30935,511.29024,142.02639
OxPE(24:3(OOOOKeO))+H,668.30427,527.28516,142.02639
OxPE(24:4(Ke))+H,586.31399,445.29488,142.02639
OxPE(24:4(KeKe))+H,600.29324,459.27413,142.02639
OxPE(24:4(OKe))+H,602.3089,461.28979,142.02639
OxPE(24:4(KeKeO))+H,616.28816,475.26905,142.02639
OxPE(24:4(OKeO))+H,618.30382,477.28471,142.02639
OxPE(24:4(KeOKeO))+H,632.28312,491.26401,142.02639
OxPE(24:4(OOKeO))+H,634.29874,493.27963,142.02639
OxPE(24:4(OOOKeO))+H,650.2937,509.27459,142.02639
OxPE(24:4(OOOOKeO))+H,666.28862,525.26951,142.02639
OxPE(24:5(Ke))+H,584.29834,443.27923,142.02639
OxPE(24:5(KeKe))+H,598.27758,457.25847,142.02639
OxPE(24:5(OKe))+H,600.29324,459.27413,142.02639
OxPE(24:5(KeOKe))+H,614.2725,473.25339,142.02639
OxPE(24:5(OKeO))+H,616.28816,475.26905,142.02639
OxPE(24:5(KeOKeO))+H,630.26742,489.24831,142.02639
OxPE(24:5(OOKeO))+H,632.28308,491.26397,142.02639
OxPE(24:5(OOOKeO))+H,648.278,507.25889,142.02639
OxPE(24:5(OOOOKeO))+H,664.27292,523.25381,142.02639
OxPE(24:6(KeKe))+H,596.26196,455.24285,142.02639
OxPE(24:6(KeKeO))+H,612.25688,471.23777,142.02639
OxPE(24:6(KeOKeO))+H,628.2518,487.23269,142.02639
OxPE(25:0(Ke))+H,608.39223,467.37312,142.02639
OxPE(25:0(KeKe))+H,622.37149,481.35238,142.02639
OxPE(25:0(KeO))+H,624.38715,483.36804,142.02639
OxPE(25:0(KeKeO))+H,638.36641,497.3473,142.02639
OxPE(25:0(KeOKeO))+H,654.36133,513.34222,142.02639
OxPE(25:1(Ke))+H,606.37659,465.35748,142.02639
OxPE(25:1(O))+H,608.39222,467.37311,142.02639
OxPE(25:1(KeKe))+H,620.35587,479.33676,142.02639
OxPE(25:1(KeO))+H,622.37151,481.3524,142.02639
OxPE(25:1(OO))+H,624.38714,483.36803,142.02639
OxPE(25:1(KeKeO))+H,636.35079,495.33168,142.02639
OxPE(25:1(OKeO))+H,638.36645,497.34734,142.02639
OxPE(25:1(OOO))+H,640.38206,499.36295,142.02639
OxPE(25:1(KeOKeO))+H,652.34571,511.3266,142.02639
OxPE(25:1(OOKeO))+H,654.36137,513.34226,142.02639
OxPE(25:1(OOOO))+H,656.37698,515.35787,142.02639
OxPE(25:1(OOOKeO))+H,670.35629,529.33718,142.02639
OxPE(25:1(OOOOKeO))+H,686.35121,545.3321,142.02639
OxPE(25:2(Ke))+H,604.36094,463.34183,142.02639
OxPE(25:2(O))+H,606.37662,465.35751,142.02639
OxPE(25:2(KeKe))+H,618.34023,477.32112,142.02639
OxPE(25:2(OKe))+H,620.35585,479.33674,142.02639
OxPE(25:2(OO))+H,622.37154,481.35243,142.02639
OxPE(25:2(KeKeO))+H,634.33515,493.31604,142.02639
OxPE(25:2(OKeO))+H,636.35077,495.33166,142.02639
OxPE(25:2(OOO))+H,638.36646,497.34735,142.02639
OxPE(25:2(KeOKeO))+H,650.33007,509.31096,142.02639
OxPE(25:2(OOKeO))+H,652.34569,511.32658,142.02639
OxPE(25:2(OOOO))+H,654.36138,513.34227,142.02639
OxPE(25:2(OOOKeO))+H,668.34065,527.32154,142.02639
OxPE(25:2(OOOOKeO))+H,684.33557,543.31646,142.02639
OxPE(25:3(Ke))+H,602.34529,461.32618,142.02639
OxPE(25:3(KeKe))+H,616.32458,475.30547,142.02639
OxPE(25:3(KeO))+H,618.34021,477.3211,142.02639
OxPE(25:3(KeKeO))+H,632.3195,491.30039,142.02639
