PC,[M+HCO2]-,NL_CH3&HCO2,NL_Choline&HCO2,NL_T1Ketene&CH3&HCO2,NL_T2Ketene&CH3&HCO3,NL_T1RCOOH&CH3&HCO2,NL_T2RCOOH&CH3&HCO3,GlyceroPC_NLCH3&H2O,T1_RCOO-,T2_RCOO-,PC_NLCH3, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
PC(12:0_15:1)+HCO2,706.46648,646.44534,575.37184,464.27827,424.24697,446.26771,406.23641,224.06881,199.17035,239.20165,168.04314,152.99586,96.96964,78.95852
PC(12:0_16:0)+HCO2,722.49778,662.47664,591.40314,480.30957,424.24697,462.29901,406.23641,224.06881,199.17035,255.23295,168.04314,152.99586,96.96964,78.95852
PC(12:0_16:1)+HCO2,720.48218,660.46104,589.38754,478.29397,424.24697,460.28341,406.23641,224.06881,199.17035,253.21735,168.04314,152.99586,96.96964,78.95852
PC(12:0_17:0)+HCO2,736.51348,676.49234,605.41884,494.32527,424.24697,476.31471,406.23641,224.06881,199.17035,269.24865,168.04314,152.99586,96.96964,78.95852
PC(12:0_17:1)+HCO2,734.49778,674.47664,603.40314,492.30957,424.24697,474.29901,406.23641,224.06881,199.17035,267.23295,168.04314,152.99586,96.96964,78.95852
PC(12:0_17:2)+HCO2,732.48218,672.46104,601.38754,490.29397,424.24697,472.28341,406.23641,224.06881,199.17035,265.21735,168.04314,152.99586,96.96964,78.95852
PC(12:0_18:0)+HCO2,750.52908,690.50794,619.43444,508.34087,424.24697,490.33031,406.23641,224.06881,199.17035,283.26425,168.04314,152.99586,96.96964,78.95852
PC(12:0_18:1)+HCO2,748.51348,688.49234,617.41884,506.32527,424.24697,488.31471,406.23641,224.06881,199.17035,281.24865,168.04314,152.99586,96.96964,78.95852
PC(12:0_18:2)+HCO2,746.49778,686.47664,615.40314,504.30957,424.24697,486.29901,406.23641,224.06881,199.17035,279.23295,168.04314,152.99586,96.96964,78.95852
PC(12:0_18:3)+HCO2,744.48218,684.46104,613.38754,502.29397,424.24697,484.28341,406.23641,224.06881,199.17035,277.21735,168.04314,152.99586,96.96964,78.95852
PC(12:0_18:4)+HCO2,742.46648,682.44534,611.37184,500.27827,424.24697,482.26771,406.23641,224.06881,199.17035,275.20165,168.04314,152.99586,96.96964,78.95852
