GlcADG,[M+NH4]+,[M-C6H9O6-NH4+H+H]+,[DAG-H20],sn1 loss,sn2 loss
GlcADG(13:0_24:4)+NH4,824.58879,631.53015,613.51959,417.33698,271.2275
GlcADG(13:0_25:0)+NH4,846.66704,653.6084,635.59784,439.41523,271.22755
GlcADG(13:0_26:0)+NH4,860.68269,667.62405,649.61349,453.43088,271.22756
GlcADG(13:0_26:1)+NH4,858.66704,665.6084,647.59784,451.41523,271.22755
GlcADG(13:0_26:2)+NH4,856.65139,663.59275,645.58219,449.39958,271.22754
GlcADG(13:0_3:0)+NH4,538.32273,345.26409,327.25353,131.07093,271.22733
GlcADG(13:0_4:0)+NH4,552.33838,359.27974,341.26918,145.08658,271.22734
GlcADG(13:0_5:0)+NH4,566.35403,373.29539,355.28483,159.10223,271.22735
GlcADG(13:0_6:0)+NH4,580.36968,387.31104,369.30048,173.11788,271.22736
GlcADG(13:0_7:0)+NH4,594.38533,401.32669,383.31613,187.13353,271.22737
GlcADG(13:0_8:0)+NH4,608.40098,415.34234,397.33178,201.14918,271.22738
GlcADG(13:0_9:0)+NH4,622.41664,429.358,411.34744,215.16483,271.22739
GlcADG(14:0_14:0)+NH4,706.51054,513.4519,495.44134,285.24309,285.24309
GlcADG(14:0_14:1)+NH4,704.49489,511.43625,493.42569,283.22744,285.24308
GlcADG(14:0_15:0)+NH4,720.52619,527.46755,509.45699,299.25874,285.2431
GlcADG(14:0_15:1)+NH4,718.51054,525.4519,507.44134,297.24309,285.24309
GlcADG(14:0_16:0)+NH4,734.54184,541.4832,523.47264,313.27439,285.24311
GlcADG(14:0_16:1)+NH4,732.52619,539.46755,521.45699,311.25874,285.2431
GlcADG(14:0_17:0)+NH4,748.55749,555.49885,537.48829,327.29004,285.24312
GlcADG(14:0_17:1)+NH4,746.54184,553.4832,535.47264,325.27439,285.24311
GlcADG(14:0_17:2)+NH4,744.52619,551.46755,533.45699,323.25874,285.2431
GlcADG(14:0_18:0)+NH4,762.57314,569.5145,551.50394,341.30569,285.24313
GlcADG(14:0_18:1)+NH4,760.55749,567.49885,549.48829,339.29004,285.24312
GlcADG(14:0_18:2)+NH4,758.54184,565.4832,547.47264,337.27439,285.24311
GlcADG(14:0_18:3)+NH4,756.52619,563.46755,545.45699,335.25874,285.2431
GlcADG(14:0_18:4)+NH4,754.51054,561.4519,543.44134,333.24309,285.24309
GlcADG(14:0_19:0)+NH4,776.58879,583.53015,565.51959,355.32134,285.24314
GlcADG(14:0_2:0)+NH4,538.32273,345.26409,327.25353,117.05529,285.24297
GlcADG(14:0_20:0)+NH4,790.60444,597.5458,579.53524,369.33699,285.24315
GlcADG(14:0_20:1)+NH4,788.58879,595.53015,577.51959,367.32134,285.24314
GlcADG(14:0_20:2)+NH4,786.57314,593.5145,575.50394,365.30569,285.24313
