"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MG","[M+NH4]+","M-18+H","M-18","M-18+H-sn1","M-18-sn1","RT_min","RT_max","Comment","RT at Max Intensity","MG","[M+NH4]+","M-18+H","M-18","M-18+H-sn1","M-18-sn1","RT_min","RT_max","Comment","Number of Scans","MG","[M+NH4]+","M-18+H","M-18","M-18+H-sn1","M-18-sn1","RT_min","RT_max","Comment","Max Intensity","MG","[M+NH4]+","M-18+H","M-18","M-18+H-sn1","M-18-sn1","RT_min","RT_max","Comment","Average m/z","MG","[M+NH4]+","M-18+H","M-18","M-18+H-sn1","M-18-sn1","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MG","[M+NH4]+","M-18+H","M-18","M-18+H-sn1","M-18-sn1","RT_min","RT_max","Comment"
"","MG(15:1)+NH4",0,0,0,0,0,"14.2790041666667","14.5790041666667","16992","","MG(15:1)+NH4",0,0,0,0,0,"14.2790041666667","14.5790041666667","16992","","MG(15:1)+NH4",0,0,0,0,0,"14.2790041666667","14.5790041666667","16992","","MG(15:1)+NH4",0,0,0,0,0,"14.2790041666667","14.5790041666667","16992","","MG(15:1)+NH4",0,0,0,0,0,"14.2790041666667","14.5790041666667","16992","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","14.2790041666667","14.5790041666667","16992"
"","MG(16:1)+NH4",0,0,0,0,0,"0.374329166666667","0.674329166666667","10391","","MG(16:1)+NH4",0,0,0,0,0,"0.374329166666667","0.674329166666667","10391","","MG(16:1)+NH4",0,0,0,0,0,"0.374329166666667","0.674329166666667","10391","","MG(16:1)+NH4",0,0,0,0,0,"0.374329166666667","0.674329166666667","10391","","MG(16:1)+NH4",0,0,0,0,0,"0.374329166666667","0.674329166666667","10391","","MG(16:1)+NH4","346.2951796","329.2924396","311.2818796","255.25552","237.24496","0.374329166666667","0.674329166666667","10391"
"","MG(16:1)+NH4",0,0,0,0,0,"0.374329166666667","0.674329166666667","10391","","MG(16:1)+NH4",0,0,0,0,0,"0.374329166666667","0.674329166666667","10391","","MG(16:1)+NH4",0,0,0,0,0,"0.374329166666667","0.674329166666667","10391","","MG(16:1)+NH4",0,0,0,0,0,"0.374329166666667","0.674329166666667","10391","","MG(16:1)+NH4",0,0,0,0,0,"0.374329166666667","0.674329166666667","10391","","MG(16:1)+NH4","346.2951796","329.2924396","311.2818796","255.25552","237.24496","0.374329166666667","0.674329166666667","10391"
"","MG(17:1)+NH4",0,0,0,0,0,"0.346247222222222","0.646247222222222","1719","","MG(17:1)+NH4",0,0,0,0,0,"0.346247222222222","0.646247222222222","1719","","MG(17:1)+NH4",0,0,0,0,0,"0.346247222222222","0.646247222222222","1719","","MG(17:1)+NH4",0,0,0,0,0,"0.346247222222222","0.646247222222222","1719","","MG(17:1)+NH4",0,0,0,0,0,"0.346247222222222","0.646247222222222","1719","","MG(17:1)+NH4","360.3108297","343.3080897","325.2975297","269.27116","251.2606","0.346247222222222","0.646247222222222","1719"
"","MG(17:1)+NH4",0,0,0,0,0,"1.64697361111111","1.94697361111111","4841","","MG(17:1)+NH4",0,0,0,0,0,"1.64697361111111","1.94697361111111","4841","","MG(17:1)+NH4",0,0,0,0,0,"1.64697361111111","1.94697361111111","4841","","MG(17:1)+NH4",0,0,0,0,0,"1.64697361111111","1.94697361111111","4841","","MG(17:1)+NH4",0,0,0,0,0,"1.64697361111111","1.94697361111111","4841","","MG(17:1)+NH4","360.3108297","343.3080897","325.2975297","269.27116","251.2606","1.64697361111111","1.94697361111111","4841"
"","MG(17:1)+NH4",0,0,0,0,0,"1.46311805555556","1.76311805555556","5275","","MG(17:1)+NH4",0,0,0,0,0,"1.46311805555556","1.76311805555556","5275","","MG(17:1)+NH4",0,0,0,0,0,"1.46311805555556","1.76311805555556","5275","","MG(17:1)+NH4",0,0,0,0,0,"1.46311805555556","1.76311805555556","5275","","MG(17:1)+NH4",0,0,0,0,0,"1.46311805555556","1.76311805555556","5275","","MG(17:1)+NH4","360.3108297","343.3080897","325.2975297","269.27116","251.2606","1.46311805555556","1.76311805555556","5275"
"","MG(17:1)+NH4",0,0,0,0,0,"2.01275303030303","2.31275303030303","7044","","MG(17:1)+NH4",0,0,0,0,0,"2.01275303030303","2.31275303030303","7044","","MG(17:1)+NH4",0,0,0,0,0,"2.01275303030303","2.31275303030303","7044","","MG(17:1)+NH4",0,0,0,0,0,"2.01275303030303","2.31275303030303","7044","","MG(17:1)+NH4",0,0,0,0,0,"2.01275303030303","2.31275303030303","7044","","MG(17:1)+NH4","360.3108297","343.3080897","325.2975297","269.27116","251.2606","2.01275303030303","2.31275303030303","7044"
"","MG(17:1)+NH4",0,0,0,0,0,"1.147775","1.447775","11571","","MG(17:1)+NH4",0,0,0,0,0,"1.147775","1.447775","11571","","MG(17:1)+NH4",0,0,0,0,0,"1.147775","1.447775","11571","","MG(17:1)+NH4",0,0,0,0,0,"1.147775","1.447775","11571","","MG(17:1)+NH4",0,0,0,0,0,"1.147775","1.447775","11571","","MG(17:1)+NH4","360.3108297","343.3080897","325.2975297","269.27116","251.2606","1.147775","1.447775","11571"
"","MG(17:1)+NH4",0,0,0,0,0,"3.8366625","4.1366625","12543","","MG(17:1)+NH4",0,0,0,0,0,"3.8366625","4.1366625","12543","","MG(17:1)+NH4",0,0,0,0,0,"3.8366625","4.1366625","12543","","MG(17:1)+NH4",0,0,0,0,0,"3.8366625","4.1366625","12543","","MG(17:1)+NH4",0,0,0,0,0,"3.8366625","4.1366625","12543","","MG(17:1)+NH4","360.3108297","343.3080897","325.2975297","269.27116","251.2606","3.8366625","4.1366625","12543"
"","MG(17:1)+NH4",0,0,0,0,0,"4.50409444444444","4.80409444444444","12572","","MG(17:1)+NH4",0,0,0,0,0,"4.50409444444444","4.80409444444444","12572","","MG(17:1)+NH4",0,0,0,0,0,"4.50409444444444","4.80409444444444","12572","","MG(17:1)+NH4",0,0,0,0,0,"4.50409444444444","4.80409444444444","12572","","MG(17:1)+NH4",0,0,0,0,0,"4.50409444444444","4.80409444444444","12572","","MG(17:1)+NH4","360.3108297","343.3080897","325.2975297","269.27116","251.2606","4.50409444444444","4.80409444444444","12572"
"","MG(17:1)+NH4",0,0,0,0,0,"5.081","5.381","12584","","MG(17:1)+NH4",0,0,0,0,0,"5.081","5.381","12584","","MG(17:1)+NH4",0,0,0,0,0,"5.081","5.381","12584","","MG(17:1)+NH4",0,0,0,0,0,"5.081","5.381","12584","","MG(17:1)+NH4",0,0,0,0,0,"5.081","5.381","12584","","MG(17:1)+NH4","360.3108297","343.3080897","325.2975297","269.27116","251.2606","5.081","5.381","12584"
"","MG(17:2)+NH4",0,0,0,0,0,"0.331172222222222","0.631172222222222","9298","","MG(17:2)+NH4",0,0,0,0,0,"0.331172222222222","0.631172222222222","9298","","MG(17:2)+NH4",0,0,0,0,0,"0.331172222222222","0.631172222222222","9298","","MG(17:2)+NH4",0,0,0,0,0,"0.331172222222222","0.631172222222222","9298","","MG(17:2)+NH4",0,0,0,0,0,"0.331172222222222","0.631172222222222","9298","","MG(17:2)+NH4","358.2951796","341.2924396","323.2818796","267.25552","249.24496","0.331172222222222","0.631172222222222","9298"
"","MG(18:1)+NH4",0,0,0,0,0,"0.448566666666667","0.748566666666667","10299","","MG(18:1)+NH4",0,0,0,0,0,"0.448566666666667","0.748566666666667","10299","","MG(18:1)+NH4",0,0,0,0,0,"0.448566666666667","0.748566666666667","10299","","MG(18:1)+NH4",0,0,0,0,0,"0.448566666666667","0.748566666666667","10299","","MG(18:1)+NH4",0,0,0,0,0,"0.448566666666667","0.748566666666667","10299","","MG(18:1)+NH4","374.3264798","357.3237398","339.3131798","283.2868","265.27624","0.448566666666667","0.748566666666667","10299"
"","MG(18:2)+NH4",0,0,0,0,0,"0.464419444444445","0.764419444444445","1640","","MG(18:2)+NH4",0,0,0,0,0,"0.464419444444445","0.764419444444445","1640","","MG(18:2)+NH4",0,0,0,0,0,"0.464419444444445","0.764419444444445","1640","","MG(18:2)+NH4",0,0,0,0,0,"0.464419444444445","0.764419444444445","1640","","MG(18:2)+NH4",0,0,0,0,0,"0.464419444444445","0.764419444444445","1640","","MG(18:2)+NH4","372.3108297","355.3080897","337.2975297","281.27116","263.2606","0.464419444444445","0.764419444444445","1640"
"","MG(18:3)+NH4",0,0,0,0,0,"0.674023611111111","0.974023611111111","1206","","MG(18:3)+NH4",0,0,0,0,0,"0.674023611111111","0.974023611111111","1206","","MG(18:3)+NH4",0,0,0,0,0,"0.674023611111111","0.974023611111111","1206","","MG(18:3)+NH4",0,0,0,0,0,"0.674023611111111","0.974023611111111","1206","","MG(18:3)+NH4",0,0,0,0,0,"0.674023611111111","0.974023611111111","1206","","MG(18:3)+NH4","370.2951796","353.2924396","335.2818796","279.25552","261.24496","0.674023611111111","0.974023611111111","1206"
