"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","RT at Max Intensity","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Number of Scans","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Max Intensity","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Average m/z","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment"
"","PA(12:0_25:0)+H",0,0,0,0,0,0,"11.8585819444444","12.1585819444444","13335","","PA(12:0_25:0)+H",0,0,0,0,0,0,"11.8585819444444","12.1585819444444","13335","","PA(12:0_25:0)+H",0,0,0,0,0,0,"11.8585819444444","12.1585819444444","13335","","PA(12:0_25:0)+H",0,0,0,0,0,0,"11.8585819444444","12.1585819444444","13335","","PA(12:0_25:0)+H",0,0,0,0,0,0,"11.8585819444444","12.1585819444444","13335","","PA(12:0_25:0)+H","719.5586","621.58169","439.41464","257.21114","183.17435","365.37785","11.8585819444444","12.1585819444444","13335"
"","PA(12:0_26:0)+H",0,0,0,0,0,0,"11.85265","12.15265","4803","","PA(12:0_26:0)+H",0,0,0,0,0,0,"11.85265","12.15265","4803","","PA(12:0_26:0)+H",0,0,0,0,0,0,"11.85265","12.15265","4803","","PA(12:0_26:0)+H",0,0,0,0,0,0,"11.85265","12.15265","4803","","PA(12:0_26:0)+H",0,0,0,0,0,0,"11.85265","12.15265","4803","","PA(12:0_26:0)+H","733.5742","635.59729","453.43024","257.21114","183.17435","379.39345","11.85265","12.15265","4803"
"","PA(13:0_13:0)+H",0,0,0,0,0,0,"1.82040416666667","2.12040416666667","18712","","PA(13:0_13:0)+H",0,0,0,0,0,0,"1.82040416666667","2.12040416666667","18712","","PA(13:0_13:0)+H",0,0,0,0,0,0,"1.82040416666667","2.12040416666667","18712","","PA(13:0_13:0)+H",0,0,0,0,0,0,"1.82040416666667","2.12040416666667","18712","","PA(13:0_13:0)+H",0,0,0,0,0,0,"1.82040416666667","2.12040416666667","18712","","PA(13:0_13:0)+H","565.3865","467.40959","271.22684","271.22684","197.19005","197.19005","1.82040416666667","2.12040416666667","18712"
"","PA(13:0_16:0)+H",0,0,0,0,0,0,"2.39325","2.69325","8335","","PA(13:0_16:0)+H",0,0,0,0,0,0,"2.39325","2.69325","8335","","PA(13:0_16:0)+H",0,0,0,0,0,0,"2.39325","2.69325","8335","","PA(13:0_16:0)+H",0,0,0,0,0,0,"2.39325","2.69325","8335","","PA(13:0_16:0)+H",0,0,0,0,0,0,"2.39325","2.69325","8335","","PA(13:0_16:0)+H","607.4334","509.45649","313.27374","271.22684","197.19005","239.23695","2.39325","2.69325","8335"
"","PA(13:0_21:0)+H",0,0,0,0,0,0,"10.1530888888889","10.4530888888889","6085","","PA(13:0_21:0)+H",0,0,0,0,0,0,"10.1530888888889","10.4530888888889","6085","","PA(13:0_21:0)+H",0,0,0,0,0,0,"10.1530888888889","10.4530888888889","6085","","PA(13:0_21:0)+H",0,0,0,0,0,0,"10.1530888888889","10.4530888888889","6085","","PA(13:0_21:0)+H",0,0,0,0,0,0,"10.1530888888889","10.4530888888889","6085","","PA(13:0_21:0)+H","677.5117","579.53479","383.35204","271.22684","197.19005","309.31525","10.1530888888889","10.4530888888889","6085"
"","PA(13:0_21:0)+H",0,0,0,0,0,0,"2.40720151515152","2.70720151515152","11217","","PA(13:0_21:0)+H",0,0,0,0,0,0,"2.40720151515152","2.70720151515152","11217","","PA(13:0_21:0)+H",0,0,0,0,0,0,"2.40720151515152","2.70720151515152","11217","","PA(13:0_21:0)+H",0,0,0,0,0,0,"2.40720151515152","2.70720151515152","11217","","PA(13:0_21:0)+H",0,0,0,0,0,0,"2.40720151515152","2.70720151515152","11217","","PA(13:0_21:0)+H","677.5117","579.53479","383.35204","271.22684","197.19005","309.31525","2.40720151515152","2.70720151515152","11217"
"","PA(13:0_22:0)+H",0,0,0,0,0,0,"8.74575","9.04575","10989","","PA(13:0_22:0)+H",0,0,0,0,0,0,"8.74575","9.04575","10989","","PA(13:0_22:0)+H",0,0,0,0,0,0,"8.74575","9.04575","10989","","PA(13:0_22:0)+H",0,0,0,0,0,0,"8.74575","9.04575","10989","","PA(13:0_22:0)+H",0,0,0,0,0,0,"8.74575","9.04575","10989","","PA(13:0_22:0)+H","691.5273","593.55039","397.36764","271.22684","197.19005","323.33085","8.74575","9.04575","10989"
"","PA(13:0_22:0)+H",0,0,0,0,0,0,"8.1107875","8.4107875","15207","","PA(13:0_22:0)+H",0,0,0,0,0,0,"8.1107875","8.4107875","15207","","PA(13:0_22:0)+H",0,0,0,0,0,0,"8.1107875","8.4107875","15207","","PA(13:0_22:0)+H",0,0,0,0,0,0,"8.1107875","8.4107875","15207","","PA(13:0_22:0)+H",0,0,0,0,0,0,"8.1107875","8.4107875","15207","","PA(13:0_22:0)+H","691.5273","593.55039","397.36764","271.22684","197.19005","323.33085","8.1107875","8.4107875","15207"
"","PA(13:0_22:4)+H",0,0,0,0,0,0,"3.20071388888889","3.50071388888889","8534","","PA(13:0_22:4)+H",0,0,0,0,0,0,"3.20071388888889","3.50071388888889","8534","","PA(13:0_22:4)+H",0,0,0,0,0,0,"3.20071388888889","3.50071388888889","8534","","PA(13:0_22:4)+H",0,0,0,0,0,0,"3.20071388888889","3.50071388888889","8534","","PA(13:0_22:4)+H",0,0,0,0,0,0,"3.20071388888889","3.50071388888889","8534","","PA(13:0_22:4)+H","683.4647","585.48779","389.30504","271.22684","197.19005","315.26825","3.20071388888889","3.50071388888889","8534"
"","PA(13:0_23:0)+H",0,0,0,0,0,0,"11.0434472222222","11.3434472222222","6077","","PA(13:0_23:0)+H",0,0,0,0,0,0,"11.0434472222222","11.3434472222222","6077","","PA(13:0_23:0)+H",0,0,0,0,0,0,"11.0434472222222","11.3434472222222","6077","","PA(13:0_23:0)+H",0,0,0,0,0,0,"11.0434472222222","11.3434472222222","6077","","PA(13:0_23:0)+H",0,0,0,0,0,0,"11.0434472222222","11.3434472222222","6077","","PA(13:0_23:0)+H","705.543","607.56609","411.38334","271.22684","197.19005","337.34655","11.0434472222222","11.3434472222222","6077"
