"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","RT at Max Intensity","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Number of Scans","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Max Intensity","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Average m/z","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment"
"","LPC(20:0)+Na",1,0,1,1,0,0,"1.85846805555556","2.15846805555556","940","","LPC(20:0)+Na",2.034427,0,2.034427,2.034427,0,0,"1.85846805555556","2.15846805555556","940","","LPC(20:0)+Na",1,0,1,1,0,0,"1.85846805555556","2.15846805555556","940","","LPC(20:0)+Na",363972.3,0,357347.2,7510.263,0,0,"1.85846805555556","2.15846805555556","940","","LPC(20:0)+Na",574.385,0,515.3115,369.3369,0,0,"1.85846805555556","2.15846805555556","940","","LPC(20:0)+Na","574.383785","391.317785","515.310285","369.335785","245.054385","184.07332","1.85846805555556","2.15846805555556","940"
"","LPC(20:0)+Na",0,0,0,0,0,0,"1.06961805555556","1.36961805555556","5448","","LPC(20:0)+Na",0,0,0,0,0,0,"1.06961805555556","1.36961805555556","5448","","LPC(20:0)+Na",0,0,0,0,0,0,"1.06961805555556","1.36961805555556","5448","","LPC(20:0)+Na",0,0,0,0,0,0,"1.06961805555556","1.36961805555556","5448","","LPC(20:0)+Na",0,0,0,0,0,0,"1.06961805555556","1.36961805555556","5448","","LPC(20:0)+Na","574.383785","391.317785","515.310285","369.335785","245.054385","184.07332","1.06961805555556","1.36961805555556","5448"
"","LPC(20:1)+Na",0,0,0,0,0,0,"0.811473611111111","1.11147361111111","1067","","LPC(20:1)+Na",0,0,0,0,0,0,"0.811473611111111","1.11147361111111","1067","","LPC(20:1)+Na",0,0,0,0,0,0,"0.811473611111111","1.11147361111111","1067","","LPC(20:1)+Na",0,0,0,0,0,0,"0.811473611111111","1.11147361111111","1067","","LPC(20:1)+Na",0,0,0,0,0,0,"0.811473611111111","1.11147361111111","1067","","LPC(20:1)+Na","572.368135","389.302135","513.294635","367.320135","243.038735","184.07332","0.811473611111111","1.11147361111111","1067"
"","LPC(20:1)+Na",1,0,1,1,0,1,"1.35860277777778","1.65860277777778","1667","","LPC(20:1)+Na",1.514777,0,1.514777,1.514777,0,1.514777,"1.35860277777778","1.65860277777778","1667","","LPC(20:1)+Na",1,0,1,1,0,1,"1.35860277777778","1.65860277777778","1667","","LPC(20:1)+Na",137954.1,0,131355.1,2236.484,0,4942.513,"1.35860277777778","1.65860277777778","1667","","LPC(20:1)+Na",572.3694,0,513.2959,367.3208,0,184.0736,"1.35860277777778","1.65860277777778","1667","","LPC(20:1)+Na","572.368135","389.302135","513.294635","367.320135","243.038735","184.07332","1.35860277777778","1.65860277777778","1667"
"","LPC(20:2)+Na",0,0,0,0,0,0,"0.923275","1.223275","3209","","LPC(20:2)+Na",0,0,0,0,0,0,"0.923275","1.223275","3209","","LPC(20:2)+Na",0,0,0,0,0,0,"0.923275","1.223275","3209","","LPC(20:2)+Na",0,0,0,0,0,0,"0.923275","1.223275","3209","","LPC(20:2)+Na",0,0,0,0,0,0,"0.923275","1.223275","3209","","LPC(20:2)+Na","570.352485","387.286485","511.278985","365.304485","241.023085","184.07332","0.923275","1.223275","3209"
"","LPC(20:2)+Na",0,0,0,0,0,1,"0.618342424242424","0.918342424242424","11264","","LPC(20:2)+Na",0,0,0,0,0,0.7702372,"0.618342424242424","0.918342424242424","11264","","LPC(20:2)+Na",0,0,0,0,0,2,"0.618342424242424","0.918342424242424","11264","","LPC(20:2)+Na",0,0,0,0,0,1068915,"0.618342424242424","0.918342424242424","11264","","LPC(20:2)+Na",0,0,0,0,0,184.0736,"0.618342424242424","0.918342424242424","11264","","LPC(20:2)+Na","570.352485","387.286485","511.278985","365.304485","241.023085","184.07332","0.618342424242424","0.918342424242424","11264"
"","LPC(20:3)+Na",0,0,1,0,0,1,"0.510425","0.810425","223","","LPC(20:3)+Na",0,0,0.7754083,0,0,0.6539289,"0.510425","0.810425","223","","LPC(20:3)+Na",0,0,1,0,0,2,"0.510425","0.810425","223","","LPC(20:3)+Na",0,0,95948.3,0,0,3348690,"0.510425","0.810425","223","","LPC(20:3)+Na",0,0,509.2654,0,0,184.0736,"0.510425","0.810425","223","","LPC(20:3)+Na","568.336835","385.270835","509.263335","363.288835","239.007435","184.07332","0.510425","0.810425","223"
"","LPC(20:4)+Na",0,0,0,0,0,0,"0.541672222222222","0.841672222222222","624","","LPC(20:4)+Na",0,0,0,0,0,0,"0.541672222222222","0.841672222222222","624","","LPC(20:4)+Na",0,0,0,0,0,0,"0.541672222222222","0.841672222222222","624","","LPC(20:4)+Na",0,0,0,0,0,0,"0.541672222222222","0.841672222222222","624","","LPC(20:4)+Na",0,0,0,0,0,0,"0.541672222222222","0.841672222222222","624","","LPC(20:4)+Na","566.321185","383.255185","507.247685","361.273185","236.991785","184.07332","0.541672222222222","0.841672222222222","624"
"","LPC(20:4)+Na",0,0,0,0,0,0,"1.82040138888889","2.12040138888889","8587","","LPC(20:4)+Na",0,0,0,0,0,0,"1.82040138888889","2.12040138888889","8587","","LPC(20:4)+Na",0,0,0,0,0,0,"1.82040138888889","2.12040138888889","8587","","LPC(20:4)+Na",0,0,0,0,0,0,"1.82040138888889","2.12040138888889","8587","","LPC(20:4)+Na",0,0,0,0,0,0,"1.82040138888889","2.12040138888889","8587","","LPC(20:4)+Na","566.321185","383.255185","507.247685","361.273185","236.991785","184.07332","1.82040138888889","2.12040138888889","8587"
"","LPC(20:5)+Na",0,0,0,0,0,0,"0.437618055555556","0.737618055555556","9572","","LPC(20:5)+Na",0,0,0,0,0,0,"0.437618055555556","0.737618055555556","9572","","LPC(20:5)+Na",0,0,0,0,0,0,"0.437618055555556","0.737618055555556","9572","","LPC(20:5)+Na",0,0,0,0,0,0,"0.437618055555556","0.737618055555556","9572","","LPC(20:5)+Na",0,0,0,0,0,0,"0.437618055555556","0.737618055555556","9572","","LPC(20:5)+Na","564.305535","381.239535","505.232035","359.257535","234.976135","184.07332","0.437618055555556","0.737618055555556","9572"
