"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment","RT at Max Intensity","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment","Number of Scans","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment","Max Intensity","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment","Average m/z","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment"
"","MGDG(14:0_22:3)+Na",0,0,0,0,"7.23601666666667","7.53601666666667","15198","","MGDG(14:0_22:3)+Na",0,0,0,0,"7.23601666666667","7.53601666666667","15198","","MGDG(14:0_22:3)+Na",0,0,0,0,"7.23601666666667","7.53601666666667","15198","","MGDG(14:0_22:3)+Na",0,0,0,0,"7.23601666666667","7.53601666666667","15198","","MGDG(14:0_22:3)+Na",0,0,0,0,"7.23601666666667","7.53601666666667","15198","","MGDG(14:0_22:3)+Na","803.5644","575.3555","469.2772","243.084","7.23601666666667","7.53601666666667","15198"
"","MGDG(14:0_22:3)+Na",0,0,0,0,"6.71725","7.01725","15234","","MGDG(14:0_22:3)+Na",0,0,0,0,"6.71725","7.01725","15234","","MGDG(14:0_22:3)+Na",0,0,0,0,"6.71725","7.01725","15234","","MGDG(14:0_22:3)+Na",0,0,0,0,"6.71725","7.01725","15234","","MGDG(14:0_22:3)+Na",0,0,0,0,"6.71725","7.01725","15234","","MGDG(14:0_22:3)+Na","803.5644","575.3555","469.2772","243.084","6.71725","7.01725","15234"
"","MGDG(14:0_22:4)+Na",0,0,0,0,"2.95733888888889","3.25733888888889","3577","","MGDG(14:0_22:4)+Na",0,0,0,0,"2.95733888888889","3.25733888888889","3577","","MGDG(14:0_22:4)+Na",0,0,0,0,"2.95733888888889","3.25733888888889","3577","","MGDG(14:0_22:4)+Na",0,0,0,0,"2.95733888888889","3.25733888888889","3577","","MGDG(14:0_22:4)+Na",0,0,0,0,"2.95733888888889","3.25733888888889","3577","","MGDG(14:0_22:4)+Na","801.5487","573.3398","469.2772","243.084","2.95733888888889","3.25733888888889","3577"
"","MGDG(14:0_22:5)+Na",0,0,0,0,"5.37886212121212","5.67886212121212","10322","","MGDG(14:0_22:5)+Na",0,0,0,0,"5.37886212121212","5.67886212121212","10322","","MGDG(14:0_22:5)+Na",0,0,0,0,"5.37886212121212","5.67886212121212","10322","","MGDG(14:0_22:5)+Na",0,0,0,0,"5.37886212121212","5.67886212121212","10322","","MGDG(14:0_22:5)+Na",0,0,0,0,"5.37886212121212","5.67886212121212","10322","","MGDG(14:0_22:5)+Na","799.5331","571.3242","469.2772","243.084","5.37886212121212","5.67886212121212","10322"
"","MGDG(14:0_26:0)+Na",0,0,0,0,"13.1475986111111","13.4475986111111","9490","","MGDG(14:0_26:0)+Na",0,0,0,0,"13.1475986111111","13.4475986111111","9490","","MGDG(14:0_26:0)+Na",0,0,0,0,"13.1475986111111","13.4475986111111","9490","","MGDG(14:0_26:0)+Na",0,0,0,0,"13.1475986111111","13.4475986111111","9490","","MGDG(14:0_26:0)+Na",0,0,0,0,"13.1475986111111","13.4475986111111","9490","","MGDG(14:0_26:0)+Na","865.6739","637.465","469.2772","243.084","13.1475986111111","13.4475986111111","9490"
"","MGDG(14:1_14:1)+Na",0,0,0,0,"1.64766805555556","1.94766805555556","7811","","MGDG(14:1_14:1)+Na",0,0,0,0,"1.64766805555556","1.94766805555556","7811","","MGDG(14:1_14:1)+Na",0,0,0,0,"1.64766805555556","1.94766805555556","7811","","MGDG(14:1_14:1)+Na",0,0,0,0,"1.64766805555556","1.94766805555556","7811","","MGDG(14:1_14:1)+Na",0,0,0,0,"1.64766805555556","1.94766805555556","7811","","MGDG(14:1_14:1)+Na","693.4549","467.2616","467.2616","243.084","1.64766805555556","1.94766805555556","7811"
"","MGDG(14:1_17:2)+Na",0,0,0,0,"0.632992424242424","0.932992424242424","16683","","MGDG(14:1_17:2)+Na",0,0,0,0,"0.632992424242424","0.932992424242424","16683","","MGDG(14:1_17:2)+Na",0,0,0,0,"0.632992424242424","0.932992424242424","16683","","MGDG(14:1_17:2)+Na",0,0,0,0,"0.632992424242424","0.932992424242424","16683","","MGDG(14:1_17:2)+Na",0,0,0,0,"0.632992424242424","0.932992424242424","16683","","MGDG(14:1_17:2)+Na","733.4862","507.2929","467.2616","243.084","0.632992424242424","0.932992424242424","16683"
"","MGDG(14:1_20:0)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(14:1_20:0)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(14:1_20:0)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(14:1_20:0)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(14:1_20:0)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(14:1_20:0)+Na","779.5644","553.3711","467.2616","243.084","8.01050416666666","8.31050416666666","1754"
"","MGDG(14:1_20:0)+Na",0,0,0,0,"6.19819166666667","6.49819166666667","2444","","MGDG(14:1_20:0)+Na",0,0,0,0,"6.19819166666667","6.49819166666667","2444","","MGDG(14:1_20:0)+Na",0,0,0,0,"6.19819166666667","6.49819166666667","2444","","MGDG(14:1_20:0)+Na",0,0,0,0,"6.19819166666667","6.49819166666667","2444","","MGDG(14:1_20:0)+Na",0,0,0,0,"6.19819166666667","6.49819166666667","2444","","MGDG(14:1_20:0)+Na","779.5644","553.3711","467.2616","243.084","6.19819166666667","6.49819166666667","2444"
"","MGDG(14:1_20:0)+Na",0,0,0,0,"6.208675","6.508675","17176","","MGDG(14:1_20:0)+Na",0,0,0,0,"6.208675","6.508675","17176","","MGDG(14:1_20:0)+Na",0,0,0,0,"6.208675","6.508675","17176","","MGDG(14:1_20:0)+Na",0,0,0,0,"6.208675","6.508675","17176","","MGDG(14:1_20:0)+Na",0,0,0,0,"6.208675","6.508675","17176","","MGDG(14:1_20:0)+Na","779.5644","553.3711","467.2616","243.084","6.208675","6.508675","17176"
"","MGDG(14:1_20:1)+Na",0,0,0,0,"6.414625","6.714625","3530","","MGDG(14:1_20:1)+Na",0,0,0,0,"6.414625","6.714625","3530","","MGDG(14:1_20:1)+Na",0,0,0,0,"6.414625","6.714625","3530","","MGDG(14:1_20:1)+Na",0,0,0,0,"6.414625","6.714625","3530","","MGDG(14:1_20:1)+Na",0,0,0,0,"6.414625","6.714625","3530","","MGDG(14:1_20:1)+Na","777.5488","551.3555","467.2616","243.084","6.414625","6.714625","3530"
"","MGDG(14:1_22:2)+Na",0,0,0,0,"7.23601666666667","7.53601666666667","15198","","MGDG(14:1_22:2)+Na",0,0,0,0,"7.23601666666667","7.53601666666667","15198","","MGDG(14:1_22:2)+Na",0,0,0,0,"7.23601666666667","7.53601666666667","15198","","MGDG(14:1_22:2)+Na",0,0,0,0,"7.23601666666667","7.53601666666667","15198","","MGDG(14:1_22:2)+Na",0,0,0,0,"7.23601666666667","7.53601666666667","15198","","MGDG(14:1_22:2)+Na","803.5644","577.3711","467.2616","243.084","7.23601666666667","7.53601666666667","15198"
"","MGDG(14:1_22:2)+Na",0,0,0,0,"6.71725","7.01725","15234","","MGDG(14:1_22:2)+Na",0,0,0,0,"6.71725","7.01725","15234","","MGDG(14:1_22:2)+Na",0,0,0,0,"6.71725","7.01725","15234","","MGDG(14:1_22:2)+Na",0,0,0,0,"6.71725","7.01725","15234","","MGDG(14:1_22:2)+Na",0,0,0,0,"6.71725","7.01725","15234","","MGDG(14:1_22:2)+Na","803.5644","577.3711","467.2616","243.084","6.71725","7.01725","15234"
"","MGDG(14:1_22:3)+Na",0,0,0,0,"2.95733888888889","3.25733888888889","3577","","MGDG(14:1_22:3)+Na",0,0,0,0,"2.95733888888889","3.25733888888889","3577","","MGDG(14:1_22:3)+Na",0,0,0,0,"2.95733888888889","3.25733888888889","3577","","MGDG(14:1_22:3)+Na",0,0,0,0,"2.95733888888889","3.25733888888889","3577","","MGDG(14:1_22:3)+Na",0,0,0,0,"2.95733888888889","3.25733888888889","3577","","MGDG(14:1_22:3)+Na","801.5488","575.3555","467.2616","243.084","2.95733888888889","3.25733888888889","3577"
