"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","LDGTS","[M+H]+","[M-H20]+","FA acyl loss","[M-H20]-FA","C7H14NO2","RT_min","RT_max","Comment","RT at Max Intensity","LDGTS","[M+H]+","[M-H20]+","FA acyl loss","[M-H20]-FA","C7H14NO2","RT_min","RT_max","Comment","Number of Scans","LDGTS","[M+H]+","[M-H20]+","FA acyl loss","[M-H20]-FA","C7H14NO2","RT_min","RT_max","Comment","Max Intensity","LDGTS","[M+H]+","[M-H20]+","FA acyl loss","[M-H20]-FA","C7H14NO2","RT_min","RT_max","Comment","Average m/z","LDGTS","[M+H]+","[M-H20]+","FA acyl loss","[M-H20]-FA","C7H14NO2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","LDGTS","[M+H]+","[M-H20]+","FA acyl loss","[M-H20]-FA","C7H14NO2","RT_min","RT_max","Comment"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"5.43840277777778","5.73840277777778","19159","","LDGTS(10:0/0:0)",0,0,0,0,0,"5.43840277777778","5.73840277777778","19159","","LDGTS(10:0/0:0)",0,0,0,0,0,"5.43840277777778","5.73840277777778","19159","","LDGTS(10:0/0:0)",0,0,0,0,0,"5.43840277777778","5.73840277777778","19159","","LDGTS(10:0/0:0)",0,0,0,0,0,"5.43840277777778","5.73840277777778","19159","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","5.43840277777778","5.73840277777778","19159"
"","LDGTS(10:1/0:0)",0,0,0,0,0,"0.369034722222222","0.669034722222222","4025","","LDGTS(10:1/0:0)",0,0,0,0,0,"0.369034722222222","0.669034722222222","4025","","LDGTS(10:1/0:0)",0,0,0,0,0,"0.369034722222222","0.669034722222222","4025","","LDGTS(10:1/0:0)",0,0,0,0,0,"0.369034722222222","0.669034722222222","4025","","LDGTS(10:1/0:0)",0,0,0,0,0,"0.369034722222222","0.669034722222222","4025","","LDGTS(10:1/0:0)","388.269358","370.2587937","236.1493225","218.1387625","144.1024","0.369034722222222","0.669034722222222","4025"
"","LDGTS(11:0/0:0)",0,0,0,0,0,"0.622963888888889","0.922963888888889","2705","","LDGTS(11:0/0:0)",0,0,0,0,0,"0.622963888888889","0.922963888888889","2705","","LDGTS(11:0/0:0)",0,0,0,0,0,"0.622963888888889","0.922963888888889","2705","","LDGTS(11:0/0:0)",0,0,0,0,0,"0.622963888888889","0.922963888888889","2705","","LDGTS(11:0/0:0)",0,0,0,0,0,"0.622963888888889","0.922963888888889","2705","","LDGTS(11:0/0:0)","404.300658","386.2900938","236.1493427","218.1387827","144.1024","0.622963888888889","0.922963888888889","2705"
"","LDGTS(11:0/0:0)",0,0,0,0,0,"0.477942424242424","0.777942424242424","10533","","LDGTS(11:0/0:0)",0.5695362,0,0,0,0,"0.477942424242424","0.777942424242424","10533","","LDGTS(11:0/0:0)",1,0,0,0,0,"0.477942424242424","0.777942424242424","10533","","LDGTS(11:0/0:0)",917.6158,0,0,0,0,"0.477942424242424","0.777942424242424","10533","","LDGTS(11:0/0:0)",404.3002,0,0,0,0,"0.477942424242424","0.777942424242424","10533","","LDGTS(11:0/0:0)","404.300658","386.2900938","236.1493427","218.1387827","144.1024","0.477942424242424","0.777942424242424","10533"
"","LDGTS(11:1/0:0)",0,0,0,0,0,"0.481458333333333","0.781458333333333","2859","","LDGTS(11:1/0:0)",0,0,0,0,0,"0.481458333333333","0.781458333333333","2859","","LDGTS(11:1/0:0)",0,0,0,0,0,"0.481458333333333","0.781458333333333","2859","","LDGTS(11:1/0:0)",0,0,0,0,0,"0.481458333333333","0.781458333333333","2859","","LDGTS(11:1/0:0)",0,0,0,0,0,"0.481458333333333","0.781458333333333","2859","","LDGTS(11:1/0:0)","402.285008","384.2744438","236.1493326","218.1387726","144.1024","0.481458333333333","0.781458333333333","2859"
"","LDGTS(12:0/0:0)",0,0,0,0,0,"0.726779166666667","1.02677916666667","4644","","LDGTS(12:0/0:0)",0,0,0,0,0,"0.726779166666667","1.02677916666667","4644","","LDGTS(12:0/0:0)",0,0,0,0,0,"0.726779166666667","1.02677916666667","4644","","LDGTS(12:0/0:0)",0,0,0,0,0,"0.726779166666667","1.02677916666667","4644","","LDGTS(12:0/0:0)",0,0,0,0,0,"0.726779166666667","1.02677916666667","4644","","LDGTS(12:0/0:0)","418.316308","400.3057439","236.1493527","218.1387927","144.1024","0.726779166666667","1.02677916666667","4644"
"","LDGTS(12:0/0:0)",0,0,0,0,0,"0.486072916666667","0.786072916666667","10810","","LDGTS(12:0/0:0)",0,0,0,0,0,"0.486072916666667","0.786072916666667","10810","","LDGTS(12:0/0:0)",0,0,0,0,0,"0.486072916666667","0.786072916666667","10810","","LDGTS(12:0/0:0)",0,0,0,0,0,"0.486072916666667","0.786072916666667","10810","","LDGTS(12:0/0:0)",0,0,0,0,0,"0.486072916666667","0.786072916666667","10810","","LDGTS(12:0/0:0)","418.316308","400.3057439","236.1493527","218.1387927","144.1024","0.486072916666667","0.786072916666667","10810"
"","LDGTS(12:1/0:0)",0,0,0,0,0,"0.544658333333333","0.844658333333333","3292","","LDGTS(12:1/0:0)",0,0,0,0,0,"0.544658333333333","0.844658333333333","3292","","LDGTS(12:1/0:0)",0,0,0,0,0,"0.544658333333333","0.844658333333333","3292","","LDGTS(12:1/0:0)",0,0,0,0,0,"0.544658333333333","0.844658333333333","3292","","LDGTS(12:1/0:0)",0,0,0,0,0,"0.544658333333333","0.844658333333333","3292","","LDGTS(12:1/0:0)","416.300658","398.2900938","236.1493427","218.1387827","144.1024","0.544658333333333","0.844658333333333","3292"
"","LDGTS(12:2/0:0)",0,0,0,0,0,"0.440209722222222","0.740209722222222","8241","","LDGTS(12:2/0:0)",0,0,0,0,0,"0.440209722222222","0.740209722222222","8241","","LDGTS(12:2/0:0)",0,0,0,0,0,"0.440209722222222","0.740209722222222","8241","","LDGTS(12:2/0:0)",0,0,0,0,0,"0.440209722222222","0.740209722222222","8241","","LDGTS(12:2/0:0)",0,0,0,0,0,"0.440209722222222","0.740209722222222","8241","","LDGTS(12:2/0:0)","414.285008","396.2744438","236.1493326","218.1387726","144.1024","0.440209722222222","0.740209722222222","8241"
"","LDGTS(12:3/0:0)",0,0,0,0,0,"6.70645277777778","7.00645277777778","10024","","LDGTS(12:3/0:0)",0,0,0,0,0,"6.70645277777778","7.00645277777778","10024","","LDGTS(12:3/0:0)",0,0,0,0,0,"6.70645277777778","7.00645277777778","10024","","LDGTS(12:3/0:0)",0,0,0,0,0,"6.70645277777778","7.00645277777778","10024","","LDGTS(12:3/0:0)",0,0,0,0,0,"6.70645277777778","7.00645277777778","10024","","LDGTS(12:3/0:0)","412.269358","394.2587937","236.1493225","218.1387625","144.1024","6.70645277777778","7.00645277777778","10024"
