"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","RT at Max Intensity","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Number of Scans","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Max Intensity","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Average m/z","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment"
"","MMPE(15:0_20:1)-H",1,0,0,"8.54963333333333","8.84963333333333","1115","","MMPE(15:0_20:1)-H",8.71849,0,0,"8.54963333333333","8.84963333333333","1115","","MMPE(15:0_20:1)-H",1,0,0,"8.54963333333333","8.84963333333333","1115","","MMPE(15:0_20:1)-H",17193.23,0,0,"8.54963333333333","8.84963333333333","1115","","MMPE(15:0_20:1)-H",744.5564,0,0,"8.54963333333333","8.84963333333333","1115","","MMPE(15:0_20:1)-H","744.55497","241.21735","309.27995","8.54963333333333","8.84963333333333","1115"
"","MMPE(15:0_20:2)-H",1,0,0,"7.6800106060606","7.9800106060606","773","","MMPE(15:0_20:2)-H",7.870355,0,0,"7.6800106060606","7.9800106060606","773","","MMPE(15:0_20:2)-H",1,0,0,"7.6800106060606","7.9800106060606","773","","MMPE(15:0_20:2)-H",35126.13,0,0,"7.6800106060606","7.9800106060606","773","","MMPE(15:0_20:2)-H",742.5406,0,0,"7.6800106060606","7.9800106060606","773","","MMPE(15:0_20:2)-H","742.53927","241.21735","307.26425","7.6800106060606","7.9800106060606","773"
"","MMPE(15:0_20:4)-H",0,0,0,"5.65324848484848","5.95324848484848","923","","MMPE(15:0_20:4)-H",0,0,0,"5.65324848484848","5.95324848484848","923","","MMPE(15:0_20:4)-H",0,0,0,"5.65324848484848","5.95324848484848","923","","MMPE(15:0_20:4)-H",0,0,0,"5.65324848484848","5.95324848484848","923","","MMPE(15:0_20:4)-H",0,0,0,"5.65324848484848","5.95324848484848","923","","MMPE(15:0_20:4)-H","738.50797","241.21735","303.23295","5.65324848484848","5.95324848484848","923"
"","MMPE(15:0_20:4)-H",0,0,0,"6.33049696969697","6.63049696969697","1643","","MMPE(15:0_20:4)-H",0,0,0,"6.33049696969697","6.63049696969697","1643","","MMPE(15:0_20:4)-H",0,0,0,"6.33049696969697","6.63049696969697","1643","","MMPE(15:0_20:4)-H",0,0,0,"6.33049696969697","6.63049696969697","1643","","MMPE(15:0_20:4)-H",0,0,0,"6.33049696969697","6.63049696969697","1643","","MMPE(15:0_20:4)-H","738.50797","241.21735","303.23295","6.33049696969697","6.63049696969697","1643"
"","MMPE(15:0_20:4)-H",0,0,0,"4.35774848484849","4.65774848484849","2622","","MMPE(15:0_20:4)-H",0,0,0,"4.35774848484849","4.65774848484849","2622","","MMPE(15:0_20:4)-H",0,0,0,"4.35774848484849","4.65774848484849","2622","","MMPE(15:0_20:4)-H",0,0,0,"4.35774848484849","4.65774848484849","2622","","MMPE(15:0_20:4)-H",0,0,0,"4.35774848484849","4.65774848484849","2622","","MMPE(15:0_20:4)-H","738.50797","241.21735","303.23295","4.35774848484849","4.65774848484849","2622"
"","MMPE(15:0_20:4)-H",0,0,0,"3.80641212121212","4.10641212121212","3147","","MMPE(15:0_20:4)-H",0,0,0,"3.80641212121212","4.10641212121212","3147","","MMPE(15:0_20:4)-H",0,0,0,"3.80641212121212","4.10641212121212","3147","","MMPE(15:0_20:4)-H",0,0,0,"3.80641212121212","4.10641212121212","3147","","MMPE(15:0_20:4)-H",0,0,0,"3.80641212121212","4.10641212121212","3147","","MMPE(15:0_20:4)-H","738.50797","241.21735","303.23295","3.80641212121212","4.10641212121212","3147"
"","MMPE(15:0_22:4)-H",0,0,0,"7.51369545454545","7.81369545454545","835","","MMPE(15:0_22:4)-H",0,0,0,"7.51369545454545","7.81369545454545","835","","MMPE(15:0_22:4)-H",0,0,0,"7.51369545454545","7.81369545454545","835","","MMPE(15:0_22:4)-H",0,0,0,"7.51369545454545","7.81369545454545","835","","MMPE(15:0_22:4)-H",0,0,0,"7.51369545454545","7.81369545454545","835","","MMPE(15:0_22:4)-H","766.53927","241.21735","331.26425","7.51369545454545","7.81369545454545","835"
"","MMPE(15:0_22:6)-H",1,0,1,"5.9804803030303","6.2804803030303","395","","MMPE(15:0_22:6)-H",6.132894,0,6.132894,"5.9804803030303","6.2804803030303","395","","MMPE(15:0_22:6)-H",1,0,1,"5.9804803030303","6.2804803030303","395","","MMPE(15:0_22:6)-H",49985.39,0,73932.63,"5.9804803030303","6.2804803030303","395","","MMPE(15:0_22:6)-H",762.5093,0,327.2332,"5.9804803030303","6.2804803030303","395","","MMPE(15:0_22:6)-H","762.50797","241.21735","327.23295","5.9804803030303","6.2804803030303","395"
"","MMPE(15:0_22:6)-H",0,0,0,"5.44704393939394","5.74704393939394","2550","","MMPE(15:0_22:6)-H",0,0,0,"5.44704393939394","5.74704393939394","2550","","MMPE(15:0_22:6)-H",0,0,0,"5.44704393939394","5.74704393939394","2550","","MMPE(15:0_22:6)-H",0,0,0,"5.44704393939394","5.74704393939394","2550","","MMPE(15:0_22:6)-H",0,0,0,"5.44704393939394","5.74704393939394","2550","","MMPE(15:0_22:6)-H","762.50797","241.21735","327.23295","5.44704393939394","5.74704393939394","2550"
"","MMPE(15:1_18:0)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","MMPE(15:1_18:0)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","MMPE(15:1_18:0)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","MMPE(15:1_18:0)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","MMPE(15:1_18:0)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","MMPE(15:1_18:0)-H","716.52357","239.20165","283.26425","5.62081363636364","5.92081363636364","1824"
"","MMPE(15:1_18:1)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","MMPE(15:1_18:1)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","MMPE(15:1_18:1)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","MMPE(15:1_18:1)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","MMPE(15:1_18:1)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","MMPE(15:1_18:1)-H","714.50797","239.20165","281.24865","4.60836818181818","4.90836818181818","1332"
"","MMPE(15:1_18:1)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","MMPE(15:1_18:1)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","MMPE(15:1_18:1)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","MMPE(15:1_18:1)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","MMPE(15:1_18:1)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","MMPE(15:1_18:1)-H","714.50797","239.20165","281.24865","6.5105303030303","6.8105303030303","1416"
