"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","RT at Max Intensity","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Number of Scans","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Max Intensity","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Average m/z","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment"
"","DMPE(14:0_20:2)-H",1,0,0,"7.6800106060606","7.9800106060606","773","","DMPE(14:0_20:2)-H",7.870355,0,0,"7.6800106060606","7.9800106060606","773","","DMPE(14:0_20:2)-H",1,0,0,"7.6800106060606","7.9800106060606","773","","DMPE(14:0_20:2)-H",35126.13,0,0,"7.6800106060606","7.9800106060606","773","","DMPE(14:0_20:2)-H",742.5406,0,0,"7.6800106060606","7.9800106060606","773","","DMPE(14:0_20:2)-H","742.5392","227.20165","307.26425","7.6800106060606","7.9800106060606","773"
"","DMPE(14:0_20:4)-H",0,0,0,"5.65324848484848","5.95324848484848","923","","DMPE(14:0_20:4)-H",0,0,0,"5.65324848484848","5.95324848484848","923","","DMPE(14:0_20:4)-H",0,0,0,"5.65324848484848","5.95324848484848","923","","DMPE(14:0_20:4)-H",0,0,0,"5.65324848484848","5.95324848484848","923","","DMPE(14:0_20:4)-H",0,0,0,"5.65324848484848","5.95324848484848","923","","DMPE(14:0_20:4)-H","738.5079","227.20165","303.23295","5.65324848484848","5.95324848484848","923"
"","DMPE(14:0_20:4)-H",0,0,0,"6.33049696969697","6.63049696969697","1643","","DMPE(14:0_20:4)-H",0,0,0,"6.33049696969697","6.63049696969697","1643","","DMPE(14:0_20:4)-H",0,0,0,"6.33049696969697","6.63049696969697","1643","","DMPE(14:0_20:4)-H",0,0,0,"6.33049696969697","6.63049696969697","1643","","DMPE(14:0_20:4)-H",0,0,0,"6.33049696969697","6.63049696969697","1643","","DMPE(14:0_20:4)-H","738.5079","227.20165","303.23295","6.33049696969697","6.63049696969697","1643"
"","DMPE(14:0_20:4)-H",0,0,0,"4.35774848484849","4.65774848484849","2622","","DMPE(14:0_20:4)-H",0,0,0,"4.35774848484849","4.65774848484849","2622","","DMPE(14:0_20:4)-H",0,0,0,"4.35774848484849","4.65774848484849","2622","","DMPE(14:0_20:4)-H",0,0,0,"4.35774848484849","4.65774848484849","2622","","DMPE(14:0_20:4)-H",0,0,0,"4.35774848484849","4.65774848484849","2622","","DMPE(14:0_20:4)-H","738.5079","227.20165","303.23295","4.35774848484849","4.65774848484849","2622"
"","DMPE(14:0_20:4)-H",0,0,0,"3.80641212121212","4.10641212121212","3147","","DMPE(14:0_20:4)-H",0,0,0,"3.80641212121212","4.10641212121212","3147","","DMPE(14:0_20:4)-H",0,0,0,"3.80641212121212","4.10641212121212","3147","","DMPE(14:0_20:4)-H",0,0,0,"3.80641212121212","4.10641212121212","3147","","DMPE(14:0_20:4)-H",0,0,0,"3.80641212121212","4.10641212121212","3147","","DMPE(14:0_20:4)-H","738.5079","227.20165","303.23295","3.80641212121212","4.10641212121212","3147"
"","DMPE(14:0_22:4)-H",0,0,0,"7.51369545454545","7.81369545454545","835","","DMPE(14:0_22:4)-H",0,0,0,"7.51369545454545","7.81369545454545","835","","DMPE(14:0_22:4)-H",0,0,0,"7.51369545454545","7.81369545454545","835","","DMPE(14:0_22:4)-H",0,0,0,"7.51369545454545","7.81369545454545","835","","DMPE(14:0_22:4)-H",0,0,0,"7.51369545454545","7.81369545454545","835","","DMPE(14:0_22:4)-H","766.5392","227.20165","331.26425","7.51369545454545","7.81369545454545","835"
"","DMPE(14:0_22:6)-H",1,0,1,"5.9804803030303","6.2804803030303","395","","DMPE(14:0_22:6)-H",6.132894,0,6.132894,"5.9804803030303","6.2804803030303","395","","DMPE(14:0_22:6)-H",1,0,1,"5.9804803030303","6.2804803030303","395","","DMPE(14:0_22:6)-H",49985.39,0,73932.63,"5.9804803030303","6.2804803030303","395","","DMPE(14:0_22:6)-H",762.5093,0,327.2332,"5.9804803030303","6.2804803030303","395","","DMPE(14:0_22:6)-H","762.5079","227.20165","327.23295","5.9804803030303","6.2804803030303","395"
"","DMPE(14:0_22:6)-H",0,0,0,"5.44704393939394","5.74704393939394","2550","","DMPE(14:0_22:6)-H",0,0,0,"5.44704393939394","5.74704393939394","2550","","DMPE(14:0_22:6)-H",0,0,0,"5.44704393939394","5.74704393939394","2550","","DMPE(14:0_22:6)-H",0,0,0,"5.44704393939394","5.74704393939394","2550","","DMPE(14:0_22:6)-H",0,0,0,"5.44704393939394","5.74704393939394","2550","","DMPE(14:0_22:6)-H","762.5079","227.20165","327.23295","5.44704393939394","5.74704393939394","2550"
"","DMPE(14:1_18:0)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(14:1_18:0)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(14:1_18:0)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(14:1_18:0)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(14:1_18:0)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(14:1_18:0)-H","716.5236","225.18605","283.26425","5.62081363636364","5.92081363636364","1824"
"","DMPE(14:1_18:1)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","DMPE(14:1_18:1)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","DMPE(14:1_18:1)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","DMPE(14:1_18:1)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","DMPE(14:1_18:1)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","DMPE(14:1_18:1)-H","714.508","225.18605","281.24865","4.60836818181818","4.90836818181818","1332"
