LipidA-PP,[M-H]-,[M-H]-PO3H,[M-H]-PO4H3,[M-H]-R2,[M-H]-R3,[M-H]-R2-PO4H3,[M-H]-R3-PO4H3
LipidA-PP [12_10_(70)],1936.368073,1854.386093,1838.391173,1720.195633,1748.226913,1622.218733,1650.250013
LipidA-PP [12_10_(72)],1964.399373,1882.417393,1866.422473,1748.226933,1776.258213,1650.250033,1678.281313
LipidA-PP [12_12_(40)],1543.929871,1461.947891,1445.952971,1327.757431,1327.757431,1229.780531,1229.780531
LipidA-PP [12_12_(42)],1571.961171,1489.979191,1473.984271,1355.788731,1355.788731,1257.811831,1257.811831
LipidA-PP [12_12_(44)],1599.992471,1518.010491,1502.015571,1383.820031,1383.820031,1285.843131,1285.843131
LipidA-PP [12_12_(46)],1628.023772,1546.041792,1530.046872,1411.851332,1411.851332,1313.874432,1313.874432
LipidA-PP [12_12_(48)],1656.055072,1574.073092,1558.078172,1439.882632,1439.882632,1341.905732,1341.905732
LipidA-PP [12_12_(50)],1684.086372,1602.104392,1586.109472,1467.913932,1467.913932,1369.937032,1369.937032
LipidA-PP [12_12_(52)],1712.117672,1630.135692,1614.140772,1495.945232,1495.945232,1397.968332,1397.968332
LipidA-PP [12_12_(54)],1740.148972,1658.166992,1642.172072,1523.976532,1523.976532,1425.999632,1425.999632
LipidA-PP [12_12_(56)],1768.180272,1686.198292,1670.203372,1552.007832,1552.007832,1454.030932,1454.030932
LipidA-PP [12_12_(58)],1796.211572,1714.229592,1698.234672,1580.039132,1580.039132,1482.062232,1482.062232
LipidA-PP [12_12_(60)],1824.242872,1742.260892,1726.265972,1608.070432,1608.070432,1510.093532,1510.093532
LipidA-PP [12_12_(62)],1852.274173,1770.292193,1754.297273,1636.101733,1636.101733,1538.124833,1538.124833
LipidA-PP [12_12_(64)],1880.305473,1798.323493,1782.328573,1664.133033,1664.133033,1566.156133,1566.156133
LipidA-PP [12_12_(66)],1908.336773,1826.354793,1810.359873,1692.164333,1692.164333,1594.187433,1594.187433
LipidA-PP [12_12_(68)],1936.368073,1854.386093,1838.391173,1720.195633,1720.195633,1622.218733,1622.218733
LipidA-PP [12_12_(70)],1964.399373,1882.417393,1866.422473,1748.226933,1748.226933,1650.250033,1650.250033
LipidA-PP [12_12_(72)],1992.430673,1910.448693,1894.453773,1776.258233,1776.258233,1678.281333,1678.281333
LipidA-PP [12_14_(40)],1571.961171,1489.979191,1473.984271,1355.788731,1327.757451,1257.811831,1229.780551
LipidA-PP [12_14_(42)],1599.992471,1518.010491,1502.015571,1383.820031,1355.788751,1285.843131,1257.811851
LipidA-PP [12_14_(44)],1628.023772,1546.041792,1530.046872,1411.851332,1383.820052,1313.874432,1285.843152
LipidA-PP [12_14_(46)],1656.055072,1574.073092,1558.078172,1439.882632,1411.851352,1341.905732,1313.874452
LipidA-PP [12_14_(48)],1684.086372,1602.104392,1586.109472,1467.913932,1439.882652,1369.937032,1341.905752
LipidA-PP [12_14_(50)],1712.117672,1630.135692,1614.140772,1495.945232,1467.913952,1397.968332,1369.937052
LipidA-PP [12_14_(52)],1740.148972,1658.166992,1642.172072,1523.976532,1495.945252,1425.999632,1397.968352
LipidA-PP [12_14_(54)],1768.180272,1686.198292,1670.203372,1552.007832,1523.976552,1454.030932,1425.999652
LipidA-PP [12_14_(56)],1796.211572,1714.229592,1698.234672,1580.039132,1552.007852,1482.062232,1454.030952
LipidA-PP [12_14_(58)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1510.093532,1482.062252
LipidA-PP [12_14_(60)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1538.124833,1510.093553
LipidA-PP [12_14_(62)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1566.156133,1538.124853
LipidA-PP [12_14_(64)],1908.336773,1826.354793,1810.359873,1692.164333,1664.133053,1594.187433,1566.156153
LipidA-PP [12_14_(66)],1936.368073,1854.386093,1838.391173,1720.195633,1692.164353,1622.218733,1594.187453
LipidA-PP [12_14_(68)],1964.399373,1882.417393,1866.422473,1748.226933,1720.195653,1650.250033,1622.218753
LipidA-PP [12_14_(70)],1992.430673,1910.448693,1894.453773,1776.258233,1748.226953,1678.281333,1650.250053
LipidA-PP [12_14_(72)],2020.461973,1938.479993,1922.485073,1804.289533,1776.258253,1706.312633,1678.281353
LipidA-PP [12_16_(40)],1599.992471,1518.010491,1502.015571,1383.820031,1327.757471,1285.843131,1229.780571
LipidA-PP [12_16_(42)],1628.023772,1546.041792,1530.046872,1411.851332,1355.788772,1313.874432,1257.811872
LipidA-PP [12_16_(44)],1656.055072,1574.073092,1558.078172,1439.882632,1383.820072,1341.905732,1285.843172
LipidA-PP [12_16_(46)],1684.086372,1602.104392,1586.109472,1467.913932,1411.851372,1369.937032,1313.874472
LipidA-PP [12_16_(48)],1712.117672,1630.135692,1614.140772,1495.945232,1439.882672,1397.968332,1341.905772
