HexCer-NDS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
HexCer-NDS(d15:0/40:0)+H,996.9171,834.8642,816.8536,798.8431,242.2478,224.2373,592.6391,212.2373
HexCer-NDS(d15:0/40:1)+H,994.9014,832.8486,814.838,796.8274,242.2478,224.2373,590.6235,212.2373
HexCer-NDS(d15:0/40:2)+H,992.8857,830.8329,812.8223,794.8118,242.2478,224.2373,588.6078,212.2373
HexCer-NDS(d15:0/42:0)+H,1024.948,862.8955,844.8849,826.8744,242.2478,224.2373,620.6704,212.2373
HexCer-NDS(d15:0/42:1)+H,1022.933,860.8799,842.8693,824.8587,242.2478,224.2373,618.6547,212.2373
HexCer-NDS(d15:0/42:2)+H,1020.917,858.8642,840.8536,822.8431,242.2478,224.2373,616.6391,212.2373
HexCer-NDS(d16:0/12:0)+H,618.4945,456.4417,438.4311,420.4205,256.2635,238.2529,200.2009,226.2529
HexCer-NDS(d16:0/12:1)+H,616.4788,454.426,436.4154,418.4049,256.2635,238.2529,198.1853,226.2529
HexCer-NDS(d16:0/13:0)+H,632.5101,470.4573,452.4467,434.4362,256.2635,238.2529,214.2166,226.2529
HexCer-NDS(d16:0/13:1)+H,630.4945,468.4417,450.4311,432.4205,256.2635,238.2529,212.2009,226.2529
HexCer-NDS(d16:0/14:0)+H,646.5258,484.473,466.4624,448.4518,256.2635,238.2529,228.2322,226.2529
HexCer-NDS(d16:0/14:1)+H,644.5101,482.4573,464.4467,446.4362,256.2635,238.2529,226.2166,226.2529
HexCer-NDS(d16:0/15:0)+H,660.5414,498.4886,480.478,462.4675,256.2635,238.2529,242.2478,226.2529
HexCer-NDS(d16:0/15:1)+H,658.5258,496.473,478.4624,460.4518,256.2635,238.2529,240.2322,226.2529
HexCer-NDS(d16:0/16:0)+H,674.5571,512.5043,494.4937,476.4831,256.2635,238.2529,256.2635,226.2529
HexCer-NDS(d16:0/16:1)+H,672.5414,510.4886,492.478,474.4675,256.2635,238.2529,254.2478,226.2529
HexCer-NDS(d16:0/16:2)+H,670.5258,508.473,490.4624,472.4518,256.2635,238.2529,252.2322,226.2529
HexCer-NDS(d16:0/17:0)+H,688.5728,526.5199,508.5093,490.4988,256.2635,238.2529,270.2791,226.2529
HexCer-NDS(d16:0/18:0)+H,702.5884,540.5356,522.525,504.5144,256.2635,238.2529,284.2948,226.2529
HexCer-NDS(d16:0/18:1)+H,700.5728,538.5199,520.5093,502.4988,256.2635,238.2529,282.2791,226.2529
HexCer-NDS(d16:0/18:2)+H,698.5571,536.5043,518.4937,500.4831,256.2635,238.2529,280.2635,226.2529
HexCer-NDS(d16:0/19:0)+H,716.6041,554.5512,536.5406,518.5301,256.2635,238.2529,298.3105,226.2529
HexCer-NDS(d16:0/19:1)+H,714.5884,552.5356,534.525,516.5144,256.2635,238.2529,296.2948,226.2529
HexCer-NDS(d16:0/20:0)+H,730.6197,568.5668,550.5563,532.5457,256.2635,238.2529,312.3261,226.2529
HexCer-NDS(d16:0/20:1)+H,728.6041,566.5512,548.5406,530.5301,256.2635,238.2529,310.3105,226.2529
HexCer-NDS(d16:0/20:2)+H,726.5884,564.5356,546.525,528.5144,256.2635,238.2529,308.2948,226.2529
HexCer-NDS(d16:0/21:0)+H,744.6353,582.5825,564.572,546.5613,256.2635,238.2529,326.3417,226.2529
HexCer-NDS(d16:0/21:1)+H,742.6197,580.5668,562.5563,544.5457,256.2635,238.2529,324.3261,226.2529
