PEtOH,[M-H]-,NL of SN1,NL of SN2,FA SN2,FA SN1,[C5H11O5P-H]-
PEtOH(18:0_15:1)-H,687.497,421.2362,465.2988,239.201,283.2635,181.0271
PEtOH(15:1_18:1)-H,685.4813,463.2831,421.2361,281.2479,239.201,181.0271
PEtOH(15:1_18:2)-H,683.4657,461.2675,421.2362,279.2323,239.201,181.0271
PEtOH(15:1_18:3)-H,681.45,459.2518,421.2361,277.2166,239.201,181.0271
PEtOH(15:1_18:4)-H,679.4344,457.2362,421.2362,275.201,239.201,181.0271
PEtOH(15:1_18:5)-H,677.4188,455.2206,421.2362,273.1853,239.201,181.0271
PEtOH(19:0_15:1)-H,701.5127,421.2363,479.3145,239.201,297.2792,181.0271
PEtOH(15:1_19:1)-H,699.497,477.2988,421.2362,295.2635,239.201,181.0271
PEtOH(15:1_19:2)-H,697.4813,475.2831,421.2361,293.2479,239.201,181.0271
PEtOH(20:0_15:1)-H,715.5283,421.2362,493.3301,239.201,311.2948,181.0271
PEtOH(15:1_20:1)-H,713.5127,491.3145,421.2363,309.2792,239.201,181.0271
PEtOH(15:1_20:2)-H,711.497,489.2988,421.2362,307.2635,239.201,181.0271
PEtOH(15:1_20:3)-H,709.4813,487.2831,421.2361,305.2479,239.201,181.0271
PEtOH(15:1_20:4)-H,707.4657,485.2675,421.2362,303.2323,239.201,181.0271
PEtOH(15:1_20:5)-H,705.45,483.2518,421.2361,301.2166,239.201,181.0271
PEtOH(21:0_15:1)-H,729.544,421.2363,507.3458,239.201,325.3105,181.0271
PEtOH(15:1_21:1)-H,727.5283,505.3301,421.2362,323.2948,239.201,181.0271
PEtOH(15:1_21:2)-H,725.5127,503.3145,421.2363,321.2792,239.201,181.0271
PEtOH(22:0_15:1)-H,743.5596,421.2363,521.3614,239.201,339.3261,181.0271
PEtOH(15:1_22:1)-H,741.544,519.3458,421.2363,337.3105,239.201,181.0271
PEtOH(15:1_22:2)-H,739.5283,517.3301,421.2362,335.2948,239.201,181.0271
PEtOH(15:1_22:3)-H,737.5127,515.3145,421.2363,333.2792,239.201,181.0271
PEtOH(15:1_22:4)-H,735.497,513.2988,421.2362,331.2635,239.201,181.0271
PEtOH(15:1_22:5)-H,733.4813,511.2831,421.2361,329.2479,239.201,181.0271
PEtOH(15:1_22:6)-H,731.4657,509.2675,421.2362,327.2323,239.201,181.0271
PEtOH(23:0_15:1)-H,757.5753,421.2363,535.3771,239.201,353.3417,181.0271
PEtOH(24:0_15:1)-H,771.5909,421.2363,549.3927,239.201,367.3574,181.0271
PEtOH(15:1_24:1)-H,769.5753,547.3771,421.2363,365.3417,239.201,181.0271
PEtOH(15:1_24:2)-H,767.5596,545.3614,421.2363,363.3261,239.201,181.0271
PEtOH(15:1_24:4)-H,763.5283,541.3301,421.2362,359.2948,239.201,181.0271
PEtOH(25:0_15:1)-H,785.6065,421.2362,563.4083,239.201,381.373,181.0271
PEtOH(26:0_15:1)-H,799.6222,421.2363,577.424,239.201,395.3887,181.0271
PEtOH(15:1_26:1)-H,797.6065,575.4083,421.2362,393.373,239.201,181.0271
PEtOH(15:1_26:2)-H,795.5909,573.3927,421.2363,391.3574,239.201,181.0271
PEtOH(15:1_26:4)-H,791.5596,569.3614,421.2363,387.3261,239.201,181.0271
PEtOH(27:0_15:1)-H,813.6378,421.2363,591.4396,239.201,409.4043,181.0271
PEtOH(16:0_16:0)-H,675.497,437.2675,437.2675,255.2323,255.2323,181.0271
PEtOH(16:0_16:1)-H,673.4813,435.2518,437.2674,253.2166,255.2323,181.0271
PEtOH(16:0_16:2)-H,671.4657,433.2362,437.2675,251.201,255.2323,181.0271
PEtOH(16:0_16:3)-H,669.45,431.2205,437.2674,249.1853,255.2323,181.0271
PEtOH(16:0_16:4)-H,667.4344,429.2049,437.2675,247.1697,255.2323,181.0271
PEtOH(16:0_17:0)-H,689.5127,451.2832,437.2675,269.2479,255.2323,181.0271
PEtOH(16:0_17:1)-H,687.497,449.2675,437.2675,267.2323,255.2323,181.0271
PEtOH(16:0_17:2)-H,685.4813,447.2518,437.2674,265.2166,255.2323,181.0271
PEtOH(16:0_18:0)-H,703.5283,465.2988,437.2675,283.2635,255.2323,181.0271
PEtOH(16:0_18:1)-H,701.5127,463.2832,437.2675,281.2479,255.2323,181.0271
PEtOH(16:0_18:2)-H,699.497,461.2675,437.2675,279.2323,255.2323,181.0271
PEtOH(16:0_18:3)-H,697.4813,459.2518,437.2674,277.2166,255.2323,181.0271
PEtOH(16:0_18:4)-H,695.4657,457.2362,437.2675,275.201,255.2323,181.0271
PEtOH(16:0_18:5)-H,693.45,455.2205,437.2674,273.1853,255.2323,181.0271
PEtOH(16:0_19:0)-H,717.544,479.3145,437.2676,297.2792,255.2323,181.0271
PEtOH(16:0_19:1)-H,715.5283,477.2988,437.2675,295.2635,255.2323,181.0271
PEtOH(16:0_19:2)-H,713.5127,475.2832,437.2675,293.2479,255.2323,181.0271
PEtOH(16:0_20:0)-H,731.5596,493.3301,437.2675,311.2948,255.2323,181.0271
PEtOH(16:0_20:1)-H,729.544,491.3145,437.2676,309.2792,255.2323,181.0271
PEtOH(16:0_20:2)-H,727.5283,489.2988,437.2675,307.2635,255.2323,181.0271
PEtOH(16:0_20:3)-H,725.5127,487.2832,437.2675,305.2479,255.2323,181.0271
PEtOH(16:0_20:4)-H,723.497,485.2675,437.2675,303.2323,255.2323,181.0271
PEtOH(16:0_20:5)-H,721.4813,483.2518,437.2674,301.2166,255.2323,181.0271
PEtOH(16:0_21:0)-H,745.5753,507.3458,437.2676,325.3105,255.2323,181.0271
PEtOH(16:0_21:1)-H,743.5596,505.3301,437.2675,323.2948,255.2323,181.0271
PEtOH(16:0_21:2)-H,741.544,503.3145,437.2676,321.2792,255.2323,181.0271
PEtOH(16:0_22:0)-H,759.5909,521.3614,437.2675,339.3261,255.2323,181.0271
PEtOH(16:0_22:1)-H,757.5753,519.3458,437.2676,337.3105,255.2323,181.0271
PEtOH(16:0_22:2)-H,755.5596,517.3301,437.2675,335.2948,255.2323,181.0271
PEtOH(16:0_22:3)-H,753.544,515.3145,437.2676,333.2792,255.2323,181.0271
PEtOH(16:0_22:4)-H,751.5283,513.2988,437.2675,331.2635,255.2323,181.0271
PEtOH(16:0_22:5)-H,749.5127,511.2832,437.2675,329.2479,255.2323,181.0271
PEtOH(16:0_22:6)-H,747.497,509.2675,437.2675,327.2323,255.2323,181.0271
PEtOH(16:0_23:0)-H,773.6065,535.377,437.2675,353.3417,255.2323,181.0271
PEtOH(16:0_24:0)-H,787.6222,549.3927,437.2676,367.3574,255.2323,181.0271
PEtOH(16:0_24:1)-H,785.6065,547.377,437.2675,365.3417,255.2323,181.0271
PEtOH(16:0_24:2)-H,783.5909,545.3614,437.2675,363.3261,255.2323,181.0271
PEtOH(16:0_24:4)-H,779.5596,541.3301,437.2675,359.2948,255.2323,181.0271
PEtOH(16:0_25:0)-H,801.6378,563.4083,437.2675,381.373,255.2323,181.0271
PEtOH(16:0_26:0)-H,815.6535,577.424,437.2676,395.3887,255.2323,181.0271
PEtOH(16:0_26:1)-H,813.6378,575.4083,437.2675,393.373,255.2323,181.0271
PEtOH(16:0_26:2)-H,811.6222,573.3927,437.2676,391.3574,255.2323,181.0271
PEtOH(16:0_26:4)-H,807.5909,569.3614,437.2675,387.3261,255.2323,181.0271
PEtOH(16:0_27:0)-H,829.6693,591.4397,437.2677,409.4043,255.2323,181.0271
PEtOH(16:1_16:1)-H,671.4657,435.2518,435.2518,253.2166,253.2166,181.0271
PEtOH(16:1_16:2)-H,669.45,433.2361,435.2518,251.201,253.2166,181.0271
PEtOH(16:1_16:3)-H,667.4344,431.2206,435.2518,249.1853,253.2166,181.0271
PEtOH(16:1_16:4)-H,665.4188,429.2049,435.2519,247.1697,253.2166,181.0271
PEtOH(17:0_16:1)-H,687.497,435.2519,451.2831,253.2166,269.2479,181.0271
PEtOH(16:1_17:1)-H,685.4813,449.2674,435.2518,267.2323,253.2166,181.0271
PEtOH(16:1_17:2)-H,683.4657,447.2518,435.2518,265.2166,253.2166,181.0271
PEtOH(18:0_16:1)-H,701.5127,435.2519,465.2988,253.2166,283.2635,181.0271
PEtOH(16:1_18:1)-H,699.497,463.2831,435.2519,281.2479,253.2166,181.0271
PEtOH(16:1_18:2)-H,697.4813,461.2674,435.2518,279.2323,253.2166,181.0271
PEtOH(16:1_18:3)-H,695.4657,459.2518,435.2518,277.2166,253.2166,181.0271
PEtOH(16:1_18:4)-H,693.45,457.2361,435.2518,275.201,253.2166,181.0271
PEtOH(16:1_18:5)-H,691.4344,455.2206,435.2518,273.1853,253.2166,181.0271
PEtOH(19:0_16:1)-H,715.5283,435.2519,479.3145,253.2166,297.2792,181.0271
PEtOH(16:1_19:1)-H,713.5127,477.2988,435.2519,295.2635,253.2166,181.0271
PEtOH(16:1_19:2)-H,711.497,475.2831,435.2519,293.2479,253.2166,181.0271
PEtOH(20:0_16:1)-H,729.544,435.252,493.3301,253.2166,311.2948,181.0271
PEtOH(16:1_20:1)-H,727.5283,491.3145,435.2519,309.2792,253.2166,181.0271
PEtOH(16:1_20:2)-H,725.5127,489.2988,435.2519,307.2635,253.2166,181.0271
PEtOH(16:1_20:3)-H,723.497,487.2831,435.2519,305.2479,253.2166,181.0271
PEtOH(16:1_20:4)-H,721.4813,485.2674,435.2518,303.2323,253.2166,181.0271
PEtOH(16:1_20:5)-H,719.4657,483.2518,435.2518,301.2166,253.2166,181.0271
PEtOH(21:0_16:1)-H,743.5596,435.2519,507.3457,253.2166,325.3105,181.0271
PEtOH(16:1_21:1)-H,741.544,505.3301,435.252,323.2948,253.2166,181.0271
PEtOH(16:1_21:2)-H,739.5283,503.3145,435.2519,321.2792,253.2166,181.0271
PEtOH(22:0_16:1)-H,757.5753,435.252,521.3615,253.2166,339.3261,181.0271
PEtOH(16:1_22:1)-H,755.5596,519.3458,435.2519,337.3105,253.2166,181.0271
PEtOH(16:1_22:2)-H,753.544,517.3301,435.252,335.2948,253.2166,181.0271
PEtOH(16:1_22:3)-H,751.5283,515.3145,435.2519,333.2792,253.2166,181.0271
PEtOH(16:1_22:4)-H,749.5127,513.2988,435.2519,331.2635,253.2166,181.0271
PEtOH(16:1_22:5)-H,747.497,511.2831,435.2519,329.2479,253.2166,181.0271
PEtOH(16:1_22:6)-H,745.4813,509.2674,435.2518,327.2323,253.2166,181.0271
PEtOH(23:0_16:1)-H,771.5909,435.2519,535.377,253.2166,353.3417,181.0271
PEtOH(24:0_16:1)-H,785.6065,435.2519,549.3926,253.2166,367.3574,181.0271
PEtOH(16:1_24:1)-H,783.5909,547.377,435.2519,365.3417,253.2166,181.0271
PEtOH(16:1_24:2)-H,781.5753,545.3615,435.252,363.3261,253.2166,181.0271
PEtOH(16:1_24:4)-H,777.544,541.3301,435.252,359.2948,253.2166,181.0271
PEtOH(25:0_16:1)-H,799.6222,435.252,563.4083,253.2166,381.373,181.0271
PEtOH(26:0_16:1)-H,813.6378,435.2519,577.424,253.2166,395.3887,181.0271
PEtOH(16:1_26:1)-H,811.6222,575.4083,435.252,393.373,253.2166,181.0271
PEtOH(16:1_26:2)-H,809.6065,573.3926,435.2519,391.3574,253.2166,181.0271
PEtOH(16:1_26:4)-H,805.5753,569.3615,435.252,387.3261,253.2166,181.0271
PEtOH(27:0_16:1)-H,827.6535,435.252,591.4396,253.2166,409.4043,181.0271
PEtOH(16:2_16:2)-H,667.4344,433.2362,433.2362,251.201,251.201,181.0271
PEtOH(16:2_16:3)-H,665.4188,431.2206,433.2362,249.1853,251.201,181.0271
PEtOH(16:2_16:4)-H,663.4031,429.2049,433.2361,247.1697,251.201,181.0271
PEtOH(17:0_16:2)-H,685.4813,433.2361,451.2831,251.201,269.2479,181.0271
PEtOH(17:1_16:2)-H,683.4657,433.2362,449.2675,251.201,267.2323,181.0271
PEtOH(16:2_17:2)-H,681.45,447.2518,433.2361,265.2166,251.201,181.0271
PEtOH(18:0_16:2)-H,699.497,433.2362,465.2988,251.201,283.2635,181.0271
PEtOH(18:1_16:2)-H,697.4813,433.2361,463.2831,251.201,281.2479,181.0271
PEtOH(16:2_18:2)-H,695.4657,461.2675,433.2362,279.2323,251.201,181.0271
PEtOH(16:2_18:3)-H,693.45,459.2518,433.2361,277.2166,251.201,181.0271
PEtOH(16:2_18:4)-H,691.4344,457.2362,433.2362,275.201,251.201,181.0271
PEtOH(16:2_18:5)-H,689.4188,455.2206,433.2362,273.1853,251.201,181.0271
PEtOH(19:0_16:2)-H,713.5127,433.2363,479.3145,251.201,297.2792,181.0271
PEtOH(19:1_16:2)-H,711.497,433.2362,477.2988,251.201,295.2635,181.0271
PEtOH(16:2_19:2)-H,709.4813,475.2831,433.2361,293.2479,251.201,181.0271
PEtOH(20:0_16:2)-H,727.5283,433.2362,493.3301,251.201,311.2948,181.0271
PEtOH(20:1_16:2)-H,725.5127,433.2363,491.3145,251.201,309.2792,181.0271
PEtOH(16:2_20:2)-H,723.497,489.2988,433.2362,307.2635,251.201,181.0271
PEtOH(16:2_20:3)-H,721.4813,487.2831,433.2361,305.2479,251.201,181.0271
PEtOH(16:2_20:4)-H,719.4657,485.2675,433.2362,303.2323,251.201,181.0271
PEtOH(16:2_20:5)-H,717.45,483.2518,433.2361,301.2166,251.201,181.0271
PEtOH(21:0_16:2)-H,741.544,433.2363,507.3458,251.201,325.3105,181.0271
PEtOH(21:1_16:2)-H,739.5283,433.2362,505.3301,251.201,323.2948,181.0271
PEtOH(16:2_21:2)-H,737.5127,503.3145,433.2363,321.2792,251.201,181.0271
PEtOH(22:0_16:2)-H,755.5596,433.2363,521.3614,251.201,339.3261,181.0271
PEtOH(22:1_16:2)-H,753.544,433.2363,519.3458,251.201,337.3105,181.0271
PEtOH(16:2_22:2)-H,751.5283,517.3301,433.2362,335.2948,251.201,181.0271
PEtOH(16:2_22:3)-H,749.5127,515.3145,433.2363,333.2792,251.201,181.0271
PEtOH(16:2_22:4)-H,747.497,513.2988,433.2362,331.2635,251.201,181.0271
PEtOH(16:2_22:5)-H,745.4813,511.2831,433.2361,329.2479,251.201,181.0271
PEtOH(16:2_22:6)-H,743.4657,509.2675,433.2362,327.2323,251.201,181.0271
PEtOH(23:0_16:2)-H,769.5753,433.2363,535.3771,251.201,353.3417,181.0271
PEtOH(24:0_16:2)-H,783.5909,433.2363,549.3927,251.201,367.3574,181.0271
PEtOH(24:1_16:2)-H,781.5753,433.2363,547.3771,251.201,365.3417,181.0271
PEtOH(16:2_24:2)-H,779.5596,545.3614,433.2363,363.3261,251.201,181.0271
PEtOH(16:2_24:4)-H,775.5283,541.3301,433.2362,359.2948,251.201,181.0271
PEtOH(25:0_16:2)-H,797.6065,433.2362,563.4083,251.201,381.373,181.0271
PEtOH(26:0_16:2)-H,811.6222,433.2363,577.424,251.201,395.3887,181.0271
PEtOH(26:1_16:2)-H,809.6065,433.2362,575.4083,251.201,393.373,181.0271
PEtOH(16:2_26:2)-H,807.5909,573.3927,433.2363,391.3574,251.201,181.0271
PEtOH(16:2_26:4)-H,803.5596,569.3614,433.2363,387.3261,251.201,181.0271
PEtOH(27:0_16:2)-H,825.6378,433.2363,591.4396,251.201,409.4043,181.0271
PEtOH(16:3_16:3)-H,663.4031,431.2205,431.2205,249.1853,249.1853,181.0271
PEtOH(16:3_16:4)-H,661.3875,429.2049,431.2206,247.1697,249.1853,181.0271
PEtOH(17:0_16:3)-H,683.4657,431.2206,451.2831,249.1853,269.2479,181.0271
PEtOH(17:1_16:3)-H,681.45,431.2205,449.2674,249.1853,267.2323,181.0271
PEtOH(17:2_16:3)-H,679.4344,431.2206,447.2518,249.1853,265.2166,181.0271
PEtOH(18:0_16:3)-H,697.4813,431.2205,465.2987,249.1853,283.2635,181.0271
PEtOH(18:1_16:3)-H,695.4657,431.2206,463.2831,249.1853,281.2479,181.0271
PEtOH(18:2_16:3)-H,693.45,431.2205,461.2674,249.1853,279.2323,181.0271
PEtOH(16:3_18:3)-H,691.4344,459.2518,431.2206,277.2166,249.1853,181.0271
PEtOH(16:3_18:4)-H,689.4188,457.2362,431.2206,275.201,249.1853,181.0271
PEtOH(16:3_18:5)-H,687.4031,455.2205,431.2205,273.1853,249.1853,181.0271
PEtOH(19:0_16:3)-H,711.497,431.2206,479.3144,249.1853,297.2792,181.0271
PEtOH(19:1_16:3)-H,709.4813,431.2205,477.2987,249.1853,295.2635,181.0271
PEtOH(19:2_16:3)-H,707.4657,431.2206,475.2831,249.1853,293.2479,181.0271
PEtOH(20:0_16:3)-H,725.5127,431.2206,493.3301,249.1853,311.2948,181.0271
PEtOH(20:1_16:3)-H,723.497,431.2206,491.3144,249.1853,309.2792,181.0271
PEtOH(20:2_16:3)-H,721.4813,431.2205,489.2987,249.1853,307.2635,181.0271
PEtOH(16:3_20:3)-H,719.4657,487.2831,431.2206,305.2479,249.1853,181.0271
PEtOH(16:3_20:4)-H,717.45,485.2674,431.2205,303.2323,249.1853,181.0271
PEtOH(16:3_20:5)-H,715.4344,483.2518,431.2206,301.2166,249.1853,181.0271
PEtOH(21:0_16:3)-H,739.5283,431.2206,507.3457,249.1853,325.3105,181.0271
PEtOH(21:1_16:3)-H,737.5127,431.2206,505.3301,249.1853,323.2948,181.0271
PEtOH(21:2_16:3)-H,735.497,431.2206,503.3144,249.1853,321.2792,181.0271
PEtOH(22:0_16:3)-H,753.544,431.2207,521.3615,249.1853,339.3261,181.0271
PEtOH(22:1_16:3)-H,751.5283,431.2206,519.3457,249.1853,337.3105,181.0271
PEtOH(22:2_16:3)-H,749.5127,431.2206,517.3301,249.1853,335.2948,181.0271
PEtOH(16:3_22:3)-H,747.497,515.3144,431.2206,333.2792,249.1853,181.0271
PEtOH(16:3_22:4)-H,745.4813,513.2987,431.2205,331.2635,249.1853,181.0271
PEtOH(16:3_22:5)-H,743.4657,511.2831,431.2206,329.2479,249.1853,181.0271
PEtOH(16:3_22:6)-H,741.45,509.2674,431.2205,327.2323,249.1853,181.0271
PEtOH(23:0_16:3)-H,767.5596,431.2206,535.377,249.1853,353.3417,181.0271
PEtOH(24:0_16:3)-H,781.5753,431.2207,549.3927,249.1853,367.3574,181.0271
PEtOH(24:1_16:3)-H,779.5596,431.2206,547.377,249.1853,365.3417,181.0271
PEtOH(24:2_16:3)-H,777.544,431.2207,545.3615,249.1853,363.3261,181.0271
PEtOH(16:3_24:4)-H,773.5127,541.3301,431.2206,359.2948,249.1853,181.0271
PEtOH(25:0_16:3)-H,795.5909,431.2206,563.4083,249.1853,381.373,181.0271
PEtOH(26:0_16:3)-H,809.6065,431.2206,577.424,249.1853,395.3887,181.0271
PEtOH(26:1_16:3)-H,807.5909,431.2206,575.4083,249.1853,393.373,181.0271
PEtOH(26:2_16:3)-H,805.5753,431.2207,573.3927,249.1853,391.3574,181.0271
PEtOH(16:3_26:4)-H,801.544,569.3615,431.2207,387.3261,249.1853,181.0271
PEtOH(27:0_16:3)-H,823.6222,431.2207,591.4396,249.1853,409.4043,181.0271
PEtOH(16:4_16:4)-H,659.3718,429.2049,429.2049,247.1697,247.1697,181.0271
PEtOH(17:0_16:4)-H,681.45,429.2049,451.2831,247.1697,269.2479,181.0271
PEtOH(17:1_16:4)-H,679.4344,429.2049,449.2675,247.1697,267.2323,181.0271
PEtOH(17:2_16:4)-H,677.4188,429.2049,447.2519,247.1697,265.2166,181.0271
PEtOH(18:0_16:4)-H,695.4657,429.2049,465.2988,247.1697,283.2635,181.0271
PEtOH(18:1_16:4)-H,693.45,429.2049,463.2831,247.1697,281.2479,181.0271
PEtOH(18:2_16:4)-H,691.4344,429.2049,461.2675,247.1697,279.2323,181.0271
PEtOH(18:3_16:4)-H,689.4188,429.2049,459.2519,247.1697,277.2166,181.0271
PEtOH(16:4_18:4)-H,687.4031,457.2361,429.2049,275.201,247.1697,181.0271
PEtOH(16:4_18:5)-H,685.3875,455.2206,429.2049,273.1853,247.1697,181.0271
PEtOH(19:0_16:4)-H,709.4813,429.2049,479.3144,247.1697,297.2792,181.0271
PEtOH(19:1_16:4)-H,707.4657,429.2049,477.2988,247.1697,295.2635,181.0271
PEtOH(19:2_16:4)-H,705.45,429.2049,475.2831,247.1697,293.2479,181.0271
PEtOH(20:0_16:4)-H,723.497,429.2049,493.33,247.1697,311.2948,181.0271
PEtOH(20:1_16:4)-H,721.4813,429.2049,491.3144,247.1697,309.2792,181.0271
PEtOH(20:2_16:4)-H,719.4657,429.2049,489.2988,247.1697,307.2635,181.0271
PEtOH(20:3_16:4)-H,717.45,429.2049,487.2831,247.1697,305.2479,181.0271
PEtOH(16:4_20:4)-H,715.4344,485.2675,429.2049,303.2323,247.1697,181.0271
PEtOH(16:4_20:5)-H,713.4188,483.2519,429.2049,301.2166,247.1697,181.0271
PEtOH(21:0_16:4)-H,737.5127,429.205,507.3458,247.1697,325.3105,181.0271
PEtOH(21:1_16:4)-H,735.497,429.2049,505.33,247.1697,323.2948,181.0271
PEtOH(21:2_16:4)-H,733.4813,429.2049,503.3144,247.1697,321.2792,181.0271
PEtOH(22:0_16:4)-H,751.5283,429.205,521.3614,247.1697,339.3261,181.0271
PEtOH(22:1_16:4)-H,749.5127,429.205,519.3458,247.1697,337.3105,181.0271
PEtOH(22:2_16:4)-H,747.497,429.2049,517.3301,247.1697,335.2948,181.0271
PEtOH(22:3_16:4)-H,745.4813,429.2049,515.3143,247.1697,333.2792,181.0271
PEtOH(16:4_22:4)-H,743.4657,513.2988,429.2049,331.2635,247.1697,181.0271
PEtOH(16:4_22:5)-H,741.45,511.2831,429.2049,329.2479,247.1697,181.0271
PEtOH(16:4_22:6)-H,739.4344,509.2675,429.2049,327.2323,247.1697,181.0271
PEtOH(23:0_16:4)-H,765.544,429.205,535.3771,247.1697,353.3417,181.0271
PEtOH(24:0_16:4)-H,779.5596,429.205,549.3926,247.1697,367.3574,181.0271
PEtOH(24:1_16:4)-H,777.544,429.205,547.3771,247.1697,365.3417,181.0271
PEtOH(24:2_16:4)-H,775.5283,429.205,545.3614,247.1697,363.3261,181.0271
PEtOH(16:4_24:4)-H,771.497,541.3301,429.2049,359.2948,247.1697,181.0271
PEtOH(25:0_16:4)-H,793.5753,429.205,563.4084,247.1697,381.373,181.0271
PEtOH(26:0_16:4)-H,807.5909,429.205,577.424,247.1697,395.3887,181.0271
PEtOH(26:1_16:4)-H,805.5753,429.205,575.4084,247.1697,393.373,181.0271
PEtOH(26:2_16:4)-H,803.5596,429.205,573.3926,247.1697,391.3574,181.0271
PEtOH(16:4_26:4)-H,799.5283,569.3614,429.205,387.3261,247.1697,181.0271
PEtOH(27:0_16:4)-H,821.6065,429.205,591.4396,247.1697,409.4043,181.0271
PEtOH(17:0_17:0)-H,703.5283,451.2832,451.2832,269.2479,269.2479,181.0271
PEtOH(17:0_17:1)-H,701.5127,449.2675,451.2832,267.2323,269.2479,181.0271
PEtOH(17:0_17:2)-H,699.497,447.2519,451.2831,265.2166,269.2479,181.0271
PEtOH(17:0_18:0)-H,717.544,465.2989,451.2832,283.2635,269.2479,181.0271
PEtOH(17:0_18:1)-H,715.5283,463.2832,451.2832,281.2479,269.2479,181.0271
PEtOH(17:0_18:2)-H,713.5127,461.2675,451.2832,279.2323,269.2479,181.0271
PEtOH(17:0_18:3)-H,711.497,459.2519,451.2831,277.2166,269.2479,181.0271
PEtOH(17:0_18:4)-H,709.4813,457.2361,451.2831,275.201,269.2479,181.0271
PEtOH(17:0_18:5)-H,707.4657,455.2206,451.2831,273.1853,269.2479,181.0271
PEtOH(17:0_19:0)-H,731.5596,479.3145,451.2832,297.2792,269.2479,181.0271
PEtOH(17:0_19:1)-H,729.544,477.2989,451.2832,295.2635,269.2479,181.0271
PEtOH(17:0_19:2)-H,727.5283,475.2832,451.2832,293.2479,269.2479,181.0271
PEtOH(17:0_20:0)-H,745.5753,493.3302,451.2832,311.2948,269.2479,181.0271
PEtOH(17:0_20:1)-H,743.5596,491.3145,451.2832,309.2792,269.2479,181.0271
PEtOH(17:0_20:2)-H,741.544,489.2989,451.2832,307.2635,269.2479,181.0271
PEtOH(17:0_20:3)-H,739.5283,487.2832,451.2832,305.2479,269.2479,181.0271
PEtOH(17:0_20:4)-H,737.5127,485.2675,451.2832,303.2323,269.2479,181.0271
PEtOH(17:0_20:5)-H,735.497,483.2519,451.2831,301.2166,269.2479,181.0271
PEtOH(17:0_21:0)-H,759.5909,507.3458,451.2832,325.3105,269.2479,181.0271
PEtOH(17:0_21:1)-H,757.5753,505.3302,451.2832,323.2948,269.2479,181.0271
PEtOH(17:0_21:2)-H,755.5596,503.3145,451.2832,321.2792,269.2479,181.0271
PEtOH(17:0_22:0)-H,773.6065,521.3614,451.2832,339.3261,269.2479,181.0271
PEtOH(17:0_22:1)-H,771.5909,519.3458,451.2832,337.3105,269.2479,181.0271
PEtOH(17:0_22:2)-H,769.5753,517.3301,451.2832,335.2948,269.2479,181.0271
PEtOH(17:0_22:3)-H,767.5596,515.3145,451.2832,333.2792,269.2479,181.0271
PEtOH(17:0_22:4)-H,765.544,513.2989,451.2832,331.2635,269.2479,181.0271
PEtOH(17:0_22:5)-H,763.5283,511.2832,451.2832,329.2479,269.2479,181.0271
PEtOH(17:0_22:6)-H,761.5127,509.2675,451.2832,327.2323,269.2479,181.0271
PEtOH(17:0_23:0)-H,787.6222,535.3771,451.2832,353.3417,269.2479,181.0271
PEtOH(17:0_24:0)-H,801.6378,549.3926,451.2832,367.3574,269.2479,181.0271
PEtOH(17:0_24:1)-H,799.6222,547.3771,451.2832,365.3417,269.2479,181.0271
PEtOH(17:0_24:2)-H,797.6065,545.3614,451.2832,363.3261,269.2479,181.0271
PEtOH(17:0_24:4)-H,793.5753,541.3301,451.2832,359.2948,269.2479,181.0271
PEtOH(17:0_25:0)-H,815.6535,563.4084,451.2832,381.373,269.2479,181.0271
PEtOH(17:0_26:0)-H,829.6693,577.4241,451.2833,395.3887,269.2479,181.0271
PEtOH(17:0_26:1)-H,827.6535,575.4084,451.2832,393.373,269.2479,181.0271
PEtOH(17:0_26:2)-H,825.6378,573.3926,451.2832,391.3574,269.2479,181.0271
PEtOH(17:0_26:4)-H,821.6065,569.3614,451.2832,387.3261,269.2479,181.0271
PEtOH(17:0_27:0)-H,843.6848,591.4396,451.2833,409.4043,269.2479,181.0271
PEtOH(17:1_17:1)-H,699.497,449.2675,449.2675,267.2323,267.2323,181.0271
PEtOH(17:1_17:2)-H,697.4813,447.2518,449.2674,265.2166,267.2323,181.0271
PEtOH(18:0_17:1)-H,715.5283,449.2675,465.2988,267.2323,283.2635,181.0271
PEtOH(17:1_18:1)-H,713.5127,463.2832,449.2675,281.2479,267.2323,181.0271
PEtOH(17:1_18:2)-H,711.497,461.2675,449.2675,279.2323,267.2323,181.0271
PEtOH(17:1_18:3)-H,709.4813,459.2518,449.2674,277.2166,267.2323,181.0271
PEtOH(17:1_18:4)-H,707.4657,457.2362,449.2675,275.201,267.2323,181.0271
PEtOH(17:1_18:5)-H,705.45,455.2205,449.2674,273.1853,267.2323,181.0271
PEtOH(19:0_17:1)-H,729.544,449.2676,479.3145,267.2323,297.2792,181.0271
PEtOH(17:1_19:1)-H,727.5283,477.2988,449.2675,295.2635,267.2323,181.0271
PEtOH(17:1_19:2)-H,725.5127,475.2832,449.2675,293.2479,267.2323,181.0271
PEtOH(20:0_17:1)-H,743.5596,449.2675,493.3301,267.2323,311.2948,181.0271
PEtOH(17:1_20:1)-H,741.544,491.3145,449.2676,309.2792,267.2323,181.0271
PEtOH(17:1_20:2)-H,739.5283,489.2988,449.2675,307.2635,267.2323,181.0271
PEtOH(17:1_20:3)-H,737.5127,487.2832,449.2675,305.2479,267.2323,181.0271
PEtOH(17:1_20:4)-H,735.497,485.2675,449.2675,303.2323,267.2323,181.0271
