Cer-NDS,[M+H]+,[M-H2O+H]+,[M-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
Cer-NDS(d16:0/25:0)+H,638.6446,620.634,602.6234,256.2635,238.2529,382.4044,226.2529
Cer-NDS(d16:0/25:1)+H,636.6289,618.6183,600.6078,256.2635,238.2529,380.3887,226.2529
Cer-NDS(d16:0/26:0)+H,652.6602,634.6497,616.6391,256.2635,238.2529,396.42,226.2529
Cer-NDS(d16:0/26:1)+H,650.6446,632.634,614.6234,256.2635,238.2529,394.4044,226.2529
Cer-NDS(d16:0/26:2)+H,648.6289,630.6183,612.6078,256.2635,238.2529,392.3887,226.2529
Cer-NDS(d16:0/27:0)+H,666.6758,648.6653,630.6547,256.2635,238.2529,410.4356,226.2529
Cer-NDS(d16:0/27:1)+H,664.6602,646.6497,628.6391,256.2635,238.2529,408.42,226.2529
Cer-NDS(d16:0/28:0)+H,680.6915,662.681,644.6704,256.2635,238.2529,424.4513,226.2529
Cer-NDS(d16:0/28:1)+H,678.6758,660.6653,642.6547,256.2635,238.2529,422.4356,226.2529
Cer-NDS(d16:0/28:2)+H,676.6602,658.6497,640.6391,256.2635,238.2529,420.42,226.2529
Cer-NDS(d16:0/29:0)+H,694.7072,676.6966,658.686,256.2635,238.2529,438.4669,226.2529
Cer-NDS(d16:0/29:1)+H,692.6915,674.681,656.6704,256.2635,238.2529,436.4513,226.2529
Cer-NDS(d16:0/30:0)+H,708.7228,690.7123,672.7017,256.2635,238.2529,452.4826,226.2529
Cer-NDS(d16:0/30:1)+H,706.7072,688.6966,670.686,256.2635,238.2529,450.4669,226.2529
Cer-NDS(d16:0/30:2)+H,704.6915,686.681,668.6704,256.2635,238.2529,448.4513,226.2529
Cer-NDS(d16:0/31:0)+H,722.7385,704.7279,686.7173,256.2635,238.2529,466.4983,226.2529
Cer-NDS(d16:0/31:1)+H,720.7228,702.7123,684.7017,256.2635,238.2529,464.4826,226.2529
Cer-NDS(d16:0/32:0)+H,736.7542,718.7435,700.733,256.2635,238.2529,480.5139,226.2529
Cer-NDS(d16:0/32:1)+H,734.7385,716.7279,698.7173,256.2635,238.2529,478.4983,226.2529
Cer-NDS(d16:0/32:2)+H,732.7228,714.7123,696.7017,256.2635,238.2529,476.4826,226.2529
Cer-NDS(d16:0/33:0)+H,750.7698,732.7592,714.7487,256.2635,238.2529,494.5295,226.2529
Cer-NDS(d16:0/33:1)+H,748.7542,730.7435,712.733,256.2635,238.2529,492.5139,226.2529
Cer-NDS(d16:0/34:0)+H,764.7854,746.7748,728.7643,256.2635,238.2529,508.5452,226.2529
Cer-NDS(d16:0/34:1)+H,762.7698,744.7592,726.7487,256.2635,238.2529,506.5295,226.2529
Cer-NDS(d16:0/34:2)+H,760.7542,742.7435,724.733,256.2635,238.2529,504.5139,226.2529
Cer-NDS(d16:0/35:0)+H,778.8011,760.7905,742.7799,256.2635,238.2529,522.5609,226.2529
Cer-NDS(d16:0/35:1)+H,776.7854,758.7748,740.7643,256.2635,238.2529,520.5452,226.2529
Cer-NDS(d16:0/36:0)+H,792.8167,774.8062,756.7956,256.2635,238.2529,536.5765,226.2529
Cer-NDS(d16:0/36:1)+H,790.8011,772.7905,754.7799,256.2635,238.2529,534.5609,226.2529
Cer-NDS(d16:0/36:2)+H,788.7854,770.7748,752.7643,256.2635,238.2529,532.5452,226.2529
Cer-NDS(d16:0/38:0)+H,820.848,802.8375,784.8269,256.2635,238.2529,564.6078,226.2529
Cer-NDS(d16:0/38:1)+H,818.8324,800.8218,782.8112,256.2635,238.2529,562.5922,226.2529
Cer-NDS(d16:0/38:2)+H,816.8167,798.8062,780.7956,256.2635,238.2529,560.5765,226.2529
Cer-NDS(d16:0/40:0)+H,848.8793,830.8688,812.8582,256.2635,238.2529,592.6391,226.2529
Cer-NDS(d16:0/40:1)+H,846.8636,828.8531,810.8425,256.2635,238.2529,590.6235,226.2529
Cer-NDS(d16:0/40:2)+H,844.848,826.8375,808.8269,256.2635,238.2529,588.6078,226.2529
Cer-NDS(d16:0/42:0)+H,876.9106,858.9,840.8895,256.2635,238.2529,620.6704,226.2529
Cer-NDS(d16:0/42:1)+H,874.895,856.8844,838.8738,256.2635,238.2529,618.6547,226.2529
Cer-NDS(d16:0/42:2)+H,872.8793,854.8688,836.8582,256.2635,238.2529,616.6391,226.2529
