OxPC,[M+Na]+,Mna-PC,Mna-TrimethylAmine,Mna-NaPC,Mna-R1COOH&TrimethylAmine,Mna-R2COOH&TrimethylAmine,Mna-R1COOH,Mna-R2COOH,Mna-R2COONa
OxPC(10:0_13:1(COOH))+Na,658.36907,475.30303,599.295571,453.32109,427.149241,357.143751,486.22274,416.21725,394.23529
OxPC(10:0_13:2(COOH))+Na,656.35342,473.28738,597.279921,451.30544,425.133591,357.143751,484.20709,416.21725,394.23529
OxPC(10:0_13:3(COOH))+Na,654.33777,471.27173,595.264271,449.28979,423.117941,357.143751,482.19144,416.21725,394.23529
OxPC(10:0_14:1(COOH))+Na,672.38472,489.31868,613.311221,467.33674,441.164891,357.143751,500.23839,416.21725,394.23529
OxPC(10:0_14:2(COOH))+Na,670.36907,487.30303,611.295571,465.32109,439.149241,357.143751,498.22274,416.21725,394.23529
OxPC(10:0_14:3(COOH))+Na,668.35342,485.28738,609.279921,463.30544,437.133591,357.143751,496.20709,416.21725,394.23529
OxPC(10:0_15:1(COOH))+Na,686.40037,503.33433,627.326871,481.35239,455.180541,357.143751,514.25404,416.21725,394.23529
OxPC(10:0_15:2(COOH))+Na,684.38472,501.31868,625.311221,479.33674,453.164891,357.143751,512.23839,416.21725,394.23529
OxPC(10:0_15:3(COOH))+Na,682.36907,499.30303,623.295571,477.32109,451.149241,357.143751,510.22274,416.21725,394.23529
OxPC(10:0_15:4(COOH))+Na,680.35342,497.28738,621.279921,475.30544,449.133591,357.143751,508.20709,416.21725,394.23529
OxPC(10:0_16:1(COOH))+Na,700.41602,517.34998,641.342521,495.36804,469.196191,357.143751,528.26969,416.21725,394.23529
OxPC(10:0_16:2(COOH))+Na,698.40037,515.33433,639.326871,493.35239,467.180541,357.143751,526.25404,416.21725,394.23529
OxPC(10:0_16:3(COOH))+Na,696.38472,513.31868,637.311221,491.33674,465.164891,357.143751,524.23839,416.21725,394.23529
OxPC(10:0_16:4(COOH))+Na,694.36907,511.30303,635.295571,489.32109,463.149241,357.143751,522.22274,416.21725,394.23529
OxPC(10:0_17:4(COOH))+Na,708.38472,525.31868,649.311221,503.33674,477.164891,357.143751,536.23839,416.21725,394.23529
OxPC(10:0_18:4(COOH))+Na,722.40037,539.33433,663.326871,517.35239,491.180541,357.143751,550.25404,416.21725,394.23529
OxPC(10:0_18:5(COOH))+Na,720.38472,537.31868,661.311221,515.33674,489.164891,357.143751,548.23839,416.21725,394.23529
OxPC(10:0_19:4(COOH))+Na,736.41602,553.34998,677.342521,531.36804,505.196191,357.143751,564.26969,416.21725,394.23529
OxPC(10:0_19:5(COOH))+Na,734.40037,551.33433,675.326871,529.35239,503.180541,357.143751,562.25404,416.21725,394.23529
OxPC(10:0_3:0(CHO))+Na,504.23329,321.16725,445.159791,299.18531,273.013461,357.143751,332.08696,416.21725,394.23529
OxPC(10:0_4:0(CHO))+Na,518.24894,335.1829,459.175441,313.20096,287.029111,357.143751,346.10261,416.21725,394.23529
OxPC(12:0_5:0(CHO))+Na,560.29589,377.22985,501.222391,355.24791,301.044761,385.175051,360.11826,444.24855,422.26659
OxPC(12:0_6:0(CHO))+Na,574.31154,391.2455,515.238041,369.26356,315.060411,385.175051,374.13391,444.24855,422.26659
OxPC(12:0_7:0(CHO))+Na,588.32719,405.26115,529.253691,383.27921,329.076061,385.175051,388.14956,444.24855,422.26659
OxPC(12:0_8:0(CHO))+Na,602.34284,419.2768,543.269341,397.29486,343.091711,385.175051,402.16521,444.24855,422.26659
OxPC(12:0_9:0(CHO))+Na,616.35849,433.29245,557.284991,411.31051,357.107361,385.175051,416.18086,444.24855,422.26659
OxPC(12:0_10:0(CHO))+Na,630.37414,447.3081,571.300641,425.32616,371.123011,385.175051,430.19651,444.24855,422.26659
OxPC(12:0_11:0(CHO))+Na,644.38979,461.32375,585.316291,439.34181,385.138661,385.175051,444.21216,444.24855,422.26659
OxPC(12:0_12:0(CHO))+Na,658.40544,475.3394,599.331941,453.35746,399.154311,385.175051,458.22781,444.24855,422.26659
OxPC(12:0_13:0(CHO))+Na,672.42109,489.35505,613.347591,467.37311,413.169961,385.175051,472.24346,444.24855,422.26659
OxPC(12:0_14:0(CHO))+Na,686.43674,503.3707,627.363241,481.38876,427.185611,385.175051,486.25911,444.24855,422.26659
OxPC(12:0_15:0(CHO))+Na,700.45239,517.38635,641.378891,495.40441,441.201261,385.175051,500.27476,444.24855,422.26659
OxPC(12:0_6:1(CHO))+Na,572.2959,389.22986,513.222401,367.24792,313.044771,385.175051,372.11827,444.24855,422.26659
