PMeOH,[M-H]-,NL of SN1,NL of SN2,FA SN2,FA SN1,[C4H9O5P-H]-
PMeOH(14:1_26:4)-H,763.5283,555.3457,393.205,387.3261,225.1853,167.0115
PMeOH(27:0_14:1)-H,785.6065,393.205,577.424,225.1853,409.4043,167.0115
PMeOH(15:0_15:0)-H,633.45,409.2361,409.2361,241.2166,241.2166,167.0115
PMeOH(15:0_15:1)-H,631.4344,407.2206,409.2362,239.201,241.2166,167.0115
PMeOH(15:0_16:0)-H,647.4657,423.2518,409.2362,255.2323,241.2166,167.0115
PMeOH(15:0_16:1)-H,645.45,421.2361,409.2361,253.2166,241.2166,167.0115
PMeOH(15:0_16:2)-H,643.4344,419.2206,409.2362,251.201,241.2166,167.0115
PMeOH(15:0_16:3)-H,641.4188,417.2049,409.2362,249.1853,241.2166,167.0115
PMeOH(15:0_16:4)-H,639.4031,415.1892,409.2361,247.1697,241.2166,167.0115
PMeOH(15:0_17:0)-H,661.4813,437.2674,409.2361,269.2479,241.2166,167.0115
PMeOH(15:0_17:1)-H,659.4657,435.2518,409.2362,267.2323,241.2166,167.0115
PMeOH(15:0_17:2)-H,657.45,433.2361,409.2361,265.2166,241.2166,167.0115
PMeOH(15:0_18:0)-H,675.497,451.2831,409.2362,283.2635,241.2166,167.0115
PMeOH(15:0_18:1)-H,673.4813,449.2674,409.2361,281.2479,241.2166,167.0115
PMeOH(15:0_18:2)-H,671.4657,447.2518,409.2362,279.2323,241.2166,167.0115
PMeOH(15:0_18:3)-H,669.45,445.2361,409.2361,277.2166,241.2166,167.0115
PMeOH(15:0_18:4)-H,667.4344,443.2206,409.2362,275.201,241.2166,167.0115
PMeOH(15:0_18:5)-H,665.4188,441.2049,409.2362,273.1853,241.2166,167.0115
PMeOH(15:0_19:0)-H,689.5127,465.2988,409.2363,297.2792,241.2166,167.0115
PMeOH(15:0_19:1)-H,687.497,463.2831,409.2362,295.2635,241.2166,167.0115
PMeOH(15:0_19:2)-H,685.4813,461.2674,409.2361,293.2479,241.2166,167.0115
PMeOH(15:0_20:0)-H,703.5283,479.3145,409.2362,311.2948,241.2166,167.0115
PMeOH(15:0_20:1)-H,701.5127,477.2988,409.2363,309.2792,241.2166,167.0115
PMeOH(15:0_20:2)-H,699.497,475.2831,409.2362,307.2635,241.2166,167.0115
PMeOH(15:0_20:3)-H,697.4813,473.2674,409.2361,305.2479,241.2166,167.0115
PMeOH(15:0_20:4)-H,695.4657,471.2518,409.2362,303.2323,241.2166,167.0115
PMeOH(15:0_20:5)-H,693.45,469.2361,409.2361,301.2166,241.2166,167.0115
PMeOH(15:0_21:0)-H,717.544,493.3301,409.2363,325.3105,241.2166,167.0115
PMeOH(15:0_21:1)-H,715.5283,491.3145,409.2362,323.2948,241.2166,167.0115
PMeOH(15:0_21:2)-H,713.5127,489.2988,409.2363,321.2792,241.2166,167.0115
PMeOH(15:0_22:0)-H,731.5596,507.3457,409.2363,339.3261,241.2166,167.0115
PMeOH(15:0_22:1)-H,729.544,505.3301,409.2363,337.3105,241.2166,167.0115
PMeOH(15:0_22:2)-H,727.5283,503.3145,409.2362,335.2948,241.2166,167.0115
PMeOH(15:0_22:3)-H,725.5127,501.2988,409.2363,333.2792,241.2166,167.0115
PMeOH(15:0_22:4)-H,723.497,499.2831,409.2362,331.2635,241.2166,167.0115
PMeOH(15:0_22:5)-H,721.4813,497.2674,409.2361,329.2479,241.2166,167.0115
PMeOH(15:0_22:6)-H,719.4657,495.2518,409.2362,327.2323,241.2166,167.0115
PMeOH(15:0_23:0)-H,745.5753,521.3615,409.2363,353.3417,241.2166,167.0115
PMeOH(15:0_24:0)-H,759.5909,535.377,409.2363,367.3574,241.2166,167.0115
PMeOH(15:0_24:1)-H,757.5753,533.3615,409.2363,365.3417,241.2166,167.0115
PMeOH(15:0_24:2)-H,755.5596,531.3458,409.2363,363.3261,241.2166,167.0115
PMeOH(15:0_24:4)-H,751.5283,527.3145,409.2362,359.2948,241.2166,167.0115
PMeOH(15:0_25:0)-H,773.6065,549.3926,409.2362,381.373,241.2166,167.0115
PMeOH(15:0_26:0)-H,787.6222,563.4083,409.2363,395.3887,241.2166,167.0115
PMeOH(15:0_26:1)-H,785.6065,561.3926,409.2362,393.373,241.2166,167.0115
PMeOH(15:0_26:2)-H,783.5909,559.377,409.2363,391.3574,241.2166,167.0115
PMeOH(15:0_26:4)-H,779.5596,555.3458,409.2363,387.3261,241.2166,167.0115
PMeOH(15:0_27:0)-H,801.6378,577.424,409.2363,409.4043,241.2166,167.0115
PMeOH(15:1_15:1)-H,629.4188,407.2206,407.2206,239.201,239.201,167.0115
PMeOH(16:0_15:1)-H,645.45,407.2205,423.2518,239.201,255.2323,167.0115
PMeOH(15:1_16:1)-H,643.4344,421.2362,407.2206,253.2166,239.201,167.0115
PMeOH(15:1_16:2)-H,641.4188,419.2206,407.2206,251.201,239.201,167.0115
PMeOH(15:1_16:3)-H,639.4031,417.2049,407.2205,249.1853,239.201,167.0115
PMeOH(15:1_16:4)-H,637.3875,415.1893,407.2206,247.1697,239.201,167.0115
