PMeOH,[M-H]-,NL of SN1,NL of SN2,FA SN2,FA SN1,[C4H9O5P-H]-
PMeOH(19:1_20:5)-H,747.497,469.2362,463.2831,301.2166,295.2635,167.0115
PMeOH(21:0_19:1)-H,771.5909,463.2832,493.3301,295.2635,325.3105,167.0115
PMeOH(19:1_21:1)-H,769.5753,491.3145,463.2832,323.2948,295.2635,167.0115
PMeOH(19:1_21:2)-H,767.5596,489.2988,463.2832,321.2792,295.2635,167.0115
PMeOH(22:0_19:1)-H,785.6065,463.2832,507.3457,295.2635,339.3261,167.0115
PMeOH(19:1_22:1)-H,783.5909,505.3301,463.2832,337.3105,295.2635,167.0115
PMeOH(19:1_22:2)-H,781.5753,503.3145,463.2832,335.2948,295.2635,167.0115
PMeOH(19:1_22:3)-H,779.5596,501.2988,463.2832,333.2792,295.2635,167.0115
PMeOH(19:1_22:4)-H,777.544,499.2832,463.2832,331.2635,295.2635,167.0115
PMeOH(19:1_22:5)-H,775.5283,497.2675,463.2832,329.2479,295.2635,167.0115
PMeOH(19:1_22:6)-H,773.5127,495.2519,463.2832,327.2323,295.2635,167.0115
PMeOH(23:0_19:1)-H,799.6222,463.2832,521.3615,295.2635,353.3417,167.0115
PMeOH(24:0_19:1)-H,813.6378,463.2832,535.377,295.2635,367.3574,167.0115
PMeOH(19:1_24:1)-H,811.6222,533.3615,463.2832,365.3417,295.2635,167.0115
PMeOH(19:1_24:2)-H,809.6065,531.3457,463.2832,363.3261,295.2635,167.0115
PMeOH(19:1_24:4)-H,805.5753,527.3145,463.2832,359.2948,295.2635,167.0115
PMeOH(25:0_19:1)-H,827.6535,463.2832,549.3927,295.2635,381.373,167.0115
PMeOH(26:0_19:1)-H,841.6693,463.2833,563.4084,295.2635,395.3887,167.0115
PMeOH(19:1_26:1)-H,839.6535,561.3927,463.2832,393.373,295.2635,167.0115
PMeOH(19:1_26:2)-H,837.6378,559.377,463.2832,391.3574,295.2635,167.0115
PMeOH(19:1_26:4)-H,833.6065,555.3457,463.2832,387.3261,295.2635,167.0115
PMeOH(27:0_19:1)-H,855.6848,463.2833,577.424,295.2635,409.4043,167.0115
PMeOH(19:2_19:2)-H,737.5127,461.2675,461.2675,293.2479,293.2479,167.0115
PMeOH(20:0_19:2)-H,755.5596,461.2675,479.3145,293.2479,311.2948,167.0115
PMeOH(20:1_19:2)-H,753.544,461.2676,477.2989,293.2479,309.2792,167.0115
PMeOH(19:2_20:2)-H,751.5283,475.2832,461.2675,307.2635,293.2479,167.0115
PMeOH(19:2_20:3)-H,749.5127,473.2675,461.2675,305.2479,293.2479,167.0115
PMeOH(19:2_20:4)-H,747.497,471.2519,461.2675,303.2323,293.2479,167.0115
PMeOH(19:2_20:5)-H,745.4813,469.2361,461.2674,301.2166,293.2479,167.0115
PMeOH(21:0_19:2)-H,769.5753,461.2676,493.3302,293.2479,325.3105,167.0115
PMeOH(21:1_19:2)-H,767.5596,461.2675,491.3145,293.2479,323.2948,167.0115
PMeOH(19:2_21:2)-H,765.544,489.2989,461.2676,321.2792,293.2479,167.0115
PMeOH(22:0_19:2)-H,783.5909,461.2675,507.3458,293.2479,339.3261,167.0115
PMeOH(22:1_19:2)-H,781.5753,461.2676,505.3302,293.2479,337.3105,167.0115
PMeOH(19:2_22:2)-H,779.5596,503.3145,461.2675,335.2948,293.2479,167.0115
PMeOH(19:2_22:3)-H,777.544,501.2989,461.2676,333.2792,293.2479,167.0115
PMeOH(19:2_22:4)-H,775.5283,499.2832,461.2675,331.2635,293.2479,167.0115
PMeOH(19:2_22:5)-H,773.5127,497.2675,461.2675,329.2479,293.2479,167.0115
PMeOH(19:2_22:6)-H,771.497,495.2519,461.2675,327.2323,293.2479,167.0115
PMeOH(23:0_19:2)-H,797.6065,461.2675,521.3614,293.2479,353.3417,167.0115
PMeOH(24:0_19:2)-H,811.6222,461.2676,535.3771,293.2479,367.3574,167.0115
PMeOH(24:1_19:2)-H,809.6065,461.2675,533.3614,293.2479,365.3417,167.0115
PMeOH(19:2_24:2)-H,807.5909,531.3458,461.2675,363.3261,293.2479,167.0115
PMeOH(19:2_24:4)-H,803.5596,527.3145,461.2675,359.2948,293.2479,167.0115
PMeOH(25:0_19:2)-H,825.6378,461.2675,549.3926,293.2479,381.373,167.0115
PMeOH(26:0_19:2)-H,839.6535,461.2676,563.4084,293.2479,395.3887,167.0115
PMeOH(26:1_19:2)-H,837.6378,461.2675,561.3926,293.2479,393.373,167.0115
PMeOH(19:2_26:2)-H,835.6222,559.3771,461.2676,391.3574,293.2479,167.0115
PMeOH(19:2_26:4)-H,831.5909,555.3458,461.2675,387.3261,293.2479,167.0115
PMeOH(27:0_19:2)-H,853.6693,461.2677,577.4241,293.2479,409.4043,167.0115
PMeOH(20:0_20:0)-H,773.6065,479.3145,479.3145,311.2948,311.2948,167.0115
PMeOH(20:0_20:1)-H,771.5909,477.2988,479.3145,309.2792,311.2948,167.0115
PMeOH(20:0_20:2)-H,769.5753,475.2832,479.3145,307.2635,311.2948,167.0115
PMeOH(20:0_20:3)-H,767.5596,473.2675,479.3145,305.2479,311.2948,167.0115
PMeOH(20:0_20:4)-H,765.544,471.252,479.3145,303.2323,311.2948,167.0115
PMeOH(20:0_20:5)-H,763.5283,469.2362,479.3145,301.2166,311.2948,167.0115
PMeOH(20:0_21:0)-H,787.6222,493.3301,479.3145,325.3105,311.2948,167.0115
PMeOH(20:0_21:1)-H,785.6065,491.3145,479.3145,323.2948,311.2948,167.0115
PMeOH(20:0_21:2)-H,783.5909,489.2988,479.3145,321.2792,311.2948,167.0115
PMeOH(20:0_22:0)-H,801.6378,507.3457,479.3145,339.3261,311.2948,167.0115
PMeOH(20:0_22:1)-H,799.6222,505.3301,479.3145,337.3105,311.2948,167.0115
PMeOH(20:0_22:2)-H,797.6065,503.3145,479.3145,335.2948,311.2948,167.0115
PMeOH(20:0_22:3)-H,795.5909,501.2988,479.3145,333.2792,311.2948,167.0115
PMeOH(20:0_22:4)-H,793.5753,499.2832,479.3145,331.2635,311.2948,167.0115
PMeOH(20:0_22:5)-H,791.5596,497.2675,479.3145,329.2479,311.2948,167.0115
PMeOH(20:0_22:6)-H,789.544,495.252,479.3145,327.2323,311.2948,167.0115
PMeOH(20:0_23:0)-H,815.6535,521.3615,479.3145,353.3417,311.2948,167.0115
PMeOH(20:0_24:0)-H,829.6693,535.3771,479.3146,367.3574,311.2948,167.0115
PMeOH(20:0_24:1)-H,827.6535,533.3615,479.3145,365.3417,311.2948,167.0115
PMeOH(20:0_24:2)-H,825.6378,531.3458,479.3145,363.3261,311.2948,167.0115
PMeOH(20:0_24:4)-H,821.6065,527.3145,479.3145,359.2948,311.2948,167.0115
PMeOH(20:0_25:0)-H,843.6848,549.3928,479.3145,381.373,311.2948,167.0115
PMeOH(20:0_26:0)-H,857.7005,563.4084,479.3146,395.3887,311.2948,167.0115
PMeOH(20:0_26:1)-H,855.6848,561.3928,479.3145,393.373,311.2948,167.0115
PMeOH(20:0_26:2)-H,853.6693,559.3771,479.3146,391.3574,311.2948,167.0115
PMeOH(20:0_26:4)-H,849.6378,555.3458,479.3145,387.3261,311.2948,167.0115
PMeOH(20:0_27:0)-H,871.7161,577.424,479.3146,409.4043,311.2948,167.0115
PMeOH(20:1_20:1)-H,769.5753,477.2989,477.2989,309.2792,309.2792,167.0115
PMeOH(20:1_20:2)-H,767.5596,475.2832,477.2988,307.2635,309.2792,167.0115
PMeOH(20:1_20:3)-H,765.544,473.2676,477.2989,305.2479,309.2792,167.0115
PMeOH(20:1_20:4)-H,763.5283,471.2519,477.2988,303.2323,309.2792,167.0115
PMeOH(20:1_20:5)-H,761.5127,469.2363,477.2988,301.2166,309.2792,167.0115
PMeOH(21:0_20:1)-H,785.6065,477.2988,493.3301,309.2792,325.3105,167.0115
PMeOH(20:1_21:1)-H,783.5909,491.3145,477.2988,323.2948,309.2792,167.0115
PMeOH(20:1_21:2)-H,781.5753,489.2989,477.2989,321.2792,309.2792,167.0115
PMeOH(22:0_20:1)-H,799.6222,477.2989,507.3458,309.2792,339.3261,167.0115
PMeOH(20:1_22:1)-H,797.6065,505.3301,477.2988,337.3105,309.2792,167.0115
PMeOH(20:1_22:2)-H,795.5909,503.3145,477.2988,335.2948,309.2792,167.0115
PMeOH(20:1_22:3)-H,793.5753,501.2989,477.2989,333.2792,309.2792,167.0115
PMeOH(20:1_22:4)-H,791.5596,499.2832,477.2988,331.2635,309.2792,167.0115
PMeOH(20:1_22:5)-H,789.544,497.2676,477.2989,329.2479,309.2792,167.0115
PMeOH(20:1_22:6)-H,787.5283,495.2519,477.2988,327.2323,309.2792,167.0115
PMeOH(23:0_20:1)-H,813.6378,477.2988,521.3614,309.2792,353.3417,167.0115
PMeOH(24:0_20:1)-H,827.6535,477.2989,535.3771,309.2792,367.3574,167.0115
PMeOH(20:1_24:1)-H,825.6378,533.3614,477.2988,365.3417,309.2792,167.0115
PMeOH(20:1_24:2)-H,823.6222,531.3458,477.2989,363.3261,309.2792,167.0115
PMeOH(20:1_24:4)-H,819.5909,527.3145,477.2988,359.2948,309.2792,167.0115
PMeOH(25:0_20:1)-H,841.6693,477.299,549.3928,309.2792,381.373,167.0115
PMeOH(26:0_20:1)-H,855.6848,477.2989,563.4084,309.2792,395.3887,167.0115
PMeOH(20:1_26:1)-H,853.6693,561.3928,477.299,393.373,309.2792,167.0115
PMeOH(20:1_26:2)-H,851.6535,559.3771,477.2989,391.3574,309.2792,167.0115
PMeOH(20:1_26:4)-H,847.6222,555.3458,477.2989,387.3261,309.2792,167.0115
PMeOH(27:0_20:1)-H,869.7005,477.299,577.4241,309.2792,409.4043,167.0115
PMeOH(20:2_20:2)-H,765.544,475.2832,475.2832,307.2635,307.2635,167.0115
PMeOH(20:2_20:3)-H,763.5283,473.2675,475.2832,305.2479,307.2635,167.0115
PMeOH(20:2_20:4)-H,761.5127,471.2519,475.2832,303.2323,307.2635,167.0115
PMeOH(20:2_20:5)-H,759.497,469.2362,475.2831,301.2166,307.2635,167.0115
PMeOH(21:0_20:2)-H,783.5909,475.2832,493.3301,307.2635,325.3105,167.0115
PMeOH(21:1_20:2)-H,781.5753,475.2832,491.3145,307.2635,323.2948,167.0115
PMeOH(20:2_21:2)-H,779.5596,489.2988,475.2832,321.2792,307.2635,167.0115
PMeOH(22:0_20:2)-H,797.6065,475.2832,507.3457,307.2635,339.3261,167.0115
PMeOH(22:1_20:2)-H,795.5909,475.2832,505.3301,307.2635,337.3105,167.0115
PMeOH(20:2_22:2)-H,793.5753,503.3145,475.2832,335.2948,307.2635,167.0115
PMeOH(20:2_22:3)-H,791.5596,501.2988,475.2832,333.2792,307.2635,167.0115
PMeOH(20:2_22:4)-H,789.544,499.2832,475.2832,331.2635,307.2635,167.0115
PMeOH(20:2_22:5)-H,787.5283,497.2675,475.2832,329.2479,307.2635,167.0115
PMeOH(20:2_22:6)-H,785.5127,495.2519,475.2832,327.2323,307.2635,167.0115
PMeOH(23:0_20:2)-H,811.6222,475.2832,521.3615,307.2635,353.3417,167.0115
PMeOH(24:0_20:2)-H,825.6378,475.2832,535.377,307.2635,367.3574,167.0115
PMeOH(24:1_20:2)-H,823.6222,475.2832,533.3615,307.2635,365.3417,167.0115
PMeOH(20:2_24:2)-H,821.6065,531.3457,475.2832,363.3261,307.2635,167.0115
PMeOH(20:2_24:4)-H,817.5753,527.3145,475.2832,359.2948,307.2635,167.0115
PMeOH(25:0_20:2)-H,839.6535,475.2832,549.3927,307.2635,381.373,167.0115
PMeOH(26:0_20:2)-H,853.6693,475.2833,563.4084,307.2635,395.3887,167.0115
PMeOH(26:1_20:2)-H,851.6535,475.2832,561.3927,307.2635,393.373,167.0115
PMeOH(20:2_26:2)-H,849.6378,559.377,475.2832,391.3574,307.2635,167.0115
PMeOH(20:2_26:4)-H,845.6065,555.3457,475.2832,387.3261,307.2635,167.0115
PMeOH(27:0_20:2)-H,867.6848,475.2833,577.424,307.2635,409.4043,167.0115
PMeOH(20:3_20:3)-H,761.5127,473.2675,473.2675,305.2479,305.2479,167.0115
PMeOH(20:3_20:4)-H,759.497,471.2519,473.2675,303.2323,305.2479,167.0115
PMeOH(20:3_20:5)-H,757.4813,469.2361,473.2674,301.2166,305.2479,167.0115
PMeOH(21:0_20:3)-H,781.5753,473.2676,493.3302,305.2479,325.3105,167.0115
PMeOH(21:1_20:3)-H,779.5596,473.2675,491.3145,305.2479,323.2948,167.0115
PMeOH(21:2_20:3)-H,777.544,473.2676,489.2989,305.2479,321.2792,167.0115
PMeOH(22:0_20:3)-H,795.5909,473.2675,507.3458,305.2479,339.3261,167.0115
PMeOH(22:1_20:3)-H,793.5753,473.2676,505.3302,305.2479,337.3105,167.0115
PMeOH(22:2_20:3)-H,791.5596,473.2675,503.3145,305.2479,335.2948,167.0115
PMeOH(20:3_22:3)-H,789.544,501.2989,473.2676,333.2792,305.2479,167.0115
PMeOH(20:3_22:4)-H,787.5283,499.2832,473.2675,331.2635,305.2479,167.0115
PMeOH(20:3_22:5)-H,785.5127,497.2675,473.2675,329.2479,305.2479,167.0115
PMeOH(20:3_22:6)-H,783.497,495.2519,473.2675,327.2323,305.2479,167.0115
PMeOH(23:0_20:3)-H,809.6065,473.2675,521.3614,305.2479,353.3417,167.0115
PMeOH(24:0_20:3)-H,823.6222,473.2676,535.3771,305.2479,367.3574,167.0115
PMeOH(24:1_20:3)-H,821.6065,473.2675,533.3614,305.2479,365.3417,167.0115
PMeOH(24:2_20:3)-H,819.5909,473.2675,531.3458,305.2479,363.3261,167.0115
PMeOH(20:3_24:4)-H,815.5596,527.3145,473.2675,359.2948,305.2479,167.0115
PMeOH(25:0_20:3)-H,837.6378,473.2675,549.3926,305.2479,381.373,167.0115
PMeOH(26:0_20:3)-H,851.6535,473.2676,563.4084,305.2479,395.3887,167.0115
PMeOH(26:1_20:3)-H,849.6378,473.2675,561.3926,305.2479,393.373,167.0115
PMeOH(26:2_20:3)-H,847.6222,473.2676,559.3771,305.2479,391.3574,167.0115
PMeOH(20:3_26:4)-H,843.5909,555.3458,473.2675,387.3261,305.2479,167.0115
PMeOH(27:0_20:3)-H,865.6693,473.2677,577.4241,305.2479,409.4043,167.0115
PMeOH(20:4_20:4)-H,757.4813,471.2518,471.2518,303.2323,303.2323,167.0115
PMeOH(20:4_20:5)-H,755.4657,469.2362,471.2518,301.2166,303.2323,167.0115
PMeOH(21:0_20:4)-H,779.5596,471.2519,493.3301,303.2323,325.3105,167.0115
PMeOH(21:1_20:4)-H,777.544,471.252,491.3145,303.2323,323.2948,167.0115
PMeOH(21:2_20:4)-H,775.5283,471.2519,489.2988,303.2323,321.2792,167.0115
PMeOH(22:0_20:4)-H,793.5753,471.252,507.3458,303.2323,339.3261,167.0115
PMeOH(22:1_20:4)-H,791.5596,471.2519,505.3301,303.2323,337.3105,167.0115
PMeOH(22:2_20:4)-H,789.544,471.252,503.3145,303.2323,335.2948,167.0115
PMeOH(22:3_20:4)-H,787.5283,471.2519,501.2988,303.2323,333.2792,167.0115
PMeOH(20:4_22:4)-H,785.5127,499.2832,471.2519,331.2635,303.2323,167.0115
PMeOH(20:4_22:5)-H,783.497,497.2675,471.2519,329.2479,303.2323,167.0115
PMeOH(20:4_22:6)-H,781.4813,495.2518,471.2518,327.2323,303.2323,167.0115
PMeOH(23:0_20:4)-H,807.5909,471.2519,521.3614,303.2323,353.3417,167.0115
PMeOH(24:0_20:4)-H,821.6065,471.2519,535.377,303.2323,367.3574,167.0115
PMeOH(24:1_20:4)-H,819.5909,471.2519,533.3614,303.2323,365.3417,167.0115
PMeOH(24:2_20:4)-H,817.5753,471.252,531.3458,303.2323,363.3261,167.0115
PMeOH(20:4_24:4)-H,813.544,527.3145,471.252,359.2948,303.2323,167.0115
PMeOH(25:0_20:4)-H,835.6222,471.252,549.3927,303.2323,381.373,167.0115
PMeOH(26:0_20:4)-H,849.6378,471.2519,563.4083,303.2323,395.3887,167.0115
PMeOH(26:1_20:4)-H,847.6222,471.252,561.3927,303.2323,393.373,167.0115
PMeOH(26:2_20:4)-H,845.6065,471.2519,559.377,303.2323,391.3574,167.0115
PMeOH(20:4_26:4)-H,841.5753,555.3458,471.252,387.3261,303.2323,167.0115
PMeOH(27:0_20:4)-H,863.6535,471.252,577.424,303.2323,409.4043,167.0115
PMeOH(20:5_20:5)-H,753.45,469.2361,469.2361,301.2166,301.2166,167.0115
PMeOH(21:0_20:5)-H,777.544,469.2363,493.3301,301.2166,325.3105,167.0115
PMeOH(21:1_20:5)-H,775.5283,469.2362,491.3145,301.2166,323.2948,167.0115
PMeOH(21:2_20:5)-H,773.5127,469.2363,489.2988,301.2166,321.2792,167.0115
PMeOH(22:0_20:5)-H,791.5596,469.2363,507.3457,301.2166,339.3261,167.0115
PMeOH(22:1_20:5)-H,789.544,469.2363,505.3301,301.2166,337.3105,167.0115
PMeOH(22:2_20:5)-H,787.5283,469.2362,503.3145,301.2166,335.2948,167.0115
PMeOH(22:3_20:5)-H,785.5127,469.2363,501.2988,301.2166,333.2792,167.0115
PMeOH(22:4_20:5)-H,783.497,469.2362,499.2831,301.2166,331.2635,167.0115
PMeOH(20:5_22:5)-H,781.4813,497.2674,469.2361,329.2479,301.2166,167.0115
PMeOH(20:5_22:6)-H,779.4657,495.2518,469.2362,327.2323,301.2166,167.0115
PMeOH(23:0_20:5)-H,805.5753,469.2363,521.3615,301.2166,353.3417,167.0115
PMeOH(24:0_20:5)-H,819.5909,469.2363,535.377,301.2166,367.3574,167.0115
PMeOH(24:1_20:5)-H,817.5753,469.2363,533.3615,301.2166,365.3417,167.0115
PMeOH(24:2_20:5)-H,815.5596,469.2363,531.3458,301.2166,363.3261,167.0115
PMeOH(24:4_20:5)-H,811.5283,469.2362,527.3145,301.2166,359.2948,167.0115
PMeOH(25:0_20:5)-H,833.6065,469.2362,549.3926,301.2166,381.373,167.0115
PMeOH(26:0_20:5)-H,847.6222,469.2363,563.4083,301.2166,395.3887,167.0115
PMeOH(26:1_20:5)-H,845.6065,469.2362,561.3926,301.2166,393.373,167.0115
PMeOH(26:2_20:5)-H,843.5909,469.2363,559.377,301.2166,391.3574,167.0115
PMeOH(26:4_20:5)-H,839.5596,469.2363,555.3458,301.2166,387.3261,167.0115
PMeOH(27:0_20:5)-H,861.6378,469.2363,577.424,301.2166,409.4043,167.0115
PMeOH(21:0_21:0)-H,801.6378,493.3301,493.3301,325.3105,325.3105,167.0115
PMeOH(21:0_21:1)-H,799.6222,491.3145,493.3301,323.2948,325.3105,167.0115
PMeOH(21:0_21:2)-H,797.6065,489.2988,493.3301,321.2792,325.3105,167.0115
PMeOH(21:0_22:0)-H,815.6535,507.3458,493.3302,339.3261,325.3105,167.0115
PMeOH(21:0_22:1)-H,813.6378,505.3301,493.3301,337.3105,325.3105,167.0115
PMeOH(21:0_22:2)-H,811.6222,503.3145,493.3301,335.2948,325.3105,167.0115
PMeOH(21:0_22:3)-H,809.6065,501.2988,493.3301,333.2792,325.3105,167.0115
PMeOH(21:0_22:4)-H,807.5909,499.2832,493.3301,331.2635,325.3105,167.0115
PMeOH(21:0_22:5)-H,805.5753,497.2676,493.3302,329.2479,325.3105,167.0115
PMeOH(21:0_22:6)-H,803.5596,495.2519,493.3301,327.2323,325.3105,167.0115
PMeOH(21:0_23:0)-H,829.6693,521.3615,493.3302,353.3417,325.3105,167.0115
PMeOH(21:0_24:0)-H,843.6848,535.3771,493.3302,367.3574,325.3105,167.0115
PMeOH(21:0_24:1)-H,841.6693,533.3615,493.3302,365.3417,325.3105,167.0115
PMeOH(21:0_24:2)-H,839.6535,531.3458,493.3302,363.3261,325.3105,167.0115
PMeOH(21:0_24:4)-H,835.6222,527.3145,493.3301,359.2948,325.3105,167.0115
PMeOH(21:0_25:0)-H,857.7005,549.3928,493.3302,381.373,325.3105,167.0115
PMeOH(21:0_26:0)-H,871.7161,563.4084,493.3302,395.3887,325.3105,167.0115
PMeOH(21:0_26:1)-H,869.7005,561.3928,493.3302,393.373,325.3105,167.0115
PMeOH(21:0_26:2)-H,867.6848,559.3771,493.3302,391.3574,325.3105,167.0115
PMeOH(21:0_26:4)-H,863.6535,555.3458,493.3302,387.3261,325.3105,167.0115
PMeOH(21:0_27:0)-H,885.7318,577.4241,493.3303,409.4043,325.3105,167.0115
PMeOH(21:1_21:1)-H,797.6065,491.3145,491.3145,323.2948,323.2948,167.0115
PMeOH(21:1_21:2)-H,795.5909,489.2988,491.3145,321.2792,323.2948,167.0115
PMeOH(22:0_21:1)-H,813.6378,491.3145,507.3457,323.2948,339.3261,167.0115
PMeOH(21:1_22:1)-H,811.6222,505.3301,491.3145,337.3105,323.2948,167.0115
PMeOH(21:1_22:2)-H,809.6065,503.3145,491.3145,335.2948,323.2948,167.0115
PMeOH(21:1_22:3)-H,807.5909,501.2988,491.3145,333.2792,323.2948,167.0115
PMeOH(21:1_22:4)-H,805.5753,499.2832,491.3145,331.2635,323.2948,167.0115
PMeOH(21:1_22:5)-H,803.5596,497.2675,491.3145,329.2479,323.2948,167.0115
PMeOH(21:1_22:6)-H,801.544,495.252,491.3145,327.2323,323.2948,167.0115
PMeOH(23:0_21:1)-H,827.6535,491.3145,521.3615,323.2948,353.3417,167.0115
PMeOH(24:0_21:1)-H,841.6693,491.3146,535.3771,323.2948,367.3574,167.0115
PMeOH(21:1_24:1)-H,839.6535,533.3615,491.3145,365.3417,323.2948,167.0115
PMeOH(21:1_24:2)-H,837.6378,531.3458,491.3145,363.3261,323.2948,167.0115
PMeOH(21:1_24:4)-H,833.6065,527.3145,491.3145,359.2948,323.2948,167.0115
PMeOH(25:0_21:1)-H,855.6848,491.3145,549.3928,323.2948,381.373,167.0115
PMeOH(26:0_21:1)-H,869.7005,491.3146,563.4084,323.2948,395.3887,167.0115
PMeOH(21:1_26:1)-H,867.6848,561.3928,491.3145,393.373,323.2948,167.0115
PMeOH(21:1_26:2)-H,865.6693,559.3771,491.3146,391.3574,323.2948,167.0115
PMeOH(21:1_26:4)-H,861.6378,555.3458,491.3145,387.3261,323.2948,167.0115
PMeOH(27:0_21:1)-H,883.7161,491.3146,577.424,323.2948,409.4043,167.0115
PMeOH(21:2_21:2)-H,793.5753,489.2989,489.2989,321.2792,321.2792,167.0115
PMeOH(22:0_21:2)-H,811.6222,489.2989,507.3458,321.2792,339.3261,167.0115
PMeOH(22:1_21:2)-H,809.6065,489.2988,505.3301,321.2792,337.3105,167.0115
PMeOH(21:2_22:2)-H,807.5909,503.3145,489.2988,335.2948,321.2792,167.0115
PMeOH(21:2_22:3)-H,805.5753,501.2989,489.2989,333.2792,321.2792,167.0115
PMeOH(21:2_22:4)-H,803.5596,499.2832,489.2988,331.2635,321.2792,167.0115
PMeOH(21:2_22:5)-H,801.544,497.2676,489.2989,329.2479,321.2792,167.0115
PMeOH(21:2_22:6)-H,799.5283,495.2519,489.2988,327.2323,321.2792,167.0115
PMeOH(23:0_21:2)-H,825.6378,489.2988,521.3614,321.2792,353.3417,167.0115
PMeOH(24:0_21:2)-H,839.6535,489.2989,535.3771,321.2792,367.3574,167.0115
PMeOH(24:1_21:2)-H,837.6378,489.2988,533.3614,321.2792,365.3417,167.0115
PMeOH(21:2_24:2)-H,835.6222,531.3458,489.2989,363.3261,321.2792,167.0115
PMeOH(21:2_24:4)-H,831.5909,527.3145,489.2988,359.2948,321.2792,167.0115
PMeOH(25:0_21:2)-H,853.6693,489.299,549.3928,321.2792,381.373,167.0115
PMeOH(26:0_21:2)-H,867.6848,489.2989,563.4084,321.2792,395.3887,167.0115
PMeOH(26:1_21:2)-H,865.6693,489.299,561.3928,321.2792,393.373,167.0115
PMeOH(21:2_26:2)-H,863.6535,559.3771,489.2989,391.3574,321.2792,167.0115
PMeOH(21:2_26:4)-H,859.6222,555.3458,489.2989,387.3261,321.2792,167.0115
PMeOH(27:0_21:2)-H,881.7005,489.299,577.4241,321.2792,409.4043,167.0115
PMeOH(22:0_22:0)-H,829.6693,507.3459,507.3459,339.3261,339.3261,167.0115
PMeOH(22:0_22:1)-H,827.6535,505.3302,507.3458,337.3105,339.3261,167.0115
PMeOH(22:0_22:2)-H,825.6378,503.3145,507.3457,335.2948,339.3261,167.0115
PMeOH(22:0_22:3)-H,823.6222,501.2989,507.3458,333.2792,339.3261,167.0115
PMeOH(22:0_22:4)-H,821.6065,499.2832,507.3457,331.2635,339.3261,167.0115
PMeOH(22:0_22:5)-H,819.5909,497.2675,507.3458,329.2479,339.3261,167.0115
PMeOH(22:0_22:6)-H,817.5753,495.252,507.3458,327.2323,339.3261,167.0115
PMeOH(22:0_23:0)-H,843.6848,521.3615,507.3458,353.3417,339.3261,167.0115
PMeOH(22:0_24:0)-H,857.7005,535.3771,507.3459,367.3574,339.3261,167.0115
PMeOH(22:0_24:1)-H,855.6848,533.3615,507.3458,365.3417,339.3261,167.0115
PMeOH(22:0_24:2)-H,853.6693,531.3459,507.3459,363.3261,339.3261,167.0115
PMeOH(22:0_24:4)-H,849.6378,527.3145,507.3457,359.2948,339.3261,167.0115
PMeOH(22:0_25:0)-H,871.7161,549.3928,507.3458,381.373,339.3261,167.0115
PMeOH(22:0_26:0)-H,885.7318,563.4084,507.3459,395.3887,339.3261,167.0115
PMeOH(22:0_26:1)-H,883.7161,561.3928,507.3458,393.373,339.3261,167.0115
PMeOH(22:0_26:2)-H,881.7005,559.3771,507.3459,391.3574,339.3261,167.0115
PMeOH(22:0_26:4)-H,877.6693,555.3459,507.3459,387.3261,339.3261,167.0115
PMeOH(22:0_27:0)-H,899.7474,577.4241,507.3459,409.4043,339.3261,167.0115
PMeOH(22:1_22:1)-H,825.6378,505.3301,505.3301,337.3105,337.3105,167.0115
PMeOH(22:1_22:2)-H,823.6222,503.3145,505.3301,335.2948,337.3105,167.0115
PMeOH(22:1_22:3)-H,821.6065,501.2988,505.3301,333.2792,337.3105,167.0115
PMeOH(22:1_22:4)-H,819.5909,499.2832,505.3301,331.2635,337.3105,167.0115
PMeOH(22:1_22:5)-H,817.5753,497.2676,505.3302,329.2479,337.3105,167.0115
PMeOH(22:1_22:6)-H,815.5596,495.2519,505.3301,327.2323,337.3105,167.0115
PMeOH(23:0_22:1)-H,841.6693,505.3302,521.3615,337.3105,353.3417,167.0115
PMeOH(24:0_22:1)-H,855.6848,505.3302,535.3771,337.3105,367.3574,167.0115
PMeOH(22:1_24:1)-H,853.6693,533.3615,505.3302,365.3417,337.3105,167.0115
PMeOH(22:1_24:2)-H,851.6535,531.3458,505.3302,363.3261,337.3105,167.0115
PMeOH(22:1_24:4)-H,847.6222,527.3145,505.3301,359.2948,337.3105,167.0115
PMeOH(25:0_22:1)-H,869.7005,505.3302,549.3928,337.3105,381.373,167.0115
PMeOH(26:0_22:1)-H,883.7161,505.3302,563.4084,337.3105,395.3887,167.0115
PMeOH(22:1_26:1)-H,881.7005,561.3928,505.3302,393.373,337.3105,167.0115
PMeOH(22:1_26:2)-H,879.6848,559.3771,505.3302,391.3574,337.3105,167.0115
PMeOH(22:1_26:4)-H,875.6535,555.3458,505.3302,387.3261,337.3105,167.0115
PMeOH(27:0_22:1)-H,897.7318,505.3303,577.4241,337.3105,409.4043,167.0115
PMeOH(22:2_22:2)-H,821.6065,503.3145,503.3145,335.2948,335.2948,167.0115
PMeOH(22:2_22:3)-H,819.5909,501.2988,503.3145,333.2792,335.2948,167.0115
PMeOH(22:2_22:4)-H,817.5753,499.2832,503.3145,331.2635,335.2948,167.0115
PMeOH(22:2_22:5)-H,815.5596,497.2675,503.3145,329.2479,335.2948,167.0115
PMeOH(22:2_22:6)-H,813.544,495.252,503.3145,327.2323,335.2948,167.0115
PMeOH(23:0_22:2)-H,839.6535,503.3145,521.3615,335.2948,353.3417,167.0115
