CL,[M+NH4]+,(sn1+sn2)+,(sn1'+sn2')+
CL(32:0)(32:2)+NH4,1366.9748,551.5034872,547.4721872
CL(32:0)(32:3)+NH4,1364.9591,551.5034872,545.4564872
CL(32:0)(34:0)+NH4,1399.0373,551.5034872,579.5346872
CL(32:0)(34:1)+NH4,1397.0217,551.5034872,577.5190872
CL(32:0)(34:2)+NH4,1395.0061,551.5034872,575.5034872
CL(32:0)(34:3)+NH4,1392.9904,551.5034872,573.4877872
CL(32:0)(34:4)+NH4,1390.9748,551.5034872,571.4721872
CL(32:0)(36:0)+NH4,1427.0686,551.5034872,607.5659872
CL(32:0)(36:1)+NH4,1425.053,551.5034872,605.5503872
CL(32:0)(36:2)+NH4,1423.0373,551.5034872,603.5346872
CL(32:0)(36:3)+NH4,1421.0217,551.5034872,601.5190872
CL(32:0)(36:4)+NH4,1419.0061,551.5034872,599.5034872
CL(32:0)(36:5)+NH4,1416.9904,551.5034872,597.4877872
CL(32:0)(36:6)+NH4,1414.9748,551.5034872,595.4721872
CL(32:0)(38:0)+NH4,1455.0999,551.5034872,635.5972872
CL(32:0)(38:1)+NH4,1453.0842,551.5034872,633.5815872
CL(32:0)(38:2)+NH4,1451.0686,551.5034872,631.5659872
CL(32:0)(38:3)+NH4,1449.053,551.5034872,629.5503872
CL(32:0)(38:4)+NH4,1447.0373,551.5034872,627.5346872
CL(32:0)(38:5)+NH4,1445.0217,551.5034872,625.5190872
CL(32:0)(38:6)+NH4,1443.0061,551.5034872,623.5034872
CL(32:0)(38:7)+NH4,1440.9904,551.5034872,621.4877872
CL(32:0)(40:0)+NH4,1483.1312,551.5034872,663.6285872
CL(32:0)(40:1)+NH4,1481.1155,551.5034872,661.6128872
CL(32:0)(40:2)+NH4,1479.0999,551.5034872,659.5972872
CL(32:0)(40:3)+NH4,1477.0842,551.5034872,657.5815872
CL(32:0)(40:4)+NH4,1475.0686,551.5034872,655.5659872
CL(32:0)(40:5)+NH4,1473.053,551.5034872,653.5503872
CL(32:0)(40:6)+NH4,1471.0373,551.5034872,651.5346872
CL(32:0)(40:7)+NH4,1469.0217,551.5034872,649.5190872
CL(32:0)(40:8)+NH4,1467.0061,551.5034872,647.5034872
CL(32:0)(40:9)+NH4,1464.9904,551.5034872,645.4877872
CL(32:0)(42:0)+NH4,1511.1625,551.5034872,691.6598872
CL(32:0)(42:1)+NH4,1509.1468,551.5034872,689.6441872
CL(32:0)(42:10)+NH4,1491.0061,551.5034872,671.5034872
CL(32:0)(42:2)+NH4,1507.1312,551.5034872,687.6285872
CL(32:0)(42:3)+NH4,1505.1155,551.5034872,685.6128872
CL(32:0)(42:4)+NH4,1503.0999,551.5034872,683.5972872
CL(32:0)(42:5)+NH4,1501.0842,551.5034872,681.5815872
CL(32:0)(42:6)+NH4,1499.0686,551.5034872,679.5659872
CL(32:0)(42:7)+NH4,1497.053,551.5034872,677.5503872
CL(32:0)(42:8)+NH4,1495.0373,551.5034872,675.5346872
CL(32:0)(42:9)+NH4,1493.0217,551.5034872,673.5190872
CL(32:0)(44:0)+NH4,1539.1937,551.5034872,719.6910872
CL(32:0)(44:10)+NH4,1519.0373,551.5034872,699.5346872
CL(32:0)(44:11)+NH4,1517.0217,551.5034872,697.5190872
CL(32:0)(44:12)+NH4,1515.0061,551.5034872,695.5034872
