PC,[M+H]+,MH-PC,MH-tail1&TrimethylAmine,MH-tail2&TrimethylAmine,MH-Tail1,MH-Tail2,LPC_T1_H,LPC_T2_H,RCOO+58_T1,RCOO+58_T2,PC Head
PC(13:0_14:1)+H,662.47564,479.4096,389.208811,377.208811,448.28231,436.28231,454.29289,466.29289,271.22683,283.22683,184.07332
PC(13:0_15:0)+H,678.50694,495.4409,405.240111,377.208811,464.31361,436.28231,454.29289,482.32419,271.22683,299.25813,184.07332
PC(13:0_15:1)+H,676.49124,493.4252,403.224411,377.208811,462.29791,436.28231,454.29289,480.30849,271.22683,297.24243,184.07332
PC(13:0_16:0)+H,692.52254,509.4565,419.255711,377.208811,478.32921,436.28231,454.29289,496.33979,271.22683,313.27373,184.07332
PC(13:0_16:1)+H,690.50694,507.4409,417.240111,377.208811,476.31361,436.28231,454.29289,494.32419,271.22683,311.25813,184.07332
PC(13:0_17:0)+H,706.53824,523.4722,433.271411,377.208811,492.34491,436.28231,454.29289,510.35549,271.22683,327.28943,184.07332
PC(13:0_17:1)+H,704.52254,521.4565,431.255711,377.208811,490.32921,436.28231,454.29289,508.33979,271.22683,325.27373,184.07332
PC(13:0_17:2)+H,702.50694,519.4409,429.240111,377.208811,488.31361,436.28231,454.29289,506.32419,271.22683,323.25813,184.07332
PC(13:0_18:0)+H,720.55384,537.4878,447.287011,377.208811,506.36051,436.28231,454.29289,524.37109,271.22683,341.30503,184.07332
PC(13:0_18:1)+H,718.53824,535.4722,445.271411,377.208811,504.34491,436.28231,454.29289,522.35549,271.22683,339.28943,184.07332
PC(13:0_18:2)+H,716.52254,533.4565,443.255711,377.208811,502.32921,436.28231,454.29289,520.33979,271.22683,337.27373,184.07332
PC(13:0_18:3)+H,714.50694,531.4409,441.240111,377.208811,500.31361,436.28231,454.29289,518.32419,271.22683,335.25813,184.07332
PC(13:0_18:4)+H,712.49124,529.4252,439.224411,377.208811,498.29791,436.28231,454.29289,516.30849,271.22683,333.24243,184.07332
PC(13:0_19:0)+H,734.56954,551.5035,461.302711,377.208811,520.37621,436.28231,454.29289,538.38679,271.22683,355.32073,184.07332
PC(13:0_20:0)+H,748.58514,565.5191,475.318311,377.208811,534.39181,436.28231,454.29289,552.40239,271.22683,369.33633,184.07332
PC(13:0_20:1)+H,746.56954,563.5035,473.302711,377.208811,532.37621,436.28231,454.29289,550.38679,271.22683,367.32073,184.07332
PC(13:0_20:2)+H,744.55384,561.4878,471.287011,377.208811,530.36051,436.28231,454.29289,548.37109,271.22683,365.30503,184.07332
PC(13:0_20:3)+H,742.53824,559.4722,469.271411,377.208811,528.34491,436.28231,454.29289,546.35549,271.22683,363.28943,184.07332
PC(13:0_20:4)+H,740.52254,557.4565,467.255711,377.208811,526.32921,436.28231,454.29289,544.33979,271.22683,361.27373,184.07332
PC(13:0_20:5)+H,738.50694,555.4409,465.240111,377.208811,524.31361,436.28231,454.29289,542.32419,271.22683,359.25813,184.07332
PC(13:0_21:0)+H,762.60084,579.5348,489.334011,377.208811,548.40751,436.28231,454.29289,566.41809,271.22683,383.35203,184.07332
PC(13:0_22:0)+H,776.61644,593.5504,503.349611,377.208811,562.42311,436.28231,454.29289,580.43369,271.22683,397.36763,184.07332
PC(13:0_22:1)+H,774.60084,591.5348,501.334011,377.208811,560.40751,436.28231,454.29289,578.41809,271.22683,395.35203,184.07332
PC(13:0_22:2)+H,772.58514,589.5191,499.318311,377.208811,558.39181,436.28231,454.29289,576.40239,271.22683,393.33633,184.07332
PC(13:0_22:3)+H,770.56954,587.5035,497.302711,377.208811,556.37621,436.28231,454.29289,574.38679,271.22683,391.32073,184.07332
PC(13:0_22:4)+H,768.55384,585.4878,495.287011,377.208811,554.36051,436.28231,454.29289,572.37109,271.22683,389.30503,184.07332
PC(13:0_22:5)+H,766.53824,583.4722,493.271411,377.208811,552.34491,436.28231,454.29289,570.35549,271.22683,387.28943,184.07332
PC(13:0_22:6)+H,764.52254,581.4565,491.255711,377.208811,550.32921,436.28231,454.29289,568.33979,271.22683,385.27373,184.07332
PC(13:0_23:0)+H,790.63214,607.5661,517.365311,377.208811,576.43881,436.28231,454.29289,594.44939,271.22683,411.38333,184.07332
PC(13:0_24:0)+H,804.64774,621.5817,531.380911,377.208811,590.45441,436.28231,454.29289,608.46499,271.22683,425.39893,184.07332
PC(13:0_24:1)+H,802.63214,619.5661,529.365311,377.208811,588.43881,436.28231,454.29289,606.44939,271.22683,423.38333,184.07332
PC(13:0_25:0)+H,818.66344,635.5974,545.396611,377.208811,604.47011,436.28231,454.29289,622.48069,271.22683,439.41463,184.07332
PC(13:0_26:0)+H,832.67904,649.613,559.412211,377.208811,618.48571,436.28231,454.29289,636.49629,271.22683,453.43023,184.07332
PC(14:0_14:0)+H,678.50684,495.4408,391.224411,391.224411,450.29791,450.29791,468.30849,468.30849,285.24243,285.24243,184.07332
