DGDG,[M+C2H3O2]-,[M-H]-,NL of SN1+HCOOH,NL of SN2+HCOOH,NL of SN1+HCOOH+H2O,NL of SN2+HCOOH+H2O,C15H27O13,C15H25O12,C15H23O11,SN2,SN1
DGDG(4:0_17:2)+C2H3O2,793.4222,733.4011,663.3592,485.1872,645.3486,467.1766,415.1457,397.1352,379.1246,265.2166,87.04458
DGDG(4:0_18:0)+C2H3O2,811.4691,751.448,681.4062,485.1872,663.3956,467.1766,415.1457,397.1352,379.1246,283.2635,87.04458
DGDG(4:0_18:1)+C2H3O2,809.4535,749.4324,679.3905,485.1872,661.3799,467.1766,415.1457,397.1352,379.1246,281.2479,87.04458
DGDG(4:0_18:2)+C2H3O2,807.4378,747.4167,677.3749,485.1872,659.3643,467.1766,415.1457,397.1352,379.1246,279.2323,87.04458
DGDG(4:0_18:3)+C2H3O2,805.4222,745.4011,675.3592,485.1872,657.3486,467.1766,415.1457,397.1352,379.1246,277.2166,87.04458
DGDG(4:0_18:4)+C2H3O2,803.4066,743.3854,673.3436,485.1872,655.333,467.1766,415.1457,397.1352,379.1246,275.201,87.04458
DGDG(4:0_18:5)+C2H3O2,801.3909,741.3698,671.3279,485.1872,653.3173,467.1766,415.1457,397.1352,379.1246,273.1853,87.04458
DGDG(4:0_19:0)+C2H3O2,825.4848,765.4636,695.4218,485.1872,677.4113,467.1766,415.1457,397.1352,379.1246,297.2792,87.04458
DGDG(4:0_19:1)+C2H3O2,823.4691,763.448,693.4062,485.1872,675.3956,467.1766,415.1457,397.1352,379.1246,295.2635,87.04458
DGDG(4:0_19:2)+C2H3O2,821.4535,761.4324,691.3905,485.1872,673.3799,467.1766,415.1457,397.1352,379.1246,293.2479,87.04458
DGDG(4:0_20:0)+C2H3O2,839.5004,779.4793,709.4374,485.1872,691.4269,467.1767,415.1457,397.1352,379.1246,311.2948,87.04458
DGDG(4:0_20:1)+C2H3O2,837.4848,777.4636,707.4218,485.1872,689.4113,467.1766,415.1457,397.1352,379.1246,309.2792,87.04458
DGDG(4:0_20:2)+C2H3O2,835.4691,775.448,705.4062,485.1872,687.3956,467.1766,415.1457,397.1352,379.1246,307.2635,87.04458
DGDG(4:0_20:3)+C2H3O2,833.4535,773.4324,703.3905,485.1872,685.3799,467.1766,415.1457,397.1352,379.1246,305.2479,87.04458
DGDG(4:0_20:4)+C2H3O2,831.4378,771.4167,701.3749,485.1872,683.3643,467.1766,415.1457,397.1352,379.1246,303.2323,87.04458
DGDG(4:0_20:5)+C2H3O2,829.4222,769.4011,699.3592,485.1872,681.3486,467.1766,415.1457,397.1352,379.1246,301.2166,87.04458
DGDG(4:0_21:0)+C2H3O2,853.5161,793.4949,723.4531,485.1872,705.4426,467.1767,415.1457,397.1352,379.1246,325.3105,87.04458
DGDG(4:0_21:1)+C2H3O2,851.5004,791.4793,721.4374,485.1872,703.4269,467.1767,415.1457,397.1352,379.1246,323.2948,87.04458
DGDG(4:0_21:2)+C2H3O2,849.4848,789.4636,719.4218,485.1872,701.4113,467.1766,415.1457,397.1352,379.1246,321.2792,87.04458
DGDG(4:0_22:0)+C2H3O2,867.5317,807.5106,737.4688,485.1872,719.4582,467.1767,415.1457,397.1352,379.1246,339.3261,87.04458
DGDG(4:0_22:1)+C2H3O2,865.5161,805.4949,735.4531,485.1872,717.4426,467.1767,415.1457,397.1352,379.1246,337.3105,87.04458
DGDG(4:0_22:2)+C2H3O2,863.5004,803.4793,733.4374,485.1872,715.4269,467.1767,415.1457,397.1352,379.1246,335.2948,87.04458
DGDG(4:0_22:3)+C2H3O2,861.4848,801.4636,731.4218,485.1872,713.4113,467.1766,415.1457,397.1352,379.1246,333.2792,87.04458
DGDG(4:0_22:4)+C2H3O2,859.4691,799.448,729.4062,485.1872,711.3956,467.1766,415.1457,397.1352,379.1246,331.2635,87.04458
DGDG(4:0_22:5)+C2H3O2,857.4535,797.4324,727.3905,485.1872,709.3799,467.1766,415.1457,397.1352,379.1246,329.2479,87.04458
DGDG(4:0_22:6)+C2H3O2,855.4378,795.4167,725.3749,485.1872,707.3643,467.1766,415.1457,397.1352,379.1246,327.2323,87.04458
DGDG(4:0_23:0)+C2H3O2,881.5474,821.5262,751.4844,485.1873,733.4739,467.1767,415.1457,397.1352,379.1246,353.3417,87.04458
DGDG(4:0_24:0)+C2H3O2,895.563,835.5419,765.5001,485.1873,747.4895,467.1767,415.1457,397.1352,379.1246,367.3574,87.04458
DGDG(4:0_24:1)+C2H3O2,893.5474,833.5262,763.4844,485.1873,745.4739,467.1767,415.1457,397.1352,379.1246,365.3417,87.04458
DGDG(4:0_24:2)+C2H3O2,891.5317,831.5106,761.4688,485.1872,743.4582,467.1767,415.1457,397.1352,379.1246,363.3261,87.04458
DGDG(4:0_24:4)+C2H3O2,887.5004,827.4793,757.4374,485.1872,739.4269,467.1767,415.1457,397.1352,379.1246,359.2948,87.04458
DGDG(4:0_25:0)+C2H3O2,909.5787,849.5576,779.5157,485.1873,761.5051,467.1767,415.1457,397.1352,379.1246,381.373,87.04458
DGDG(4:0_26:0)+C2H3O2,923.5944,863.5732,793.5314,485.1873,775.5208,467.1767,415.1457,397.1352,379.1246,395.3887,87.04458
DGDG(4:0_26:1)+C2H3O2,921.5787,861.5576,791.5157,485.1873,773.5051,467.1767,415.1457,397.1352,379.1246,393.373,87.04458
DGDG(4:0_26:2)+C2H3O2,919.563,859.5419,789.5001,485.1873,771.4895,467.1767,415.1457,397.1352,379.1246,391.3574,87.04458
DGDG(4:0_26:4)+C2H3O2,915.5317,855.5106,785.4688,485.1872,767.4582,467.1767,415.1457,397.1352,379.1246,387.3261,87.04458
