SM,[M+H]+,MH-PC,MH-N(CH3)3,Mprev-H2O,MH-PC-Tail,d(MH-Tail),PC Head,CH2CHN(CH3)3
SM(d13:0/24:1)+H,745.62187,562.55583,686.54833,544.54517,196.205945,346.346785,184.07332,86.09648
SM(d13:0/25:0)+H,761.65317,578.58713,702.57963,560.57647,196.205945,362.378085,184.07332,86.09648
SM(d13:0/26:0)+H,775.66877,592.60273,716.59523,574.59207,196.205945,376.393685,184.07332,86.09648
SM(d13:0/8:0)+H,523.38707,340.32103,464.31353,322.31037,196.205945,124.111985,184.07332,86.09648
SM(d14:0/10:0)+H,565.43397,382.36793,506.36043,364.35727,210.221545,152.143285,184.07332,86.09648
SM(d14:0/12:0)+H,593.46527,410.39923,534.39173,392.38857,210.221545,180.174585,184.07332,86.09648
SM(d14:0/13:0)+H,607.48097,424.41493,548.40743,406.40427,210.221545,194.190285,184.07332,86.09648
SM(d14:0/14:0)+H,621.49657,438.43053,562.42303,420.41987,210.221545,208.205885,184.07332,86.09648
SM(d14:0/14:1)+H,619.48097,436.41493,560.40743,418.40427,210.221545,206.190285,184.07332,86.09648
SM(d14:0/15:0)+H,635.51227,452.44623,576.43873,434.43557,210.221545,222.221585,184.07332,86.09648
SM(d14:0/15:1)+H,633.49657,450.43053,574.42303,432.41987,210.221545,220.205885,184.07332,86.09648
SM(d14:0/16:0)+H,649.52787,466.46183,590.45433,448.45117,210.221545,236.237185,184.07332,86.09648
SM(d14:0/16:1)+H,647.51227,464.44623,588.43873,446.43557,210.221545,234.221585,184.07332,86.09648
SM(d14:0/17:0)+H,663.54357,480.47753,604.47003,462.46687,210.221545,250.252885,184.07332,86.09648
SM(d14:0/17:1)+H,661.52787,478.46183,602.45433,460.45117,210.221545,248.237185,184.07332,86.09648
SM(d14:0/17:2)+H,659.51227,476.44623,600.43873,458.43557,210.221545,246.221585,184.07332,86.09648
SM(d14:0/18:0)+H,677.55917,494.49313,618.48563,476.48247,210.221545,264.268485,184.07332,86.09648
SM(d14:0/18:1)+H,675.54357,492.47753,616.47003,474.46687,210.221545,262.252885,184.07332,86.09648
SM(d14:0/18:2)+H,673.52787,490.46183,614.45433,472.45117,210.221545,260.237185,184.07332,86.09648
SM(d14:0/18:3)+H,671.51227,488.44623,612.43873,470.43557,210.221545,258.221585,184.07332,86.09648
SM(d14:0/18:4)+H,669.49657,486.43053,610.42303,468.41987,210.221545,256.205885,184.07332,86.09648
SM(d14:0/19:0)+H,691.57487,508.50883,632.50133,490.49817,210.221545,278.284185,184.07332,86.09648
SM(d14:0/20:0)+H,705.59047,522.52443,646.51693,504.51377,210.221545,292.299785,184.07332,86.09648
SM(d14:0/20:1)+H,703.57487,520.50883,644.50133,502.49817,210.221545,290.284185,184.07332,86.09648
SM(d14:0/20:2)+H,701.55917,518.49313,642.48563,500.48247,210.221545,288.268485,184.07332,86.09648
SM(d14:0/20:3)+H,699.54357,516.47753,640.47003,498.46687,210.221545,286.252885,184.07332,86.09648
SM(d14:0/20:4)+H,697.52787,514.46183,638.45433,496.45117,210.221545,284.237185,184.07332,86.09648
SM(d14:0/20:5)+H,695.51227,512.44623,636.43873,494.43557,210.221545,282.221585,184.07332,86.09648
SM(d14:0/21:0)+H,719.60617,536.54013,660.53263,518.52947,210.221545,306.315485,184.07332,86.09648
