DMPE,[M-H]-,T1_RCOO-,T2_RCOO-
DMPE(17:2_22:5)-H,802.5393,265.21735,329.24865
DMPE(17:2_22:6)-H,800.5236,265.21735,327.23295
DMPE(17:2_23:0)-H,826.6332,265.21735,353.34255
DMPE(17:2_24:0)-H,840.6488,265.21735,367.35815
DMPE(17:2_24:1)-H,838.6332,265.21735,365.34255
DMPE(17:2_25:0)-H,854.6645,265.21735,381.37385
DMPE(17:2_26:0)-H,868.6801,265.21735,395.38945
DMPE(18:0_18:0)-H,774.6018,283.26425,283.26425
DMPE(18:0_18:1)-H,772.5862,283.26425,281.24865
DMPE(18:0_18:2)-H,770.5705,283.26425,279.23295
DMPE(18:0_18:3)-H,768.5549,283.26425,277.21735
DMPE(18:0_18:4)-H,766.5392,283.26425,275.20165
DMPE(18:0_19:0)-H,788.6175,283.26425,297.27995
DMPE(18:0_20:0)-H,802.6331,283.26425,311.29555
DMPE(18:0_20:1)-H,800.6175,283.26425,309.27995
DMPE(18:0_20:2)-H,798.6018,283.26425,307.26425
DMPE(18:0_20:3)-H,796.5862,283.26425,305.24865
DMPE(18:0_20:4)-H,794.5705,283.26425,303.23295
DMPE(18:0_20:5)-H,792.5549,283.26425,301.21735
DMPE(18:0_21:0)-H,816.6488,283.26425,325.31125
DMPE(18:0_22:0)-H,830.6644,283.26425,339.32685
DMPE(18:0_22:1)-H,828.6488,283.26425,337.31125
DMPE(18:0_22:2)-H,826.6331,283.26425,335.29555
DMPE(18:0_22:3)-H,824.6175,283.26425,333.27995
DMPE(18:0_22:4)-H,822.6018,283.26425,331.26425
DMPE(18:0_22:5)-H,820.5862,283.26425,329.24865
DMPE(18:0_22:6)-H,818.5705,283.26425,327.23295
DMPE(18:0_23:0)-H,844.6801,283.26425,353.34255
DMPE(18:0_24:0)-H,858.6957,283.26425,367.35815
DMPE(18:0_24:1)-H,856.6801,283.26425,365.34255
DMPE(18:0_25:0)-H,872.7114,283.26425,381.37385
DMPE(18:0_26:0)-H,886.727,283.26425,395.38945
