Cer-NP,[M+C2H3O2]-,[M-H]-,[M-H2O-H]-,[M-2H2O-H]-,[FAA+C3H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H3-H]-,[Sph-CH9NO-H]-,[FA+O-H]-,[Sph-C2H9NO-H]-,[FAA-H]-,[Sph-C3H11NO2-H]-
Cer-NP(t14:0/40:0)+C2H3O2,894.849,834.8278,816.8173,798.8067,646.6497,634.6497,634.6497,616.6391,211.1693,591.6086,199.1693,590.624,169.1587
Cer-NP(t14:0/40:1)+C2H3O2,892.8333,832.8122,814.8016,796.7911,644.634,632.634,632.634,614.6235,211.1693,589.5929,199.1693,588.6083,169.1587
Cer-NP(t14:0/40:2)+C2H3O2,890.8177,830.7966,812.7859,794.7754,642.6183,630.6183,630.6183,612.6078,211.1693,587.5773,199.1693,586.5927,169.1587
Cer-NP(t14:0/42:0)+C2H3O2,922.8802,862.8591,844.8486,826.838,674.681,662.681,662.681,644.6704,211.1693,619.6398,199.1693,618.6553,169.1587
Cer-NP(t14:0/42:1)+C2H3O2,920.8646,860.8435,842.8329,824.8223,672.6653,660.6653,660.6653,642.6547,211.1693,617.6242,199.1693,616.6396,169.1587
Cer-NP(t14:0/42:2)+C2H3O2,918.849,858.8278,840.8173,822.8067,670.6497,658.6497,658.6497,640.6391,211.1693,615.6086,199.1693,614.624,169.1587
Cer-NP(t14:1/12:0)+C2H3O2,500.3951,440.374,422.3634,404.3528,254.2115,242.2115,242.2115,224.2009,209.1536,199.1704,197.1536,198.1858,167.1431
Cer-NP(t14:1/12:1)+C2H3O2,498.3795,438.3583,420.3478,402.3372,252.1958,240.1958,240.1958,222.1853,209.1536,197.1547,197.1536,196.1701,167.1431
Cer-NP(t14:1/13:0)+C2H3O2,514.4108,454.3896,436.3791,418.3685,268.2271,256.2271,256.2271,238.2166,209.1536,213.186,197.1536,212.2014,167.1431
Cer-NP(t14:1/13:1)+C2H3O2,512.3951,452.374,434.3634,416.3528,266.2115,254.2115,254.2115,236.2009,209.1536,211.1704,197.1536,210.1858,167.1431
Cer-NP(t14:1/14:0)+C2H3O2,528.4264,468.4053,450.3947,432.3842,282.2428,270.2428,270.2428,252.2322,209.1536,227.2017,197.1536,226.2171,167.1431
Cer-NP(t14:1/14:1)+C2H3O2,526.4108,466.3896,448.3791,430.3685,280.2271,268.2271,268.2271,250.2166,209.1536,225.186,197.1536,224.2014,167.1431
Cer-NP(t14:1/15:0)+C2H3O2,542.4421,482.4209,464.4104,446.3998,296.2584,284.2584,284.2584,266.2479,209.1536,241.2173,197.1536,240.2327,167.1431
Cer-NP(t14:1/15:1)+C2H3O2,540.4264,480.4053,462.3947,444.3842,294.2428,282.2428,282.2428,264.2322,209.1536,239.2017,197.1536,238.2171,167.1431
Cer-NP(t14:1/16:0)+C2H3O2,556.4577,496.4366,478.426,460.4154,310.2741,298.2741,298.2741,280.2635,209.1536,255.233,197.1536,254.2484,167.1431
Cer-NP(t14:1/16:1)+C2H3O2,554.4421,494.4209,476.4104,458.3998,308.2584,296.2584,296.2584,278.2479,209.1536,253.2173,197.1536,252.2327,167.1431
Cer-NP(t14:1/16:2)+C2H3O2,552.4264,492.4053,474.3947,456.3842,306.2428,294.2428,294.2428,276.2322,209.1536,251.2017,197.1536,250.2171,167.1431
Cer-NP(t14:1/17:0)+C2H3O2,570.4734,510.4522,492.4417,474.4311,324.2897,312.2897,312.2897,294.2791,209.1536,269.2486,197.1536,268.264,167.1431
Cer-NP(t14:1/18:0)+C2H3O2,584.489,524.4679,506.4573,488.4467,338.3054,326.3054,326.3054,308.2948,209.1536,283.2643,197.1536,282.2797,167.1431
Cer-NP(t14:1/18:1)+C2H3O2,582.4734,522.4523,504.4417,486.4311,336.2897,324.2897,324.2897,306.2791,209.1536,281.2486,197.1536,280.264,167.1431
Cer-NP(t14:1/18:2)+C2H3O2,580.4577,520.4366,502.426,484.4154,334.2741,322.2741,322.2741,304.2635,209.1536,279.233,197.1536,278.2484,167.1431
Cer-NP(t14:1/19:0)+C2H3O2,598.5047,538.4835,520.473,502.4624,352.321,340.321,340.321,322.3105,209.1536,297.2799,197.1536,296.2953,167.1431
Cer-NP(t14:1/19:1)+C2H3O2,596.489,536.4679,518.4573,500.4467,350.3054,338.3054,338.3054,320.2948,209.1536,295.2643,197.1536,294.2797,167.1431
Cer-NP(t14:1/20:0)+C2H3O2,612.5203,552.4992,534.4886,516.478,366.3367,354.3367,354.3367,336.3261,209.1536,311.2956,197.1536,310.311,167.1431
Cer-NP(t14:1/20:1)+C2H3O2,610.5047,550.4835,532.473,514.4624,364.321,352.321,352.321,334.3105,209.1536,309.2799,197.1536,308.2953,167.1431
Cer-NP(t14:1/20:2)+C2H3O2,608.489,548.4679,530.4573,512.4468,362.3054,350.3054,350.3054,332.2948,209.1536,307.2643,197.1536,306.2797,167.1431
Cer-NP(t14:1/21:0)+C2H3O2,626.5359,566.5148,548.5043,530.4937,380.3523,368.3523,368.3523,350.3417,209.1536,325.3112,197.1536,324.3266,167.1431
Cer-NP(t14:1/21:1)+C2H3O2,624.5203,564.4992,546.4886,528.478,378.3367,366.3367,366.3367,348.3261,209.1536,323.2956,197.1536,322.311,167.1431
Cer-NP(t14:1/22:0)+C2H3O2,640.5516,580.5305,562.5199,544.5093,394.368,382.368,382.368,364.3574,209.1536,339.3269,197.1536,338.3423,167.1431
Cer-NP(t14:1/22:1)+C2H3O2,638.5359,578.5148,560.5043,542.4937,392.3523,380.3523,380.3523,362.3417,209.1536,337.3112,197.1536,336.3266,167.1431
Cer-NP(t14:1/22:2)+C2H3O2,636.5203,576.4992,558.4886,540.478,390.3367,378.3367,378.3367,360.3261,209.1536,335.2956,197.1536,334.311,167.1431
Cer-NP(t14:1/23:0)+C2H3O2,654.5673,594.5461,576.5356,558.525,408.3836,396.3836,396.3836,378.373,209.1536,353.3425,197.1536,352.3579,167.1431
Cer-NP(t14:1/23:1)+C2H3O2,652.5516,592.5305,574.5199,556.5093,406.368,394.368,394.368,376.3574,209.1536,351.3269,197.1536,350.3423,167.1431
