GM3,[M+NH4]+,[M+H]+,[M-H2O+H]+,[M-C11H17NO8+H]+,[M-C11H15NO7+H]+,[M-C17H27NO13+H]+,[M-C17H25NO12+H]+,[M-C23H37NO18+H]+,[M-C23H35NO17+H]+,[C11H17NO8+H]+
GM3(d51:0)+NH4,1411.02855,1394.002,1375.992,1102.907,1084.896,940.8541,922.8434,778.8012,760.7906,292.1027
GM3(d51:1)+NH4,1409.01255,1391.986,1373.976,1100.891,1082.88,938.838,920.8275,776.7852,758.7747,292.1027
GM3(d51:2)+NH4,1406.99755,1389.971,1371.961,1098.876,1080.865,936.8231,918.8125,774.7702,756.7596,292.1027
GM3(d51:3)+NH4,1404.98155,1387.955,1369.945,1096.86,1078.849,934.8071,916.7964,772.7542,754.7437,292.1027
GM3(d52:0)+NH4,1425.04355,1408.017,1390.007,1116.922,1098.911,954.869,936.8585,792.8162,774.8057,292.1027
GM3(d52:1)+NH4,1423.02855,1406.002,1387.992,1114.907,1096.896,952.8541,934.8434,790.8012,772.7906,292.1027
GM3(d52:2)+NH4,1421.01255,1403.986,1385.976,1112.891,1094.88,950.838,932.8275,788.7852,770.7747,292.1027
GM3(d52:3)+NH4,1418.99755,1401.971,1383.961,1110.876,1092.865,948.8231,930.8125,786.7702,768.7596,292.1027
GM3(d53:0)+NH4,1439.05955,1422.033,1404.023,1130.938,1112.927,968.885,950.8745,806.8322,788.8217,292.1027
GM3(d53:1)+NH4,1437.04355,1420.017,1402.007,1128.922,1110.911,966.869,948.8585,804.8162,786.8057,292.1027
GM3(d53:2)+NH4,1435.02855,1418.002,1399.992,1126.907,1108.896,964.8541,946.8434,802.8012,784.7906,292.1027
GM3(d53:3)+NH4,1433.01255,1415.986,1397.976,1124.891,1106.88,962.838,944.8275,800.7852,782.7747,292.1027
GM3(d54:0)+NH4,1453.07555,1436.049,1418.039,1144.954,1126.943,982.9011,964.8904,820.8482,802.8376,292.1027
GM3(d54:1)+NH4,1451.05955,1434.033,1416.023,1142.938,1124.927,980.885,962.8745,818.8322,800.8217,292.1027
GM3(d54:2)+NH4,1449.04355,1432.017,1414.007,1140.922,1122.911,978.869,960.8585,816.8162,798.8057,292.1027
GM3(d54:3)+NH4,1447.02855,1430.002,1411.992,1138.907,1120.896,976.8541,958.8434,814.8012,796.7906,292.1027
GM3(d55:0)+NH4,1467.09055,1450.064,1432.054,1158.969,1140.958,996.916,978.9055,834.8632,816.8527,292.1027
GM3(d55:1)+NH4,1465.07555,1448.049,1430.039,1156.954,1138.943,994.9011,976.8904,832.8482,814.8376,292.1027
GM3(d55:2)+NH4,1463.05955,1446.033,1428.023,1154.938,1136.927,992.885,974.8745,830.8322,812.8217,292.1027
GM3(d55:3)+NH4,1461.04355,1444.017,1426.007,1152.922,1134.911,990.869,972.8585,828.8162,810.8057,292.1027
GM3(d56:0)+NH4,1481.10655,1464.08,1446.07,1172.985,1154.974,1010.932,992.9214,848.8792,830.8687,292.1027
GM3(d56:1)+NH4,1479.09055,1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027
GM3(d56:2)+NH4,1477.07555,1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027
GM3(d56:3)+NH4,1475.05955,1458.033,1440.023,1166.938,1148.927,1004.885,986.8745,842.8322,824.8217,292.1027
GM3(d57:0)+NH4,1495.12255,1478.096,1460.086,1187.001,1168.99,1024.948,1006.938,862.8952,844.8846,292.1027
GM3(d57:1)+NH4,1493.10655,1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027
GM3(d57:2)+NH4,1491.09055,1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027
GM3(d57:3)+NH4,1489.07555,1472.049,1454.039,1180.954,1162.943,1018.901,1000.89,856.8482,838.8376,292.1027
GM3(d58:0)+NH4,1509.13755,1492.111,1474.101,1201.016,1183.005,1038.963,1020.952,876.9102,858.8997,292.1027
GM3(d58:1)+NH4,1507.12255,1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027
GM3(d58:2)+NH4,1505.10655,1488.08,1470.07,1196.985,1178.974,1034.932,1016.921,872.8792,854.8687,292.1027
GM3(d58:3)+NH4,1503.09055,1486.064,1468.054,1194.969,1176.958,1032.916,1014.905,870.8632,852.8527,292.1027
GM3(d59:0)+NH4,1523.15355,1506.127,1488.117,1215.032,1197.021,1052.979,1034.969,890.9262,872.9156,292.1027
GM3(d59:1)+NH4,1521.13755,1504.111,1486.101,1213.016,1195.005,1050.963,1032.953,888.9102,870.8997,292.1027
GM3(d59:2)+NH4,1519.12255,1502.096,1484.086,1211.001,1192.99,1048.948,1030.938,886.8952,868.8846,292.1027
