OxPC,[M+H]+,M+H-PC,M+H-R1COOH,M+H-R2COOH,M+H-R1CO,M+H-R2CO,PC_head
OxPC(10:0_10:2(COOH))+H,592.32457,409.25851,420.17822,394.23533,438.1888,412.24591,184.07332
OxPC(10:0_11:1(COOH))+H,608.35587,425.28981,436.20952,394.23533,454.2201,412.24591,184.07332
OxPC(10:0_11:2(COOH))+H,606.34022,423.27416,434.19387,394.23533,452.20445,412.24591,184.07332
OxPC(10:0_12:1(COOH))+H,622.37152,439.30546,450.22517,394.23533,468.23575,412.24591,184.07332
OxPC(10:0_12:2(COOH))+H,620.35587,437.28981,448.20952,394.23533,466.2201,412.24591,184.07332
OxPC(10:0_12:3(COOH))+H,618.34022,435.27416,446.19387,394.23533,464.20445,412.24591,184.07332
OxPC(10:0_13:1(COOH))+H,636.38717,453.32111,464.24082,394.23533,482.2514,412.24591,184.07332
OxPC(10:0_13:2(COOH))+H,634.37152,451.30546,462.22517,394.23533,480.23575,412.24591,184.07332
OxPC(10:0_13:3(COOH))+H,632.35587,449.28981,460.20952,394.23533,478.2201,412.24591,184.07332
OxPC(10:0_14:1(COOH))+H,650.40282,467.33676,478.25647,394.23533,496.26705,412.24591,184.07332
OxPC(10:0_14:2(COOH))+H,648.38717,465.32111,476.24082,394.23533,494.2514,412.24591,184.07332
OxPC(10:0_14:3(COOH))+H,646.37152,463.30546,474.22517,394.23533,492.23575,412.24591,184.07332
OxPC(10:0_15:1(COOH))+H,664.41847,481.35241,492.27212,394.23533,510.2827,412.24591,184.07332
OxPC(10:0_15:2(COOH))+H,662.40282,479.33676,490.25647,394.23533,508.26705,412.24591,184.07332
OxPC(10:0_15:3(COOH))+H,660.38717,477.32111,488.24082,394.23533,506.2514,412.24591,184.07332
OxPC(10:0_15:4(COOH))+H,658.37152,475.30546,486.22517,394.23533,504.23575,412.24591,184.07332
OxPC(10:0_16:1(COOH))+H,678.43412,495.36806,506.28777,394.23533,524.29835,412.24591,184.07332
OxPC(10:0_16:2(COOH))+H,676.41847,493.35241,504.27212,394.23533,522.2827,412.24591,184.07332
OxPC(10:0_16:3(COOH))+H,674.40282,491.33676,502.25647,394.23533,520.26705,412.24591,184.07332
OxPC(10:0_16:4(COOH))+H,672.38717,489.32111,500.24082,394.23533,518.2514,412.24591,184.07332
OxPC(10:0_17:4(COOH))+H,686.40282,503.33676,514.25647,394.23533,532.26705,412.24591,184.07332
OxPC(10:0_18:4(COOH))+H,700.41847,517.35241,528.27212,394.23533,546.2827,412.24591,184.07332
OxPC(10:0_18:5(COOH))+H,698.40282,515.33676,526.25647,394.23533,544.26705,412.24591,184.07332
OxPC(10:0_19:4(COOH))+H,714.43412,531.36806,542.28777,394.23533,560.29835,412.24591,184.07332
OxPC(10:0_19:5(COOH))+H,712.41847,529.35241,540.27212,394.23533,558.2827,412.24591,184.07332
OxPC(10:0_3:0(CHO))+H,482.25139,299.18533,310.10504,394.23533,328.11562,412.24591,184.07332
OxPC(10:0_4:0(CHO))+H,496.26704,313.20098,324.12069,394.23533,342.13127,412.24591,184.07332
OxPC(12:0_5:0(CHO))+H,538.31399,355.24793,338.13634,422.26663,356.14692,440.27721,184.07332
OxPC(12:0_6:0(CHO))+H,552.32964,369.26358,352.15199,422.26663,370.16257,440.27721,184.07332
OxPC(12:0_7:0(CHO))+H,566.34529,383.27923,366.16764,422.26663,384.17822,440.27721,184.07332
OxPC(12:0_8:0(CHO))+H,580.36094,397.29488,380.18329,422.26663,398.19387,440.27721,184.07332
OxPC(12:0_9:0(CHO))+H,594.37659,411.31053,394.19894,422.26663,412.20952,440.27721,184.07332
OxPC(12:0_10:0(CHO))+H,608.39224,425.32618,408.21459,422.26663,426.22517,440.27721,184.07332
OxPC(12:0_11:0(CHO))+H,622.40789,439.34183,422.23024,422.26663,440.24082,440.27721,184.07332
OxPC(12:0_12:0(CHO))+H,636.42354,453.35748,436.24589,422.26663,454.25647,440.27721,184.07332
OxPC(12:0_13:0(CHO))+H,650.43919,467.37313,450.26154,422.26663,468.27212,440.27721,184.07332
OxPC(12:0_14:0(CHO))+H,664.45484,481.38878,464.27719,422.26663,482.28777,440.27721,184.07332
OxPC(12:0_15:0(CHO))+H,678.47049,495.40443,478.29284,422.26663,496.30342,440.27721,184.07332
OxPC(12:0_6:1(CHO))+H,550.314,367.24794,350.13635,422.26663,368.14693,440.27721,184.07332
OxPC(12:0_7:1(CHO))+H,564.32965,381.26359,364.152,422.26663,382.16258,440.27721,184.07332
OxPC(12:0_8:1(CHO))+H,578.3453,395.27924,378.16765,422.26663,396.17823,440.27721,184.07332
OxPC(12:0_9:1(CHO))+H,592.36095,409.29489,392.1833,422.26663,410.19388,440.27721,184.07332
OxPC(12:0_9:2(CHO))+H,590.3453,407.27924,390.16765,422.26663,408.17823,440.27721,184.07332
OxPC(12:0_10:1(CHO))+H,606.3766,423.31054,406.19895,422.26663,424.20953,440.27721,184.07332
OxPC(12:0_10:2(CHO))+H,604.36095,421.29489,404.1833,422.26663,422.19388,440.27721,184.07332
OxPC(12:0_11:1(CHO))+H,620.39225,437.32619,420.2146,422.26663,438.22518,440.27721,184.07332
OxPC(12:0_11:2(CHO))+H,618.3766,435.31054,418.19895,422.26663,436.20953,440.27721,184.07332
OxPC(12:0_12:1(CHO))+H,634.4079,451.34184,434.23025,422.26663,452.24083,440.27721,184.07332
OxPC(12:0_12:2(CHO))+H,632.39225,449.32619,432.2146,422.26663,450.22518,440.27721,184.07332
OxPC(12:0_12:3(CHO))+H,630.3766,447.31054,430.19895,422.26663,448.20953,440.27721,184.07332
OxPC(12:0_13:1(CHO))+H,648.42355,465.35749,448.2459,422.26663,466.25648,440.27721,184.07332
OxPC(12:0_13:2(CHO))+H,646.4079,463.34184,446.23025,422.26663,464.24083,440.27721,184.07332
OxPC(12:0_13:3(CHO))+H,644.39225,461.32619,444.2146,422.26663,462.22518,440.27721,184.07332
