Ac3PIM2,[M-H]-,M-sn1,M-sn2,M-sn3,M-sn1+H2O,M-sn2+H2O,M-sn3+H2O,M-C6H10O5,M-sn1-sn2,M-sn1-sn2-C3H5O,sn1 FA,sn2 FA,sn3 FA
Ac3PIM2(14:0_20:0_18:2)-H,1423.884622,1195.675822,1111.581982,1143.644542,1213.686382,1129.592542,1161.655102,1261.831802,883.3731817,827.3469717,227.20098,311.29482,279.23226
Ac3PIM2(14:0_20:0_methyl-18:0)-H,1441.931572,1213.722772,1129.628932,1143.644572,1231.733332,1147.639492,1161.655132,1279.878752,901.4201319,845.3939219,227.20098,311.29482,297.27918
Ac3PIM2(14:0_16:1_14:0)-H,1313.775071,1085.566271,1059.550631,1085.566271,1103.576831,1077.561191,1103.576831,1151.722251,831.3418312,775.3156212,227.20098,253.21662,227.20098
Ac3PIM2(14:0_16:1_15:0)-H,1327.790721,1099.581921,1073.566281,1085.566281,1117.592481,1091.576841,1103.576841,1165.737901,845.3574813,789.3312713,227.20098,253.21662,241.21662
Ac3PIM2(14:0_16:1_16:0)-H,1341.806371,1113.597571,1087.581931,1085.566291,1131.608131,1105.592491,1103.576851,1179.753551,859.3731314,803.3469214,227.20098,253.21662,255.23226
Ac3PIM2(14:0_16:1_17:0)-H,1355.822021,1127.613221,1101.597581,1085.566301,1145.623781,1119.608141,1103.576861,1193.769201,873.3887814,817.3625714,227.20098,253.21662,269.2479
Ac3PIM2(14:0_16:1_18:0)-H,1369.837672,1141.628872,1115.613232,1085.566312,1159.639432,1133.623792,1103.576872,1207.784852,887.4044315,831.3782215,227.20098,253.21662,283.26354
Ac3PIM2(14:0_16:1_19:0)-H,1383.853322,1155.644522,1129.628882,1085.566322,1173.655082,1147.639442,1103.576882,1221.800502,901.4200816,845.3938716,227.20098,253.21662,297.27918
Ac3PIM2(14:0_16:1_20:0)-H,1397.868972,1169.660172,1143.644532,1085.566332,1187.670732,1161.655092,1103.576892,1235.816152,915.4357316,859.4095216,227.20098,253.21662,311.29482
Ac3PIM2(14:0_16:1_16:1)-H,1339.790721,1111.581921,1085.566281,1085.566281,1129.592481,1103.576841,1103.576841,1177.737901,857.3574813,801.3312713,227.20098,253.21662,253.21662
Ac3PIM2(14:0_16:1_17:1)-H,1353.806371,1125.597571,1099.581931,1085.566291,1143.608131,1117.592491,1103.576851,1191.753551,871.3731314,815.3469214,227.20098,253.21662,267.23226
Ac3PIM2(14:0_16:1_18:1)-H,1367.822021,1139.613221,1113.597581,1085.566301,1157.623781,1131.608141,1103.576861,1205.769201,885.3887814,829.3625714,227.20098,253.21662,281.2479
Ac3PIM2(14:0_16:1_18:2)-H,1365.806371,1137.597571,1111.581931,1085.566291,1155.608131,1129.592491,1103.576851,1203.753551,883.3731314,827.3469214,227.20098,253.21662,279.23226
Ac3PIM2(14:0_16:1_methyl-18:0)-H,1383.853322,1155.644522,1129.628882,1085.566322,1173.655082,1147.639442,1103.576882,1221.800502,901.4200816,845.3938716,227.20098,253.21662,297.27918
Ac3PIM2(14:0_17:1_14:0)-H,1327.790721,1099.581921,1059.550641,1099.581921,1117.592481,1077.561201,1117.592481,1165.737901,831.3418413,775.3156313,227.20098,267.23226,227.20098
Ac3PIM2(14:0_17:1_15:0)-H,1341.806371,1113.597571,1073.566291,1099.581931,1131.608131,1091.576851,1117.592491,1179.753551,845.3574914,789.3312814,227.20098,267.23226,241.21662
Ac3PIM2(14:0_17:1_16:0)-H,1355.822021,1127.613221,1087.581941,1099.581941,1145.623781,1105.592501,1117.592501,1193.769201,859.3731414,803.3469314,227.20098,267.23226,255.23226
Ac3PIM2(14:0_17:1_17:0)-H,1369.837672,1141.628872,1101.597592,1099.581952,1159.639432,1119.608152,1117.592512,1207.784852,873.3887915,817.3625815,227.20098,267.23226,269.2479
