"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment","RT at Max Intensity","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment","Number of Scans","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment","Max Intensity","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment","Average m/z","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment"
"","OxPC(36:4(OOO))+H","0","0","1","4.71126388888889","5.01126388888889","12741","","OxPC(36:4(OOO))+H"," 0.000000","0.000000"," 5.001680","4.71126388888889","5.01126388888889","12741","","OxPC(36:4(OOO))+H","0","0","1","4.71126388888889","5.01126388888889","12741","","OxPC(36:4(OOO))+H","     0.000","   0.000","5186046.0000","4.71126388888889","5.01126388888889","12741","","OxPC(36:4(OOO))+H","  0.0000","  0.0000","184.0735","4.71126388888889","5.01126388888889","12741","","OxPC(36:4(OOO))+H","830.55427","647.48821","184.07332","4.71126388888889","5.01126388888889","12741"
"","OxPC(36:4(OOO))+H","0","0","1","4.71971666666667","5.01971666666667","18729","","OxPC(36:4(OOO))+H"," 0.000000","0.000000"," 5.001680","4.71971666666667","5.01971666666667","18729","","OxPC(36:4(OOO))+H","0","0","1","4.71971666666667","5.01971666666667","18729","","OxPC(36:4(OOO))+H","     0.000","   0.000","5186046.0000","4.71971666666667","5.01971666666667","18729","","OxPC(36:4(OOO))+H","  0.0000","  0.0000","184.0735","4.71971666666667","5.01971666666667","18729","","OxPC(36:4(OOO))+H","830.55427","647.48821","184.07332","4.71971666666667","5.01971666666667","18729"
"","OxPC(37:1(OOOKeO))+H","0","0","1","6.77950277777778","7.07950277777778","243","","OxPC(37:1(OOOKeO))+H"," 0.000000","0.000000"," 6.948798","6.77950277777778","7.07950277777778","243","","OxPC(37:1(OOOKeO))+H","0","0","1","6.77950277777778","7.07950277777778","243","","OxPC(37:1(OOOKeO))+H","     0.000","   0.000","  10718.6400","6.77950277777778","7.07950277777778","243","","OxPC(37:1(OOOKeO))+H","  0.0000","  0.0000","184.0734","6.77950277777778","7.07950277777778","243","","OxPC(37:1(OOOKeO))+H","880.59105","697.52499","184.07332","6.77950277777778","7.07950277777778","243"
"","OxPC(37:2(OOOKeO))+H","0","0","1","5.670375","5.970375","1106","","OxPC(37:2(OOOKeO))+H"," 0.000000","0.000000"," 5.817645","5.670375","5.970375","1106","","OxPC(37:2(OOOKeO))+H","0","0","1","5.670375","5.970375","1106","","OxPC(37:2(OOOKeO))+H","     0.000","   0.000","   5851.3470","5.670375","5.970375","1106","","OxPC(37:2(OOOKeO))+H","  0.0000","  0.0000","184.0738","5.670375","5.970375","1106","","OxPC(37:2(OOOKeO))+H","878.57538","695.50932","184.07332","5.670375","5.970375","1106"
"","OxPC(37:2(OOOKeO))+H","0","0","1","5.86812222222222","6.16812222222222","1395","","OxPC(37:2(OOOKeO))+H"," 0.000000","0.000000"," 6.036028","5.86812222222222","6.16812222222222","1395","","OxPC(37:2(OOOKeO))+H","0","0","1","5.86812222222222","6.16812222222222","1395","","OxPC(37:2(OOOKeO))+H","     0.000","   0.000","   3084.4400","5.86812222222222","6.16812222222222","1395","","OxPC(37:2(OOOKeO))+H","  0.0000","  0.0000","184.0737","5.86812222222222","6.16812222222222","1395","","OxPC(37:2(OOOKeO))+H","878.57538","695.50932","184.07332","5.86812222222222","6.16812222222222","1395"
"","OxPC(37:2(OOOOO))+H","0","0","1","6.77950277777778","7.07950277777778","243","","OxPC(37:2(OOOOO))+H"," 0.000000","0.000000"," 6.948798","6.77950277777778","7.07950277777778","243","","OxPC(37:2(OOOOO))+H","0","0","1","6.77950277777778","7.07950277777778","243","","OxPC(37:2(OOOOO))+H","     0.000","   0.000","  10718.6400","6.77950277777778","7.07950277777778","243","","OxPC(37:2(OOOOO))+H","  0.0000","  0.0000","184.0734","6.77950277777778","7.07950277777778","243","","OxPC(37:2(OOOOO))+H","880.59104","697.52498","184.07332","6.77950277777778","7.07950277777778","243"
"","OxPC(37:3(OOOKeO))+H","0","0","1","5.40977777777778","5.70977777777778","592","","OxPC(37:3(OOOKeO))+H"," 0.000000","0.000000"," 5.503373","5.40977777777778","5.70977777777778","592","","OxPC(37:3(OOOKeO))+H","0","0","2","5.40977777777778","5.70977777777778","592","","OxPC(37:3(OOOKeO))+H","     0.000","   0.000","   3303.9630","5.40977777777778","5.70977777777778","592","","OxPC(37:3(OOOKeO))+H","  0.0000","  0.0000","184.0738","5.40977777777778","5.70977777777778","592","","OxPC(37:3(OOOKeO))+H","876.55968","693.49362","184.07332","5.40977777777778","5.70977777777778","592"
"","OxPC(37:3(OOOOO))+H","0","0","1","5.670375","5.970375","1106","","OxPC(37:3(OOOOO))+H"," 0.000000","0.000000"," 5.817645","5.670375","5.970375","1106","","OxPC(37:3(OOOOO))+H","0","0","1","5.670375","5.970375","1106","","OxPC(37:3(OOOOO))+H","     0.000","   0.000","   5851.3470","5.670375","5.970375","1106","","OxPC(37:3(OOOOO))+H","  0.0000","  0.0000","184.0738","5.670375","5.970375","1106","","OxPC(37:3(OOOOO))+H","878.57534","695.50928","184.07332","5.670375","5.970375","1106"
"","OxPC(37:3(OOOOO))+H","0","0","1","5.86812222222222","6.16812222222222","1395","","OxPC(37:3(OOOOO))+H"," 0.000000","0.000000"," 6.036028","5.86812222222222","6.16812222222222","1395","","OxPC(37:3(OOOOO))+H","0","0","1","5.86812222222222","6.16812222222222","1395","","OxPC(37:3(OOOOO))+H","     0.000","   0.000","   3084.4400","5.86812222222222","6.16812222222222","1395","","OxPC(37:3(OOOOO))+H","  0.0000","  0.0000","184.0737","5.86812222222222","6.16812222222222","1395","","OxPC(37:3(OOOOO))+H","878.57534","695.50928","184.07332","5.86812222222222","6.16812222222222","1395"
"","OxPC(37:4(OOOOO))+H","0","0","1","5.40977777777778","5.70977777777778","592","","OxPC(37:4(OOOOO))+H"," 0.000000","0.000000"," 5.503373","5.40977777777778","5.70977777777778","592","","OxPC(37:4(OOOOO))+H","0","0","2","5.40977777777778","5.70977777777778","592","","OxPC(37:4(OOOOO))+H","     0.000","   0.000","   3303.9630","5.40977777777778","5.70977777777778","592","","OxPC(37:4(OOOOO))+H","  0.0000","  0.0000","184.0738","5.40977777777778","5.70977777777778","592","","OxPC(37:4(OOOOO))+H","876.55974","693.49368","184.07332","5.40977777777778","5.70977777777778","592"
