"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","RT at Max Intensity","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Number of Scans","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Max Intensity","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Average m/z","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment"
"","PC(34:2)+H","1","1","1","6.39557777777778","6.69557777777778","1","","PC(34:2)+H"," 6.530702"," 6.530702"," 6.530702","6.39557777777778","6.69557777777778","1","","PC(34:2)+H","3","3","3","6.39557777777778","6.69557777777778","1","","PC(34:2)+H","76887860.000"," 514546.4000","8.698678e+08","6.39557777777778","6.69557777777778","1","","PC(34:2)+H","758.5694","575.5038","184.0732","6.39557777777778","6.69557777777778","1","","PC(34:2)+H","758.56944","575.5034","184.07332","6.39557777777778","6.69557777777778","1"
"","PC(34:2)+H","1","1","1","6.14551666666667","6.44551666666667","11258","","PC(34:2)+H"," 6.408510"," 6.408510"," 6.408510","6.14551666666667","6.44551666666667","11258","","PC(34:2)+H","2","2","2","6.14551666666667","6.44551666666667","11258","","PC(34:2)+H"," 2120362.000","  14493.6400","2.244238e+07","6.14551666666667","6.44551666666667","11258","","PC(34:2)+H","758.5702","575.5038","184.0734","6.14551666666667","6.44551666666667","11258","","PC(34:2)+H","758.56944","575.5034","184.07332","6.14551666666667","6.44551666666667","11258"
"","PC(34:3)+H","1","1","1","5.52218333333333","5.82218333333333","118","","PC(34:3)+H"," 5.629702"," 5.629702"," 5.629702","5.52218333333333","5.82218333333333","118","","PC(34:3)+H","2","2","2","5.52218333333333","5.82218333333333","118","","PC(34:3)+H"," 1925215.000","  11772.4000","1.920244e+07","5.52218333333333","5.82218333333333","118","","PC(34:3)+H","756.5541","573.4884","184.0734","5.52218333333333","5.82218333333333","118","","PC(34:3)+H","756.55384","573.4878","184.07332","5.52218333333333","5.82218333333333","118"
"","PC(34:3)+H","1","1","1","5.27282638888889","5.57282638888889","126","","PC(34:3)+H"," 5.493016"," 5.367679"," 5.367679","5.27282638888889","5.57282638888889","126","","PC(34:3)+H","2","2","2","5.27282638888889","5.57282638888889","126","","PC(34:3)+H"," 1492379.000","  14182.5100","1.372088e+07","5.27282638888889","5.57282638888889","126","","PC(34:3)+H","756.5548","573.4888","184.0736","5.27282638888889","5.57282638888889","126","","PC(34:3)+H","756.55384","573.4878","184.07332","5.27282638888889","5.57282638888889","126"
"","PC(34:4)+H","1","1","1","4.9153","5.2153","93","","PC(34:4)+H"," 5.089102"," 5.089102"," 5.089102","4.9153","5.2153","93","","PC(34:4)+H","2","2","2","4.9153","5.2153","93","","PC(34:4)+H"," 3221773.000","   9190.4570","3.439898e+07","4.9153","5.2153","93","","PC(34:4)+H","754.5395","571.4732","184.0736","4.9153","5.2153","93","","PC(34:4)+H","754.53814","571.4721","184.07332","4.9153","5.2153","93"
"","PC(34:4)+H","1","1","1","6.09123194444444","6.39123194444444","1172","","PC(34:4)+H"," 6.297675"," 6.297675"," 6.297675","6.09123194444444","6.39123194444444","1172","","PC(34:4)+H","1","1","1","6.09123194444444","6.39123194444444","1172","","PC(34:4)+H","  137490.300","  73174.0700","8.819662e+04","6.09123194444444","6.39123194444444","1172","","PC(34:4)+H","754.5372","571.4709","184.0737","6.09123194444444","6.39123194444444","1172","","PC(34:4)+H","754.53814","571.4721","184.07332","6.09123194444444","6.39123194444444","1172"
"","PC(34:4)+H","1","0","1","5.17276666666667","5.47276666666667","17809","","PC(34:4)+H"," 5.226175"," 0.000000"," 5.226175","5.17276666666667","5.47276666666667","17809","","PC(34:4)+H","1","0","1","5.17276666666667","5.47276666666667","17809","","PC(34:4)+H","  209502.900","      0.0000","1.662743e+06","5.17276666666667","5.47276666666667","17809","","PC(34:4)+H","754.5404","  0.0000","184.0739","5.17276666666667","5.47276666666667","17809","","PC(34:4)+H","754.53814","571.4721","184.07332","5.17276666666667","5.47276666666667","17809"
"","PC(34:5)+H","1","1","1","5.11699166666667","5.41699166666667","861","","PC(34:5)+H"," 5.317206"," 5.317206"," 5.317206","5.11699166666667","5.41699166666667","861","","PC(34:5)+H","1","1","1","5.11699166666667","5.41699166666667","861","","PC(34:5)+H","  293391.500"," 171707.4000","3.842891e+04","5.11699166666667","5.41699166666667","861","","PC(34:5)+H","752.5223","569.4558","184.0739","5.11699166666667","5.41699166666667","861","","PC(34:5)+H","752.52254","569.4565","184.07332","5.11699166666667","5.41699166666667","861"
"","PC(34:5)+H","1","0","1","4.00602083333333","4.30602083333333","2565","","PC(34:5)+H"," 4.205145"," 0.000000"," 4.205145","4.00602083333333","4.30602083333333","2565","","PC(34:5)+H","1","0","1","4.00602083333333","4.30602083333333","2565","","PC(34:5)+H","   22641.240","      0.0000","1.940061e+05","4.00602083333333","4.30602083333333","2565","","PC(34:5)+H","752.5236","  0.0000","184.0736","4.00602083333333","4.30602083333333","2565","","PC(34:5)+H","752.52254","569.4565","184.07332","4.00602083333333","4.30602083333333","2565"
"","PC(35:1)+H","1","1","1","7.90268472222222","8.20268472222222","177","","PC(35:1)+H"," 8.032400"," 8.032400"," 8.032400","7.90268472222222","8.20268472222222","177","","PC(35:1)+H","2","2","2","7.90268472222222","8.20268472222222","177","","PC(35:1)+H"," 1312308.000","   8737.2390","1.236407e+07","7.90268472222222","8.20268472222222","177","","PC(35:1)+H","774.6008","591.5351","184.0734","7.90268472222222","8.20268472222222","177","","PC(35:1)+H","774.60084","591.5348","184.07332","7.90268472222222","8.20268472222222","177"
