SM,[M+C2H3O2]-,[M-CH3]-,Sph-C-H,[C4H11NO4P]-,[PO3]-
SM(d14:2/32:2)+C2H3O2,923.7217,849.6849,391.2365,168.0431,78.95905
SM(d14:2/33:0)+C2H3O2,941.7687,867.7319,391.2365,168.0431,78.95905
SM(d14:2/33:1)+C2H3O2,939.7531,865.7162,391.2365,168.0431,78.95905
SM(d14:2/34:0)+C2H3O2,955.7843,881.7476,391.2365,168.0431,78.95905
SM(d14:2/34:1)+C2H3O2,953.7687,879.7319,391.2365,168.0431,78.95905
SM(d14:2/34:2)+C2H3O2,951.7531,877.7162,391.2365,168.0431,78.95905
SM(d14:2/35:0)+C2H3O2,969.8,895.7632,391.2365,168.0431,78.95905
SM(d14:2/35:1)+C2H3O2,967.7843,893.7476,391.2365,168.0431,78.95905
SM(d14:2/36:0)+C2H3O2,983.8156,909.7789,391.2365,168.0431,78.95905
SM(d14:2/36:1)+C2H3O2,981.8,907.7632,391.2365,168.0431,78.95905
SM(d14:2/36:2)+C2H3O2,979.7843,905.7476,391.2365,168.0431,78.95905
SM(d14:2/38:0)+C2H3O2,1011.847,937.8101,391.2365,168.0431,78.95905
SM(d14:2/38:1)+C2H3O2,1009.831,935.7945,391.2365,168.0431,78.95905
SM(d14:2/38:2)+C2H3O2,1007.816,933.7789,391.2365,168.0431,78.95905
SM(d14:2/40:0)+C2H3O2,1039.878,965.8414,391.2366,168.0431,78.95905
SM(d14:2/40:1)+C2H3O2,1037.863,963.8258,391.2366,168.0431,78.95905
SM(d14:2/40:2)+C2H3O2,1035.847,961.8101,391.2365,168.0431,78.95905
SM(d14:2/42:0)+C2H3O2,1067.91,993.8727,391.2366,168.0431,78.95905
SM(d14:2/42:1)+C2H3O2,1065.894,991.8571,391.2366,168.0431,78.95905
SM(d14:2/42:2)+C2H3O2,1063.878,989.8414,391.2366,168.0431,78.95905
SM(d14:3/12:0)+C2H3O2,645.4244,571.3876,389.2206,168.0431,78.95905
SM(d14:3/12:1)+C2H3O2,643.4088,569.3719,389.2206,168.0431,78.95905
SM(d14:3/13:0)+C2H3O2,659.44,585.4033,389.2206,168.0431,78.95905
SM(d14:3/13:1)+C2H3O2,657.4244,583.3876,389.2206,168.0431,78.95905
SM(d14:3/14:0)+C2H3O2,673.4557,599.4189,389.2207,168.0431,78.95905
SM(d14:3/14:1)+C2H3O2,671.44,597.4033,389.2206,168.0431,78.95905
SM(d14:3/15:0)+C2H3O2,687.4713,613.4346,389.2207,168.0431,78.95905
SM(d14:3/15:1)+C2H3O2,685.4557,611.4189,389.2207,168.0431,78.95905
SM(d14:3/16:0)+C2H3O2,701.487,627.4502,389.2207,168.0431,78.95905
SM(d14:3/16:1)+C2H3O2,699.4713,625.4346,389.2207,168.0431,78.95905
SM(d14:3/16:2)+C2H3O2,697.4557,623.4189,389.2207,168.0431,78.95905
SM(d14:3/17:0)+C2H3O2,715.5026,641.4658,389.2207,168.0431,78.95905
SM(d14:3/18:0)+C2H3O2,729.5182,655.4815,389.2207,168.0431,78.95905
SM(d14:3/18:1)+C2H3O2,727.5026,653.4658,389.2207,168.0431,78.95905
SM(d14:3/18:2)+C2H3O2,725.487,651.4502,389.2207,168.0431,78.95905
SM(d14:3/19:0)+C2H3O2,743.5339,669.4971,389.2207,168.0431,78.95905
SM(d14:3/19:1)+C2H3O2,741.5182,667.4815,389.2207,168.0431,78.95905
SM(d14:3/20:0)+C2H3O2,757.5496,683.5128,389.2207,168.0431,78.95905
SM(d14:3/20:1)+C2H3O2,755.5339,681.4971,389.2207,168.0431,78.95905
SM(d14:3/20:2)+C2H3O2,753.5182,679.4815,389.2207,168.0431,78.95905
SM(d14:3/21:0)+C2H3O2,771.5652,697.5284,389.2207,168.0431,78.95905
SM(d14:3/21:1)+C2H3O2,769.5496,695.5128,389.2207,168.0431,78.95905
SM(d14:3/22:0)+C2H3O2,785.5809,711.5441,389.2207,168.0431,78.95905
SM(d14:3/22:1)+C2H3O2,783.5652,709.5284,389.2207,168.0431,78.95905
SM(d14:3/22:2)+C2H3O2,781.5496,707.5128,389.2207,168.0431,78.95905
SM(d14:3/23:0)+C2H3O2,799.5966,725.5598,389.2208,168.0431,78.95905
SM(d14:3/23:1)+C2H3O2,797.5809,723.5441,389.2207,168.0431,78.95905
SM(d14:3/24:0)+C2H3O2,813.6122,739.5754,389.2208,168.0431,78.95905
SM(d14:3/24:1)+C2H3O2,811.5966,737.5598,389.2208,168.0431,78.95905
SM(d14:3/24:2)+C2H3O2,809.5809,735.5441,389.2207,168.0431,78.95905
SM(d14:3/25:0)+C2H3O2,827.6278,753.5911,389.2208,168.0431,78.95905
SM(d14:3/25:1)+C2H3O2,825.6122,751.5754,389.2208,168.0431,78.95905
SM(d14:3/26:0)+C2H3O2,841.6435,767.6067,389.2208,168.0431,78.95905
SM(d14:3/26:1)+C2H3O2,839.6278,765.5911,389.2208,168.0431,78.95905
SM(d14:3/26:2)+C2H3O2,837.6122,763.5754,389.2208,168.0431,78.95905
SM(d14:3/27:0)+C2H3O2,855.6591,781.6224,389.2208,168.0431,78.95905
SM(d14:3/27:1)+C2H3O2,853.6435,779.6067,389.2208,168.0431,78.95905
SM(d14:3/28:0)+C2H3O2,869.6748,795.638,389.2208,168.0431,78.95905
SM(d14:3/28:1)+C2H3O2,867.6591,793.6224,389.2208,168.0431,78.95905
SM(d14:3/28:2)+C2H3O2,865.6435,791.6067,389.2208,168.0431,78.95905
SM(d14:3/29:0)+C2H3O2,883.6904,809.6536,389.2208,168.0431,78.95905
SM(d14:3/29:1)+C2H3O2,881.6748,807.638,389.2208,168.0431,78.95905
SM(d14:3/30:0)+C2H3O2,897.7061,823.6693,389.2208,168.0431,78.95905
SM(d14:3/30:1)+C2H3O2,895.6904,821.6536,389.2208,168.0431,78.95905
SM(d14:3/30:2)+C2H3O2,893.6748,819.638,389.2208,168.0431,78.95905
SM(d14:3/31:0)+C2H3O2,911.7217,837.6849,389.2208,168.0431,78.95905
SM(d14:3/31:1)+C2H3O2,909.7061,835.6693,389.2208,168.0431,78.95905
SM(d14:3/32:0)+C2H3O2,925.7374,851.7006,389.2208,168.0431,78.95905
SM(d14:3/32:1)+C2H3O2,923.7217,849.6849,389.2208,168.0431,78.95905
SM(d14:3/32:2)+C2H3O2,921.7061,847.6693,389.2208,168.0431,78.95905
SM(d14:3/33:0)+C2H3O2,939.7531,865.7162,389.2209,168.0431,78.95905
SM(d14:3/33:1)+C2H3O2,937.7374,863.7006,389.2208,168.0431,78.95905
SM(d14:3/34:0)+C2H3O2,953.7687,879.7319,389.2209,168.0431,78.95905
SM(d14:3/34:1)+C2H3O2,951.7531,877.7162,389.2209,168.0431,78.95905
SM(d14:3/34:2)+C2H3O2,949.7374,875.7006,389.2208,168.0431,78.95905
SM(d14:3/35:0)+C2H3O2,967.7843,893.7476,389.2209,168.0431,78.95905
SM(d14:3/35:1)+C2H3O2,965.7687,891.7319,389.2209,168.0431,78.95905
SM(d14:3/36:0)+C2H3O2,981.8,907.7632,389.2209,168.0431,78.95905
SM(d14:3/36:1)+C2H3O2,979.7843,905.7476,389.2209,168.0431,78.95905
SM(d14:3/36:2)+C2H3O2,977.7687,903.7319,389.2209,168.0431,78.95905
SM(d14:3/38:0)+C2H3O2,1009.831,935.7945,389.2209,168.0431,78.95905
SM(d14:3/38:1)+C2H3O2,1007.816,933.7789,389.2209,168.0431,78.95905
SM(d14:3/38:2)+C2H3O2,1005.8,931.7632,389.2209,168.0431,78.95905
SM(d14:3/40:0)+C2H3O2,1037.863,963.8258,389.2209,168.0431,78.95905
SM(d14:3/40:1)+C2H3O2,1035.847,961.8101,389.2209,168.0431,78.95905
SM(d14:3/40:2)+C2H3O2,1033.831,959.7945,389.2209,168.0431,78.95905
SM(d14:3/42:0)+C2H3O2,1065.894,991.8571,389.2209,168.0431,78.95905
SM(d14:3/42:1)+C2H3O2,1063.878,989.8414,389.2209,168.0431,78.95905
SM(d14:3/42:2)+C2H3O2,1061.863,987.8258,389.2209,168.0431,78.95905
SM(d15:0/12:0)+C2H3O2,665.487,591.4502,409.2832,168.0431,78.95905
SM(d15:0/12:1)+C2H3O2,663.4713,589.4346,409.2832,168.0431,78.95905
SM(d15:0/13:0)+C2H3O2,679.5026,605.4658,409.2833,168.0431,78.95905
SM(d15:0/13:1)+C2H3O2,677.487,603.4502,409.2832,168.0431,78.95905
SM(d15:0/14:0)+C2H3O2,693.5182,619.4815,409.2833,168.0431,78.95905
SM(d15:0/14:1)+C2H3O2,691.5026,617.4658,409.2833,168.0431,78.95905
SM(d15:0/15:0)+C2H3O2,707.5339,633.4971,409.2833,168.0431,78.95905
SM(d15:0/15:1)+C2H3O2,705.5182,631.4815,409.2833,168.0431,78.95905
SM(d15:0/16:0)+C2H3O2,721.5496,647.5128,409.2833,168.0431,78.95905
SM(d15:0/16:1)+C2H3O2,719.5339,645.4971,409.2833,168.0431,78.95905
SM(d15:0/16:2)+C2H3O2,717.5182,643.4815,409.2833,168.0431,78.95905
SM(d15:0/17:0)+C2H3O2,735.5652,661.5284,409.2833,168.0431,78.95905
SM(d15:0/18:0)+C2H3O2,749.5809,675.5441,409.2833,168.0431,78.95905
SM(d15:0/18:1)+C2H3O2,747.5652,673.5284,409.2833,168.0431,78.95905
SM(d15:0/18:2)+C2H3O2,745.5496,671.5128,409.2833,168.0431,78.95905
SM(d15:0/19:0)+C2H3O2,763.5966,689.5598,409.2833,168.0431,78.95905
SM(d15:0/19:1)+C2H3O2,761.5809,687.5441,409.2833,168.0431,78.95905
SM(d15:0/20:0)+C2H3O2,777.6122,703.5754,409.2833,168.0431,78.95905
SM(d15:0/20:1)+C2H3O2,775.5966,701.5598,409.2833,168.0431,78.95905
SM(d15:0/20:2)+C2H3O2,773.5809,699.5441,409.2833,168.0431,78.95905
SM(d15:0/21:0)+C2H3O2,791.6278,717.5911,409.2833,168.0431,78.95905
SM(d15:0/21:1)+C2H3O2,789.6122,715.5754,409.2833,168.0431,78.95905
SM(d15:0/22:0)+C2H3O2,805.6435,731.6067,409.2833,168.0431,78.95905
SM(d15:0/22:1)+C2H3O2,803.6278,729.5911,409.2833,168.0431,78.95905
SM(d15:0/22:2)+C2H3O2,801.6122,727.5754,409.2833,168.0431,78.95905
SM(d15:0/23:0)+C2H3O2,819.6591,745.6224,409.2834,168.0431,78.95905
SM(d15:0/23:1)+C2H3O2,817.6435,743.6067,409.2833,168.0431,78.95905
SM(d15:0/24:0)+C2H3O2,833.6748,759.638,409.2834,168.0431,78.95905
SM(d15:0/24:1)+C2H3O2,831.6591,757.6224,409.2834,168.0431,78.95905
SM(d15:0/24:2)+C2H3O2,829.6435,755.6067,409.2833,168.0431,78.95905
SM(d15:0/25:0)+C2H3O2,847.6904,773.6536,409.2834,168.0431,78.95905
