LipidA-PP,[M-H]-,[M-H]-PO3H,[M-H]-PO4H3,[M-H]-R2,[M-H]-R3,[M-H]-PO4H3-R2'-O-FA,[M-H]-PO4H3-R3'-O-FA,[M-H]-(R2'-O-FA)-R2',[M-H]-(R3'-O-FA)-R3',[M-H]-R2-PO4H3,[M-H]-R3-PO4H3
LipidA-PP [10_10_10_16_3O-(14)_3O-(14)],1684.086372,1602.104392,1586.109472,1495.945212,1495.945212,1357.900672,1357.900672,1455.877572,1455.877572,1397.968312,1397.968312
LipidA-PP [10_10_10_16_3O-(14)_3O-(16)],1712.117672,1630.135692,1614.140772,1523.976512,1523.976512,1385.931972,1357.900692,1483.908872,1455.877592,1425.999612,1425.999612
LipidA-PP [10_10_10_16_3O-(14)_3O-(18)],1740.148972,1658.166992,1642.172072,1552.007812,1552.007812,1413.963272,1357.900712,1511.940172,1455.877612,1454.030912,1454.030912
LipidA-PP [10_10_10_16_3O-(16)_3O-(10)],1656.055072,1574.073092,1558.078172,1467.913912,1467.913912,1301.838092,1385.931932,1399.814992,1483.908832,1369.937012,1369.937012
LipidA-PP [10_10_10_16_3O-(16)_3O-(12)],1684.086372,1602.104392,1586.109472,1495.945212,1495.945212,1329.869392,1385.931952,1427.846292,1483.908852,1397.968312,1397.968312
LipidA-PP [10_10_10_16_3O-(16)_3O-(14)],1712.117672,1630.135692,1614.140772,1523.976512,1523.976512,1357.900692,1385.931972,1455.877592,1483.908872,1425.999612,1425.999612
LipidA-PP [10_10_10_16_3O-(16)_3O-(16)],1740.148972,1658.166992,1642.172072,1552.007812,1552.007812,1385.931992,1385.931992,1483.908892,1483.908892,1454.030912,1454.030912
LipidA-PP [10_10_10_16_3O-(16)_3O-(18)],1768.180272,1686.198292,1670.203372,1580.039112,1580.039112,1413.963292,1385.932012,1511.940192,1483.908912,1482.062212,1482.062212
LipidA-PP [10_10_10_16_3O-(18)_3O-(10)],1684.086372,1602.104392,1586.109472,1495.945212,1495.945212,1301.838112,1413.963232,1399.815012,1511.940132,1397.968312,1397.968312
LipidA-PP [10_10_10_16_3O-(18)_3O-(12)],1712.117672,1630.135692,1614.140772,1523.976512,1523.976512,1329.869412,1413.963252,1427.846312,1511.940152,1425.999612,1425.999612
LipidA-PP [10_10_10_16_3O-(18)_3O-(14)],1740.148972,1658.166992,1642.172072,1552.007812,1552.007812,1357.900712,1413.963272,1455.877612,1511.940172,1454.030912,1454.030912
LipidA-PP [10_10_10_16_3O-(18)_3O-(16)],1768.180272,1686.198292,1670.203372,1580.039112,1580.039112,1385.932012,1413.963292,1483.908912,1511.940192,1482.062212,1482.062212
LipidA-PP [10_10_10_16_3O-(18)_3O-(18)],1796.211572,1714.229592,1698.234672,1608.070412,1608.070412,1413.963312,1413.963312,1511.940212,1511.940212,1510.093512,1510.093512
LipidA-PP [10_10_10_18_3O-(10)_3O-(10)],1599.992471,1518.010491,1502.015571,1411.851311,1411.851311,1329.869331,1329.869331,1427.846231,1427.846231,1313.874411,1313.874411
LipidA-PP [10_10_10_18_3O-(10)_3O-(12)],1628.023772,1546.041792,1530.046872,1439.882612,1439.882612,1357.900632,1329.869352,1455.877532,1427.846252,1341.905712,1341.905712
LipidA-PP [10_10_10_18_3O-(10)_3O-(14)],1656.055072,1574.073092,1558.078172,1467.913912,1467.913912,1385.931932,1329.869372,1483.908832,1427.846272,1369.937012,1369.937012
LipidA-PP [10_10_10_18_3O-(10)_3O-(16)],1684.086372,1602.104392,1586.109472,1495.945212,1495.945212,1413.963232,1329.869392,1511.940132,1427.846292,1397.968312,1397.968312
LipidA-PP [10_10_10_18_3O-(10)_3O-(18)],1712.117672,1630.135692,1614.140772,1523.976512,1523.976512,1441.994532,1329.869412,1539.971432,1427.846312,1425.999612,1425.999612
LipidA-PP [10_10_10_18_3O-(12)_3O-(10)],1628.023772,1546.041792,1530.046872,1439.882612,1439.882612,1329.869352,1357.900632,1427.846252,1455.877532,1341.905712,1341.905712
LipidA-PP [10_10_10_18_3O-(12)_3O-(12)],1656.055072,1574.073092,1558.078172,1467.913912,1467.913912,1357.900652,1357.900652,1455.877552,1455.877552,1369.937012,1369.937012
LipidA-PP [10_10_10_18_3O-(12)_3O-(14)],1684.086372,1602.104392,1586.109472,1495.945212,1495.945212,1385.931952,1357.900672,1483.908852,1455.877572,1397.968312,1397.968312
