PMeOH,[M+NH4]+,[M-CH5O4P+H]+,NL of SN1+H2O,NL of SN2+H2O,[M-SN1-112+H]+,[M-SN2-112+H]+,SN2-H2O,SN1-H2O,[C4H9O5P+H]+
PMeOH(13:0_21:1)+NH4,706.53812,577.519,475.3184,365.2089,381.3364,271.227,307.2993,197.1899,169.026
PMeOH(13:0_21:2)+NH4,704.52252,575.5034,473.3027,365.2089,379.3207,271.2269,305.2837,197.1899,169.026
PMeOH(13:0_22:0)+NH4,722.56952,593.5504,491.3497,365.209,397.3677,271.227,323.3306,197.1899,169.026
PMeOH(13:0_22:1)+NH4,720.55382,591.5347,489.3341,365.209,395.3521,271.227,321.315,197.1899,169.026
PMeOH(13:0_22:2)+NH4,718.53812,589.519,487.3184,365.2089,393.3364,271.227,319.2993,197.1899,169.026
PMeOH(13:0_22:3)+NH4,716.52252,587.5034,485.3027,365.2089,391.3207,271.2269,317.2837,197.1899,169.026
PMeOH(13:0_22:4)+NH4,714.50682,585.4877,483.2871,365.2089,389.3051,271.2269,315.2681,197.1899,169.026
PMeOH(13:0_22:5)+NH4,712.49112,583.472,481.2714,365.2089,387.2894,271.2269,313.2524,197.1899,169.026
PMeOH(13:0_22:6)+NH4,710.47552,581.4564,479.2558,365.2089,385.2738,271.2269,311.2368,197.1899,169.026
PMeOH(13:0_23:0)+NH4,736.58512,607.566,505.3654,365.209,411.3834,271.227,337.3463,197.1899,169.026
PMeOH(13:0_24:0)+NH4,750.60072,621.5816,519.381,365.209,425.399,271.227,351.3619,197.1899,169.026
PMeOH(13:0_24:1)+NH4,748.58512,619.566,517.3654,365.209,423.3834,271.227,349.3463,197.1899,169.026
PMeOH(13:0_24:2)+NH4,746.56952,617.5504,515.3497,365.209,421.3677,271.227,347.3306,197.1899,169.026
PMeOH(13:0_24:4)+NH4,742.53812,613.519,511.3184,365.2089,417.3364,271.227,343.2993,197.1899,169.026
PMeOH(13:0_25:0)+NH4,764.61652,635.5974,533.3967,365.209,439.4147,271.2271,365.3776,197.1899,169.026
PMeOH(13:0_26:0)+NH4,778.63202,649.6129,547.4123,365.209,453.4303,271.227,379.3932,197.1899,169.026
PMeOH(13:0_26:1)+NH4,776.61652,647.5974,545.3967,365.209,451.4147,271.2271,377.3776,197.1899,169.026
PMeOH(13:0_26:2)+NH4,774.60072,645.5816,543.381,365.209,449.399,271.227,375.3619,197.1899,169.026
PMeOH(13:0_26:4)+NH4,770.56952,641.5504,539.3497,365.209,445.3677,271.227,371.3306,197.1899,169.026
PMeOH(13:0_27:0)+NH4,792.64762,663.6285,561.4279,365.209,467.4459,271.227,393.4088,197.1899,169.026
PMeOH(13:1_13:1)+NH4,592.39732,463.3782,363.1932,363.1932,269.2113,269.2113,195.1742,195.1742,169.026
PMeOH(14:0_13:1)+NH4,608.42862,479.4095,363.1933,379.2245,269.2113,285.2426,195.1742,211.2055,169.026
PMeOH(13:1_14:1)+NH4,606.41292,477.3938,377.2089,363.1932,283.2269,269.2112,209.1899,195.1742,169.026
PMeOH(15:0_13:1)+NH4,622.44422,493.4251,363.1932,393.2401,269.2112,299.2582,195.1742,225.2211,169.026
PMeOH(13:1_15:1)+NH4,620.42862,491.4095,391.2245,363.1933,297.2426,269.2113,223.2055,195.1742,169.026
PMeOH(16:0_13:1)+NH4,636.45992,507.4408,363.1933,407.2559,269.2113,313.2739,195.1742,239.2368,169.026
PMeOH(13:1_16:1)+NH4,634.44422,505.4251,405.2401,363.1932,311.2582,269.2112,237.2211,195.1742,169.026
PMeOH(13:1_16:2)+NH4,632.42862,503.4095,403.2245,363.1933,309.2426,269.2113,235.2055,195.1742,169.026
PMeOH(13:1_16:3)+NH4,630.41292,501.3938,401.2089,363.1932,307.2269,269.2112,233.1899,195.1742,169.026
PMeOH(13:1_16:4)+NH4,628.39732,499.3782,399.1932,363.1932,305.2113,269.2113,231.1742,195.1742,169.026
PMeOH(17:0_13:1)+NH4,650.47552,521.4564,363.1932,421.2715,269.2113,327.2895,195.1742,253.2524,169.026
PMeOH(13:1_17:1)+NH4,648.46002,519.4409,419.2559,363.1933,325.2739,269.2113,251.2368,195.1742,169.026
PMeOH(13:1_17:2)+NH4,646.44422,517.4251,417.2401,363.1932,323.2582,269.2112,249.2211,195.1742,169.026
PMeOH(18:0_13:1)+NH4,664.49112,535.472,363.1932,435.287,269.2112,341.3051,195.1742,267.2681,169.026
PMeOH(13:1_18:1)+NH4,662.47552,533.4564,433.2715,363.1932,339.2895,269.2113,265.2524,195.1742,169.026
PMeOH(13:1_18:2)+NH4,660.46002,531.4409,431.2559,363.1933,337.2739,269.2113,263.2368,195.1742,169.026
PMeOH(13:1_18:3)+NH4,658.44422,529.4251,429.2401,363.1932,335.2582,269.2112,261.2212,195.1742,169.026
PMeOH(13:1_18:4)+NH4,656.42862,527.4095,427.2245,363.1933,333.2426,269.2113,259.2055,195.1742,169.026
PMeOH(13:1_18:5)+NH4,654.41302,525.3939,425.2089,363.1932,331.2269,269.2112,257.1899,195.1742,169.026
PMeOH(19:0_13:1)+NH4,678.50682,549.4877,363.1933,449.3028,269.2113,355.3208,195.1742,281.2837,169.026
PMeOH(13:1_19:1)+NH4,676.49112,547.472,447.287,363.1932,353.3051,269.2112,279.2681,195.1742,169.026
PMeOH(13:1_19:2)+NH4,674.47552,545.4564,445.2715,363.1932,351.2895,269.2113,277.2524,195.1742,169.026
PMeOH(20:0_13:1)+NH4,692.52252,563.5034,363.1932,463.3184,269.2112,369.3364,195.1742,295.2993,169.026
PMeOH(13:1_20:1)+NH4,690.50682,561.4877,461.3028,363.1933,367.3208,269.2113,293.2837,195.1742,169.026
PMeOH(13:1_20:2)+NH4,688.49112,559.472,459.287,363.1932,365.3051,269.2112,291.2681,195.1742,169.026
PMeOH(13:1_20:3)+NH4,686.47552,557.4564,457.2715,363.1932,363.2895,269.2113,289.2524,195.1742,169.026
PMeOH(13:1_20:4)+NH4,684.46002,555.4409,455.2559,363.1933,361.2739,269.2113,287.2368,195.1742,169.026
PMeOH(13:1_20:5)+NH4,682.44422,553.4251,453.2401,363.1932,359.2582,269.2112,285.2212,195.1742,169.026
PMeOH(21:0_13:1)+NH4,706.53812,577.519,363.1933,477.334,269.2113,383.3521,195.1742,309.315,169.026
PMeOH(13:1_21:1)+NH4,704.52252,575.5034,475.3184,363.1932,381.3364,269.2112,307.2993,195.1742,169.026
