GlcCer_NDS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
GlcCer_NDS(d17:0/28:0)+H,856.76005,694.70715,676.69655,658.68605,270.27855,252.26805,424.45075,240.26805
GlcCer_NDS(d17:0/28:1)+H,854.74435,692.69155,674.68095,656.67035,270.27855,252.26805,422.43505,240.26805
GlcCer_NDS(d17:0/28:2)+H,852.72865,690.67585,672.66525,654.65475,270.27855,252.26805,420.41945,240.26805
GlcCer_NDS(d17:0/28:3)+H,850.71305,688.66025,670.64965,652.63905,270.27855,252.26805,418.40385,240.26805
GlcCer_NDS(d17:0/28:4)+H,848.69735,686.64455,668.63395,650.62345,270.27855,252.26805,416.38815,240.26805
GlcCer_NDS(d17:0/29:0)+H,870.77565,708.72285,690.71225,672.70165,270.27855,252.26805,438.46635,240.26805
GlcCer_NDS(d17:0/29:1)+H,868.76005,706.70715,688.69655,670.68605,270.27855,252.26805,436.45075,240.26805
GlcCer_NDS(d17:0/29:2)+H,866.74435,704.69155,686.68095,668.67035,270.27855,252.26805,434.43505,240.26805
GlcCer_NDS(d17:0/29:3)+H,864.72865,702.67585,684.66525,666.65475,270.27855,252.26805,432.41945,240.26805
GlcCer_NDS(d17:0/29:4)+H,862.71305,700.66025,682.64965,664.63905,270.27855,252.26805,430.40385,240.26805
GlcCer_NDS(d17:0/30:0)+H,884.79135,722.73845,704.72795,686.71735,270.27855,252.26805,452.48205,240.26805
GlcCer_NDS(d17:0/30:1)+H,882.77565,720.72285,702.71225,684.70165,270.27855,252.26805,450.46635,240.26805
GlcCer_NDS(d17:0/30:2)+H,880.76005,718.70715,700.69655,682.68605,270.27855,252.26805,448.45075,240.26805
GlcCer_NDS(d17:0/30:3)+H,878.74435,716.69155,698.68095,680.67035,270.27855,252.26805,446.43505,240.26805
GlcCer_NDS(d17:0/30:4)+H,876.72865,714.67585,696.66525,678.65475,270.27855,252.26805,444.41945,240.26805
GlcCer_NDS(d17:0/31:0)+H,898.80695,736.75405,718.74355,700.73295,270.27855,252.26805,466.49775,240.26805
GlcCer_NDS(d17:0/31:1)+H,896.79135,734.73845,716.72795,698.71735,270.27855,252.26805,464.48205,240.26805
GlcCer_NDS(d17:0/31:2)+H,894.77565,732.72285,714.71225,696.70165,270.27855,252.26805,462.46635,240.26805
GlcCer_NDS(d17:0/31:3)+H,892.76005,730.70715,712.69655,694.68605,270.27855,252.26805,460.45075,240.26805
GlcCer_NDS(d17:0/31:4)+H,890.74435,728.69155,710.68095,692.67035,270.27855,252.26805,458.43505,240.26805
GlcCer_NDS(d17:0/32:0)+H,912.82255,750.76975,732.75925,714.74855,270.27855,252.26805,480.51335,240.26805
GlcCer_NDS(d17:0/32:1)+H,910.80695,748.75405,730.74355,712.73295,270.27855,252.26805,478.49775,240.26805
GlcCer_NDS(d17:0/32:2)+H,908.79135,746.73845,728.72795,710.71735,270.27855,252.26805,476.48205,240.26805
GlcCer_NDS(d17:0/32:3)+H,906.77565,744.72285,726.71225,708.70165,270.27855,252.26805,474.46635,240.26805
GlcCer_NDS(d17:0/32:4)+H,904.76005,742.70715,724.69655,706.68605,270.27855,252.26805,472.45075,240.26805
GlcCer_NDS(d17:0/33:0)+H,926.83825,764.78535,746.77485,728.76425,270.27855,252.26805,494.52895,240.26805
GlcCer_NDS(d17:0/33:1)+H,924.82255,762.76975,744.75925,726.74855,270.27855,252.26805,492.51335,240.26805
GlcCer_NDS(d17:0/33:2)+H,922.80695,760.75405,742.74355,724.73295,270.27855,252.26805,490.49775,240.26805
GlcCer_NDS(d17:0/33:3)+H,920.79135,758.73845,740.72795,722.71735,270.27855,252.26805,488.48205,240.26805
GlcCer_NDS(d17:0/33:4)+H,918.77565,756.72285,738.71225,720.70165,270.27855,252.26805,486.46635,240.26805
GlcCer_NDS(d17:0/34:0)+H,940.85385,778.80105,760.79045,742.77995,270.27855,252.26805,508.54465,240.26805
GlcCer_NDS(d17:0/34:1)+H,938.83825,776.78535,758.77485,740.76425,270.27855,252.26805,506.52895,240.26805
GlcCer_NDS(d17:0/34:2)+H,936.82255,774.76975,756.75925,738.74855,270.27855,252.26805,504.51335,240.26805
GlcCer_NDS(d17:0/34:3)+H,934.80695,772.75405,754.74355,736.73295,270.27855,252.26805,502.49775,240.26805
GlcCer_NDS(d17:0/34:4)+H,932.79135,770.73845,752.72795,734.71735,270.27855,252.26805,500.48205,240.26805
GlcCer_NDS(d17:0/35:0)+H,954.86955,792.81675,774.80615,756.79555,270.27855,252.26805,522.56035,240.26805
GlcCer_NDS(d17:0/35:1)+H,952.85385,790.80105,772.79045,754.77995,270.27855,252.26805,520.54465,240.26805
GlcCer_NDS(d17:0/35:2)+H,950.83825,788.78535,770.77485,752.76425,270.27855,252.26805,518.52895,240.26805
GlcCer_NDS(d17:0/35:3)+H,948.82255,786.76975,768.75925,750.74855,270.27855,252.26805,516.51335,240.26805
