Ac4PIM2,[M-H]-,M-sn1,M-sn2,M-sn3,M-sn4,M-sn1-sn2,M-sn3-sn4,M-sn1-sn2-C3H5O,M-sn3-sn4-C3H5O
Ac4PIM2(14:0_14:0_18:2_14:0)-H,1549.989087,1321.780287,1321.780287,1269.749007,1321.780287,1093.571487,1041.540207,1037.545277,985.5139968
Ac4PIM2(14:0_14:0_18:2_15:0)-H,1564.004737,1335.795937,1335.795937,1283.764657,1321.780297,1107.587137,1041.540217,1051.560927,985.5140068
Ac4PIM2(14:0_14:0_18:2_16:0)-H,1578.020387,1349.811587,1349.811587,1297.780307,1321.780307,1121.602787,1041.540227,1065.576577,985.5140169
Ac4PIM2(14:0_14:0_18:2_17:0)-H,1592.036037,1363.827237,1363.827237,1311.795957,1321.780317,1135.618437,1041.540237,1079.592227,985.514027
Ac4PIM2(14:0_14:0_18:2_18:0)-H,1606.051687,1377.842887,1377.842887,1325.811607,1321.780327,1149.634087,1041.540247,1093.607877,985.514037
Ac4PIM2(14:0_14:0_18:2_19:0)-H,1620.067337,1391.858537,1391.858537,1339.827257,1321.780337,1163.649737,1041.540257,1107.623527,985.5140471
Ac4PIM2(14:0_14:0_18:2_20:0)-H,1634.082987,1405.874187,1405.874187,1353.842907,1321.780347,1177.665387,1041.540267,1121.639177,985.5140572
Ac4PIM2(14:0_14:0_18:2_16:1)-H,1576.004737,1347.795937,1347.795937,1295.764657,1321.780297,1119.587137,1041.540217,1063.560927,985.5140068
Ac4PIM2(14:0_14:0_18:2_17:1)-H,1590.020387,1361.811587,1361.811587,1309.780307,1321.780307,1133.602787,1041.540227,1077.576577,985.5140169
Ac4PIM2(14:0_14:0_18:2_18:1)-H,1604.036037,1375.827237,1375.827237,1323.795957,1321.780317,1147.618437,1041.540237,1091.592227,985.514027
Ac4PIM2(14:0_14:0_18:2_18:2)-H,1602.020387,1373.811587,1373.811587,1321.780307,1321.780307,1145.602787,1041.540227,1089.576577,985.5140169
Ac4PIM2(14:0_14:0_18:2_methyl-18:0)-H,1620.067337,1391.858537,1391.858537,1339.827257,1321.780337,1163.649737,1041.540257,1107.623527,985.5140471
Ac4PIM2(14:0_14:0_methyl-18:0_14:0)-H,1568.036037,1339.827237,1339.827237,1269.749037,1339.827237,1111.618437,1041.540237,1055.592227,985.514027
Ac4PIM2(14:0_14:0_methyl-18:0_15:0)-H,1582.051687,1353.842887,1353.842887,1283.764687,1339.827247,1125.634087,1041.540247,1069.607877,985.514037
